i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,0,-3,2021-12-20
4,0,-4,2021-12-21
5,0,-5,2021-12-22
6,0,-6,2021-12-23
7,0,-7,2021-12-24
8,1,-7,2021-12-25
8,2,-6,2021-12-25
8,3,-5,2021-12-25
8,4,-4,2021-12-25
8,5,-3,2021-12-25
8,6,-2,2021-12-25
8,7,-1,2021-12-25
8,8,0,2021-12-25
8,9,1,2021-12-25
8,10,2,2021-12-25
8,11,3,2021-12-25
8,12,4,2021-12-25
8,13,5,2021-12-25
8,14,6,2021-12-25
8,15,7,2021-12-25
8,16,8,2021-12-25
8,17,9,2021-12-25
8,18,10,2021-12-25
8,19,11,2021-12-25
8,20,12,2021-12-25
8,21,13,2021-12-25
9,22,13,2021-12-26
10,23,13,2021-12-27
11,24,13,2021-12-28
12,25,13,2021-12-29
13,26,13,2021-12-30
14,27,13,2021-12-31
15,28,13,2022-01-01
16,29,13,2022-01-02
17,30,13,2022-01-03
18,31,13,2022-01-04
19,32,13,2022-01-05
20,33,13,2022-01-06
21,34,13,2022-01-07
22,35,13,2022-01-08
23,36,13,2022-01-09
24,37,13,2022-01-10
25,38,13,2022-01-11
26,39,13,2022-01-12
27,40,13,2022-01-13
28,41,13,2022-01-14
29,42,13,2022-01-15
30,43,13,2022-01-16
31,44,13,2022-01-17
32,45,13,2022-01-18
33,46,13,2022-01-19
34,47,13,2022-01-20
35,48,13,2022-01-21
36,49,13,2022-01-22
37,50,13,2022-01-23
38,51,13,2022-01-24
39,52,13,2022-01-25
40,53,13,2022-01-26
41,54,13,2022-01-27
42,55,13,2022-01-28
43,56,13,2022-01-29
44,57,13,2022-01-30
45,58,13,2022-01-31
46,59,13,2022-02-01
47,60,13,2022-02-02
48,61,13,2022-02-03
49,62,13,2022-02-04
50,63,13,2022-02-05
51,64,13,2022-02-06
52,65,13,2022-02-07
53,66,13,2022-02-08
54,67,13,2022-02-09
55,68,13,2022-02-10
56,68,12,2022-02-11
57,68,11,2022-02-12
58,68,10,2022-02-13
59,68,9,2022-02-14
60,68,8,2022-02-15
61,68,7,2022-02-16
62,68,6,2022-02-17
63,68,5,2022-02-18
64,68,4,2022-02-19
65,68,3,2022-02-20
66,68,2,2022-02-21
67,68,1,2022-02-22
68,68,0,2022-02-23
69,68,-1,2022-02-24
70,68,-2,2022-02-25
71,68,-3,2022-02-26
72,68,-4,2022-02-27
73,68,-5,2022-02-28
74,68,-6,2022-03-01
75,68,-7,2022-03-02
76,68,-8,2022-03-03
77,68,-9,2022-03-04
78,68,-10,2022-03-05
79,68,-11,2022-03-06
80,68,-12,2022-03-07
81,68,-13,2022-03-08
82,69,-13,2022-03-09
83,70,-13,2022-03-10
84,71,-13,2022-03-11
85,72,-13,2022-03-12
86,73,-13,2022-03-13
87,74,-13,2022-03-14
88,75,-13,2022-03-15
89,76,-13,2022-03-16
90,77,-13,2022-03-17
91,78,-13,2022-03-18
92,79,-13,2022-03-19
93,80,-13,2022-03-20
94,81,-13,2022-03-21
95,82,-13,2022-03-22
96,83,-13,2022-03-23
97,84,-13,2022-03-24
98,85,-13,2022-03-25
99,86,-13,2022-03-26
100,87,-13,2022-03-27
101,88,-13,2022-03-28
102,89,-13,2022-03-29
103,90,-13,2022-03-30
103,91,-12,2022-03-30
104,92,-12,2022-03-31
104,93,-11,2022-03-31
104,94,-10,2022-03-31
104,95,-9,2022-03-31
104,96,-8,2022-03-31
104,97,-7,2022-03-31
104,98,-6,2022-03-31
105,99,-6,2022-04-01
105,100,-5,2022-04-01
105,101,-4,2022-04-01
105,102,-3,2022-04-01
105,103,-2,2022-04-01
105,104,-1,2022-04-01
105,105,0,2022-04-01
105,106,1,2022-04-01
105,107,2,2022-04-01
105,108,3,2022-04-01
105,109,4,2022-04-01
106,110,4,2022-04-02
107,111,4,2022-04-03
108,111,3,2022-04-04
109,111,2,2022-04-05
110,111,1,2022-04-06
111,111,0,2022-04-07
112,111,-1,2022-04-08
113,111,-2,2022-04-09
114,111,-3,2022-04-10
115,111,-4,2022-04-11
116,111,-5,2022-04-12
117,111,-6,2022-04-13
118,111,-7,2022-04-14
119,111,-8,2022-04-15
120,111,-9,2022-04-16
121,111,-10,2022-04-17
122,111,-11,2022-04-18
123,111,-12,2022-04-19
124,111,-13,2022-04-20
125,112,-13,2022-04-21
126,113,-13,2022-04-22
127,114,-13,2022-04-23
128,115,-13,2022-04-24
129,116,-13,2022-04-25
130,117,-13,2022-04-26
131,118,-13,2022-04-27
132,119,-13,2022-04-28
133,120,-13,2022-04-29
134,121,-13,2022-04-30
135,122,-13,2022-05-01
136,123,-13,2022-05-02
137,124,-13,2022-05-03
138,125,-13,2022-05-04
139,126,-13,2022-05-05
140,127,-13,2022-05-06
141,128,-13,2022-05-07
