DATE,lag_days
2021-12-17,6.5
2021-12-18,13.0
2021-12-19,13.0
2021-12-20,13.0
2021-12-21,13.0
2021-12-22,13.0
2021-12-23,13.0
2021-12-24,13.0
2021-12-25,13.0
2021-12-26,13.0
2021-12-27,13.0
2021-12-28,13.0
2021-12-29,13.0
2021-12-30,13.0
2021-12-31,13.0
2022-01-01,13.0
2022-01-02,13.0
2022-01-03,13.0
2022-01-04,13.0
2022-01-05,13.0
2022-01-06,13.0
2022-01-07,13.0
2022-01-08,13.0
2022-01-09,13.0
2022-01-10,13.0
2022-01-11,12.0
2022-01-12,11.0
2022-01-13,11.0
2022-01-14,11.0
2022-01-15,12.0
2022-01-16,13.0
2022-01-17,13.0
2022-01-18,12.0
2022-01-19,11.0
2022-01-20,10.0
2022-01-21,9.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,6.0
2022-01-25,6.0
2022-01-26,6.0
2022-01-27,5.0
2022-01-28,4.0
2022-01-29,3.0
2022-01-30,2.0
2022-01-31,1.0
2022-02-01,0.0
2022-02-02,-1.0
2022-02-03,-1.0
2022-02-04,-2.0
2022-02-05,-3.0
2022-02-06,-4.0
2022-02-07,-5.0
2022-02-08,-6.0
2022-02-09,-6.0
2022-02-10,-7.0
2022-02-11,-8.0
2022-02-12,-9.0
2022-02-13,-10.0
2022-02-14,-11.0
2022-02-15,-12.0
2022-02-16,-13.0
2022-02-17,-13.0
2022-02-18,-10.5
2022-02-19,-8.0
2022-02-20,-9.0
2022-02-21,-10.0
2022-02-22,-11.0
2022-02-23,-12.0
2022-02-24,-13.0
2022-02-25,-13.0
2022-02-26,-13.0
2022-02-27,-13.0
2022-02-28,-13.0
2022-03-01,-13.0
2022-03-02,-13.0
2022-03-03,-13.0
2022-03-04,-13.0
2022-03-05,-10.5
2022-03-06,-8.0
2022-03-07,-8.0
2022-03-08,-8.0
2022-03-09,-9.0
2022-03-10,-10.0
2022-03-11,-11.0
2022-03-12,-12.0
2022-03-13,-12.0
2022-03-14,-11.5
2022-03-15,-11.0
2022-03-16,-11.0
2022-03-17,-11.0
2022-03-18,-11.0
2022-03-19,-11.0
2022-03-20,-11.0
2022-03-21,-11.0
2022-03-22,-12.0
2022-03-23,-12.0
2022-03-24,-11.5
2022-03-25,-11.0
2022-03-26,-12.0
2022-03-27,-13.0
2022-03-28,-13.0
2022-03-29,-12.0
2022-03-30,-11.0
2022-03-31,-11.0
2022-04-01,-11.0
2022-04-02,-11.0
2022-04-03,-11.0
2022-04-04,-11.0
2022-04-05,-11.0
2022-04-06,-11.0
2022-04-07,-11.0
2022-04-08,-11.0
2022-04-09,-10.5
2022-04-10,-10.0
2022-04-11,-10.0
2022-04-12,-10.0
2022-04-13,-10.0
2022-04-14,-9.5
2022-04-15,-9.0
2022-04-16,-9.0
2022-04-17,-10.0
2022-04-18,-10.0
2022-04-19,-3.0
2022-04-20,4.0
2022-04-21,4.0
2022-04-22,4.0
2022-04-23,4.0
2022-04-24,4.0
2022-04-25,3.0
2022-04-26,2.0
2022-04-27,1.0
2022-04-28,0.0
2022-04-29,-1.0
2022-04-30,-2.0
2022-05-01,-3.0
2022-05-02,-4.0
2022-05-03,-5.0
2022-05-04,-6.0
2022-05-05,-7.0
2022-05-06,-8.0
2022-05-07,-9.0
2022-05-08,-10.0
2022-05-09,-11.0
2022-05-10,-12.0
2022-05-11,-13.0
2022-05-12,-13.0
2022-05-13,-13.0
2022-05-14,-13.0
2022-05-15,-13.0
2022-05-16,-13.0
2022-05-17,-11.5
2022-05-18,-10.0
2022-05-19,-11.0
2022-05-20,-10.0
2022-05-21,-9.0
2022-05-22,-10.0
2022-05-23,-10.0
2022-05-24,-9.0
2022-05-25,-8.0
2022-05-26,-8.0
2022-05-27,-2.0
2022-05-28,4.0
2022-05-29,4.0
2022-05-30,4.0
2022-05-31,3.0
2022-06-01,2.0
2022-06-02,1.0
2022-06-03,0.0
2022-06-04,-1.0
2022-06-05,-2.0
2022-06-06,-3.0
2022-06-07,-4.0
2022-06-08,-5.0
2022-06-09,-6.0
2022-06-10,-7.0
2022-06-11,-8.0
2022-06-12,-9.0
2022-06-13,-10.0
2022-06-14,-11.0
2022-06-15,-12.0
2022-06-16,-13.0
2022-06-17,-13.0
2022-06-18,-13.0
2022-06-19,-13.0
2022-06-20,-13.0
2022-06-21,-13.0
2022-06-22,-13.0
2022-06-23,-13.0
2022-06-24,-4.5
2022-06-25,4.0
2022-06-26,4.0
2022-06-27,4.0
2022-06-28,3.0
2022-06-29,2.0
2022-06-30,1.0
2022-07-01,0.0
2022-07-02,-1.0
2022-07-03,-2.0
2022-07-04,-3.0
2022-07-05,-4.0
2022-07-06,-5.0
2022-07-07,-5.0
2022-07-08,-3.0
2022-07-09,-1.0
2022-07-10,-1.0
2022-07-11,-2.0
2022-07-12,-3.0
2022-07-13,-4.0
2022-07-14,-5.0
2022-07-15,-6.0
2022-07-16,-7.0
2022-07-17,-8.0
2022-07-18,-8.0
2022-07-19,-9.0
2022-07-20,-10.0
2022-07-21,-11.0
2022-07-22,-11.0
2022-07-23,-7.0
2022-07-24,-3.0
2022-07-25,-3.0
2022-07-26,-3.0
2022-07-27,-3.0
2022-07-28,-4.0
2022-07-29,-4.0
2022-07-30,-5.0
2022-07-31,-6.0
2022-08-01,-7.0
2022-08-02,-8.0
2022-08-03,-9.0
2022-08-04,-10.0
2022-08-05,-10.0
2022-08-06,1.0
2022-08-07,12.0
2022-08-08,12.0
2022-08-09,12.0
2022-08-10,12.0
2022-08-11,12.0
2022-08-12,11.0
2022-08-13,10.0
2022-08-14,9.0
2022-08-15,8.0
2022-08-16,7.0
2022-08-17,6.0
2022-08-18,5.0
2022-08-19,4.0
2022-08-20,3.0
2022-08-21,3.0
2022-08-22,2.0
2022-08-23,3.5
2022-08-24,5.0
2022-08-25,4.0
2022-08-26,4.0
2022-08-27,4.5
2022-08-28,5.0
2022-08-29,4.0
2022-08-30,3.0
2022-08-31,2.0
2022-09-01,1.0
2022-09-02,0.0
2022-09-03,-1.0
2022-09-04,-2.0
2022-09-05,-3.0
2022-09-06,-4.0
2022-09-07,-5.0
2022-09-08,-6.0
2022-09-09,-7.0
2022-09-10,-8.0
2022-09-11,-9.0
2022-09-12,-9.0
2022-09-13,1.5
2022-09-14,12.0
2022-09-15,11.0
2022-09-16,11.0
2022-09-17,11.0
2022-09-18,11.0
2022-09-19,11.0
2022-09-20,12.0
2022-09-21,13.0
2022-09-22,13.0
2022-09-23,12.0
2022-09-24,11.0
2022-09-25,11.0
2022-09-26,11.0
2022-09-27,11.5
2022-09-28,12.0
2022-09-29,12.0
2022-09-30,11.0
2022-10-01,11.5
2022-10-02,12.0
2022-10-03,11.0
2022-10-04,11.5
2022-10-05,12.0
2022-10-06,11.0
2022-10-07,10.0
2022-10-08,10.0
2022-10-09,10.0
2022-10-10,10.0
2022-10-11,11.5
2022-10-12,13.0
2022-10-13,13.0
2022-10-14,13.0
2022-10-15,13.0
2022-10-16,13.0
2022-10-17,13.0
2022-10-18,13.0
2022-10-19,13.0
2022-10-20,13.0
2022-10-21,13.0
2022-10-22,13.0
2022-10-23,13.0
2022-10-24,13.0
2022-10-25,13.0
2022-10-26,13.0
2022-10-27,13.0
2022-10-28,13.0
2022-10-29,13.0
2022-10-30,13.0
2022-10-31,13.0
2022-11-01,13.0
2022-11-02,13.0
2022-11-03,13.0
2022-11-04,13.0
2022-11-05,12.0
2022-11-06,11.0
2022-11-07,10.0
2022-11-08,9.0
2022-11-09,8.0
2022-11-10,7.0
2022-11-11,6.0
2022-11-12,5.0
2022-11-13,4.0
2022-11-14,3.0
2022-11-15,2.0
2022-11-16,1.0
2022-11-17,0.0
2022-11-18,-1.0
2022-11-19,-2.0
2022-11-20,-3.0
2022-11-21,-4.0
2022-11-22,-5.0
2022-11-23,-6.0
2022-11-24,-7.0
2022-11-25,-8.0
2022-11-26,-9.0
2022-11-27,-10.0
2022-11-28,-11.0
2022-11-29,-12.0
2022-11-30,-13.0
2022-12-01,-13.0
2022-12-02,-13.0
2022-12-03,-13.0
2022-12-04,-13.0
2022-12-05,-13.0
2022-12-06,-2.5
2022-12-07,8.0
2022-12-08,7.0
2022-12-09,7.0
2022-12-10,7.0
2022-12-11,9.0
2022-12-12,11.0
2022-12-13,12.0
2022-12-14,13.0
2022-12-15,13.0
2022-12-16,13.0
2022-12-17,13.0
2022-12-18,12.0
2022-12-19,11.0
2022-12-20,10.0
2022-12-21,10.0
2022-12-22,10.0
2022-12-23,11.5
2022-12-24,13.0
2022-12-25,13.0
2022-12-26,13.0
2022-12-27,13.0
2022-12-28,13.0
2022-12-29,12.0
2022-12-30,11.0
2022-12-31,10.0
2023-01-01,9.0
2023-01-02,8.0
2023-01-03,7.0
2023-01-04,6.0
2023-01-05,5.0
2023-01-06,4.0
2023-01-07,3.0
2023-01-08,2.0
2023-01-09,1.0
2023-01-10,0.0
2023-01-11,-1.0
2023-01-12,-2.0
2023-01-13,-3.0
2023-01-14,-4.0
2023-01-15,-5.0
2023-01-16,-6.0
2023-01-17,-7.0
2023-01-18,-8.0
2023-01-19,-9.0
2023-01-20,-4.5
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,-1.0
2023-01-25,-2.0
2023-01-26,-3.0
2023-01-27,-4.0
2023-01-28,-5.0
2023-01-29,-6.0
2023-01-30,-7.0
2023-01-31,-8.0
2023-02-01,-9.0
2023-02-02,-10.0
2023-02-03,-11.0
2023-02-04,-12.0
2023-02-05,-13.0
2023-02-06,-13.0
2023-02-07,-8.5
2023-02-08,-4.0
2023-02-09,-4.0
2023-02-10,-5.0
2023-02-11,-6.0
2023-02-12,-7.0
2023-02-13,-8.0
2023-02-14,-9.0
2023-02-15,-10.0
2023-02-16,-10.0
2023-02-17,-2.5
2023-02-18,5.0
2023-02-19,4.0
2023-02-20,3.0
2023-02-21,2.0
2023-02-22,1.0
2023-02-23,0.0
2023-02-24,-1.0
2023-02-25,-2.0
2023-02-26,-3.0
2023-02-27,-4.0
2023-02-28,2.0
2023-03-01,8.0
2023-03-02,7.0
2023-03-03,6.0
2023-03-04,5.0
2023-03-05,4.0
2023-03-06,3.0
2023-03-07,2.0
2023-03-08,1.0
2023-03-09,0.0
