i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,1,0,2021-12-18
2,2,0,2021-12-19
3,3,0,2021-12-20
4,4,0,2021-12-21
5,5,0,2021-12-22
6,6,0,2021-12-23
7,7,0,2021-12-24
7,8,1,2021-12-24
7,9,2,2021-12-24
7,10,3,2021-12-24
7,11,4,2021-12-24
7,12,5,2021-12-24
7,13,6,2021-12-24
7,14,7,2021-12-24
7,15,8,2021-12-24
7,16,9,2021-12-24
7,17,10,2021-12-24
7,18,11,2021-12-24
7,19,12,2021-12-24
8,20,12,2021-12-25
9,21,12,2021-12-26
10,22,12,2021-12-27
11,23,12,2021-12-28
12,23,11,2021-12-29
13,24,11,2021-12-30
14,25,11,2021-12-31
14,26,12,2021-12-31
14,27,13,2021-12-31
15,28,13,2022-01-01
16,29,13,2022-01-02
17,30,13,2022-01-03
18,31,13,2022-01-04
19,32,13,2022-01-05
20,33,13,2022-01-06
21,34,13,2022-01-07
22,35,13,2022-01-08
23,36,13,2022-01-09
24,37,13,2022-01-10
25,38,13,2022-01-11
26,39,13,2022-01-12
27,40,13,2022-01-13
28,41,13,2022-01-14
29,42,13,2022-01-15
30,43,13,2022-01-16
31,44,13,2022-01-17
32,44,12,2022-01-18
33,44,11,2022-01-19
34,44,10,2022-01-20
35,44,9,2022-01-21
36,44,8,2022-01-22
37,44,7,2022-01-23
38,44,6,2022-01-24
39,44,5,2022-01-25
40,44,4,2022-01-26
41,44,3,2022-01-27
42,44,2,2022-01-28
43,44,1,2022-01-29
44,44,0,2022-01-30
45,44,-1,2022-01-31
46,44,-2,2022-02-01
47,44,-3,2022-02-02
48,44,-4,2022-02-03
49,44,-5,2022-02-04
50,44,-6,2022-02-05
51,44,-7,2022-02-06
52,44,-8,2022-02-07
53,44,-9,2022-02-08
54,44,-10,2022-02-09
55,45,-10,2022-02-10
56,45,-11,2022-02-11
57,45,-12,2022-02-12
58,45,-13,2022-02-13
59,46,-13,2022-02-14
60,47,-13,2022-02-15
61,48,-13,2022-02-16
61,49,-12,2022-02-16
61,50,-11,2022-02-16
61,51,-10,2022-02-16
61,52,-9,2022-02-16
61,53,-8,2022-02-16
61,54,-7,2022-02-16
61,55,-6,2022-02-16
61,56,-5,2022-02-16
62,57,-5,2022-02-17
63,58,-5,2022-02-18
64,58,-6,2022-02-19
65,58,-7,2022-02-20
66,58,-8,2022-02-21
67,58,-9,2022-02-22
68,58,-10,2022-02-23
69,58,-11,2022-02-24
70,59,-11,2022-02-25
71,60,-11,2022-02-26
72,60,-12,2022-02-27
73,60,-13,2022-02-28
74,61,-13,2022-03-01
75,62,-13,2022-03-02
76,63,-13,2022-03-03
77,64,-13,2022-03-04
78,65,-13,2022-03-05
79,66,-13,2022-03-06
80,67,-13,2022-03-07
81,68,-13,2022-03-08
82,69,-13,2022-03-09
83,70,-13,2022-03-10
83,71,-12,2022-03-10
83,72,-11,2022-03-10
83,73,-10,2022-03-10
83,74,-9,2022-03-10
83,75,-8,2022-03-10
83,76,-7,2022-03-10
83,77,-6,2022-03-10
83,78,-5,2022-03-10
83,79,-4,2022-03-10
83,80,-3,2022-03-10
83,81,-2,2022-03-10
83,82,-1,2022-03-10
84,83,-1,2022-03-11
85,84,-1,2022-03-12
86,85,-1,2022-03-13
87,85,-2,2022-03-14
88,86,-2,2022-03-15
89,87,-2,2022-03-16
89,88,-1,2022-03-16
90,89,-1,2022-03-17
91,89,-2,2022-03-18
92,89,-3,2022-03-19
93,89,-4,2022-03-20
94,89,-5,2022-03-21
95,90,-5,2022-03-22
96,91,-5,2022-03-23
97,92,-5,2022-03-24
98,93,-5,2022-03-25
99,94,-5,2022-03-26
100,95,-5,2022-03-27
101,96,-5,2022-03-28
101,97,-4,2022-03-28
101,98,-3,2022-03-28
101,99,-2,2022-03-28
101,100,-1,2022-03-28
101,101,0,2022-03-28
101,102,1,2022-03-28
101,103,2,2022-03-28
101,104,3,2022-03-28
101,105,4,2022-03-28
102,106,4,2022-03-29
103,107,4,2022-03-30
104,108,4,2022-03-31
105,109,4,2022-04-01
106,110,4,2022-04-02
107,111,4,2022-04-03
108,112,4,2022-04-04
109,113,4,2022-04-05
110,114,4,2022-04-06
110,115,5,2022-04-06
111,116,5,2022-04-07
112,117,5,2022-04-08
113,117,4,2022-04-09
114,117,3,2022-04-10
115,117,2,2022-04-11
116,117,1,2022-04-12
117,117,0,2022-04-13
118,117,-1,2022-04-14
119,117,-2,2022-04-15
120,117,-3,2022-04-16
121,117,-4,2022-04-17
122,117,-5,2022-04-18
123,117,-6,2022-04-19
124,117,-7,2022-04-20
125,117,-8,2022-04-21
126,117,-9,2022-04-22
127,117,-10,2022-04-23
128,117,-11,2022-04-24
129,117,-12,2022-04-25
130,117,-13,2022-04-26
131,118,-13,2022-04-27
132,119,-13,2022-04-28
133,120,-13,2022-04-29
134,121,-13,2022-04-30
135,122,-13,2022-05-01
136,123,-13,2022-05-02
137,124,-13,2022-05-03
138,125,-13,2022-05-04
139,126,-13,2022-05-05
140,127,-13,2022-05-06
141,128,-13,2022-05-07
142,129,-13,2022-05-08
143,130,-13,2022-05-09
144,131,-13,2022-05-10
145,132,-13,2022-05-11
146,133,-13,2022-05-12
147,134,-13,2022-05-13
148,135,-13,2022-05-14
149,136,-13,2022-05-15
150,137,-13,2022-05-16
151,138,-13,2022-05-17
151,139,-12,2022-05-17
151,140,-11,2022-05-17
151,141,-10,2022-05-17
151,142,-9,2022-05-17
151,143,-8,2022-05-17
151,144,-7,2022-05-17
151,145,-6,2022-05-17
151,146,-5,2022-05-17
151,147,-4,2022-05-17
151,148,-3,2022-05-17
152,149,-3,2022-05-18
153,150,-3,2022-05-19
154,151,-3,2022-05-20
154,152,-2,2022-05-20
154,153,-1,2022-05-20
154,154,0,2022-05-20
154,155,1,2022-05-20
154,156,2,2022-05-20
154,157,3,2022-05-20
154,158,4,2022-05-20
154,159,5,2022-05-20
154,160,6,2022-05-20
154,161,7,2022-05-20
154,162,8,2022-05-20
154,163,9,2022-05-20
155,164,9,2022-05-21
156,165,9,2022-05-22
157,165,8,2022-05-23
158,165,7,2022-05-24
159,165,6,2022-05-25
160,165,5,2022-05-26
161,165,4,2022-05-27
162,165,3,2022-05-28
163,165,2,2022-05-29
164,165,1,2022-05-30
165,165,0,2022-05-31
166,165,-1,2022-06-01
167,165,-2,2022-06-02
168,165,-3,2022-06-03
169,166,-3,2022-06-04
170,167,-3,2022-06-05
171,167,-4,2022-06-06
172,167,-5,2022-06-07
173,167,-6,2022-06-08
174,167,-7,2022-06-09
175,167,-8,2022-06-10
176,167,-9,2022-06-11
177,167,-10,2022-06-12
178,167,-11,2022-06-13
179,167,-12,2022-06-14
180,167,-13,2022-06-15
181,168,-13,2022-06-16
182,169,-13,2022-06-17
183,170,-13,2022-06-18
183,171,-12,2022-06-18
183,172,-11,2022-06-18
183,173,-10,2022-06-18
183,174,-9,2022-06-18
183,175,-8,2022-06-18
183,176,-7,2022-06-18
183,177,-6,2022-06-18
183,178,-5,2022-06-18
183,179,-4,2022-06-18
183,180,-3,2022-06-18
183,181,-2,2022-06-18
183,182,-1,2022-06-18
184,183,-1,2022-06-19
185,184,-1,2022-06-20
186,185,-1,2022-06-21
187,185,-2,2022-06-22
188,185,-3,2022-06-23
189,185,-4,2022-06-24
190,185,-5,2022-06-25
191,185,-6,2022-06-26
192,185,-7,2022-06-27
193,185,-8,2022-06-28
194,185,-9,2022-06-29
195,185,-10,2022-06-30
196,186,-10,2022-07-01
196,187,-9,2022-07-01
196,188,-8,2022-07-01
196,189,-7,2022-07-01
196,190,-6,2022-07-01
196,191,-5,2022-07-01
196,192,-4,2022-07-01
196,193,-3,2022-07-01
196,194,-2,2022-07-01
196,195,-1,2022-07-01
196,196,0,2022-07-01
196,197,1,2022-07-01
196,198,2,2022-07-01
196,199,3,2022-07-01
196,200,4,2022-07-01
196,201,5,2022-07-01
196,202,6,2022-07-01
196,203,7,2022-07-01
196,204,8,2022-07-01
196,205,9,2022-07-01
196,206,10,2022-07-01
196,207,11,2022-07-01
196,208,12,2022-07-01
196,209,13,2022-07-01
197,210,13,2022-07-02
198,211,13,2022-07-03
199,211,12,2022-07-04
200,211,11,2022-07-05
201,211,10,2022-07-06
202,211,9,2022-07-07
203,211,8,2022-07-08
204,212,8,2022-07-09
205,212,7,2022-07-10
206,212,6,2022-07-11
207,212,5,2022-07-12
208,212,4,2022-07-13
209,212,3,2022-07-14
210,212,2,2022-07-15
211,212,1,2022-07-16
212,212,0,2022-07-17
213,212,-1,2022-07-18
214,212,-2,2022-07-19
215,212,-3,2022-07-20
216,212,-4,2022-07-21
217,212,-5,2022-07-22
218,212,-6,2022-07-23
219,212,-7,2022-07-24
220,212,-8,2022-07-25
221,212,-9,2022-07-26
222,212,-10,2022-07-27
223,212,-11,2022-07-28
224,213,-11,2022-07-29
225,214,-11,2022-07-30
225,215,-10,2022-07-30
225,216,-9,2022-07-30
225,217,-8,2022-07-30
225,218,-7,2022-07-30
225,219,-6,2022-07-30
225,220,-5,2022-07-30
225,221,-4,2022-07-30
225,222,-3,2022-07-30
225,223,-2,2022-07-30
225,224,-1,2022-07-30
225,225,0,2022-07-30
225,226,1,2022-07-30
225,227,2,2022-07-30
225,228,3,2022-07-30
225,229,4,2022-07-30
225,230,5,2022-07-30
225,231,6,2022-07-30
225,232,7,2022-07-30
225,233,8,2022-07-30
225,234,9,2022-07-30
225,235,10,2022-07-30
225,236,11,2022-07-30
225,237,12,2022-07-30
226,238,12,2022-07-31
227,239,12,2022-08-01
228,240,12,2022-08-02
228,241,13,2022-08-02
229,242,13,2022-08-03
230,243,13,2022-08-04
231,244,13,2022-08-05
232,244,12,2022-08-06
233,244,11,2022-08-07
234,244,10,2022-08-08
235,245,10,2022-08-09
235,246,11,2022-08-09
235,247,12,2022-08-09
235,248,13,2022-08-09
236,249,13,2022-08-10
237,250,13,2022-08-11
238,250,12,2022-08-12
239,250,11,2022-08-13
240,250,10,2022-08-14
241,250,9,2022-08-15
242,251,9,2022-08-16
242,252,10,2022-08-16
242,253,11,2022-08-16
242,254,12,2022-08-16
242,255,13,2022-08-16
243,256,13,2022-08-17
244,257,13,2022-08-18
245,257,12,2022-08-19
246,257,11,2022-08-20
247,257,10,2022-08-21
248,257,9,2022-08-22
249,257,8,2022-08-23
250,257,7,2022-08-24
251,257,6,2022-08-25
252,257,5,2022-08-26
253,257,4,2022-08-27
254,257,3,2022-08-28
255,257,2,2022-08-29
256,257,1,2022-08-30
257,257,0,2022-08-31
258,257,-1,2022-09-01
259,257,-2,2022-09-02
260,257,-3,2022-09-03
261,257,-4,2022-09-04
262,257,-5,2022-09-05
263,257,-6,2022-09-06
264,257,-7,2022-09-07
265,257,-8,2022-09-08
266,257,-9,2022-09-09
267,258,-9,2022-09-10
267,259,-8,2022-09-10
267,260,-7,2022-09-10
267,261,-6,2022-09-10
267,262,-5,2022-09-10
268,263,-5,2022-09-11
269,263,-6,2022-09-12
270,263,-7,2022-09-13
271,263,-8,2022-09-14
272,263,-9,2022-09-15
273,263,-10,2022-09-16
274,263,-11,2022-09-17
275,263,-12,2022-09-18
276,263,-13,2022-09-19
277,264,-13,2022-09-20
278,265,-13,2022-09-21
279,266,-13,2022-09-22
280,267,-13,2022-09-23
281,268,-13,2022-09-24
282,269,-13,2022-09-25
283,270,-13,2022-09-26
284,271,-13,2022-09-27
284,272,-12,2022-09-27
284,273,-11,2022-09-27
284,274,-10,2022-09-27
284,275,-9,2022-09-27
284,276,-8,2022-09-27
284,277,-7,2022-09-27
284,278,-6,2022-09-27
284,279,-5,2022-09-27
284,280,-4,2022-09-27
284,281,-3,2022-09-27
284,282,-2,2022-09-27
284,283,-1,2022-09-27
284,284,0,2022-09-27
284,285,1,2022-09-27
284,286,2,2022-09-27
284,287,3,2022-09-27
284,288,4,2022-09-27
284,289,5,2022-09-27
284,290,6,2022-09-27
284,291,7,2022-09-27
284,292,8,2022-09-27
284,293,9,2022-09-27
284,294,10,2022-09-27
284,295,11,2022-09-27
284,296,12,2022-09-27
284,297,13,2022-09-27
285,298,13,2022-09-28
286,299,13,2022-09-29
287,299,12,2022-09-30
288,299,11,2022-10-01
289,299,10,2022-10-02
290,299,9,2022-10-03
291,299,8,2022-10-04
292,299,7,2022-10-05
293,299,6,2022-10-06
294,299,5,2022-10-07
295,299,4,2022-10-08
296,299,3,2022-10-09
297,299,2,2022-10-10
298,299,1,2022-10-11
299,299,0,2022-10-12
300,299,-1,2022-10-13
301,299,-2,2022-10-14
302,299,-3,2022-10-15
303,299,-4,2022-10-16
304,299,-5,2022-10-17
305,299,-6,2022-10-18
306,299,-7,2022-10-19
307,299,-8,2022-10-20
308,299,-9,2022-10-21
309,299,-10,2022-10-22
310,299,-11,2022-10-23
311,299,-12,2022-10-24
312,300,-12,2022-10-25
312,301,-11,2022-10-25
312,302,-10,2022-10-25
312,303,-9,2022-10-25
312,304,-8,2022-10-25
313,305,-8,2022-10-26
314,306,-8,2022-10-27
315,307,-8,2022-10-28
316,307,-9,2022-10-29
317,307,-10,2022-10-30
318,307,-11,2022-10-31
319,307,-12,2022-11-01
320,307,-13,2022-11-02
321,308,-13,2022-11-03
322,309,-13,2022-11-04
323,310,-13,2022-11-05
324,311,-13,2022-11-06
325,312,-13,2022-11-07
326,313,-13,2022-11-08
326,314,-12,2022-11-08
326,315,-11,2022-11-08
326,316,-10,2022-11-08
326,317,-9,2022-11-08
326,318,-8,2022-11-08
326,319,-7,2022-11-08
326,320,-6,2022-11-08
326,321,-5,2022-11-08
326,322,-4,2022-11-08
326,323,-3,2022-11-08
326,324,-2,2022-11-08
326,325,-1,2022-11-08
326,326,0,2022-11-08
326,327,1,2022-11-08
326,328,2,2022-11-08
326,329,3,2022-11-08
326,330,4,2022-11-08
326,331,5,2022-11-08
326,332,6,2022-11-08
326,333,7,2022-11-08
326,334,8,2022-11-08
326,335,9,2022-11-08
326,336,10,2022-11-08
326,337,11,2022-11-08
326,338,12,2022-11-08
327,339,12,2022-11-09
328,339,11,2022-11-10
329,339,10,2022-11-11
330,339,9,2022-11-12
331,339,8,2022-11-13
332,339,7,2022-11-14
333,339,6,2022-11-15
334,339,5,2022-11-16
335,339,4,2022-11-17
336,339,3,2022-11-18
337,339,2,2022-11-19
338,339,1,2022-11-20
339,339,0,2022-11-21
340,339,-1,2022-11-22
341,339,-2,2022-11-23
342,339,-3,2022-11-24
343,339,-4,2022-11-25
344,339,-5,2022-11-26
345,339,-6,2022-11-27
346,339,-7,2022-11-28
347,339,-8,2022-11-29
348,339,-9,2022-11-30
349,339,-10,2022-12-01
350,339,-11,2022-12-02
351,339,-12,2022-12-03
352,339,-13,2022-12-04
353,340,-13,2022-12-05
354,341,-13,2022-12-06
354,342,-12,2022-12-06
354,343,-11,2022-12-06
354,344,-10,2022-12-06
354,345,-9,2022-12-06
354,346,-8,2022-12-06
354,347,-7,2022-12-06
354,348,-6,2022-12-06
354,349,-5,2022-12-06
354,350,-4,2022-12-06
354,351,-3,2022-12-06
354,352,-2,2022-12-06
354,353,-1,2022-12-06
354,354,0,2022-12-06
354,355,1,2022-12-06
354,356,2,2022-12-06
354,357,3,2022-12-06
354,358,4,2022-12-06
354,359,5,2022-12-06
354,360,6,2022-12-06
355,361,6,2022-12-07
356,362,6,2022-12-08
356,363,7,2022-12-08
356,364,8,2022-12-08
356,365,9,2022-12-08
356,366,10,2022-12-08
356,367,11,2022-12-08
357,368,11,2022-12-09
358,369,11,2022-12-10
358,370,12,2022-12-10
359,371,12,2022-12-11
360,372,12,2022-12-12
361,373,12,2022-12-13
361,374,13,2022-12-13
362,375,13,2022-12-14
363,376,13,2022-12-15
364,377,13,2022-12-16
365,378,13,2022-12-17
366,379,13,2022-12-18
367,379,12,2022-12-19
368,379,11,2022-12-20
369,379,10,2022-12-21
370,379,9,2022-12-22
371,379,8,2022-12-23
372,380,8,2022-12-24
372,381,9,2022-12-24
372,382,10,2022-12-24
372,383,11,2022-12-24
373,384,11,2022-12-25
374,384,10,2022-12-26
375,385,10,2022-12-27
375,386,11,2022-12-27
375,387,12,2022-12-27
375,388,13,2022-12-27
376,389,13,2022-12-28
377,390,13,2022-12-29
378,391,13,2022-12-30
379,392,13,2022-12-31
380,393,13,2023-01-01
381,394,13,2023-01-02
382,395,13,2023-01-03
383,395,12,2023-01-04
384,395,11,2023-01-05
385,395,10,2023-01-06
386,395,9,2023-01-07
387,395,8,2023-01-08
388,395,7,2023-01-09
389,395,6,2023-01-10
390,395,5,2023-01-11
391,395,4,2023-01-12
392,395,3,2023-01-13
393,395,2,2023-01-14
394,395,1,2023-01-15
395,395,0,2023-01-16
396,395,-1,2023-01-17
397,395,-2,2023-01-18
398,395,-3,2023-01-19
399,395,-4,2023-01-20
400,395,-5,2023-01-21
401,395,-6,2023-01-22
402,395,-7,2023-01-23
403,396,-7,2023-01-24
404,397,-7,2023-01-25
405,398,-7,2023-01-26
406,399,-7,2023-01-27
407,399,-8,2023-01-28
408,399,-9,2023-01-29
409,399,-10,2023-01-30
410,399,-11,2023-01-31
411,399,-12,2023-02-01
412,399,-13,2023-02-02
413,400,-13,2023-02-03
414,401,-13,2023-02-04
415,402,-13,2023-02-05
416,403,-13,2023-02-06
417,404,-13,2023-02-07
417,405,-12,2023-02-07
417,406,-11,2023-02-07
417,407,-10,2023-02-07
417,408,-9,2023-02-07
417,409,-8,2023-02-07
417,410,-7,2023-02-07
417,411,-6,2023-02-07
418,412,-6,2023-02-08
419,413,-6,2023-02-09
419,414,-5,2023-02-09
419,415,-4,2023-02-09
419,416,-3,2023-02-09
419,417,-2,2023-02-09
419,418,-1,2023-02-09
419,419,0,2023-02-09
419,420,1,2023-02-09
419,421,2,2023-02-09
