i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,1,0,2021-12-18
2,2,0,2021-12-19
3,2,-1,2021-12-20
4,2,-2,2021-12-21
5,2,-3,2021-12-22
6,2,-4,2021-12-23
7,2,-5,2021-12-24
8,2,-6,2021-12-25
9,2,-7,2021-12-26
10,2,-8,2021-12-27
11,2,-9,2021-12-28
12,2,-10,2021-12-29
13,2,-11,2021-12-30
14,2,-12,2021-12-31
15,2,-13,2022-01-01
16,3,-13,2022-01-02
17,4,-13,2022-01-03
18,5,-13,2022-01-04
19,6,-13,2022-01-05
20,7,-13,2022-01-06
21,8,-13,2022-01-07
22,9,-13,2022-01-08
23,10,-13,2022-01-09
24,11,-13,2022-01-10
24,12,-12,2022-01-10
24,13,-11,2022-01-10
24,14,-10,2022-01-10
24,15,-9,2022-01-10
24,16,-8,2022-01-10
24,17,-7,2022-01-10
24,18,-6,2022-01-10
24,19,-5,2022-01-10
24,20,-4,2022-01-10
24,21,-3,2022-01-10
24,22,-2,2022-01-10
24,23,-1,2022-01-10
24,24,0,2022-01-10
24,25,1,2022-01-10
24,26,2,2022-01-10
24,27,3,2022-01-10
24,28,4,2022-01-10
24,29,5,2022-01-10
24,30,6,2022-01-10
24,31,7,2022-01-10
24,32,8,2022-01-10
24,33,9,2022-01-10
25,34,9,2022-01-11
26,34,8,2022-01-12
27,34,7,2022-01-13
28,34,6,2022-01-14
29,34,5,2022-01-15
30,34,4,2022-01-16
31,34,3,2022-01-17
32,34,2,2022-01-18
33,34,1,2022-01-19
34,34,0,2022-01-20
35,34,-1,2022-01-21
36,34,-2,2022-01-22
37,34,-3,2022-01-23
38,34,-4,2022-01-24
39,34,-5,2022-01-25
40,34,-6,2022-01-26
41,35,-6,2022-01-27
41,36,-5,2022-01-27
41,37,-4,2022-01-27
41,38,-3,2022-01-27
41,39,-2,2022-01-27
41,40,-1,2022-01-27
41,41,0,2022-01-27
41,42,1,2022-01-27
41,43,2,2022-01-27
41,44,3,2022-01-27
41,45,4,2022-01-27
41,46,5,2022-01-27
41,47,6,2022-01-27
41,48,7,2022-01-27
41,49,8,2022-01-27
41,50,9,2022-01-27
41,51,10,2022-01-27
42,52,10,2022-01-28
43,52,9,2022-01-29
44,52,8,2022-01-30
45,52,7,2022-01-31
46,52,6,2022-02-01
47,52,5,2022-02-02
48,52,4,2022-02-03
49,52,3,2022-02-04
50,52,2,2022-02-05
51,52,1,2022-02-06
52,52,0,2022-02-07
53,52,-1,2022-02-08
54,52,-2,2022-02-09
55,52,-3,2022-02-10
56,52,-4,2022-02-11
57,52,-5,2022-02-12
58,52,-6,2022-02-13
59,52,-7,2022-02-14
60,53,-7,2022-02-15
61,54,-7,2022-02-16
62,55,-7,2022-02-17
62,56,-6,2022-02-17
62,57,-5,2022-02-17
62,58,-4,2022-02-17
62,59,-3,2022-02-17
62,60,-2,2022-02-17
62,61,-1,2022-02-17
62,62,0,2022-02-17
62,63,1,2022-02-17
62,64,2,2022-02-17
62,65,3,2022-02-17
62,66,4,2022-02-17
63,67,4,2022-02-18
64,68,4,2022-02-19
65,68,3,2022-02-20
66,68,2,2022-02-21
67,68,1,2022-02-22
68,68,0,2022-02-23
69,68,-1,2022-02-24
70,68,-2,2022-02-25
71,68,-3,2022-02-26
72,68,-4,2022-02-27
73,69,-4,2022-02-28
74,69,-5,2022-03-01
75,70,-5,2022-03-02
76,70,-6,2022-03-03
77,71,-6,2022-03-04
78,72,-6,2022-03-05
78,73,-5,2022-03-05
78,74,-4,2022-03-05
79,75,-4,2022-03-06
80,76,-4,2022-03-07
81,76,-5,2022-03-08
82,77,-5,2022-03-09
83,78,-5,2022-03-10
84,79,-5,2022-03-11
85,80,-5,2022-03-12
86,81,-5,2022-03-13
87,82,-5,2022-03-14
88,83,-5,2022-03-15
89,84,-5,2022-03-16
90,84,-6,2022-03-17
91,84,-7,2022-03-18
92,85,-7,2022-03-19
93,86,-7,2022-03-20
94,87,-7,2022-03-21
95,87,-8,2022-03-22
96,87,-9,2022-03-23
97,87,-10,2022-03-24
98,87,-11,2022-03-25
99,87,-12,2022-03-26
100,88,-12,2022-03-27
101,89,-12,2022-03-28
101,90,-11,2022-03-28
101,91,-10,2022-03-28
101,92,-9,2022-03-28
101,93,-8,2022-03-28
101,94,-7,2022-03-28
101,95,-6,2022-03-28
101,96,-5,2022-03-28
101,97,-4,2022-03-28
101,98,-3,2022-03-28
101,99,-2,2022-03-28
101,100,-1,2022-03-28
101,101,0,2022-03-28
101,102,1,2022-03-28
101,103,2,2022-03-28
101,104,3,2022-03-28
101,105,4,2022-03-28
101,106,5,2022-03-28
101,107,6,2022-03-28
102,108,6,2022-03-29
103,109,6,2022-03-30
104,110,6,2022-03-31
105,110,5,2022-04-01
106,111,5,2022-04-02
107,112,5,2022-04-03
108,113,5,2022-04-04
108,114,6,2022-04-04
108,115,7,2022-04-04
108,116,8,2022-04-04
108,117,9,2022-04-04
108,118,10,2022-04-04
109,119,10,2022-04-05
110,120,10,2022-04-06
111,120,9,2022-04-07
112,120,8,2022-04-08
113,120,7,2022-04-09
114,120,6,2022-04-10
115,120,5,2022-04-11
116,120,4,2022-04-12
117,120,3,2022-04-13
118,120,2,2022-04-14
119,120,1,2022-04-15
120,120,0,2022-04-16
121,120,-1,2022-04-17
122,120,-2,2022-04-18
123,120,-3,2022-04-19
124,120,-4,2022-04-20
125,120,-5,2022-04-21
126,121,-5,2022-04-22
127,122,-5,2022-04-23
128,123,-5,2022-04-24
129,124,-5,2022-04-25
130,125,-5,2022-04-26
130,126,-4,2022-04-26
130,127,-3,2022-04-26
130,128,-2,2022-04-26
130,129,-1,2022-04-26
130,130,0,2022-04-26
131,131,0,2022-04-27
132,132,0,2022-04-28
133,133,0,2022-04-29
134,134,0,2022-04-30
134,135,1,2022-04-30
134,136,2,2022-04-30
134,137,3,2022-04-30
134,138,4,2022-04-30
134,139,5,2022-04-30
135,140,5,2022-05-01
136,140,4,2022-05-02
137,140,3,2022-05-03
138,140,2,2022-05-04
139,140,1,2022-05-05
140,140,0,2022-05-06
141,140,-1,2022-05-07
142,140,-2,2022-05-08
143,140,-3,2022-05-09
144,140,-4,2022-05-10
145,140,-5,2022-05-11
146,140,-6,2022-05-12
147,140,-7,2022-05-13
148,140,-8,2022-05-14
149,140,-9,2022-05-15
150,140,-10,2022-05-16
151,140,-11,2022-05-17
152,140,-12,2022-05-18
153,140,-13,2022-05-19
154,141,-13,2022-05-20
155,142,-13,2022-05-21
156,143,-13,2022-05-22
157,144,-13,2022-05-23
158,145,-13,2022-05-24
159,146,-13,2022-05-25
160,147,-13,2022-05-26
161,148,-13,2022-05-27
161,149,-12,2022-05-27
161,150,-11,2022-05-27
161,151,-10,2022-05-27
161,152,-9,2022-05-27
162,153,-9,2022-05-28
163,154,-9,2022-05-29
164,155,-9,2022-05-30
165,156,-9,2022-05-31
166,157,-9,2022-06-01
167,158,-9,2022-06-02
168,159,-9,2022-06-03
169,159,-10,2022-06-04
170,159,-11,2022-06-05
171,159,-12,2022-06-06
172,159,-13,2022-06-07
173,160,-13,2022-06-08
174,161,-13,2022-06-09
175,162,-13,2022-06-10
176,163,-13,2022-06-11
177,164,-13,2022-06-12
178,165,-13,2022-06-13
179,166,-13,2022-06-14
179,167,-12,2022-06-14
179,168,-11,2022-06-14
179,169,-10,2022-06-14
179,170,-9,2022-06-14
179,171,-8,2022-06-14
180,172,-8,2022-06-15
181,172,-9,2022-06-16
182,172,-10,2022-06-17
183,173,-10,2022-06-18
184,173,-11,2022-06-19
185,173,-12,2022-06-20
186,174,-12,2022-06-21
186,175,-11,2022-06-21
187,176,-11,2022-06-22
188,177,-11,2022-06-23
189,177,-12,2022-06-24
190,178,-12,2022-06-25
191,178,-13,2022-06-26
192,179,-13,2022-06-27
193,180,-13,2022-06-28
193,181,-12,2022-06-28
193,182,-11,2022-06-28
193,183,-10,2022-06-28
193,184,-9,2022-06-28
194,185,-9,2022-06-29
195,186,-9,2022-06-30
196,186,-10,2022-07-01
197,186,-11,2022-07-02
198,187,-11,2022-07-03
198,188,-10,2022-07-03
198,189,-9,2022-07-03
198,190,-8,2022-07-03
198,191,-7,2022-07-03
198,192,-6,2022-07-03
199,193,-6,2022-07-04
200,194,-6,2022-07-05
201,195,-6,2022-07-06
202,196,-6,2022-07-07
203,197,-6,2022-07-08
204,198,-6,2022-07-09
205,198,-7,2022-07-10
206,198,-8,2022-07-11
207,198,-9,2022-07-12
208,198,-10,2022-07-13
209,198,-11,2022-07-14
210,198,-12,2022-07-15
211,198,-13,2022-07-16
212,199,-13,2022-07-17
213,200,-13,2022-07-18
214,201,-13,2022-07-19
215,202,-13,2022-07-20
216,203,-13,2022-07-21
217,204,-13,2022-07-22
218,205,-13,2022-07-23
219,206,-13,2022-07-24
220,207,-13,2022-07-25
221,208,-13,2022-07-26
222,209,-13,2022-07-27
223,210,-13,2022-07-28
224,211,-13,2022-07-29
225,212,-13,2022-07-30
226,213,-13,2022-07-31
227,214,-13,2022-08-01
228,215,-13,2022-08-02
229,216,-13,2022-08-03
230,217,-13,2022-08-04
231,218,-13,2022-08-05
232,219,-13,2022-08-06
233,220,-13,2022-08-07
234,221,-13,2022-08-08
235,222,-13,2022-08-09
236,223,-13,2022-08-10
237,224,-13,2022-08-11
238,225,-13,2022-08-12
239,226,-13,2022-08-13
240,227,-13,2022-08-14
241,228,-13,2022-08-15
242,229,-13,2022-08-16
243,230,-13,2022-08-17
244,231,-13,2022-08-18
245,232,-13,2022-08-19
246,233,-13,2022-08-20
247,234,-13,2022-08-21
248,235,-13,2022-08-22
249,236,-13,2022-08-23
250,237,-13,2022-08-24
251,238,-13,2022-08-25
252,239,-13,2022-08-26
252,240,-12,2022-08-26
252,241,-11,2022-08-26
252,242,-10,2022-08-26
252,243,-9,2022-08-26
252,244,-8,2022-08-26
252,245,-7,2022-08-26
252,246,-6,2022-08-26
252,247,-5,2022-08-26
252,248,-4,2022-08-26
252,249,-3,2022-08-26
252,250,-2,2022-08-26
252,251,-1,2022-08-26
252,252,0,2022-08-26
252,253,1,2022-08-26
252,254,2,2022-08-26
252,255,3,2022-08-26
252,256,4,2022-08-26
252,257,5,2022-08-26
253,258,5,2022-08-27
254,258,4,2022-08-28
255,258,3,2022-08-29
256,258,2,2022-08-30
257,258,1,2022-08-31
258,258,0,2022-09-01
259,258,-1,2022-09-02
260,258,-2,2022-09-03
261,258,-3,2022-09-04
262,258,-4,2022-09-05
263,258,-5,2022-09-06
264,258,-6,2022-09-07
265,258,-7,2022-09-08
266,258,-8,2022-09-09
267,258,-9,2022-09-10
268,258,-10,2022-09-11
269,258,-11,2022-09-12
270,258,-12,2022-09-13
271,258,-13,2022-09-14
272,259,-13,2022-09-15
273,260,-13,2022-09-16
274,261,-13,2022-09-17
275,262,-13,2022-09-18
276,263,-13,2022-09-19
277,264,-13,2022-09-20
277,265,-12,2022-09-20
278,266,-12,2022-09-21
279,267,-12,2022-09-22
280,268,-12,2022-09-23
281,269,-12,2022-09-24
282,270,-12,2022-09-25
283,271,-12,2022-09-26
283,272,-11,2022-09-26
283,273,-10,2022-09-26
283,274,-9,2022-09-26
284,275,-9,2022-09-27
285,276,-9,2022-09-28
286,277,-9,2022-09-29
287,277,-10,2022-09-30
288,277,-11,2022-10-01
289,278,-11,2022-10-02
290,278,-12,2022-10-03
291,279,-12,2022-10-04
291,280,-11,2022-10-04
291,281,-10,2022-10-04
291,282,-9,2022-10-04
292,283,-9,2022-10-05
293,284,-9,2022-10-06
294,284,-10,2022-10-07
295,284,-11,2022-10-08
296,285,-11,2022-10-09
296,286,-10,2022-10-09
296,287,-9,2022-10-09
296,288,-8,2022-10-09
296,289,-7,2022-10-09
296,290,-6,2022-10-09
296,291,-5,2022-10-09
297,292,-5,2022-10-10
297,293,-4,2022-10-10
298,294,-4,2022-10-11
299,295,-4,2022-10-12
300,296,-4,2022-10-13
300,297,-3,2022-10-13
300,298,-2,2022-10-13
300,299,-1,2022-10-13
300,300,0,2022-10-13
300,301,1,2022-10-13
301,302,1,2022-10-14
302,303,1,2022-10-15
303,303,0,2022-10-16
304,303,-1,2022-10-17
305,303,-2,2022-10-18
306,303,-3,2022-10-19
307,303,-4,2022-10-20
308,303,-5,2022-10-21
309,303,-6,2022-10-22
310,303,-7,2022-10-23
311,303,-8,2022-10-24
312,304,-8,2022-10-25
312,305,-7,2022-10-25
312,306,-6,2022-10-25
312,307,-5,2022-10-25
312,308,-4,2022-10-25
312,309,-3,2022-10-25
312,310,-2,2022-10-25
312,311,-1,2022-10-25
312,312,0,2022-10-25
312,313,1,2022-10-25
313,314,1,2022-10-26
314,314,0,2022-10-27
315,314,-1,2022-10-28
316,315,-1,2022-10-29
317,316,-1,2022-10-30
317,317,0,2022-10-30
318,318,0,2022-10-31
319,319,0,2022-11-01
320,320,0,2022-11-02
321,321,0,2022-11-03
322,322,0,2022-11-04
323,322,-1,2022-11-05
324,322,-2,2022-11-06
325,322,-3,2022-11-07
326,323,-3,2022-11-08
326,324,-2,2022-11-08
326,325,-1,2022-11-08
326,326,0,2022-11-08
326,327,1,2022-11-08
326,328,2,2022-11-08
327,329,2,2022-11-09
328,329,1,2022-11-10
329,330,1,2022-11-11
330,330,0,2022-11-12
331,330,-1,2022-11-13
332,330,-2,2022-11-14
333,330,-3,2022-11-15
334,330,-4,2022-11-16
335,331,-4,2022-11-17
336,332,-4,2022-11-18
337,333,-4,2022-11-19
338,333,-5,2022-11-20
339,333,-6,2022-11-21
340,334,-6,2022-11-22
341,335,-6,2022-11-23
341,336,-5,2022-11-23
341,337,-4,2022-11-23
341,338,-3,2022-11-23
341,339,-2,2022-11-23
341,340,-1,2022-11-23
341,341,0,2022-11-23
341,342,1,2022-11-23
341,343,2,2022-11-23
341,344,3,2022-11-23
341,345,4,2022-11-23
341,346,5,2022-11-23
341,347,6,2022-11-23
341,348,7,2022-11-23
341,349,8,2022-11-23
341,350,9,2022-11-23
341,351,10,2022-11-23
342,352,10,2022-11-24
343,353,10,2022-11-25
344,353,9,2022-11-26
345,353,8,2022-11-27
346,353,7,2022-11-28
347,354,7,2022-11-29
347,355,8,2022-11-29
347,356,9,2022-11-29
347,357,10,2022-11-29
347,358,11,2022-11-29
347,359,12,2022-11-29
348,360,12,2022-11-30
349,361,12,2022-12-01
350,361,11,2022-12-02
351,361,10,2022-12-03
352,361,9,2022-12-04
353,362,9,2022-12-05
353,363,10,2022-12-05
353,364,11,2022-12-05
353,365,12,2022-12-05
353,366,13,2022-12-05
354,367,13,2022-12-06
355,368,13,2022-12-07
356,369,13,2022-12-08
357,370,13,2022-12-09
358,370,12,2022-12-10
359,370,11,2022-12-11
360,370,10,2022-12-12
361,370,9,2022-12-13
362,370,8,2022-12-14
363,370,7,2022-12-15
364,370,6,2022-12-16
365,370,5,2022-12-17
366,370,4,2022-12-18
367,370,3,2022-12-19
368,370,2,2022-12-20
369,370,1,2022-12-21
370,370,0,2022-12-22
371,370,-1,2022-12-23
372,370,-2,2022-12-24
373,371,-2,2022-12-25
374,372,-2,2022-12-26
375,373,-2,2022-12-27
376,374,-2,2022-12-28
377,375,-2,2022-12-29
378,376,-2,2022-12-30
379,377,-2,2022-12-31
380,378,-2,2023-01-01
381,379,-2,2023-01-02
382,379,-3,2023-01-03
383,379,-4,2023-01-04
384,379,-5,2023-01-05
385,379,-6,2023-01-06
386,379,-7,2023-01-07
387,379,-8,2023-01-08
388,380,-8,2023-01-09
389,381,-8,2023-01-10
389,382,-7,2023-01-10
389,383,-6,2023-01-10
389,384,-5,2023-01-10
389,385,-4,2023-01-10
389,386,-3,2023-01-10
389,387,-2,2023-01-10
389,388,-1,2023-01-10
389,389,0,2023-01-10
390,390,0,2023-01-11
391,391,0,2023-01-12
392,391,-1,2023-01-13
393,391,-2,2023-01-14
394,391,-3,2023-01-15
395,391,-4,2023-01-16
396,391,-5,2023-01-17
397,392,-5,2023-01-18
397,393,-4,2023-01-18
397,394,-3,2023-01-18
397,395,-2,2023-01-18
398,396,-2,2023-01-19
399,396,-3,2023-01-20
400,396,-4,2023-01-21
401,396,-5,2023-01-22
402,396,-6,2023-01-23
403,396,-7,2023-01-24
404,396,-8,2023-01-25
405,396,-9,2023-01-26
406,396,-10,2023-01-27
407,396,-11,2023-01-28
408,396,-12,2023-01-29
409,396,-13,2023-01-30
410,397,-13,2023-01-31
411,398,-13,2023-02-01
412,399,-13,2023-02-02
413,400,-13,2023-02-03
414,401,-13,2023-02-04
415,402,-13,2023-02-05
416,403,-13,2023-02-06
417,404,-13,2023-02-07
418,405,-13,2023-02-08
418,406,-12,2023-02-08
418,407,-11,2023-02-08
418,408,-10,2023-02-08
418,409,-9,2023-02-08
418,410,-8,2023-02-08
418,411,-7,2023-02-08
418,412,-6,2023-02-08
418,413,-5,2023-02-08
418,414,-4,2023-02-08
418,415,-3,2023-02-08
418,416,-2,2023-02-08
418,417,-1,2023-02-08
418,418,0,2023-02-08
419,419,0,2023-02-09
420,420,0,2023-02-10
420,421,1,2023-02-10
420,422,2,2023-02-10
420,423,3,2023-02-10
420,424,4,2023-02-10
420,425,5,2023-02-10
420,426,6,2023-02-10
420,427,7,2023-02-10
420,428,8,2023-02-10
420,429,9,2023-02-10
420,430,10,2023-02-10
421,431,10,2023-02-11
422,431,9,2023-02-12
423,431,8,2023-02-13
424,431,7,2023-02-14
425,432,7,2023-02-15
426,433,7,2023-02-16
427,434,7,2023-02-17
427,435,8,2023-02-17
428,436,8,2023-02-18
429,437,8,2023-02-19
430,438,8,2023-02-20
431,438,7,2023-02-21
432,438,6,2023-02-22
433,438,5,2023-02-23
434,438,4,2023-02-24
435,438,3,2023-02-25
436,438,2,2023-02-26
437,438,1,2023-02-27
