i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,1,0,2021-12-18
2,2,0,2021-12-19
2,3,1,2021-12-19
3,4,1,2021-12-20
3,5,2,2021-12-20
3,6,3,2021-12-20
4,7,3,2021-12-21
4,8,4,2021-12-21
5,9,4,2021-12-22
6,10,4,2021-12-23
7,11,4,2021-12-24
8,12,4,2021-12-25
9,13,4,2021-12-26
9,14,5,2021-12-26
9,15,6,2021-12-26
9,16,7,2021-12-26
9,17,8,2021-12-26
9,18,9,2021-12-26
9,19,10,2021-12-26
9,20,11,2021-12-26
9,21,12,2021-12-26
9,22,13,2021-12-26
9,23,14,2021-12-26
9,24,15,2021-12-26
9,25,16,2021-12-26
9,26,17,2021-12-26
9,27,18,2021-12-26
9,28,19,2021-12-26
9,29,20,2021-12-26
10,30,20,2021-12-27
11,31,20,2021-12-28
12,32,20,2021-12-29
13,33,20,2021-12-30
14,34,20,2021-12-31
15,35,20,2022-01-01
16,36,20,2022-01-02
17,37,20,2022-01-03
18,38,20,2022-01-04
19,39,20,2022-01-05
20,40,20,2022-01-06
21,41,20,2022-01-07
22,42,20,2022-01-08
23,43,20,2022-01-09
24,44,20,2022-01-10
25,45,20,2022-01-11
26,46,20,2022-01-12
27,47,20,2022-01-13
28,48,20,2022-01-14
29,49,20,2022-01-15
30,50,20,2022-01-16
31,51,20,2022-01-17
32,52,20,2022-01-18
33,53,20,2022-01-19
34,54,20,2022-01-20
35,55,20,2022-01-21
36,56,20,2022-01-22
37,57,20,2022-01-23
38,58,20,2022-01-24
39,59,20,2022-01-25
40,60,20,2022-01-26
41,61,20,2022-01-27
42,62,20,2022-01-28
43,63,20,2022-01-29
44,64,20,2022-01-30
45,65,20,2022-01-31
46,66,20,2022-02-01
47,67,20,2022-02-02
48,68,20,2022-02-03
49,69,20,2022-02-04
50,70,20,2022-02-05
51,71,20,2022-02-06
52,72,20,2022-02-07
53,73,20,2022-02-08
54,74,20,2022-02-09
55,75,20,2022-02-10
56,76,20,2022-02-11
57,77,20,2022-02-12
58,78,20,2022-02-13
59,79,20,2022-02-14
60,80,20,2022-02-15
61,81,20,2022-02-16
62,82,20,2022-02-17
63,83,20,2022-02-18
64,84,20,2022-02-19
65,85,20,2022-02-20
66,86,20,2022-02-21
67,87,20,2022-02-22
68,88,20,2022-02-23
69,89,20,2022-02-24
70,90,20,2022-02-25
71,91,20,2022-02-26
72,92,20,2022-02-27
73,93,20,2022-02-28
74,94,20,2022-03-01
75,95,20,2022-03-02
76,96,20,2022-03-03
77,97,20,2022-03-04
78,98,20,2022-03-05
79,99,20,2022-03-06
80,100,20,2022-03-07
81,101,20,2022-03-08
82,102,20,2022-03-09
83,103,20,2022-03-10
84,104,20,2022-03-11
85,105,20,2022-03-12
86,106,20,2022-03-13
87,107,20,2022-03-14
88,108,20,2022-03-15
89,109,20,2022-03-16
90,110,20,2022-03-17
91,111,20,2022-03-18
92,112,20,2022-03-19
93,113,20,2022-03-20
94,114,20,2022-03-21
95,115,20,2022-03-22
96,116,20,2022-03-23
97,117,20,2022-03-24
98,118,20,2022-03-25
99,119,20,2022-03-26
100,120,20,2022-03-27
101,121,20,2022-03-28
102,122,20,2022-03-29
103,123,20,2022-03-30
104,124,20,2022-03-31
105,125,20,2022-04-01
106,126,20,2022-04-02
107,127,20,2022-04-03
108,128,20,2022-04-04
109,129,20,2022-04-05
110,130,20,2022-04-06
111,130,19,2022-04-07
112,130,18,2022-04-08
113,130,17,2022-04-09
114,130,16,2022-04-10
115,130,15,2022-04-11
116,130,14,2022-04-12
117,130,13,2022-04-13
118,130,12,2022-04-14
119,130,11,2022-04-15
120,130,10,2022-04-16
121,130,9,2022-04-17
122,130,8,2022-04-18
123,130,7,2022-04-19
124,130,6,2022-04-20
125,130,5,2022-04-21
126,130,4,2022-04-22
127,130,3,2022-04-23
128,130,2,2022-04-24
129,130,1,2022-04-25
130,130,0,2022-04-26
131,130,-1,2022-04-27
132,130,-2,2022-04-28
133,131,-2,2022-04-29
134,132,-2,2022-04-30
135,132,-3,2022-05-01
136,133,-3,2022-05-02
137,133,-4,2022-05-03
138,133,-5,2022-05-04
139,133,-6,2022-05-05
140,133,-7,2022-05-06
141,133,-8,2022-05-07
142,133,-9,2022-05-08
143,133,-10,2022-05-09
144,133,-11,2022-05-10
145,133,-12,2022-05-11
146,133,-13,2022-05-12
147,133,-14,2022-05-13
148,133,-15,2022-05-14
149,133,-16,2022-05-15
150,133,-17,2022-05-16
151,133,-18,2022-05-17
152,133,-19,2022-05-18
153,133,-20,2022-05-19
154,134,-20,2022-05-20
155,135,-20,2022-05-21
156,136,-20,2022-05-22
157,137,-20,2022-05-23
158,138,-20,2022-05-24
159,139,-20,2022-05-25
160,140,-20,2022-05-26
160,141,-19,2022-05-26
161,142,-19,2022-05-27
161,143,-18,2022-05-27
161,144,-17,2022-05-27
161,145,-16,2022-05-27
161,146,-15,2022-05-27
162,147,-15,2022-05-28
162,148,-14,2022-05-28
163,149,-14,2022-05-29
163,150,-13,2022-05-29
164,151,-13,2022-05-30
165,152,-13,2022-05-31
166,153,-13,2022-06-01
167,154,-13,2022-06-02
168,155,-13,2022-06-03
168,156,-12,2022-06-03
169,157,-12,2022-06-04
169,158,-11,2022-06-04
169,159,-10,2022-06-04
169,160,-9,2022-06-04
169,161,-8,2022-06-04
169,162,-7,2022-06-04
169,163,-6,2022-06-04
169,164,-5,2022-06-04
169,165,-4,2022-06-04
169,166,-3,2022-06-04
169,167,-2,2022-06-04
169,168,-1,2022-06-04
169,169,0,2022-06-04
169,170,1,2022-06-04
169,171,2,2022-06-04
169,172,3,2022-06-04
169,173,4,2022-06-04
169,174,5,2022-06-04
169,175,6,2022-06-04
169,176,7,2022-06-04
169,177,8,2022-06-04
169,178,9,2022-06-04
169,179,10,2022-06-04
169,180,11,2022-06-04
169,181,12,2022-06-04
169,182,13,2022-06-04
169,183,14,2022-06-04
169,184,15,2022-06-04
169,185,16,2022-06-04
169,186,17,2022-06-04
169,187,18,2022-06-04
169,188,19,2022-06-04
169,189,20,2022-06-04
170,190,20,2022-06-05
171,191,20,2022-06-06
172,192,20,2022-06-07
173,193,20,2022-06-08
174,194,20,2022-06-09
175,195,20,2022-06-10
176,196,20,2022-06-11
177,197,20,2022-06-12
178,198,20,2022-06-13
179,199,20,2022-06-14
180,200,20,2022-06-15
181,201,20,2022-06-16
182,202,20,2022-06-17
183,203,20,2022-06-18
184,204,20,2022-06-19
185,205,20,2022-06-20
186,206,20,2022-06-21
187,207,20,2022-06-22
188,208,20,2022-06-23
189,209,20,2022-06-24
190,210,20,2022-06-25
191,211,20,2022-06-26
192,212,20,2022-06-27
193,213,20,2022-06-28
194,214,20,2022-06-29
195,215,20,2022-06-30
196,216,20,2022-07-01
197,216,19,2022-07-02
198,217,19,2022-07-03
199,218,19,2022-07-04
200,219,19,2022-07-05
201,220,19,2022-07-06
202,220,18,2022-07-07
203,221,18,2022-07-08
204,222,18,2022-07-09
205,223,18,2022-07-10
205,224,19,2022-07-10
206,225,19,2022-07-11
207,226,19,2022-07-12
208,226,18,2022-07-13
209,227,18,2022-07-14
210,228,18,2022-07-15
210,229,19,2022-07-15
211,230,19,2022-07-16
211,231,20,2022-07-16
212,232,20,2022-07-17
213,233,20,2022-07-18
214,234,20,2022-07-19
215,235,20,2022-07-20
216,236,20,2022-07-21
217,237,20,2022-07-22
218,237,19,2022-07-23
219,237,18,2022-07-24
220,237,17,2022-07-25
221,237,16,2022-07-26
222,237,15,2022-07-27
223,237,14,2022-07-28
224,237,13,2022-07-29
225,237,12,2022-07-30
226,237,11,2022-07-31
227,237,10,2022-08-01
228,237,9,2022-08-02
229,237,8,2022-08-03
230,237,7,2022-08-04
231,237,6,2022-08-05
232,237,5,2022-08-06
233,237,4,2022-08-07
234,237,3,2022-08-08
235,238,3,2022-08-09
235,239,4,2022-08-09
235,240,5,2022-08-09
235,241,6,2022-08-09
235,242,7,2022-08-09
235,243,8,2022-08-09
235,244,9,2022-08-09
235,245,10,2022-08-09
235,246,11,2022-08-09
235,247,12,2022-08-09
235,248,13,2022-08-09
235,249,14,2022-08-09
235,250,15,2022-08-09
235,251,16,2022-08-09
235,252,17,2022-08-09
235,253,18,2022-08-09
235,254,19,2022-08-09
235,255,20,2022-08-09
236,256,20,2022-08-10
237,257,20,2022-08-11
238,258,20,2022-08-12
239,259,20,2022-08-13
240,260,20,2022-08-14
241,261,20,2022-08-15
242,262,20,2022-08-16
243,263,20,2022-08-17
244,264,20,2022-08-18
245,265,20,2022-08-19
246,266,20,2022-08-20
247,267,20,2022-08-21
248,268,20,2022-08-22
249,269,20,2022-08-23
250,270,20,2022-08-24
251,271,20,2022-08-25
252,272,20,2022-08-26
253,273,20,2022-08-27
254,274,20,2022-08-28
255,275,20,2022-08-29
256,275,19,2022-08-30
257,275,18,2022-08-31
258,275,17,2022-09-01
259,275,16,2022-09-02
260,275,15,2022-09-03
261,275,14,2022-09-04
262,275,13,2022-09-05
263,275,12,2022-09-06
264,275,11,2022-09-07
265,275,10,2022-09-08
266,275,9,2022-09-09
267,275,8,2022-09-10
268,275,7,2022-09-11
269,275,6,2022-09-12
270,275,5,2022-09-13
271,275,4,2022-09-14
272,275,3,2022-09-15
273,275,2,2022-09-16
274,275,1,2022-09-17
275,275,0,2022-09-18
276,275,-1,2022-09-19
277,275,-2,2022-09-20
278,275,-3,2022-09-21
279,275,-4,2022-09-22
280,275,-5,2022-09-23
281,275,-6,2022-09-24
282,275,-7,2022-09-25
283,275,-8,2022-09-26
284,275,-9,2022-09-27
285,275,-10,2022-09-28
286,276,-10,2022-09-29
286,277,-9,2022-09-29
286,278,-8,2022-09-29
286,279,-7,2022-09-29
287,280,-7,2022-09-30
287,281,-6,2022-09-30
287,282,-5,2022-09-30
287,283,-4,2022-09-30
288,284,-4,2022-10-01
288,285,-3,2022-10-01
288,286,-2,2022-10-01
289,287,-2,2022-10-02
289,288,-1,2022-10-02
290,289,-1,2022-10-03
290,290,0,2022-10-03
291,291,0,2022-10-04
291,292,1,2022-10-04
292,293,1,2022-10-05
292,294,2,2022-10-05
293,295,2,2022-10-06
293,296,3,2022-10-06
294,297,3,2022-10-07
294,298,4,2022-10-07
295,299,4,2022-10-08
295,300,5,2022-10-08
296,301,5,2022-10-09
296,302,6,2022-10-09
296,303,7,2022-10-09
297,304,7,2022-10-10
297,305,8,2022-10-10
297,306,9,2022-10-10
298,307,9,2022-10-11
298,308,10,2022-10-11
298,309,11,2022-10-11
298,310,12,2022-10-11
298,311,13,2022-10-11
298,312,14,2022-10-11
298,313,15,2022-10-11
298,314,16,2022-10-11
298,315,17,2022-10-11
298,316,18,2022-10-11
298,317,19,2022-10-11
298,318,20,2022-10-11
299,319,20,2022-10-12
300,320,20,2022-10-13
301,321,20,2022-10-14
302,322,20,2022-10-15
303,323,20,2022-10-16
304,324,20,2022-10-17
305,325,20,2022-10-18
306,326,20,2022-10-19
307,327,20,2022-10-20
308,328,20,2022-10-21
309,329,20,2022-10-22
310,330,20,2022-10-23
311,331,20,2022-10-24
312,332,20,2022-10-25
313,333,20,2022-10-26
314,334,20,2022-10-27
315,335,20,2022-10-28
316,336,20,2022-10-29
317,337,20,2022-10-30
318,338,20,2022-10-31
319,339,20,2022-11-01
320,340,20,2022-11-02
321,341,20,2022-11-03
322,342,20,2022-11-04
323,343,20,2022-11-05
324,344,20,2022-11-06
325,345,20,2022-11-07
326,346,20,2022-11-08
327,347,20,2022-11-09
328,348,20,2022-11-10
329,349,20,2022-11-11
330,350,20,2022-11-12
331,351,20,2022-11-13
332,352,20,2022-11-14
333,353,20,2022-11-15
334,354,20,2022-11-16
335,355,20,2022-11-17
336,356,20,2022-11-18
337,357,20,2022-11-19
338,358,20,2022-11-20
339,359,20,2022-11-21
340,360,20,2022-11-22
341,361,20,2022-11-23
342,362,20,2022-11-24
343,363,20,2022-11-25
344,364,20,2022-11-26
345,365,20,2022-11-27
346,366,20,2022-11-28
347,367,20,2022-11-29
348,368,20,2022-11-30
349,369,20,2022-12-01
350,370,20,2022-12-02
351,371,20,2022-12-03
352,372,20,2022-12-04
353,373,20,2022-12-05
354,374,20,2022-12-06
355,375,20,2022-12-07
356,376,20,2022-12-08
357,377,20,2022-12-09
358,378,20,2022-12-10
359,379,20,2022-12-11
360,380,20,2022-12-12
361,381,20,2022-12-13
362,382,20,2022-12-14
363,383,20,2022-12-15
364,384,20,2022-12-16
365,385,20,2022-12-17
366,386,20,2022-12-18
367,387,20,2022-12-19
368,388,20,2022-12-20
369,389,20,2022-12-21
370,390,20,2022-12-22
371,390,19,2022-12-23
372,390,18,2022-12-24
373,390,17,2022-12-25
374,390,16,2022-12-26
375,390,15,2022-12-27
376,390,14,2022-12-28
377,390,13,2022-12-29
378,390,12,2022-12-30
379,390,11,2022-12-31
380,390,10,2023-01-01
381,390,9,2023-01-02
382,391,9,2023-01-03
383,391,8,2023-01-04
384,392,8,2023-01-05
385,393,8,2023-01-06
385,394,9,2023-01-06
386,395,9,2023-01-07
386,396,10,2023-01-07
387,397,10,2023-01-08
387,398,11,2023-01-08
387,399,12,2023-01-08
388,400,12,2023-01-09
389,401,12,2023-01-10
389,402,13,2023-01-10
390,403,13,2023-01-11
391,404,13,2023-01-12
392,405,13,2023-01-13
392,406,14,2023-01-13
393,407,14,2023-01-14
394,408,14,2023-01-15
395,409,14,2023-01-16
396,410,14,2023-01-17
396,411,15,2023-01-17
397,412,15,2023-01-18
398,413,15,2023-01-19
398,414,16,2023-01-19
398,415,17,2023-01-19
399,416,17,2023-01-20
400,417,17,2023-01-21
401,417,16,2023-01-22
402,417,15,2023-01-23
403,417,14,2023-01-24
404,417,13,2023-01-25
405,417,12,2023-01-26
406,417,11,2023-01-27
407,417,10,2023-01-28
408,417,9,2023-01-29
409,417,8,2023-01-30
410,417,7,2023-01-31
411,417,6,2023-02-01
412,417,5,2023-02-02
413,418,5,2023-02-03
414,419,5,2023-02-04
415,420,5,2023-02-05
415,421,6,2023-02-05
416,422,6,2023-02-06
416,423,7,2023-02-06
417,424,7,2023-02-07
418,425,7,2023-02-08
419,426,7,2023-02-09
420,426,6,2023-02-10
421,427,6,2023-02-11
422,427,5,2023-02-12
423,428,5,2023-02-13
424,428,4,2023-02-14
425,428,3,2023-02-15
426,428,2,2023-02-16
427,428,1,2023-02-17
428,429,1,2023-02-18
429,429,0,2023-02-19
430,430,0,2023-02-20
431,431,0,2023-02-21
432,432,0,2023-02-22
433,433,0,2023-02-23
434,434,0,2023-02-24
435,435,0,2023-02-25
436,436,0,2023-02-26
437,437,0,2023-02-27
438,438,0,2023-02-28
439,439,0,2023-03-01
440,440,0,2023-03-02
441,441,0,2023-03-03
442,442,0,2023-03-04
443,443,0,2023-03-05
444,444,0,2023-03-06
445,445,0,2023-03-07
446,446,0,2023-03-08
447,447,0,2023-03-09
