i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,1,-2,2021-12-20
4,2,-2,2021-12-21
4,3,-1,2021-12-21
5,4,-1,2021-12-22
5,5,0,2021-12-22
6,6,0,2021-12-23
6,7,1,2021-12-23
6,8,2,2021-12-23
6,9,3,2021-12-23
7,10,3,2021-12-24
8,11,3,2021-12-25
9,11,2,2021-12-26
10,11,1,2021-12-27
11,11,0,2021-12-28
12,11,-1,2021-12-29
13,11,-2,2021-12-30
14,11,-3,2021-12-31
15,11,-4,2022-01-01
16,11,-5,2022-01-02
17,11,-6,2022-01-03
18,11,-7,2022-01-04
19,11,-8,2022-01-05
20,11,-9,2022-01-06
21,11,-10,2022-01-07
22,11,-11,2022-01-08
23,11,-12,2022-01-09
24,11,-13,2022-01-10
25,11,-14,2022-01-11
26,11,-15,2022-01-12
27,11,-16,2022-01-13
28,11,-17,2022-01-14
29,11,-18,2022-01-15
30,11,-19,2022-01-16
31,11,-20,2022-01-17
32,12,-20,2022-01-18
33,13,-20,2022-01-19
34,14,-20,2022-01-20
35,15,-20,2022-01-21
36,16,-20,2022-01-22
37,17,-20,2022-01-23
38,18,-20,2022-01-24
39,19,-20,2022-01-25
40,20,-20,2022-01-26
41,21,-20,2022-01-27
42,22,-20,2022-01-28
43,23,-20,2022-01-29
44,24,-20,2022-01-30
45,25,-20,2022-01-31
46,26,-20,2022-02-01
47,27,-20,2022-02-02
48,28,-20,2022-02-03
49,29,-20,2022-02-04
50,30,-20,2022-02-05
51,31,-20,2022-02-06
52,32,-20,2022-02-07
53,33,-20,2022-02-08
54,34,-20,2022-02-09
55,35,-20,2022-02-10
56,36,-20,2022-02-11
57,37,-20,2022-02-12
58,38,-20,2022-02-13
59,39,-20,2022-02-14
60,40,-20,2022-02-15
61,41,-20,2022-02-16
62,42,-20,2022-02-17
63,43,-20,2022-02-18
64,44,-20,2022-02-19
65,45,-20,2022-02-20
66,46,-20,2022-02-21
67,47,-20,2022-02-22
68,48,-20,2022-02-23
69,49,-20,2022-02-24
70,50,-20,2022-02-25
71,51,-20,2022-02-26
72,52,-20,2022-02-27
73,53,-20,2022-02-28
74,54,-20,2022-03-01
74,55,-19,2022-03-01
74,56,-18,2022-03-01
74,57,-17,2022-03-01
74,58,-16,2022-03-01
74,59,-15,2022-03-01
74,60,-14,2022-03-01
74,61,-13,2022-03-01
74,62,-12,2022-03-01
74,63,-11,2022-03-01
74,64,-10,2022-03-01
74,65,-9,2022-03-01
74,66,-8,2022-03-01
74,67,-7,2022-03-01
74,68,-6,2022-03-01
74,69,-5,2022-03-01
74,70,-4,2022-03-01
74,71,-3,2022-03-01
74,72,-2,2022-03-01
74,73,-1,2022-03-01
74,74,0,2022-03-01
74,75,1,2022-03-01
74,76,2,2022-03-01
74,77,3,2022-03-01
74,78,4,2022-03-01
74,79,5,2022-03-01
74,80,6,2022-03-01
74,81,7,2022-03-01
74,82,8,2022-03-01
74,83,9,2022-03-01
74,84,10,2022-03-01
74,85,11,2022-03-01
74,86,12,2022-03-01
74,87,13,2022-03-01
74,88,14,2022-03-01
74,89,15,2022-03-01
74,90,16,2022-03-01
74,91,17,2022-03-01
74,92,18,2022-03-01
74,93,19,2022-03-01
74,94,20,2022-03-01
75,95,20,2022-03-02
76,96,20,2022-03-03
77,97,20,2022-03-04
78,98,20,2022-03-05
79,99,20,2022-03-06
80,100,20,2022-03-07
81,101,20,2022-03-08
82,102,20,2022-03-09
83,103,20,2022-03-10
84,104,20,2022-03-11
85,105,20,2022-03-12
86,106,20,2022-03-13
87,107,20,2022-03-14
88,108,20,2022-03-15
89,109,20,2022-03-16
90,110,20,2022-03-17
91,111,20,2022-03-18
92,112,20,2022-03-19
93,113,20,2022-03-20
94,114,20,2022-03-21
95,115,20,2022-03-22
96,116,20,2022-03-23
97,117,20,2022-03-24
98,118,20,2022-03-25
99,119,20,2022-03-26
100,120,20,2022-03-27
101,121,20,2022-03-28
102,122,20,2022-03-29
103,123,20,2022-03-30
104,124,20,2022-03-31
105,124,19,2022-04-01
106,124,18,2022-04-02
107,124,17,2022-04-03
108,124,16,2022-04-04
109,124,15,2022-04-05
110,124,14,2022-04-06
111,124,13,2022-04-07
112,124,12,2022-04-08
113,124,11,2022-04-09
114,124,10,2022-04-10
115,124,9,2022-04-11
116,124,8,2022-04-12
117,124,7,2022-04-13
118,124,6,2022-04-14
119,124,5,2022-04-15
120,124,4,2022-04-16
121,124,3,2022-04-17
122,124,2,2022-04-18
123,124,1,2022-04-19
124,124,0,2022-04-20
125,124,-1,2022-04-21
126,124,-2,2022-04-22
127,124,-3,2022-04-23
128,124,-4,2022-04-24
129,124,-5,2022-04-25
130,124,-6,2022-04-26
131,124,-7,2022-04-27
132,124,-8,2022-04-28
133,124,-9,2022-04-29
