DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,-1.0
2021-12-30,-2.0
2021-12-31,-3.0
2022-01-01,-4.0
2022-01-02,-5.0
2022-01-03,-6.0
2022-01-04,-7.0
2022-01-05,-8.0
2022-01-06,-9.0
2022-01-07,-10.0
2022-01-08,-11.0
2022-01-09,-12.0
2022-01-10,-13.0
2022-01-11,-14.0
2022-01-12,-15.0
2022-01-13,-16.0
2022-01-14,-17.0
2022-01-15,-18.0
2022-01-16,-19.0
2022-01-17,-20.0
2022-01-18,-20.0
2022-01-19,-20.0
2022-01-20,-20.0
2022-01-21,-20.0
2022-01-22,-20.0
2022-01-23,-20.0
2022-01-24,-20.0
2022-01-25,-20.0
2022-01-26,-20.0
2022-01-27,-20.0
2022-01-28,-20.0
2022-01-29,-20.0
2022-01-30,-20.0
2022-01-31,-20.0
2022-02-01,-20.0
2022-02-02,-20.0
2022-02-03,-20.0
2022-02-04,-20.0
2022-02-05,-20.0
2022-02-06,-20.0
2022-02-07,-20.0
2022-02-08,-20.0
2022-02-09,-20.0
2022-02-10,-20.0
2022-02-11,-20.0
2022-02-12,-20.0
2022-02-13,-20.0
2022-02-14,-20.0
2022-02-15,-20.0
2022-02-16,-20.0
2022-02-17,-20.0
2022-02-18,-20.0
2022-02-19,-20.0
2022-02-20,-20.0
2022-02-21,-20.0
2022-02-22,-20.0
2022-02-23,-20.0
2022-02-24,-20.0
2022-02-25,-20.0
2022-02-26,-20.0
2022-02-27,-20.0
2022-02-28,-20.0
2022-03-01,-20.0
2022-03-02,-20.0
2022-03-03,-20.0
2022-03-04,-6.5
2022-03-05,8.0
2022-03-06,9.0
2022-03-07,9.5
2022-03-08,10.0
2022-03-09,10.0
2022-03-10,10.0
2022-03-11,10.0
2022-03-12,10.0
2022-03-13,10.0
2022-03-14,10.0
2022-03-15,10.0
2022-03-16,10.0
2022-03-17,9.0
2022-03-18,9.0
2022-03-19,9.0
2022-03-20,8.0
2022-03-21,8.0
2022-03-22,8.0
2022-03-23,7.0
2022-03-24,7.0
2022-03-25,7.0
2022-03-26,7.0
2022-03-27,6.0
2022-03-28,5.0
2022-03-29,4.0
2022-03-30,3.0
2022-03-31,2.0
2022-04-01,1.0
2022-04-02,0.0
2022-04-03,-1.0
2022-04-04,-2.0
2022-04-05,-3.0
2022-04-06,-4.0
2022-04-07,-5.0
2022-04-08,-6.0
2022-04-09,-7.0
2022-04-10,-8.0
2022-04-11,-9.0
2022-04-12,-10.0
2022-04-13,-11.0
2022-04-14,-12.0
2022-04-15,-13.0
2022-04-16,-13.0
2022-04-17,-13.0
2022-04-18,-13.0
2022-04-19,-14.0
2022-04-20,-14.0
2022-04-21,-15.0
2022-04-22,-15.0
2022-04-23,-16.0
2022-04-24,-16.0
2022-04-25,-16.0
2022-04-26,-17.0
2022-04-27,-17.0
2022-04-28,-17.0
2022-04-29,-18.0
2022-04-30,-18.0
2022-05-01,-18.0
2022-05-02,-18.0
2022-05-03,-18.0
2022-05-04,-18.0
2022-05-05,-18.0
2022-05-06,-18.0
2022-05-07,1.0
2022-05-08,20.0
2022-05-09,20.0
2022-05-10,20.0
2022-05-11,20.0
2022-05-12,20.0
2022-05-13,20.0
2022-05-14,20.0
2022-05-15,20.0
2022-05-16,20.0
2022-05-17,20.0
2022-05-18,20.0
2022-05-19,20.0
2022-05-20,20.0
2022-05-21,20.0
2022-05-22,20.0
2022-05-23,20.0
2022-05-24,20.0
2022-05-25,20.0
2022-05-26,20.0
2022-05-27,20.0
2022-05-28,20.0
2022-05-29,20.0
2022-05-30,20.0
2022-05-31,20.0
2022-06-01,20.0
2022-06-02,20.0
2022-06-03,20.0
2022-06-04,20.0
2022-06-05,20.0
2022-06-06,20.0
2022-06-07,20.0
2022-06-08,20.0
2022-06-09,20.0
2022-06-10,20.0
2022-06-11,20.0
2022-06-12,20.0
2022-06-13,20.0
2022-06-14,20.0
2022-06-15,20.0
2022-06-16,20.0
2022-06-17,20.0
2022-06-18,20.0
2022-06-19,20.0
2022-06-20,20.0
2022-06-21,20.0
2022-06-22,20.0
2022-06-23,20.0
2022-06-24,20.0
2022-06-25,20.0
2022-06-26,20.0
2022-06-27,20.0
2022-06-28,19.0
2022-06-29,18.0
2022-06-30,17.0
2022-07-01,16.0
2022-07-02,15.0
2022-07-03,14.0
2022-07-04,13.0
2022-07-05,12.0
2022-07-06,11.0
2022-07-07,10.0
