i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,1,0,2021-12-18
2,2,0,2021-12-19
3,3,0,2021-12-20
4,4,0,2021-12-21
5,5,0,2021-12-22
6,6,0,2021-12-23
7,7,0,2021-12-24
8,8,0,2021-12-25
9,9,0,2021-12-26
10,10,0,2021-12-27
11,11,0,2021-12-28
12,12,0,2021-12-29
13,13,0,2021-12-30
14,13,-1,2021-12-31
15,13,-2,2022-01-01
16,13,-3,2022-01-02
17,13,-4,2022-01-03
18,13,-5,2022-01-04
19,13,-6,2022-01-05
20,13,-7,2022-01-06
21,13,-8,2022-01-07
22,13,-9,2022-01-08
23,13,-10,2022-01-09
24,13,-11,2022-01-10
25,13,-12,2022-01-11
26,13,-13,2022-01-12
27,13,-14,2022-01-13
28,13,-15,2022-01-14
29,13,-16,2022-01-15
30,13,-17,2022-01-16
31,13,-18,2022-01-17
32,13,-19,2022-01-18
33,13,-20,2022-01-19
34,14,-20,2022-01-20
35,15,-20,2022-01-21
36,16,-20,2022-01-22
37,17,-20,2022-01-23
38,18,-20,2022-01-24
39,19,-20,2022-01-25
40,20,-20,2022-01-26
41,21,-20,2022-01-27
42,22,-20,2022-01-28
43,23,-20,2022-01-29
44,24,-20,2022-01-30
45,25,-20,2022-01-31
46,26,-20,2022-02-01
47,27,-20,2022-02-02
48,28,-20,2022-02-03
49,29,-20,2022-02-04
50,30,-20,2022-02-05
51,31,-20,2022-02-06
52,32,-20,2022-02-07
53,33,-20,2022-02-08
54,34,-20,2022-02-09
55,35,-20,2022-02-10
56,36,-20,2022-02-11
57,37,-20,2022-02-12
58,38,-20,2022-02-13
59,39,-20,2022-02-14
60,40,-20,2022-02-15
61,41,-20,2022-02-16
62,42,-20,2022-02-17
63,43,-20,2022-02-18
64,44,-20,2022-02-19
65,45,-20,2022-02-20
66,46,-20,2022-02-21
67,47,-20,2022-02-22
68,48,-20,2022-02-23
69,49,-20,2022-02-24
70,50,-20,2022-02-25
71,51,-20,2022-02-26
72,52,-20,2022-02-27
73,53,-20,2022-02-28
74,54,-20,2022-03-01
75,55,-20,2022-03-02
76,56,-20,2022-03-03
77,57,-20,2022-03-04
78,58,-20,2022-03-05
79,59,-20,2022-03-06
80,60,-20,2022-03-07
81,61,-20,2022-03-08
82,62,-20,2022-03-09
83,63,-20,2022-03-10
84,64,-20,2022-03-11
84,65,-19,2022-03-11
84,66,-18,2022-03-11
84,67,-17,2022-03-11
84,68,-16,2022-03-11
84,69,-15,2022-03-11
84,70,-14,2022-03-11
84,71,-13,2022-03-11
84,72,-12,2022-03-11
84,73,-11,2022-03-11
84,74,-10,2022-03-11
84,75,-9,2022-03-11
84,76,-8,2022-03-11
84,77,-7,2022-03-11
84,78,-6,2022-03-11
84,79,-5,2022-03-11
84,80,-4,2022-03-11
84,81,-3,2022-03-11
84,82,-2,2022-03-11
84,83,-1,2022-03-11
84,84,0,2022-03-11
84,85,1,2022-03-11
84,86,2,2022-03-11
84,87,3,2022-03-11
84,88,4,2022-03-11
84,89,5,2022-03-11
84,90,6,2022-03-11
84,91,7,2022-03-11
84,92,8,2022-03-11
84,93,9,2022-03-11
84,94,10,2022-03-11
84,95,11,2022-03-11
84,96,12,2022-03-11
84,97,13,2022-03-11
84,98,14,2022-03-11
84,99,15,2022-03-11
84,100,16,2022-03-11
84,101,17,2022-03-11
84,102,18,2022-03-11
84,103,19,2022-03-11
84,104,20,2022-03-11
85,105,20,2022-03-12
86,106,20,2022-03-13
87,107,20,2022-03-14
88,108,20,2022-03-15
89,109,20,2022-03-16
90,110,20,2022-03-17
91,111,20,2022-03-18
92,112,20,2022-03-19
93,113,20,2022-03-20
94,114,20,2022-03-21
95,115,20,2022-03-22
96,116,20,2022-03-23
97,117,20,2022-03-24
98,118,20,2022-03-25
99,119,20,2022-03-26
100,120,20,2022-03-27
101,121,20,2022-03-28
102,122,20,2022-03-29
103,123,20,2022-03-30
104,124,20,2022-03-31
105,125,20,2022-04-01
106,126,20,2022-04-02
107,127,20,2022-04-03
108,128,20,2022-04-04
109,129,20,2022-04-05
110,130,20,2022-04-06
111,131,20,2022-04-07
112,132,20,2022-04-08
113,133,20,2022-04-09
114,134,20,2022-04-10
115,135,20,2022-04-11
116,136,20,2022-04-12
117,137,20,2022-04-13
118,138,20,2022-04-14
119,139,20,2022-04-15
120,140,20,2022-04-16
121,141,20,2022-04-17
122,142,20,2022-04-18
123,143,20,2022-04-19
124,144,20,2022-04-20
125,145,20,2022-04-21
126,146,20,2022-04-22
127,147,20,2022-04-23
128,148,20,2022-04-24
129,149,20,2022-04-25
130,150,20,2022-04-26
131,151,20,2022-04-27
132,152,20,2022-04-28
133,153,20,2022-04-29
134,154,20,2022-04-30
135,155,20,2022-05-01
136,156,20,2022-05-02
137,157,20,2022-05-03
138,158,20,2022-05-04
139,159,20,2022-05-05
140,160,20,2022-05-06
141,161,20,2022-05-07
142,162,20,2022-05-08
143,163,20,2022-05-09
144,164,20,2022-05-10
145,164,19,2022-05-11
146,165,19,2022-05-12
147,165,18,2022-05-13
148,165,17,2022-05-14
149,166,17,2022-05-15
150,166,16,2022-05-16
151,166,15,2022-05-17
152,167,15,2022-05-18
153,167,14,2022-05-19
154,167,13,2022-05-20
155,168,13,2022-05-21
156,168,12,2022-05-22
157,169,12,2022-05-23
158,169,11,2022-05-24
159,169,10,2022-05-25
160,170,10,2022-05-26
161,170,9,2022-05-27
162,170,8,2022-05-28
163,171,8,2022-05-29
164,171,7,2022-05-30
165,171,6,2022-05-31
166,172,6,2022-06-01
167,172,5,2022-06-02
168,172,4,2022-06-03
169,172,3,2022-06-04
170,173,3,2022-06-05
171,173,2,2022-06-06
172,173,1,2022-06-07
173,173,0,2022-06-08
174,173,-1,2022-06-09
175,174,-1,2022-06-10
176,174,-2,2022-06-11
177,174,-3,2022-06-12
178,174,-4,2022-06-13
179,174,-5,2022-06-14
180,174,-6,2022-06-15
181,174,-7,2022-06-16
182,175,-7,2022-06-17
183,176,-7,2022-06-18
184,177,-7,2022-06-19
184,178,-6,2022-06-19
184,179,-5,2022-06-19
184,180,-4,2022-06-19
184,181,-3,2022-06-19
184,182,-2,2022-06-19
184,183,-1,2022-06-19
184,184,0,2022-06-19
184,185,1,2022-06-19
184,186,2,2022-06-19
184,187,3,2022-06-19
184,188,4,2022-06-19
184,189,5,2022-06-19
184,190,6,2022-06-19
184,191,7,2022-06-19
184,192,8,2022-06-19
184,193,9,2022-06-19
184,194,10,2022-06-19
184,195,11,2022-06-19
184,196,12,2022-06-19
184,197,13,2022-06-19
184,198,14,2022-06-19
184,199,15,2022-06-19
184,200,16,2022-06-19
184,201,17,2022-06-19
184,202,18,2022-06-19
184,203,19,2022-06-19
184,204,20,2022-06-19
185,205,20,2022-06-20
186,206,20,2022-06-21
187,207,20,2022-06-22
188,208,20,2022-06-23
189,209,20,2022-06-24
190,210,20,2022-06-25
191,211,20,2022-06-26
192,212,20,2022-06-27
193,213,20,2022-06-28
194,214,20,2022-06-29
195,215,20,2022-06-30
196,216,20,2022-07-01
197,217,20,2022-07-02
198,218,20,2022-07-03
199,219,20,2022-07-04
200,220,20,2022-07-05
201,221,20,2022-07-06
202,222,20,2022-07-07
203,223,20,2022-07-08
204,224,20,2022-07-09
205,225,20,2022-07-10
206,226,20,2022-07-11
207,227,20,2022-07-12
208,228,20,2022-07-13
209,229,20,2022-07-14
210,230,20,2022-07-15
211,231,20,2022-07-16
212,232,20,2022-07-17
213,233,20,2022-07-18
214,234,20,2022-07-19
215,235,20,2022-07-20
216,236,20,2022-07-21
217,237,20,2022-07-22
218,238,20,2022-07-23
219,239,20,2022-07-24
220,240,20,2022-07-25
221,241,20,2022-07-26
222,242,20,2022-07-27
223,243,20,2022-07-28
224,244,20,2022-07-29
225,245,20,2022-07-30
226,246,20,2022-07-31
227,247,20,2022-08-01
228,248,20,2022-08-02
229,249,20,2022-08-03
230,250,20,2022-08-04
231,251,20,2022-08-05
232,252,20,2022-08-06
233,253,20,2022-08-07
234,254,20,2022-08-08
235,255,20,2022-08-09
236,256,20,2022-08-10
237,257,20,2022-08-11
238,258,20,2022-08-12
239,258,19,2022-08-13
240,258,18,2022-08-14
241,258,17,2022-08-15
242,258,16,2022-08-16
243,258,15,2022-08-17
244,258,14,2022-08-18
245,258,13,2022-08-19
246,258,12,2022-08-20
247,258,11,2022-08-21
248,258,10,2022-08-22
249,258,9,2022-08-23
250,258,8,2022-08-24
251,258,7,2022-08-25
252,258,6,2022-08-26
253,258,5,2022-08-27
254,258,4,2022-08-28
255,258,3,2022-08-29
256,258,2,2022-08-30
257,258,1,2022-08-31
258,258,0,2022-09-01
259,258,-1,2022-09-02
260,258,-2,2022-09-03
261,258,-3,2022-09-04
262,258,-4,2022-09-05
263,258,-5,2022-09-06
264,258,-6,2022-09-07
265,258,-7,2022-09-08
266,258,-8,2022-09-09
267,258,-9,2022-09-10
268,258,-10,2022-09-11
269,258,-11,2022-09-12
270,258,-12,2022-09-13
271,258,-13,2022-09-14
272,258,-14,2022-09-15
273,258,-15,2022-09-16
274,258,-16,2022-09-17
275,258,-17,2022-09-18
276,258,-18,2022-09-19
277,258,-19,2022-09-20
278,258,-20,2022-09-21
279,259,-20,2022-09-22
280,260,-20,2022-09-23
281,261,-20,2022-09-24
282,262,-20,2022-09-25
283,263,-20,2022-09-26
284,264,-20,2022-09-27
285,265,-20,2022-09-28
286,266,-20,2022-09-29
287,267,-20,2022-09-30
288,268,-20,2022-10-01
289,269,-20,2022-10-02
290,270,-20,2022-10-03
291,271,-20,2022-10-04
292,272,-20,2022-10-05
293,273,-20,2022-10-06
294,274,-20,2022-10-07
295,275,-20,2022-10-08
296,276,-20,2022-10-09
297,277,-20,2022-10-10
298,278,-20,2022-10-11
299,279,-20,2022-10-12
300,280,-20,2022-10-13
301,281,-20,2022-10-14
302,282,-20,2022-10-15
303,283,-20,2022-10-16
304,284,-20,2022-10-17
305,285,-20,2022-10-18
306,286,-20,2022-10-19
307,287,-20,2022-10-20
308,288,-20,2022-10-21
309,289,-20,2022-10-22
310,290,-20,2022-10-23
311,291,-20,2022-10-24
312,292,-20,2022-10-25
313,293,-20,2022-10-26
314,294,-20,2022-10-27
315,295,-20,2022-10-28
316,296,-20,2022-10-29
317,297,-20,2022-10-30
318,298,-20,2022-10-31
319,299,-20,2022-11-01
320,300,-20,2022-11-02
321,301,-20,2022-11-03
322,302,-20,2022-11-04
323,303,-20,2022-11-05
324,304,-20,2022-11-06
325,305,-20,2022-11-07
326,306,-20,2022-11-08
327,307,-20,2022-11-09
328,308,-20,2022-11-10
329,309,-20,2022-11-11
330,310,-20,2022-11-12
331,311,-20,2022-11-13
332,312,-20,2022-11-14
333,313,-20,2022-11-15
334,314,-20,2022-11-16
335,315,-20,2022-11-17
336,316,-20,2022-11-18
337,317,-20,2022-11-19
338,318,-20,2022-11-20
339,319,-20,2022-11-21
340,320,-20,2022-11-22
341,321,-20,2022-11-23
342,322,-20,2022-11-24
343,323,-20,2022-11-25
344,324,-20,2022-11-26
345,325,-20,2022-11-27
346,326,-20,2022-11-28
347,327,-20,2022-11-29
348,328,-20,2022-11-30
349,329,-20,2022-12-01
350,330,-20,2022-12-02
351,331,-20,2022-12-03
352,332,-20,2022-12-04
353,333,-20,2022-12-05
354,334,-20,2022-12-06
355,335,-20,2022-12-07
356,336,-20,2022-12-08
357,337,-20,2022-12-09
358,338,-20,2022-12-10
359,339,-20,2022-12-11
360,340,-20,2022-12-12
361,341,-20,2022-12-13
362,342,-20,2022-12-14
363,343,-20,2022-12-15
364,344,-20,2022-12-16
365,345,-20,2022-12-17
366,346,-20,2022-12-18
367,347,-20,2022-12-19
368,348,-20,2022-12-20
369,349,-20,2022-12-21
370,350,-20,2022-12-22
371,351,-20,2022-12-23
372,352,-20,2022-12-24
373,353,-20,2022-12-25
374,354,-20,2022-12-26
375,355,-20,2022-12-27
376,356,-20,2022-12-28
377,357,-20,2022-12-29
378,358,-20,2022-12-30
379,359,-20,2022-12-31
380,360,-20,2023-01-01
381,361,-20,2023-01-02
382,362,-20,2023-01-03
383,363,-20,2023-01-04
384,364,-20,2023-01-05
385,365,-20,2023-01-06
386,366,-20,2023-01-07
387,367,-20,2023-01-08
388,368,-20,2023-01-09
389,369,-20,2023-01-10
390,370,-20,2023-01-11
391,371,-20,2023-01-12
392,372,-20,2023-01-13
393,373,-20,2023-01-14
394,374,-20,2023-01-15
395,375,-20,2023-01-16
396,376,-20,2023-01-17
397,377,-20,2023-01-18
398,378,-20,2023-01-19
399,379,-20,2023-01-20
400,380,-20,2023-01-21
401,381,-20,2023-01-22
402,382,-20,2023-01-23
403,383,-20,2023-01-24
404,384,-20,2023-01-25
405,385,-20,2023-01-26
406,386,-20,2023-01-27
406,387,-19,2023-01-27
406,388,-18,2023-01-27
406,389,-17,2023-01-27
406,390,-16,2023-01-27
406,391,-15,2023-01-27
406,392,-14,2023-01-27
406,393,-13,2023-01-27
406,394,-12,2023-01-27
406,395,-11,2023-01-27
406,396,-10,2023-01-27
406,397,-9,2023-01-27
406,398,-8,2023-01-27
406,399,-7,2023-01-27
406,400,-6,2023-01-27
406,401,-5,2023-01-27
406,402,-4,2023-01-27
406,403,-3,2023-01-27
406,404,-2,2023-01-27
406,405,-1,2023-01-27
406,406,0,2023-01-27
407,407,0,2023-01-28
408,408,0,2023-01-29
409,409,0,2023-01-30
410,410,0,2023-01-31
411,411,0,2023-02-01
412,412,0,2023-02-02
412,413,1,2023-02-02
413,414,1,2023-02-03
413,415,2,2023-02-03
414,416,2,2023-02-04
415,416,1,2023-02-05
416,416,0,2023-02-06
417,417,0,2023-02-07
418,418,0,2023-02-08
419,419,0,2023-02-09
420,420,0,2023-02-10
421,421,0,2023-02-11
422,422,0,2023-02-12
423,423,0,2023-02-13
424,424,0,2023-02-14
425,425,0,2023-02-15
426,426,0,2023-02-16
427,427,0,2023-02-17
428,428,0,2023-02-18
429,429,0,2023-02-19
430,430,0,2023-02-20
431,431,0,2023-02-21
432,432,0,2023-02-22
433,433,0,2023-02-23
434,434,0,2023-02-24
435,435,0,2023-02-25
436,436,0,2023-02-26
437,437,0,2023-02-27
438,438,0,2023-02-28
439,439,0,2023-03-01
440,440,0,2023-03-02
441,441,0,2023-03-03
442,442,0,2023-03-04
443,443,0,2023-03-05
444,444,0,2023-03-06
445,445,0,2023-03-07
446,446,0,2023-03-08
447,447,0,2023-03-09
