DATE,lag_days
2021-12-17,0.5
2021-12-18,1.0
2021-12-19,1.0
2021-12-20,1.0
2021-12-21,1.0
2021-12-22,1.0
2021-12-23,1.0
2021-12-24,5.0
2021-12-25,9.0
2021-12-26,8.0
2021-12-27,7.0
2021-12-28,6.0
2021-12-29,5.0
2021-12-30,4.0
2021-12-31,3.0
2022-01-01,2.0
2022-01-02,1.0
2022-01-03,1.0
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,0.0
2022-01-08,-1.0
2022-01-09,-2.0
2022-01-10,-3.0
2022-01-11,-4.0
2022-01-12,-5.0
2022-01-13,-6.0
2022-01-14,-7.0
2022-01-15,-8.0
2022-01-16,-9.0
2022-01-17,-9.0
2022-01-18,-10.0
2022-01-19,-11.0
2022-01-20,-12.0
2022-01-21,-13.0
2022-01-22,-14.0
2022-01-23,-15.0
2022-01-24,-16.0
2022-01-25,-17.0
2022-01-26,-18.0
2022-01-27,-19.0
2022-01-28,-20.0
2022-01-29,-20.0
2022-01-30,-20.0
2022-01-31,-20.0
2022-02-01,-20.0
2022-02-02,-20.0
2022-02-03,-20.0
2022-02-04,-20.0
2022-02-05,-20.0
2022-02-06,-20.0
2022-02-07,-20.0
2022-02-08,-20.0
2022-02-09,-20.0
2022-02-10,-20.0
2022-02-11,-20.0
2022-02-12,-20.0
2022-02-13,-20.0
2022-02-14,-20.0
2022-02-15,-20.0
2022-02-16,-20.0
2022-02-17,-20.0
2022-02-18,-19.0
2022-02-19,-3.5
2022-02-20,11.0
2022-02-21,11.0
2022-02-22,10.0
2022-02-23,10.0
2022-02-24,10.0
2022-02-25,10.0
2022-02-26,10.0
2022-02-27,9.0
2022-02-28,8.0
2022-03-01,7.0
2022-03-02,6.0
2022-03-03,5.0
2022-03-04,4.0
2022-03-05,3.0
2022-03-06,2.0
2022-03-07,1.0
2022-03-08,0.0
2022-03-09,-1.0
2022-03-10,-2.0
2022-03-11,-3.0
2022-03-12,-4.0
2022-03-13,-5.0
2022-03-14,-6.0
2022-03-15,-7.0
2022-03-16,-8.0
2022-03-17,-9.0
2022-03-18,-10.0
2022-03-19,-11.0
2022-03-20,-12.0
2022-03-21,-13.0
2022-03-22,-14.0
2022-03-23,-15.0
2022-03-24,-15.0
2022-03-25,-12.0
2022-03-26,-9.0
2022-03-27,-9.0
2022-03-28,-9.0
