DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,10.0
2021-12-25,20.0
2021-12-26,20.0
2021-12-27,20.0
2021-12-28,20.0
2021-12-29,20.0
2021-12-30,20.0
2021-12-31,20.0
2022-01-01,20.0
2022-01-02,20.0
2022-01-03,20.0
2022-01-04,20.0
2022-01-05,20.0
2022-01-06,20.0
2022-01-07,20.0
2022-01-08,20.0
2022-01-09,20.0
2022-01-10,20.0
2022-01-11,19.0
2022-01-12,18.0
2022-01-13,17.0
2022-01-14,16.0
2022-01-15,15.0
2022-01-16,14.0
2022-01-17,13.0
2022-01-18,12.0
2022-01-19,11.0
2022-01-20,10.0
2022-01-21,9.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,4.0
2022-01-27,3.0
2022-01-28,2.0
2022-01-29,1.0
2022-01-30,0.0
2022-01-31,-1.0
2022-02-01,-2.0
2022-02-02,-3.0
2022-02-03,-4.0
2022-02-04,-5.0
2022-02-05,-6.0
2022-02-06,-7.0
2022-02-07,-8.0
2022-02-08,-9.0
2022-02-09,-10.0
2022-02-10,-10.0
2022-02-11,-11.0
2022-02-12,-12.0
2022-02-13,-13.0
2022-02-14,-14.0
2022-02-15,-14.0
2022-02-16,-9.5
2022-02-17,-5.0
2022-02-18,-5.0
2022-02-19,-6.0
2022-02-20,-7.0
2022-02-21,-8.0
2022-02-22,-9.0
2022-02-23,-10.0
2022-02-24,-11.0
2022-02-25,-11.0
2022-02-26,-11.0
2022-02-27,-12.0
2022-02-28,-13.0
2022-03-01,-14.0
2022-03-02,-15.0
2022-03-03,-16.0
2022-03-04,-16.0
2022-03-05,-16.0
2022-03-06,-16.0
2022-03-07,-16.0
2022-03-08,-16.0
2022-03-09,-16.0
2022-03-10,-8.5
2022-03-11,-1.0
2022-03-12,-1.0
2022-03-13,-1.0
2022-03-14,-2.0
2022-03-15,-2.0
2022-03-16,-1.5
2022-03-17,-1.0
2022-03-18,-2.0
2022-03-19,-3.0
2022-03-20,-4.0
2022-03-21,-5.0
2022-03-22,-6.0
2022-03-23,-7.0
2022-03-24,-8.0
2022-03-25,-9.0
2022-03-26,-10.0
2022-03-27,-11.0
2022-03-28,-12.0
2022-03-29,-13.0
2022-03-30,-14.0
2022-03-31,-15.0
2022-04-01,-16.0
2022-04-02,-17.0
2022-04-03,-18.0
2022-04-04,-18.0
2022-04-05,-18.0
2022-04-06,-18.0
2022-04-07,-18.0
2022-04-08,-18.0
2022-04-09,-18.0
2022-04-10,-18.0
2022-04-11,-18.0
2022-04-12,-18.0
2022-04-13,-18.0
2022-04-14,-17.5
2022-04-15,-17.0
2022-04-16,-17.0
2022-04-17,-17.0
2022-04-18,-17.0
2022-04-19,-17.0
2022-04-20,-17.0
2022-04-21,-17.0
2022-04-22,-17.0
2022-04-23,-17.0
2022-04-24,-17.0
2022-04-25,-17.0
2022-04-26,-16.5
2022-04-27,-16.0
2022-04-28,-16.0
2022-04-29,-16.0
2022-04-30,-17.0
2022-05-01,-18.0
2022-05-02,-19.0
2022-05-03,-20.0
2022-05-04,-20.0
2022-05-05,-20.0
2022-05-06,-20.0
2022-05-07,-20.0
2022-05-08,-20.0
2022-05-09,-20.0
2022-05-10,-20.0
2022-05-11,-20.0
2022-05-12,-20.0
2022-05-13,-20.0
2022-05-14,-18.5
2022-05-15,-17.0
2022-05-16,-17.0
2022-05-17,-10.0
2022-05-18,-3.0
2022-05-19,-3.0
2022-05-20,3.0
2022-05-21,9.0
2022-05-22,9.0
2022-05-23,8.0
2022-05-24,7.0
2022-05-25,6.0
2022-05-26,5.0
2022-05-27,4.0
2022-05-28,3.0
2022-05-29,2.0
2022-05-30,1.0
2022-05-31,0.0
2022-06-01,-1.0
2022-06-02,-2.0
2022-06-03,-3.0
2022-06-04,-3.0
2022-06-05,-3.0
2022-06-06,-4.0
2022-06-07,-5.0
2022-06-08,-6.0
2022-06-09,-7.0
2022-06-10,-8.0
2022-06-11,-9.0
2022-06-12,-10.0
2022-06-13,-11.0
2022-06-14,-12.0
2022-06-15,-13.0
2022-06-16,-14.0
2022-06-17,-15.0
2022-06-18,-16.0
2022-06-19,-17.0
2022-06-20,-18.0
2022-06-21,-19.0
2022-06-22,-20.0
2022-06-23,-20.0
2022-06-24,-20.0
2022-06-25,-18.5
2022-06-26,-17.0
2022-06-27,-17.0
2022-06-28,-17.0
2022-06-29,-17.0
2022-06-30,-17.0
2022-07-01,-2.0
2022-07-02,13.0
2022-07-03,13.0
