i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
0,1,1,2021-12-17
1,2,1,2021-12-18
2,2,0,2021-12-19
3,2,-1,2021-12-20
4,2,-2,2021-12-21
5,2,-3,2021-12-22
6,2,-4,2021-12-23
7,2,-5,2021-12-24
8,2,-6,2021-12-25
9,2,-7,2021-12-26
10,2,-8,2021-12-27
11,2,-9,2021-12-28
12,2,-10,2021-12-29
13,3,-10,2021-12-30
14,4,-10,2021-12-31
14,5,-9,2021-12-31
14,6,-8,2021-12-31
14,7,-7,2021-12-31
14,8,-6,2021-12-31
14,9,-5,2021-12-31
14,10,-4,2021-12-31
14,11,-3,2021-12-31
15,12,-3,2022-01-01
16,12,-4,2022-01-02
17,13,-4,2022-01-03
17,14,-3,2022-01-03
17,15,-2,2022-01-03
17,16,-1,2022-01-03
17,17,0,2022-01-03
17,18,1,2022-01-03
17,19,2,2022-01-03
17,20,3,2022-01-03
17,21,4,2022-01-03
17,22,5,2022-01-03
17,23,6,2022-01-03
17,24,7,2022-01-03
17,25,8,2022-01-03
17,26,9,2022-01-03
17,27,10,2022-01-03
17,28,11,2022-01-03
17,29,12,2022-01-03
17,30,13,2022-01-03
17,31,14,2022-01-03
17,32,15,2022-01-03
17,33,16,2022-01-03
17,34,17,2022-01-03
17,35,18,2022-01-03
17,36,19,2022-01-03
17,37,20,2022-01-03
18,38,20,2022-01-04
19,39,20,2022-01-05
20,40,20,2022-01-06
21,41,20,2022-01-07
22,42,20,2022-01-08
23,43,20,2022-01-09
24,44,20,2022-01-10
25,45,20,2022-01-11
26,46,20,2022-01-12
27,47,20,2022-01-13
28,48,20,2022-01-14
29,49,20,2022-01-15
30,50,20,2022-01-16
31,51,20,2022-01-17
32,52,20,2022-01-18
33,53,20,2022-01-19
34,54,20,2022-01-20
35,55,20,2022-01-21
36,56,20,2022-01-22
37,57,20,2022-01-23
38,58,20,2022-01-24
39,59,20,2022-01-25
40,60,20,2022-01-26
41,61,20,2022-01-27
42,62,20,2022-01-28
43,63,20,2022-01-29
44,64,20,2022-01-30
45,65,20,2022-01-31
46,65,19,2022-02-01
47,65,18,2022-02-02
48,65,17,2022-02-03
49,65,16,2022-02-04
50,65,15,2022-02-05
51,65,14,2022-02-06
52,65,13,2022-02-07
53,65,12,2022-02-08
54,65,11,2022-02-09
55,65,10,2022-02-10
56,65,9,2022-02-11
57,65,8,2022-02-12
58,65,7,2022-02-13
59,65,6,2022-02-14
60,66,6,2022-02-15
61,67,6,2022-02-16
62,68,6,2022-02-17
63,69,6,2022-02-18
64,69,5,2022-02-19
65,69,4,2022-02-20
66,69,3,2022-02-21
67,69,2,2022-02-22
68,69,1,2022-02-23
69,69,0,2022-02-24
70,69,-1,2022-02-25
