i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,0,-3,2021-12-20
4,0,-4,2021-12-21
5,0,-5,2021-12-22
6,0,-6,2021-12-23
7,0,-7,2021-12-24
8,0,-8,2021-12-25
9,0,-9,2021-12-26
10,0,-10,2021-12-27
11,0,-11,2021-12-28
12,0,-12,2021-12-29
13,0,-13,2021-12-30
14,0,-14,2021-12-31
15,0,-15,2022-01-01
16,0,-16,2022-01-02
17,0,-17,2022-01-03
18,0,-18,2022-01-04
19,0,-19,2022-01-05
20,0,-20,2022-01-06
21,0,-21,2022-01-07
22,0,-22,2022-01-08
23,0,-23,2022-01-09
24,0,-24,2022-01-10
25,0,-25,2022-01-11
26,0,-26,2022-01-12
27,0,-27,2022-01-13
28,1,-27,2022-01-14
29,2,-27,2022-01-15
30,3,-27,2022-01-16
31,4,-27,2022-01-17
32,5,-27,2022-01-18
33,6,-27,2022-01-19
34,7,-27,2022-01-20
35,8,-27,2022-01-21
36,9,-27,2022-01-22
37,10,-27,2022-01-23
38,11,-27,2022-01-24
39,12,-27,2022-01-25
40,13,-27,2022-01-26
40,14,-26,2022-01-26
40,15,-25,2022-01-26
40,16,-24,2022-01-26
40,17,-23,2022-01-26
40,18,-22,2022-01-26
40,19,-21,2022-01-26
40,20,-20,2022-01-26
40,21,-19,2022-01-26
40,22,-18,2022-01-26
40,23,-17,2022-01-26
40,24,-16,2022-01-26
40,25,-15,2022-01-26
40,26,-14,2022-01-26
41,27,-14,2022-01-27
41,28,-13,2022-01-27
41,29,-12,2022-01-27
41,30,-11,2022-01-27
41,31,-10,2022-01-27
41,32,-9,2022-01-27
41,33,-8,2022-01-27
41,34,-7,2022-01-27
41,35,-6,2022-01-27
41,36,-5,2022-01-27
41,37,-4,2022-01-27
41,38,-3,2022-01-27
41,39,-2,2022-01-27
41,40,-1,2022-01-27
41,41,0,2022-01-27
41,42,1,2022-01-27
41,43,2,2022-01-27
41,44,3,2022-01-27
41,45,4,2022-01-27
41,46,5,2022-01-27
41,47,6,2022-01-27
41,48,7,2022-01-27
41,49,8,2022-01-27
41,50,9,2022-01-27
41,51,10,2022-01-27
41,52,11,2022-01-27
41,53,12,2022-01-27
41,54,13,2022-01-27
41,55,14,2022-01-27
41,56,15,2022-01-27
41,57,16,2022-01-27
41,58,17,2022-01-27
41,59,18,2022-01-27
41,60,19,2022-01-27
41,61,20,2022-01-27
41,62,21,2022-01-27
41,63,22,2022-01-27
41,64,23,2022-01-27
42,65,23,2022-01-28
42,66,24,2022-01-28
43,67,24,2022-01-29
44,67,23,2022-01-30
45,67,22,2022-01-31
46,67,21,2022-02-01
47,67,20,2022-02-02
48,67,19,2022-02-03
49,67,18,2022-02-04
50,67,17,2022-02-05
51,67,16,2022-02-06
52,67,15,2022-02-07
53,67,14,2022-02-08
54,67,13,2022-02-09
55,67,12,2022-02-10
56,67,11,2022-02-11
57,67,10,2022-02-12
58,67,9,2022-02-13
59,67,8,2022-02-14
60,67,7,2022-02-15
61,67,6,2022-02-16
62,67,5,2022-02-17
63,67,4,2022-02-18
64,67,3,2022-02-19
65,67,2,2022-02-20
66,67,1,2022-02-21
67,68,1,2022-02-22
67,69,2,2022-02-22
68,70,2,2022-02-23
68,71,3,2022-02-23
68,72,4,2022-02-23
69,73,4,2022-02-24
69,74,5,2022-02-24
70,75,5,2022-02-25
70,76,6,2022-02-25
70,77,7,2022-02-25
71,78,7,2022-02-26
71,79,8,2022-02-26
72,80,8,2022-02-27
72,81,9,2022-02-27
72,82,10,2022-02-27
73,83,10,2022-02-28
74,84,10,2022-03-01
75,84,9,2022-03-02
76,84,8,2022-03-03
77,84,7,2022-03-04
78,85,7,2022-03-05
78,86,8,2022-03-05
78,87,9,2022-03-05
79,88,9,2022-03-06
79,89,10,2022-03-06
80,90,10,2022-03-07
81,91,10,2022-03-08
81,92,11,2022-03-08
82,93,11,2022-03-09
83,94,11,2022-03-10
83,95,12,2022-03-10
84,96,12,2022-03-11
85,97,12,2022-03-12
85,98,13,2022-03-12
86,99,13,2022-03-13
86,100,14,2022-03-13
87,101,14,2022-03-14
87,102,15,2022-03-14
88,103,15,2022-03-15
89,103,14,2022-03-16
90,103,13,2022-03-17
91,103,12,2022-03-18
92,103,11,2022-03-19
93,103,10,2022-03-20
94,103,9,2022-03-21
95,103,8,2022-03-22
96,103,7,2022-03-23
97,103,6,2022-03-24
98,103,5,2022-03-25
99,103,4,2022-03-26
100,103,3,2022-03-27
101,103,2,2022-03-28
102,103,1,2022-03-29
103,103,0,2022-03-30
104,103,-1,2022-03-31
105,103,-2,2022-04-01
106,103,-3,2022-04-02
107,103,-4,2022-04-03
108,103,-5,2022-04-04
109,103,-6,2022-04-05
110,103,-7,2022-04-06
111,103,-8,2022-04-07
