DATE,lag_days
2021-12-17,0.0
2021-12-18,-1.0
2021-12-19,-2.0
2021-12-20,-3.0
2021-12-21,-4.0
2021-12-22,-5.0
2021-12-23,-6.0
2021-12-24,-7.0
2021-12-25,-8.0
2021-12-26,-9.0
2021-12-27,-10.0
2021-12-28,-11.0
2021-12-29,-11.0
2021-12-30,-11.0
2021-12-31,-11.0
2022-01-01,-12.0
2022-01-02,-12.0
2022-01-03,-13.0
2022-01-04,-11.5
2022-01-05,-10.0
2022-01-06,-11.0
2022-01-07,-6.5
2022-01-08,-2.0
2022-01-09,-3.0
2022-01-10,-3.0
2022-01-11,-2.5
2022-01-12,-2.0
2022-01-13,6.0
2022-01-14,14.0
2022-01-15,14.0
2022-01-16,14.0
2022-01-17,13.0
2022-01-18,12.0
2022-01-19,11.0
2022-01-20,10.0
2022-01-21,9.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,4.0
2022-01-27,3.0
2022-01-28,2.0
2022-01-29,1.0
2022-01-30,0.0
2022-01-31,-1.0
2022-02-01,-2.0
2022-02-02,-3.0
2022-02-03,-4.0
2022-02-04,-5.0
2022-02-05,-6.0
2022-02-06,-7.0
2022-02-07,-8.0
2022-02-08,-9.0
2022-02-09,-10.0
2022-02-10,-10.0
2022-02-11,2.0
2022-02-12,14.0
2022-02-13,14.0
2022-02-14,13.0
2022-02-15,12.0
2022-02-16,11.0
2022-02-17,11.0
2022-02-18,11.5
2022-02-19,13.0
2022-02-20,14.0
2022-02-21,14.0
2022-02-22,13.0
2022-02-23,12.0
2022-02-24,11.0
2022-02-25,10.0
2022-02-26,9.0
2022-02-27,8.0
2022-02-28,7.0
2022-03-01,6.0
2022-03-02,5.0
2022-03-03,4.0
2022-03-04,3.0
2022-03-05,4.0
2022-03-06,5.0
2022-03-07,5.0
2022-03-08,4.0
2022-03-09,5.5
2022-03-10,7.0
2022-03-11,6.0
2022-03-12,5.0
2022-03-13,4.0
2022-03-14,3.0
2022-03-15,2.0
2022-03-16,1.0
2022-03-17,0.0
2022-03-18,-1.0
2022-03-19,-2.0
2022-03-20,-3.0
2022-03-21,-4.0
2022-03-22,-5.0
2022-03-23,-6.0
2022-03-24,-7.0
2022-03-25,-8.0
2022-03-26,-8.0
2022-03-27,-8.0
2022-03-28,-3.5
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-02,1.0
2022-04-03,1.0
2022-04-04,0.0
2022-04-05,-1.0
2022-04-06,-2.0
2022-04-07,-3.0
2022-04-08,-4.0
2022-04-09,-5.0
2022-04-10,-6.0
2022-04-11,-7.0
2022-04-12,-8.0
2022-04-13,-9.0
2022-04-14,-10.0
2022-04-15,-10.0
2022-04-16,-10.0
2022-04-17,-10.0
2022-04-18,-11.0
2022-04-19,-10.0
2022-04-20,-9.0
2022-04-21,-9.0
2022-04-22,-10.0
2022-04-23,-11.0
2022-04-24,-12.0
2022-04-25,-13.0
2022-04-26,-14.0
2022-04-27,-15.0
2022-04-28,-16.0
2022-04-29,-17.0
2022-04-30,-18.0
2022-05-01,-19.0
2022-05-02,-20.0
2022-05-03,-21.0
2022-05-04,-22.0
2022-05-05,-22.0
2022-05-06,-22.0
2022-05-07,-22.0
2022-05-08,-23.0
2022-05-09,-24.0
2022-05-10,-25.0
2022-05-11,-26.0
2022-05-12,-27.0
2022-05-13,-27.0
2022-05-14,-27.0
2022-05-15,-27.0
2022-05-16,-27.0
2022-05-17,-25.0
2022-05-18,-23.0
2022-05-19,-23.0
2022-05-20,-23.0
2022-05-21,-23.0
2022-05-22,-23.0
2022-05-23,-23.0
2022-05-24,-18.0
2022-05-25,-13.0
2022-05-26,-14.0
2022-05-27,-15.0
2022-05-28,-16.0
2022-05-29,-17.0
2022-05-30,-18.0
2022-05-31,-19.0
2022-06-01,-20.0
2022-06-02,-17.5
2022-06-03,-15.0
2022-06-04,-16.0
2022-06-05,-17.0
2022-06-06,-17.0
2022-06-07,-16.0
2022-06-08,-15.0
2022-06-09,-14.5
2022-06-10,-14.0
2022-06-11,-13.5
2022-06-12,-13.0
2022-06-13,-14.0
2022-06-14,-15.0
2022-06-15,-16.0
2022-06-16,-17.0
2022-06-17,-17.0
2022-06-18,-17.0
2022-06-19,-18.0
2022-06-20,-19.0
2022-06-21,-20.0
2022-06-22,-21.0
2022-06-23,-21.0
2022-06-24,-21.0
2022-06-25,-15.0
2022-06-26,-9.0
2022-06-27,-8.5
2022-06-28,-8.0
2022-06-29,-8.0
2022-06-30,-8.0
2022-07-01,-8.0
2022-07-02,-9.0
2022-07-03,-9.0
2022-07-04,-9.0
2022-07-05,-9.0
2022-07-06,-10.0
2022-07-07,-10.0
2022-07-08,-10.0
2022-07-09,-6.0
2022-07-10,-1.5
2022-07-11,-1.0
2022-07-12,-2.0
2022-07-13,-3.0
2022-07-14,-3.0
2022-07-15,-3.0
2022-07-16,11.0
2022-07-17,25.0
2022-07-18,24.0
2022-07-19,23.0
2022-07-20,22.0
2022-07-21,21.0
2022-07-22,20.0
2022-07-23,19.0
2022-07-24,18.0
2022-07-25,17.0
2022-07-26,16.0
2022-07-27,15.0
2022-07-28,14.0
2022-07-29,13.0
2022-07-30,12.0
2022-07-31,11.0
2022-08-01,10.0
2022-08-02,9.0
2022-08-03,8.0
2022-08-04,7.0
2022-08-05,6.0
2022-08-06,5.0
2022-08-07,4.0
2022-08-08,4.0
2022-08-09,4.5
2022-08-10,5.0
2022-08-11,5.0
2022-08-12,5.0
2022-08-13,7.5
2022-08-14,10.0
2022-08-15,10.0
2022-08-16,10.5
2022-08-17,11.0
2022-08-18,11.0
2022-08-19,11.0
2022-08-20,10.0
2022-08-21,9.0
2022-08-22,8.0
2022-08-23,7.0
2022-08-24,6.0
2022-08-25,5.0
2022-08-26,4.0
2022-08-27,3.0
2022-08-28,2.0
2022-08-29,1.0
2022-08-30,0.0
2022-08-31,-1.0
2022-09-01,-2.0
2022-09-02,-3.0
2022-09-03,-4.0
2022-09-04,-5.0
2022-09-05,-6.0
2022-09-06,-7.0
2022-09-07,-8.0
2022-09-08,-9.0
2022-09-09,-9.0
2022-09-10,-9.0
2022-09-11,-7.0
2022-09-12,-5.0
2022-09-13,-6.0
2022-09-14,-7.0
2022-09-15,-8.0
2022-09-16,-9.0
2022-09-17,-10.0
2022-09-18,-11.0
2022-09-19,-12.0
2022-09-20,-13.0
2022-09-21,-14.0
2022-09-22,-15.0
2022-09-23,-16.0
