DATE,lag_days
2021-12-17,6.0
2021-12-18,12.0
2021-12-19,12.0
2021-12-20,11.0
2021-12-21,10.0
2021-12-22,9.0
2021-12-23,8.0
2021-12-24,7.0
2021-12-25,6.0
2021-12-26,5.0
2021-12-27,4.0
2021-12-28,4.0
2021-12-29,3.0
2021-12-30,2.0
2021-12-31,2.0
2022-01-01,1.0
2022-01-02,0.0
2022-01-03,-1.0
2022-01-04,-2.0
2022-01-05,-3.0
2022-01-06,-4.0
2022-01-07,-5.0
2022-01-08,-6.0
2022-01-09,-7.0
2022-01-10,-8.0
2022-01-11,-9.0
2022-01-12,-10.0
2022-01-13,-11.0
2022-01-14,-12.0
2022-01-15,-13.0
2022-01-16,-14.0
2022-01-17,-15.0
2022-01-18,-16.0
2022-01-19,-17.0
2022-01-20,-18.0
2022-01-21,-19.0
2022-01-22,-20.0
2022-01-23,-21.0
2022-01-24,-22.0
2022-01-25,-23.0
2022-01-26,-24.0
2022-01-27,-25.0
2022-01-28,-26.0
2022-01-29,-27.0
2022-01-30,-27.0
2022-01-31,-27.0
2022-02-01,-27.0
2022-02-02,-27.0
2022-02-03,-27.0
2022-02-04,-27.0
2022-02-05,-27.0
2022-02-06,-27.0
2022-02-07,-27.0
2022-02-08,-27.0
2022-02-09,-27.0
2022-02-10,-24.0
2022-02-11,-21.0
2022-02-12,-21.0
2022-02-13,-21.0
2022-02-14,-22.0
2022-02-15,-23.0
2022-02-16,-24.0
2022-02-17,-25.0
2022-02-18,-25.0
2022-02-19,-25.0
2022-02-20,-21.5
2022-02-21,-18.0
2022-02-22,-18.0
2022-02-23,-18.0
2022-02-24,-18.0
2022-02-25,-18.0
2022-02-26,-18.0
2022-02-27,-18.0
2022-02-28,-18.0
2022-03-01,-18.0
2022-03-02,-18.0
2022-03-03,-6.5
2022-03-04,5.0
2022-03-05,5.0
2022-03-06,5.0
2022-03-07,5.0
2022-03-08,5.0
2022-03-09,5.0
2022-03-10,5.0
2022-03-11,4.0
2022-03-12,3.0
2022-03-13,2.0
2022-03-14,1.0
2022-03-15,0.0
2022-03-16,-1.0
2022-03-17,-2.0
2022-03-18,-3.0
2022-03-19,-4.0
2022-03-20,-5.0
2022-03-21,-6.0
2022-03-22,-7.0
2022-03-23,-7.0
2022-03-24,-7.0
2022-03-25,-7.0
2022-03-26,-7.0
2022-03-27,-7.0
2022-03-28,-7.0
2022-03-29,-7.0
2022-03-30,-7.0
2022-03-31,-7.0
2022-04-01,-7.0
2022-04-02,-5.5
2022-04-03,-4.0
2022-04-04,-4.0
2022-04-05,-4.0
2022-04-06,-4.0
2022-04-07,-4.0
2022-04-08,-4.0
2022-04-09,-4.0
2022-04-10,-4.0
2022-04-11,-4.0
2022-04-12,1.5
2022-04-13,7.0
2022-04-14,7.0
2022-04-15,7.0
2022-04-16,7.0
2022-04-17,7.0
2022-04-18,7.0
2022-04-19,6.0
2022-04-20,5.0
2022-04-21,4.0
2022-04-22,3.0
2022-04-23,3.0
2022-04-24,3.0
