DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,1.0
2021-12-20,2.0
2021-12-21,1.0
2021-12-22,0.0
2021-12-23,-1.0
2021-12-24,-2.0
2021-12-25,-3.0
2021-12-26,-4.0
2021-12-27,-5.0
2021-12-28,-6.0
2021-12-29,-7.0
2021-12-30,-8.0
2021-12-31,-9.0
2022-01-01,-10.0
2022-01-02,-10.0
2022-01-03,8.5
2022-01-04,27.0
2022-01-05,27.0
2022-01-06,27.0
2022-01-07,27.0
2022-01-08,27.0
2022-01-09,27.0
2022-01-10,27.0
2022-01-11,27.0
2022-01-12,27.0
2022-01-13,27.0
2022-01-14,27.0
2022-01-15,27.0
2022-01-16,27.0
2022-01-17,27.0
2022-01-18,27.0
2022-01-19,27.0
2022-01-20,27.0
2022-01-21,27.0
2022-01-22,27.0
2022-01-23,27.0
2022-01-24,27.0
2022-01-25,27.0
2022-01-26,27.0
2022-01-27,27.0
2022-01-28,27.0
2022-01-29,27.0
2022-01-30,26.0
2022-01-31,25.0
2022-02-01,24.0
2022-02-02,23.0
2022-02-03,22.0
2022-02-04,21.0
2022-02-05,23.0
2022-02-06,25.0
2022-02-07,25.0
2022-02-08,24.0
2022-02-09,23.0
2022-02-10,22.0
2022-02-11,21.0
2022-02-12,20.0
2022-02-13,19.0
2022-02-14,18.0
2022-02-15,17.0
2022-02-16,17.0
2022-02-17,16.0
2022-02-18,15.0
2022-02-19,14.0
2022-02-20,13.0
2022-02-21,12.0
2022-02-22,11.0
2022-02-23,10.0
2022-02-24,9.0
2022-02-25,8.0
2022-02-26,7.0
2022-02-27,6.0
2022-02-28,5.0
2022-03-01,4.0
2022-03-02,3.0
2022-03-03,2.0
2022-03-04,1.0
2022-03-05,0.0
2022-03-06,-1.0
2022-03-07,-2.0
2022-03-08,-3.0
2022-03-09,-4.0
2022-03-10,-5.0
2022-03-11,-6.0
2022-03-12,-7.0
2022-03-13,-7.0
2022-03-14,-7.0
2022-03-15,-7.0
2022-03-16,-5.0
2022-03-17,-3.0
2022-03-18,-3.0
2022-03-19,-3.0
2022-03-20,-4.0
2022-03-21,-5.0
2022-03-22,-6.0
2022-03-23,-7.0
2022-03-24,-8.0
2022-03-25,-9.0
2022-03-26,-10.0
2022-03-27,-11.0
2022-03-28,-12.0
2022-03-29,-13.0
2022-03-30,-14.0
2022-03-31,-15.0
2022-04-01,-16.0
2022-04-02,-17.0
2022-04-03,-18.0
2022-04-04,-19.0
2022-04-05,-20.0
2022-04-06,-21.0
2022-04-07,-21.0
2022-04-08,-21.0
2022-04-09,-21.0
2022-04-10,-21.0
2022-04-11,-21.0
2022-04-12,-21.0
2022-04-13,-21.0
2022-04-14,-21.0
2022-04-15,-21.0
2022-04-16,-21.0
2022-04-17,-21.0
2022-04-18,-17.0
2022-04-19,-13.0
2022-04-20,-13.0
2022-04-21,-13.0
2022-04-22,-13.0
2022-04-23,-13.0
2022-04-24,-13.0
2022-04-25,-11.5
2022-04-26,-10.0
2022-04-27,-11.0
2022-04-28,-12.0
2022-04-29,-13.0
2022-04-30,-14.0
2022-05-01,-15.0
2022-05-02,-16.0
2022-05-03,-14.0
2022-05-04,-12.0
2022-05-05,-12.0
2022-05-06,-12.0
2022-05-07,-13.0
2022-05-08,-14.0
2022-05-09,-15.0
2022-05-10,-16.0
2022-05-11,-17.0
2022-05-12,-18.0
2022-05-13,-19.0
2022-05-14,-15.0
2022-05-15,-11.0
2022-05-16,-11.0
2022-05-17,-11.0
2022-05-18,-11.0
2022-05-19,-11.0
2022-05-20,-12.0
2022-05-21,-13.0
2022-05-22,-13.0
2022-05-23,-14.0
2022-05-24,-15.0
2022-05-25,-16.0
2022-05-26,-17.0
2022-05-27,-18.0
2022-05-28,-19.0
2022-05-29,-19.0
2022-05-30,-19.0
2022-05-31,-18.0
2022-06-01,-17.0
2022-06-02,-17.0
2022-06-03,-17.0
2022-06-04,-17.0
2022-06-05,-13.5
2022-06-06,-10.0
2022-06-07,-11.0
2022-06-08,-11.0
2022-06-09,-12.0
2022-06-10,-12.0
2022-06-11,-12.0
2022-06-12,-12.0
2022-06-13,-12.0
2022-06-14,-13.0
2022-06-15,-14.0
2022-06-16,-14.0
2022-06-17,-14.0
2022-06-18,-14.0
2022-06-19,-15.0
2022-06-20,-15.0
2022-06-21,-16.0
2022-06-22,-17.0
2022-06-23,-18.0
2022-06-24,-19.0
2022-06-25,-20.0
2022-06-26,-21.0
2022-06-27,-22.0
2022-06-28,-23.0
2022-06-29,-24.0
2022-06-30,-25.0
2022-07-01,-26.0
2022-07-02,-27.0
2022-07-03,-27.0
2022-07-04,-15.0
