DATE,lag_days
2021-12-17,0.0
2021-12-18,-1.0
2021-12-19,-2.0
2021-12-20,-3.0
2021-12-21,-4.0
2021-12-22,-5.0
2021-12-23,-6.0
2021-12-24,-7.0
2021-12-25,-8.0
2021-12-26,-9.0
2021-12-27,-10.0
2021-12-28,-11.0
2021-12-29,-12.0
2021-12-30,-13.0
2021-12-31,-14.0
2022-01-01,-15.0
2022-01-02,-16.0
2022-01-03,-17.0
2022-01-04,-18.0
2022-01-05,-19.0
2022-01-06,-20.0
2022-01-07,-21.0
2022-01-08,-22.0
2022-01-09,-23.0
2022-01-10,-24.0
2022-01-11,-25.0
2022-01-12,-26.0
2022-01-13,-27.0
2022-01-14,-28.0
2022-01-15,-29.0
2022-01-16,-30.0
2022-01-17,-31.0
2022-01-18,-32.0
2022-01-19,-33.0
2022-01-20,-34.0
2022-01-21,-34.0
2022-01-22,-34.0
2022-01-23,-34.0
2022-01-24,-34.0
2022-01-25,-34.0
2022-01-26,-34.0
2022-01-27,-34.0
2022-01-28,-34.0
2022-01-29,-34.0
2022-01-30,-34.0
2022-01-31,-34.0
2022-02-01,-34.0
2022-02-02,-34.0
2022-02-03,-34.0
2022-02-04,-34.0
2022-02-05,-34.0
2022-02-06,-34.0
2022-02-07,-34.0
2022-02-08,-34.0
2022-02-09,-34.0
2022-02-10,-34.0
2022-02-11,-34.0
2022-02-12,-34.0
2022-02-13,-34.0
2022-02-14,-34.0
2022-02-15,-34.0
2022-02-16,-34.0
2022-02-17,-34.0
2022-02-18,-34.0
2022-02-19,-34.0
2022-02-20,-34.0
2022-02-21,-34.0
2022-02-22,-34.0
2022-02-23,-34.0
2022-02-24,-34.0
2022-02-25,-34.0
2022-02-26,-34.0
2022-02-27,-34.0
2022-02-28,-34.0
2022-03-01,-34.0
2022-03-02,-34.0
2022-03-03,-34.0
2022-03-04,-34.0
2022-03-05,-34.0
2022-03-06,-34.0
2022-03-07,-34.0
2022-03-08,-34.0
2022-03-09,-34.0
2022-03-10,-34.0
2022-03-11,-34.0
2022-03-12,-34.0
2022-03-13,-34.0
2022-03-14,-34.0
2022-03-15,-34.0
2022-03-16,-34.0
2022-03-17,-28.5
2022-03-18,-23.0
2022-03-19,-23.0
2022-03-20,-23.0
2022-03-21,-23.0
2022-03-22,-23.0
2022-03-23,-23.0
2022-03-24,-23.0
2022-03-25,-24.0
2022-03-26,-25.0
2022-03-27,-26.0
2022-03-28,-27.0
2022-03-29,-28.0
2022-03-30,-29.0
2022-03-31,-30.0
2022-04-01,-31.0
2022-04-02,-32.0
2022-04-03,-33.0
2022-04-04,-34.0
2022-04-05,-34.0
2022-04-06,-34.0
2022-04-07,-34.0
2022-04-08,-34.0
2022-04-09,-34.0
2022-04-10,-11.5
2022-04-11,11.0
2022-04-12,11.0
2022-04-13,11.0
2022-04-14,10.0
2022-04-15,9.0
2022-04-16,8.0
2022-04-17,7.0
2022-04-18,6.0
2022-04-19,5.0
2022-04-20,4.0
2022-04-21,3.0
2022-04-22,2.0
2022-04-23,1.0
2022-04-24,1.0
2022-04-25,1.0
2022-04-26,13.5
2022-04-27,26.0
2022-04-28,26.0
2022-04-29,26.0
2022-04-30,25.0
2022-05-01,24.0
2022-05-02,23.0
2022-05-03,22.0
2022-05-04,21.0
2022-05-05,20.0
2022-05-06,19.0
2022-05-07,18.0
2022-05-08,17.0
2022-05-09,17.0
2022-05-10,21.0
2022-05-11,25.0
2022-05-12,25.0
2022-05-13,24.0
2022-05-14,23.0
2022-05-15,22.0
2022-05-16,21.0
2022-05-17,20.0
2022-05-18,20.0
2022-05-19,27.0
2022-05-20,34.0
2022-05-21,34.0
2022-05-22,34.0
2022-05-23,34.0
2022-05-24,33.0
2022-05-25,33.0
2022-05-26,33.0
2022-05-27,33.0
2022-05-28,33.0
2022-05-29,33.5
2022-05-30,34.0
2022-05-31,34.0
2022-06-01,34.0
2022-06-02,34.0
2022-06-03,34.0
2022-06-04,34.0
2022-06-05,34.0
2022-06-06,34.0
2022-06-07,34.0
2022-06-08,34.0
2022-06-09,34.0
2022-06-10,34.0
2022-06-11,33.0
2022-06-12,32.0
2022-06-13,31.0
2022-06-14,30.0
2022-06-15,29.0
2022-06-16,28.0
2022-06-17,27.0
2022-06-18,26.0
2022-06-19,25.0
2022-06-20,24.0
2022-06-21,23.0
2022-06-22,22.0
2022-06-23,21.0
2022-06-24,20.0
2022-06-25,19.0
2022-06-26,18.0
2022-06-27,17.0
2022-06-28,16.0
2022-06-29,15.0
2022-06-30,15.0
2022-07-01,16.0
2022-07-02,17.5
2022-07-03,18.5
2022-07-04,19.0
2022-07-05,19.0
2022-07-06,19.0
2022-07-07,19.0
2022-07-08,18.0
2022-07-09,18.0
2022-07-10,17.0
2022-07-11,17.0
2022-07-12,16.0
2022-07-13,15.0
2022-07-14,15.0
2022-07-15,14.0
2022-07-16,13.0
2022-07-17,12.0
2022-07-18,11.0
2022-07-19,11.0
2022-07-20,10.0
2022-07-21,9.0
2022-07-22,8.0
2022-07-23,7.0
2022-07-24,6.0
2022-07-25,5.0
2022-07-26,5.0
2022-07-27,4.0
2022-07-28,3.0
2022-07-29,2.0
2022-07-30,1.0
2022-07-31,0.0
2022-08-01,-1.0
2022-08-02,-2.0
2022-08-03,-3.0
2022-08-04,-3.0
2022-08-05,-4.0
2022-08-06,-5.0
2022-08-07,-6.0
2022-08-08,-7.0
2022-08-09,-8.0
2022-08-10,-9.0
2022-08-11,-10.0
2022-08-12,-11.0
2022-08-13,-12.0
2022-08-14,-13.0
2022-08-15,-14.0
2022-08-16,-15.0
2022-08-17,-16.0
2022-08-18,-17.0
2022-08-19,-18.0
2022-08-20,-19.0
2022-08-21,-19.0
2022-08-22,-19.0
2022-08-23,-19.0
2022-08-24,-9.5
2022-08-25,0.0
2022-08-26,-1.0
2022-08-27,-2.0
2022-08-28,-3.0
2022-08-29,-4.0
2022-08-30,-5.0
2022-08-31,-6.0
2022-09-01,-7.0
2022-09-02,-8.0
2022-09-03,-9.0
2022-09-04,-10.0
2022-09-05,-11.0
2022-09-06,-12.0
2022-09-07,-13.0
2022-09-08,-14.0
2022-09-09,-15.0
2022-09-10,-16.0
2022-09-11,-17.0
2022-09-12,-18.0
2022-09-13,-19.0
2022-09-14,-19.0
2022-09-15,-20.0
2022-09-16,-21.0
2022-09-17,-22.0
2022-09-18,-23.0
2022-09-19,-24.0
2022-09-20,-25.0
2022-09-21,-26.0
2022-09-22,-27.0
2022-09-23,-28.0
2022-09-24,-28.0
