DATE,lag_days
2021-12-17,0.0
2021-12-18,-1.0
2021-12-19,16.5
2021-12-20,34.0
2021-12-21,34.0
2021-12-22,34.0
2021-12-23,34.0
2021-12-24,34.0
2021-12-25,34.0
2021-12-26,34.0
2021-12-27,34.0
2021-12-28,34.0
2021-12-29,34.0
2021-12-30,34.0
2021-12-31,34.0
2022-01-01,34.0
2022-01-02,34.0
2022-01-03,34.0
2022-01-04,34.0
2022-01-05,34.0
2022-01-06,34.0
2022-01-07,34.0
2022-01-08,34.0
2022-01-09,34.0
2022-01-10,34.0
2022-01-11,34.0
2022-01-12,34.0
2022-01-13,34.0
2022-01-14,34.0
2022-01-15,34.0
2022-01-16,34.0
2022-01-17,34.0
2022-01-18,34.0
2022-01-19,34.0
2022-01-20,34.0
2022-01-21,34.0
2022-01-22,34.0
2022-01-23,34.0
2022-01-24,34.0
2022-01-25,34.0
2022-01-26,34.0
2022-01-27,34.0
2022-01-28,34.0
2022-01-29,34.0
2022-01-30,34.0
2022-01-31,34.0
2022-02-01,34.0
2022-02-02,34.0
2022-02-03,34.0
2022-02-04,34.0
2022-02-05,34.0
2022-02-06,34.0
2022-02-07,34.0
2022-02-08,34.0
2022-02-09,34.0
2022-02-10,34.0
2022-02-11,34.0
2022-02-12,34.0
2022-02-13,34.0
2022-02-14,34.0
2022-02-15,34.0
2022-02-16,34.0
2022-02-17,34.0
2022-02-18,33.0
2022-02-19,32.0
2022-02-20,32.0
2022-02-21,32.5
2022-02-22,33.5
2022-02-23,34.0
2022-02-24,34.0
2022-02-25,34.0
2022-02-26,34.0
2022-02-27,34.0
2022-02-28,34.0
2022-03-01,34.0
2022-03-02,34.0
2022-03-03,34.0
2022-03-04,34.0
2022-03-05,34.0
2022-03-06,34.0
2022-03-07,34.0
2022-03-08,34.0
2022-03-09,34.0
2022-03-10,34.0
2022-03-11,34.0
2022-03-12,34.0
2022-03-13,34.0
2022-03-14,34.0
2022-03-15,34.0
2022-03-16,34.0
2022-03-17,33.0
2022-03-18,33.0
2022-03-19,32.0
2022-03-20,31.0
2022-03-21,30.0
2022-03-22,29.0
2022-03-23,28.0
2022-03-24,27.0
2022-03-25,26.0
2022-03-26,25.0
2022-03-27,24.0
2022-03-28,23.0
2022-03-29,22.0
2022-03-30,21.0
2022-03-31,20.0
2022-04-01,19.0
2022-04-02,18.0
2022-04-03,17.0
2022-04-04,16.0
2022-04-05,15.0
2022-04-06,14.0
2022-04-07,13.0
2022-04-08,12.0
2022-04-09,11.0
2022-04-10,10.0
2022-04-11,9.0
2022-04-12,8.0
2022-04-13,7.0
2022-04-14,6.0
2022-04-15,5.0
2022-04-16,4.0
2022-04-17,3.0
2022-04-18,2.0
2022-04-19,1.0
2022-04-20,0.0
2022-04-21,-1.0
2022-04-22,-2.0
2022-04-23,-3.0
2022-04-24,-4.0
2022-04-25,-5.0
2022-04-26,-6.0
2022-04-27,-7.0
2022-04-28,-8.0
2022-04-29,-9.0
2022-04-30,-10.0
2022-05-01,-11.0
2022-05-02,-12.0
2022-05-03,-13.0
2022-05-04,-14.0
2022-05-05,-15.0
2022-05-06,-16.0
2022-05-07,-17.0
2022-05-08,-18.0
2022-05-09,-18.0
2022-05-10,8.0
2022-05-11,34.0
2022-05-12,34.0
2022-05-13,34.0
2022-05-14,34.0
2022-05-15,34.0
2022-05-16,34.0
2022-05-17,34.0
2022-05-18,34.0
2022-05-19,34.0
2022-05-20,34.0
2022-05-21,33.0
2022-05-22,32.0
2022-05-23,32.0
2022-05-24,31.0
2022-05-25,30.0
2022-05-26,29.0
2022-05-27,28.0
2022-05-28,27.0
2022-05-29,27.0
2022-05-30,26.0
2022-05-31,25.0
2022-06-01,24.0
2022-06-02,23.0
2022-06-03,22.0
2022-06-04,21.0
2022-06-05,20.0
2022-06-06,19.0
2022-06-07,18.0
2022-06-08,17.0
2022-06-09,16.0
2022-06-10,15.0
2022-06-11,14.0
2022-06-12,13.0
2022-06-13,12.0
2022-06-14,11.0
2022-06-15,10.0
2022-06-16,9.0
2022-06-17,8.0
2022-06-18,7.0
2022-06-19,6.0
2022-06-20,5.0
2022-06-21,4.0
2022-06-22,3.0
2022-06-23,2.0
2022-06-24,1.0
2022-06-25,0.0
2022-06-26,-1.0
2022-06-27,-2.0
2022-06-28,-3.0
2022-06-29,-4.0
2022-06-30,-5.0
2022-07-01,-6.0
2022-07-02,-7.0
2022-07-03,-8.0
2022-07-04,-9.0
2022-07-05,-10.0
2022-07-06,-11.0
2022-07-07,-12.0
2022-07-08,-13.0
2022-07-09,-14.0
2022-07-10,-15.0
2022-07-11,-16.0
2022-07-12,-17.0
2022-07-13,-18.0
2022-07-14,-19.0
2022-07-15,-20.0
2022-07-16,-20.0
2022-07-17,-21.0
2022-07-18,-22.0
2022-07-19,-23.0
2022-07-20,-24.0
2022-07-21,-24.0
2022-07-22,3.0
2022-07-23,30.0
2022-07-24,30.0
2022-07-25,30.0
2022-07-26,29.0
2022-07-27,28.0
2022-07-28,27.0
2022-07-29,26.0
2022-07-30,25.0
2022-07-31,24.0
2022-08-01,23.0
2022-08-02,22.0
2022-08-03,22.0
2022-08-04,21.0
2022-08-05,20.0
2022-08-06,19.0
2022-08-07,18.0
2022-08-08,17.0
2022-08-09,16.0
2022-08-10,15.0
2022-08-11,14.0
2022-08-12,13.0
2022-08-13,12.0
2022-08-14,11.0
2022-08-15,10.0
2022-08-16,9.0
2022-08-17,8.0
2022-08-18,7.0
2022-08-19,6.0
2022-08-20,5.0
2022-08-21,4.0
2022-08-22,3.0
2022-08-23,2.0
2022-08-24,1.0
2022-08-25,0.0
2022-08-26,-1.0
2022-08-27,-2.0
2022-08-28,-3.0
2022-08-29,-4.0
2022-08-30,-5.0
2022-08-31,-6.0
2022-09-01,-7.0
2022-09-02,-8.0
2022-09-03,-9.0
2022-09-04,-10.0
2022-09-05,-11.0
2022-09-06,-12.0
2022-09-07,-13.0
2022-09-08,-14.0
2022-09-09,-15.0
2022-09-10,-16.0
2022-09-11,-17.0
2022-09-12,-18.0
2022-09-13,-19.0
2022-09-14,-20.0
2022-09-15,-20.0
2022-09-16,-20.0
2022-09-17,-20.0
2022-09-18,-20.0
2022-09-19,-20.0
2022-09-20,-20.0
2022-09-21,-20.0
2022-09-22,-20.0
2022-09-23,7.0
2022-09-24,34.0
2022-09-25,34.0
2022-09-26,34.0
2022-09-27,34.0
2022-09-28,34.0
2022-09-29,34.0
2022-09-30,34.0
2022-10-01,34.0
2022-10-02,34.0
2022-10-03,34.0
