i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,0,-3,2021-12-20
4,0,-4,2021-12-21
5,0,-5,2021-12-22
6,0,-6,2021-12-23
7,0,-7,2021-12-24
8,0,-8,2021-12-25
9,0,-9,2021-12-26
10,0,-10,2021-12-27
11,0,-11,2021-12-28
12,0,-12,2021-12-29
13,0,-13,2021-12-30
14,0,-14,2021-12-31
15,1,-14,2022-01-01
15,2,-13,2022-01-01
15,3,-12,2022-01-01
16,4,-12,2022-01-02
17,4,-13,2022-01-03
18,4,-14,2022-01-04
19,4,-15,2022-01-05
20,4,-16,2022-01-06
21,4,-17,2022-01-07
22,4,-18,2022-01-08
23,4,-19,2022-01-09
24,4,-20,2022-01-10
25,4,-21,2022-01-11
26,4,-22,2022-01-12
27,4,-23,2022-01-13
28,4,-24,2022-01-14
29,4,-25,2022-01-15
30,4,-26,2022-01-16
31,4,-27,2022-01-17
32,4,-28,2022-01-18
33,4,-29,2022-01-19
34,4,-30,2022-01-20
35,4,-31,2022-01-21
36,4,-32,2022-01-22
37,4,-33,2022-01-23
38,4,-34,2022-01-24
39,5,-34,2022-01-25
40,6,-34,2022-01-26
41,7,-34,2022-01-27
42,8,-34,2022-01-28
43,9,-34,2022-01-29
44,10,-34,2022-01-30
45,11,-34,2022-01-31
46,12,-34,2022-02-01
47,13,-34,2022-02-02
48,14,-34,2022-02-03
49,15,-34,2022-02-04
50,16,-34,2022-02-05
51,17,-34,2022-02-06
52,18,-34,2022-02-07
53,19,-34,2022-02-08
54,20,-34,2022-02-09
55,21,-34,2022-02-10
56,22,-34,2022-02-11
57,23,-34,2022-02-12
58,24,-34,2022-02-13
59,25,-34,2022-02-14
60,26,-34,2022-02-15
61,27,-34,2022-02-16
62,28,-34,2022-02-17
63,29,-34,2022-02-18
64,30,-34,2022-02-19
65,31,-34,2022-02-20
66,32,-34,2022-02-21
67,33,-34,2022-02-22
68,34,-34,2022-02-23
69,35,-34,2022-02-24
70,36,-34,2022-02-25
71,37,-34,2022-02-26
72,38,-34,2022-02-27
73,39,-34,2022-02-28
74,40,-34,2022-03-01
75,41,-34,2022-03-02
75,42,-33,2022-03-02
75,43,-32,2022-03-02
75,44,-31,2022-03-02
75,45,-30,2022-03-02
75,46,-29,2022-03-02
75,47,-28,2022-03-02
75,48,-27,2022-03-02
75,49,-26,2022-03-02
75,50,-25,2022-03-02
75,51,-24,2022-03-02
75,52,-23,2022-03-02
75,53,-22,2022-03-02
75,54,-21,2022-03-02
75,55,-20,2022-03-02
75,56,-19,2022-03-02
75,57,-18,2022-03-02
75,58,-17,2022-03-02
75,59,-16,2022-03-02
75,60,-15,2022-03-02
75,61,-14,2022-03-02
75,62,-13,2022-03-02
75,63,-12,2022-03-02
75,64,-11,2022-03-02
75,65,-10,2022-03-02
75,66,-9,2022-03-02
75,67,-8,2022-03-02
75,68,-7,2022-03-02
75,69,-6,2022-03-02
75,70,-5,2022-03-02
75,71,-4,2022-03-02
75,72,-3,2022-03-02
75,73,-2,2022-03-02
75,74,-1,2022-03-02
75,75,0,2022-03-02
75,76,1,2022-03-02
75,77,2,2022-03-02
75,78,3,2022-03-02
75,79,4,2022-03-02
75,80,5,2022-03-02
75,81,6,2022-03-02
75,82,7,2022-03-02
75,83,8,2022-03-02
75,84,9,2022-03-02
75,85,10,2022-03-02
75,86,11,2022-03-02
75,87,12,2022-03-02
75,88,13,2022-03-02
75,89,14,2022-03-02
75,90,15,2022-03-02
75,91,16,2022-03-02
75,92,17,2022-03-02
75,93,18,2022-03-02
75,94,19,2022-03-02
75,95,20,2022-03-02
75,96,21,2022-03-02
75,97,22,2022-03-02
75,98,23,2022-03-02
75,99,24,2022-03-02
75,100,25,2022-03-02
75,101,26,2022-03-02
75,102,27,2022-03-02
75,103,28,2022-03-02
75,104,29,2022-03-02
75,105,30,2022-03-02
75,106,31,2022-03-02
75,107,32,2022-03-02
75,108,33,2022-03-02
75,109,34,2022-03-02
76,110,34,2022-03-03
77,111,34,2022-03-04
78,112,34,2022-03-05
79,113,34,2022-03-06
80,114,34,2022-03-07
81,115,34,2022-03-08
82,116,34,2022-03-09
83,117,34,2022-03-10
84,118,34,2022-03-11
85,119,34,2022-03-12
86,120,34,2022-03-13
87,121,34,2022-03-14
88,122,34,2022-03-15
89,123,34,2022-03-16
90,124,34,2022-03-17
91,125,34,2022-03-18
92,126,34,2022-03-19
93,127,34,2022-03-20
94,128,34,2022-03-21
95,129,34,2022-03-22
96,130,34,2022-03-23
97,131,34,2022-03-24
98,132,34,2022-03-25
99,133,34,2022-03-26
100,134,34,2022-03-27
101,135,34,2022-03-28
102,136,34,2022-03-29
103,137,34,2022-03-30
104,138,34,2022-03-31
105,139,34,2022-04-01
106,140,34,2022-04-02
107,141,34,2022-04-03
