DATE,lag_days
2021-12-17,4.5
2021-12-18,9.0
2021-12-19,9.0
2021-12-20,9.0
2021-12-21,9.0
2021-12-22,9.0
2021-12-23,9.0
2021-12-24,9.0
2021-12-25,9.0
2021-12-26,8.0
2021-12-27,7.0
2021-12-28,6.0
2021-12-29,5.0
2021-12-30,4.0
2021-12-31,3.0
2022-01-01,2.0
2022-01-02,1.0
2022-01-03,0.0
2022-01-04,-1.0
2022-01-05,-2.0
2022-01-06,-3.0
2022-01-07,-4.0
2022-01-08,-5.0
2022-01-09,-6.0
2022-01-10,-7.0
2022-01-11,-8.0
2022-01-12,-9.0
2022-01-13,-10.0
2022-01-14,-11.0
2022-01-15,-12.0
2022-01-16,-13.0
2022-01-17,-14.0
2022-01-18,-15.0
2022-01-19,-16.0
2022-01-20,-17.0
2022-01-21,-18.0
2022-01-22,-19.0
2022-01-23,-20.0
2022-01-24,-21.0
2022-01-25,-22.0
2022-01-26,-23.0
2022-01-27,-24.0
2022-01-28,-25.0
2022-01-29,-26.0
2022-01-30,-27.0
2022-01-31,-28.0
2022-02-01,-29.0
2022-02-02,-30.0
2022-02-03,-31.0
2022-02-04,-32.0
2022-02-05,-33.0
2022-02-06,-34.0
2022-02-07,-34.0
2022-02-08,-34.0
2022-02-09,-34.0
2022-02-10,-34.0
2022-02-11,-34.0
2022-02-12,-34.0
2022-02-13,-34.0
2022-02-14,-34.0
2022-02-15,-34.0
2022-02-16,-34.0
2022-02-17,-34.0
2022-02-18,-34.0
2022-02-19,-34.0
2022-02-20,-34.0
2022-02-21,-34.0
2022-02-22,-34.0
2022-02-23,-34.0
2022-02-24,-34.0
2022-02-25,-34.0
2022-02-26,-34.0
2022-02-27,-34.0
2022-02-28,-34.0
2022-03-01,-34.0
2022-03-02,-34.0
2022-03-03,-34.0
2022-03-04,-34.0
2022-03-05,-21.5
2022-03-06,-7.5
2022-03-07,-5.0
2022-03-08,-3.5
2022-03-09,-2.5
2022-03-10,-1.5
2022-03-11,-0.5
2022-03-12,0.0
2022-03-13,0.5
2022-03-14,1.0
2022-03-15,1.5
2022-03-16,2.5
2022-03-17,4.0
2022-03-18,5.0
2022-03-19,4.0
2022-03-20,3.0
2022-03-21,2.0
2022-03-22,1.0
2022-03-23,0.0
2022-03-24,-1.0
2022-03-25,-2.0
2022-03-26,-3.0
2022-03-27,-4.0
2022-03-28,-5.0
2022-03-29,-6.0
2022-03-30,-7.0
2022-03-31,-8.0
2022-04-01,-9.0
2022-04-02,-10.0
2022-04-03,-11.0
2022-04-04,-12.0
2022-04-05,-13.0
2022-04-06,-14.0
2022-04-07,-15.0
2022-04-08,-16.0
2022-04-09,-17.0
2022-04-10,-18.0
2022-04-11,-19.0
2022-04-12,-20.0
2022-04-13,-21.0
2022-04-14,-22.0
2022-04-15,-23.0
2022-04-16,-24.0
2022-04-17,-25.0
2022-04-18,-26.0
2022-04-19,-27.0
2022-04-20,-28.0
2022-04-21,-29.0
2022-04-22,-30.0
2022-04-23,-31.0
2022-04-24,-32.0
2022-04-25,-33.0
2022-04-26,-34.0
2022-04-27,-34.0
2022-04-28,-34.0
2022-04-29,-34.0
2022-04-30,-34.0
2022-05-01,-34.0
2022-05-02,-34.0
2022-05-03,-34.0
2022-05-04,-34.0
2022-05-05,-34.0
2022-05-06,-34.0
2022-05-07,-34.0
2022-05-08,-34.0
2022-05-09,-34.0
2022-05-10,-34.0
2022-05-11,-34.0
2022-05-12,-34.0
2022-05-13,-34.0
2022-05-14,-34.0
2022-05-15,-34.0
2022-05-16,-34.0
2022-05-17,-34.0
2022-05-18,-34.0
2022-05-19,-34.0
2022-05-20,-34.0
2022-05-21,-33.0
