DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,-1.0
2022-01-01,-2.0
2022-01-02,-3.0
2022-01-03,-4.0
2022-01-04,-5.0
2022-01-05,-6.0
2022-01-06,-7.0
2022-01-07,-8.0
2022-01-08,-9.0
2022-01-09,-10.0
2022-01-10,-11.0
2022-01-11,-12.0
2022-01-12,-13.0
2022-01-13,-14.0
2022-01-14,-15.0
2022-01-15,-16.0
2022-01-16,-17.0
2022-01-17,-18.0
2022-01-18,-19.0
2022-01-19,-20.0
2022-01-20,-21.0
2022-01-21,-22.0
2022-01-22,-23.0
2022-01-23,-24.0
2022-01-24,-25.0
2022-01-25,-26.0
2022-01-26,-27.0
2022-01-27,-28.0
2022-01-28,-29.0
2022-01-29,-30.0
2022-01-30,-31.0
2022-01-31,-32.0
2022-02-01,-33.0
2022-02-02,-34.0
2022-02-03,-34.0
2022-02-04,-34.0
2022-02-05,-34.0
2022-02-06,-34.0
2022-02-07,-34.0
2022-02-08,-34.0
2022-02-09,-34.0
2022-02-10,-34.0
2022-02-11,-34.0
2022-02-12,-34.0
2022-02-13,-34.0
2022-02-14,-34.0
2022-02-15,-34.0
2022-02-16,-34.0
2022-02-17,-34.0
2022-02-18,-34.0
2022-02-19,-34.0
2022-02-20,-34.0
2022-02-21,-34.0
2022-02-22,-34.0
2022-02-23,-34.0
2022-02-24,-34.0
2022-02-25,-34.0
2022-02-26,-34.0
2022-02-27,-34.0
2022-02-28,-34.0
2022-03-01,-34.0
2022-03-02,-34.0
2022-03-03,-34.0
2022-03-04,-34.0
2022-03-05,-34.0
2022-03-06,-34.0
2022-03-07,-34.0
2022-03-08,-34.0
2022-03-09,-34.0
2022-03-10,-34.0
2022-03-11,-34.0
2022-03-12,-0.5
2022-03-13,33.5
2022-03-14,34.0
2022-03-15,34.0
2022-03-16,34.0
2022-03-17,34.0
2022-03-18,34.0
2022-03-19,34.0
2022-03-20,34.0
2022-03-21,34.0
2022-03-22,34.0
2022-03-23,34.0
2022-03-24,34.0
2022-03-25,33.0
2022-03-26,32.0
2022-03-27,32.0
2022-03-28,31.0
2022-03-29,30.0
2022-03-30,29.0
2022-03-31,28.0
2022-04-01,28.0
2022-04-02,27.0
2022-04-03,26.0
2022-04-04,25.0
2022-04-05,24.0
2022-04-06,24.0
2022-04-07,29.0
2022-04-08,34.0
2022-04-09,34.0
2022-04-10,34.0
2022-04-11,34.0
2022-04-12,34.0
2022-04-13,34.0
2022-04-14,34.0
2022-04-15,34.0
2022-04-16,34.0
2022-04-17,34.0
2022-04-18,34.0
2022-04-19,34.0
2022-04-20,34.0
2022-04-21,34.0
2022-04-22,34.0
2022-04-23,34.0
2022-04-24,33.0
2022-04-25,32.0
2022-04-26,31.0
2022-04-27,30.0
2022-04-28,29.0
2022-04-29,29.0
2022-04-30,28.0
2022-05-01,27.0
2022-05-02,26.0
2022-05-03,25.0
2022-05-04,25.0
2022-05-05,24.0
2022-05-06,23.0
2022-05-07,22.0
2022-05-08,22.0
2022-05-09,21.0
2022-05-10,20.0
2022-05-11,19.0
2022-05-12,19.0
2022-05-13,18.0
2022-05-14,17.0
2022-05-15,17.0
2022-05-16,16.0
2022-05-17,15.0
2022-05-18,15.0
2022-05-19,14.0
2022-05-20,13.0
2022-05-21,13.0
2022-05-22,12.0
2022-05-23,12.0
2022-05-24,11.0
2022-05-25,10.0
2022-05-26,10.0
2022-05-27,9.0
2022-05-28,8.0
2022-05-29,8.0
2022-05-30,7.0
2022-05-31,6.0
2022-06-01,6.0
2022-06-02,5.0
2022-06-03,4.0
2022-06-04,3.0
2022-06-05,3.0
2022-06-06,2.0
2022-06-07,1.0
2022-06-08,0.0
2022-06-09,-1.0
2022-06-10,-1.0
2022-06-11,-2.0
2022-06-12,-3.0
2022-06-13,-4.0
2022-06-14,-5.0
2022-06-15,-6.0
2022-06-16,-7.0
2022-06-17,-7.0
2022-06-18,-7.0
2022-06-19,13.5
2022-06-20,34.0
2022-06-21,34.0
2022-06-22,34.0
2022-06-23,34.0
2022-06-24,34.0
2022-06-25,34.0
2022-06-26,34.0
2022-06-27,34.0
2022-06-28,34.0
2022-06-29,34.0
2022-06-30,34.0
2022-07-01,34.0
2022-07-02,34.0
2022-07-03,34.0
2022-07-04,34.0
2022-07-05,34.0
2022-07-06,34.0
2022-07-07,34.0
2022-07-08,34.0
