DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,17.0
2021-12-25,34.0
2021-12-26,34.0
2021-12-27,33.0
2021-12-28,32.0
2021-12-29,31.0
2021-12-30,30.0
2021-12-31,29.0
2022-01-01,28.0
2022-01-02,27.0
2022-01-03,26.0
2022-01-04,25.0
2022-01-05,24.0
2022-01-06,23.0
2022-01-07,23.0
2022-01-08,22.0
2022-01-09,21.0
2022-01-10,20.0
2022-01-11,19.0
2022-01-12,18.0
2022-01-13,17.0
2022-01-14,16.0
2022-01-15,15.0
2022-01-16,14.0
2022-01-17,13.0
2022-01-18,12.0
2022-01-19,11.0
2022-01-20,10.0
2022-01-21,9.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,4.0
2022-01-27,3.0
2022-01-28,2.0
2022-01-29,1.0
2022-01-30,0.0
2022-01-31,-1.0
2022-02-01,-2.0
2022-02-02,-3.0
2022-02-03,-4.0
2022-02-04,-5.0
2022-02-05,-6.0
2022-02-06,-7.0
2022-02-07,-8.0
2022-02-08,-9.0
2022-02-09,-10.0
2022-02-10,-10.0
2022-02-11,-11.0
2022-02-12,-12.0
2022-02-13,-13.0
2022-02-14,-14.0
2022-02-15,-14.0
2022-02-16,4.5
2022-02-17,23.0
2022-02-18,22.0
2022-02-19,21.0
2022-02-20,20.0
2022-02-21,20.0
2022-02-22,20.0
2022-02-23,20.0
2022-02-24,20.0
2022-02-25,19.0
2022-02-26,18.0
2022-02-27,17.0
2022-02-28,16.0
2022-03-01,15.0
2022-03-02,14.0
2022-03-03,13.0
2022-03-04,12.0
2022-03-05,11.0
2022-03-06,10.0
2022-03-07,9.0
2022-03-08,8.0
2022-03-09,7.0
2022-03-10,6.0
2022-03-11,5.0
2022-03-12,4.0
2022-03-13,3.0
2022-03-14,2.0
2022-03-15,1.0
2022-03-16,0.0
2022-03-17,-1.0
2022-03-18,-2.0
2022-03-19,-3.0
2022-03-20,-4.0
2022-03-21,-5.0
2022-03-22,-6.0
2022-03-23,-7.0
2022-03-24,-8.0
2022-03-25,-9.0
2022-03-26,-10.0
2022-03-27,-11.0
2022-03-28,-12.0
2022-03-29,-13.0
2022-03-30,-14.0
2022-03-31,-15.0
2022-04-01,-16.0
2022-04-02,-17.0
2022-04-03,-18.0
2022-04-04,-19.0
2022-04-05,-20.0
2022-04-06,-21.0
2022-04-07,-22.0
2022-04-08,-23.0
2022-04-09,-24.0
2022-04-10,-25.0
2022-04-11,-26.0
2022-04-12,-27.0
2022-04-13,-28.0
2022-04-14,-29.0
2022-04-15,-30.0
2022-04-16,-31.0
2022-04-17,-32.0
2022-04-18,-33.0
2022-04-19,-34.0
2022-04-20,-34.0
2022-04-21,-34.0
2022-04-22,-34.0
2022-04-23,-34.0
2022-04-24,-34.0
2022-04-25,-34.0
2022-04-26,-34.0
2022-04-27,-34.0
2022-04-28,-34.0
2022-04-29,-34.0
2022-04-30,-34.0
2022-05-01,-34.0
2022-05-02,-34.0
2022-05-03,-34.0
2022-05-04,-34.0
2022-05-05,-34.0
2022-05-06,-34.0
2022-05-07,-34.0
2022-05-08,-34.0
2022-05-09,-34.0
2022-05-10,-34.0
2022-05-11,-34.0
2022-05-12,-34.0
2022-05-13,-34.0
2022-05-14,-34.0
2022-05-15,-34.0
2022-05-16,-33.0
2022-05-17,-30.5
2022-05-18,-29.0
2022-05-19,-29.0
2022-05-20,-29.0
2022-05-21,-30.0
2022-05-22,-30.0
2022-05-23,-30.0
2022-05-24,-30.0
2022-05-25,-30.0
2022-05-26,-31.0
2022-05-27,-31.0
2022-05-28,-31.0
2022-05-29,-31.0
2022-05-30,-31.0
2022-05-31,-32.0
2022-06-01,-33.0
2022-06-02,-34.0
2022-06-03,-34.0
2022-06-04,-34.0
2022-06-05,-34.0
2022-06-06,-34.0
2022-06-07,-34.0
2022-06-08,-34.0
2022-06-09,-34.0
2022-06-10,-34.0
2022-06-11,-32.5
2022-06-12,-31.0
2022-06-13,-31.0
2022-06-14,-32.0
2022-06-15,-33.0
2022-06-16,-33.0
2022-06-17,-33.0
2022-06-18,-25.0
2022-06-19,-17.0
2022-06-20,-18.0
2022-06-21,-19.0
2022-06-22,-20.0
2022-06-23,-21.0
2022-06-24,-22.0
2022-06-25,-22.0
2022-06-26,-23.0
2022-06-27,-24.0
2022-06-28,-25.0
2022-06-29,-26.0
2022-06-30,-26.0
2022-07-01,4.0
2022-07-02,34.0
2022-07-03,34.0
2022-07-04,33.0
2022-07-05,32.0
