DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,5.5
2021-12-23,11.0
2021-12-24,11.0
2021-12-25,10.0
2021-12-26,10.0
2021-12-27,11.0
2021-12-28,12.0
2021-12-29,11.0
2021-12-30,10.0
2021-12-31,9.0
2022-01-01,21.5
2022-01-02,34.0
2022-01-03,34.0
2022-01-04,34.0
2022-01-05,34.0
2022-01-06,34.0
2022-01-07,34.0
2022-01-08,34.0
2022-01-09,34.0
2022-01-10,34.0
2022-01-11,34.0
2022-01-12,33.0
2022-01-13,32.0
2022-01-14,31.0
2022-01-15,30.0
2022-01-16,29.0
2022-01-17,28.0
2022-01-18,27.0
2022-01-19,26.0
2022-01-20,25.0
2022-01-21,24.0
2022-01-22,23.0
2022-01-23,22.0
2022-01-24,21.0
2022-01-25,20.0
2022-01-26,19.0
2022-01-27,18.0
2022-01-28,17.0
2022-01-29,17.0
2022-01-30,16.0
2022-01-31,15.0
2022-02-01,14.0
2022-02-02,13.0
2022-02-03,12.0
2022-02-04,11.0
2022-02-05,10.0
2022-02-06,9.0
2022-02-07,8.0
2022-02-08,7.0
2022-02-09,6.0
2022-02-10,5.0
2022-02-11,4.0
2022-02-12,3.0
2022-02-13,3.0
2022-02-14,2.0
2022-02-15,1.0
2022-02-16,0.0
2022-02-17,-1.0
2022-02-18,-2.0
2022-02-19,-3.0
2022-02-20,-4.0
2022-02-21,-5.0
2022-02-22,-6.0
2022-02-23,-7.0
2022-02-24,-8.0
2022-02-25,-9.0
2022-02-26,-10.0
2022-02-27,-11.0
2022-02-28,-12.0
2022-03-01,-13.0
2022-03-02,-14.0
2022-03-03,-15.0
2022-03-04,-16.0
2022-03-05,-17.0
2022-03-06,-18.0
2022-03-07,-19.0
2022-03-08,-20.0
2022-03-09,-21.0
2022-03-10,-22.0
2022-03-11,-23.0
2022-03-12,-24.0
2022-03-13,-25.0
2022-03-14,-26.0
2022-03-15,-27.0
2022-03-16,-28.0
2022-03-17,-29.0
2022-03-18,-30.0
2022-03-19,-31.0
2022-03-20,-32.0
2022-03-21,-33.0
2022-03-22,-34.0
2022-03-23,-34.0
2022-03-24,-34.0
2022-03-25,-34.0
2022-03-26,-34.0
2022-03-27,-34.0
2022-03-28,-34.0
2022-03-29,-34.0
2022-03-30,-34.0
2022-03-31,-34.0
2022-04-01,-34.0
2022-04-02,-34.0
2022-04-03,-34.0
2022-04-04,-34.0
2022-04-05,-34.0
2022-04-06,-34.0
2022-04-07,-34.0
2022-04-08,-34.0
2022-04-09,-34.0
2022-04-10,-34.0
2022-04-11,-34.0
2022-04-12,-34.0
2022-04-13,-34.0
2022-04-14,-34.0
2022-04-15,-34.0
2022-04-16,-34.0
2022-04-17,-34.0
2022-04-18,-34.0
2022-04-19,-34.0
2022-04-20,-34.0
2022-04-21,-34.0
2022-04-22,-34.0
2022-04-23,-34.0
2022-04-24,-34.0
2022-04-25,-34.0
2022-04-26,-34.0
2022-04-27,-34.0
2022-04-28,-34.0
2022-04-29,-34.0
2022-04-30,-34.0
2022-05-01,-34.0
2022-05-02,-34.0
2022-05-03,-34.0
2022-05-04,-34.0
2022-05-05,-34.0
2022-05-06,-34.0
2022-05-07,-34.0
2022-05-08,-34.0
2022-05-09,-34.0
2022-05-10,-34.0
2022-05-11,-34.0
2022-05-12,-34.0
2022-05-13,-34.0
2022-05-14,-34.0
2022-05-15,-34.0
2022-05-16,-34.0
2022-05-17,-34.0
2022-05-18,-34.0
2022-05-19,-34.0
2022-05-20,-34.0
2022-05-21,-34.0
2022-05-22,-34.0
2022-05-23,-34.0
2022-05-24,-31.0
2022-05-25,-28.0
2022-05-26,-29.0
2022-05-27,-18.5
2022-05-28,-8.0
2022-05-29,-8.0
2022-05-30,-8.0
2022-05-31,-8.0
2022-06-01,-7.0
2022-06-02,-6.0
2022-06-03,-6.0
2022-06-04,-6.0
2022-06-05,-6.0
2022-06-06,-7.0
2022-06-07,-8.0
2022-06-08,-9.0
2022-06-09,-10.0
2022-06-10,-11.0
2022-06-11,-12.0
2022-06-12,-13.0
2022-06-13,-14.0
2022-06-14,-15.0
2022-06-15,-16.0
2022-06-16,-17.0
2022-06-17,-16.5
2022-06-18,-15.5
2022-06-19,-15.0
2022-06-20,-16.0
2022-06-21,-17.0
2022-06-22,-18.0
2022-06-23,-18.0
2022-06-24,-10.5
2022-06-25,-3.0
2022-06-26,-3.0
2022-06-27,-3.0
2022-06-28,-2.5
2022-06-29,-2.0
2022-06-30,-3.0
2022-07-01,-1.0
2022-07-02,1.0
2022-07-03,0.0
