DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,13.5
2021-12-24,27.0
2021-12-25,26.0
2021-12-26,25.0
2021-12-27,25.5
2021-12-28,26.0
2021-12-29,26.0
2021-12-30,26.5
2021-12-31,27.0
2022-01-01,27.0
2022-01-02,26.0
2022-01-03,25.0
2022-01-04,24.0
2022-01-05,23.0
2022-01-06,23.0
2022-01-07,22.0
2022-01-08,22.0
2022-01-09,21.0
2022-01-10,20.0
2022-01-11,19.0
2022-01-12,18.0
2022-01-13,17.0
2022-01-14,16.0
2022-01-15,15.0
2022-01-16,14.0
2022-01-17,13.0
2022-01-18,12.0
2022-01-19,11.0
2022-01-20,10.0
2022-01-21,9.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,6.0
2022-01-25,5.0
2022-01-26,4.0
2022-01-27,3.0
2022-01-28,2.0
2022-01-29,1.0
2022-01-30,0.0
2022-01-31,-1.0
2022-02-01,-2.0
2022-02-02,-3.0
2022-02-03,-4.0
2022-02-04,-4.0
2022-02-05,-5.0
2022-02-06,-6.0
2022-02-07,-7.0
2022-02-08,-8.0
2022-02-09,-9.0
2022-02-10,-10.0
2022-02-11,-11.0
2022-02-12,-12.0
2022-02-13,-13.0
2022-02-14,-14.0
2022-02-15,-14.0
2022-02-16,-14.0
2022-02-17,-4.5
2022-02-18,5.0
2022-02-19,4.0
2022-02-20,3.0
2022-02-21,3.0
2022-02-22,11.0
2022-02-23,19.0
2022-02-24,19.0
2022-02-25,18.0
2022-02-26,17.0
2022-02-27,16.0
2022-02-28,15.0
2022-03-01,14.0
2022-03-02,13.0
2022-03-03,12.0
2022-03-04,11.0
2022-03-05,10.0
2022-03-06,9.0
2022-03-07,9.0
2022-03-08,9.0
2022-03-09,9.0
2022-03-10,9.0
2022-03-11,9.0
2022-03-12,9.0
2022-03-13,16.5
2022-03-14,24.0
2022-03-15,23.0
2022-03-16,22.0
2022-03-17,21.0
2022-03-18,20.0
2022-03-19,19.0
2022-03-20,18.0
2022-03-21,17.0
2022-03-22,16.0
2022-03-23,15.0
2022-03-24,14.0
2022-03-25,13.0
2022-03-26,12.0
2022-03-27,11.0
2022-03-28,10.0
2022-03-29,9.0
2022-03-30,8.0
2022-03-31,7.0
2022-04-01,6.0
2022-04-02,5.0
2022-04-03,4.0
2022-04-04,3.0
2022-04-05,2.0
2022-04-06,1.0
2022-04-07,0.0
2022-04-08,-1.0
2022-04-09,-2.0
2022-04-10,-3.0
2022-04-11,-4.0
2022-04-12,-5.0
2022-04-13,-6.0
2022-04-14,-7.0
2022-04-15,-8.0
2022-04-16,-9.0
2022-04-17,-10.0
2022-04-18,-11.0
2022-04-19,-12.0
2022-04-20,-13.0
2022-04-21,-14.0
2022-04-22,-15.0
2022-04-23,-16.0
2022-04-24,-17.0
2022-04-25,-18.0
2022-04-26,-19.0
2022-04-27,-20.0
2022-04-28,-21.0
2022-04-29,-22.0
2022-04-30,-23.0
2022-05-01,-24.0
2022-05-02,-25.0
2022-05-03,-26.0
2022-05-04,-27.0
2022-05-05,-28.0
2022-05-06,-29.0
2022-05-07,-30.0
2022-05-08,-31.0
2022-05-09,-32.0
2022-05-10,-30.5
2022-05-11,-29.0
2022-05-12,-29.0
2022-05-13,-28.5
2022-05-14,-28.0
2022-05-15,-28.0
2022-05-16,-29.0
2022-05-17,-30.0
2022-05-18,-31.0
2022-05-19,-32.0
2022-05-20,-33.0
2022-05-21,-34.0
2022-05-22,-34.0
2022-05-23,-34.0
2022-05-24,-32.0
2022-05-25,-30.0
2022-05-26,-30.0
2022-05-27,-29.5
2022-05-28,-29.0
2022-05-29,-29.0
2022-05-30,-29.0
2022-05-31,-28.0
2022-06-01,-27.0
2022-06-02,-28.0
2022-06-03,-25.5
2022-06-04,-23.0
2022-06-05,-24.0
2022-06-06,-24.0
2022-06-07,-24.0
2022-06-08,-24.0
2022-06-09,-25.0
2022-06-10,-24.0
2022-06-11,-23.0
2022-06-12,-24.0
2022-06-13,-24.0
2022-06-14,-23.0
2022-06-15,-22.0
2022-06-16,-22.0
2022-06-17,-23.0
2022-06-18,-21.5
2022-06-19,-20.0
2022-06-20,-21.0
2022-06-21,-22.0
2022-06-22,-23.0
2022-06-23,-24.0
2022-06-24,-25.0
2022-06-25,-26.0
2022-06-26,-27.0
2022-06-27,-27.0
2022-06-28,-25.0
2022-06-29,-23.0
2022-06-30,-24.0
2022-07-01,-24.0
2022-07-02,5.0
2022-07-03,34.0
2022-07-04,34.0
2022-07-05,34.0
2022-07-06,34.0
