DATE,lag_days
2021-12-17,1.5
2021-12-18,4.5
2021-12-19,6.0
2021-12-20,8.0
2021-12-21,10.0
2021-12-22,10.0
2021-12-23,9.0
2021-12-24,9.0
2021-12-25,8.0
2021-12-26,8.0
2021-12-27,7.0
2021-12-28,6.0
2021-12-29,5.0
2021-12-30,4.0
2021-12-31,4.0
2022-01-01,4.0
2022-01-02,3.0
2022-01-03,3.0
2022-01-04,2.0
2022-01-05,1.0
2022-01-06,0.0
2022-01-07,-1.0
2022-01-08,-2.0
2022-01-09,-3.0
2022-01-10,-4.0
2022-01-11,-5.0
2022-01-12,-5.0
2022-01-13,-5.0
2022-01-14,-5.0
2022-01-15,-6.0
2022-01-16,-7.0
2022-01-17,-8.0
2022-01-18,-9.0
2022-01-19,-10.0
2022-01-20,-11.0
2022-01-21,-12.0
2022-01-22,-13.0
2022-01-23,-14.0
2022-01-24,-15.0
2022-01-25,-16.0
2022-01-26,-17.0
2022-01-27,-18.0
2022-01-28,-19.0
2022-01-29,-20.0
2022-01-30,-21.0
2022-01-31,-22.0
2022-02-01,-23.0
2022-02-02,-24.0
2022-02-03,-25.0
2022-02-04,-26.0
2022-02-05,-27.0
2022-02-06,-27.0
2022-02-07,-27.0
2022-02-08,-24.0
2022-02-09,-21.0
2022-02-10,-4.0
2022-02-11,20.0
2022-02-12,27.0
2022-02-13,28.5
2022-02-14,30.0
2022-02-15,29.0
2022-02-16,31.5
2022-02-17,34.0
2022-02-18,33.0
2022-02-19,32.0
2022-02-20,31.0
2022-02-21,30.0
2022-02-22,32.0
2022-02-23,34.0
2022-02-24,34.0
2022-02-25,34.0
2022-02-26,34.0
2022-02-27,34.0
2022-02-28,34.0
2022-03-01,34.0
2022-03-02,33.0
2022-03-03,32.0
2022-03-04,31.0
2022-03-05,31.0
2022-03-06,31.0
2022-03-07,31.0
2022-03-08,30.0
2022-03-09,29.0
2022-03-10,28.0
2022-03-11,27.0
2022-03-12,26.0
2022-03-13,25.0
2022-03-14,24.0
2022-03-15,23.0
2022-03-16,22.0
2022-03-17,21.0
2022-03-18,20.0
2022-03-19,19.0
2022-03-20,18.0
2022-03-21,17.0
2022-03-22,16.0
2022-03-23,15.0
2022-03-24,14.0
2022-03-25,13.0
2022-03-26,12.0
2022-03-27,11.0
2022-03-28,10.0
2022-03-29,9.0
2022-03-30,8.0
2022-03-31,7.0
2022-04-01,6.0
2022-04-02,5.0
2022-04-03,4.0
2022-04-04,3.0
2022-04-05,2.0
2022-04-06,1.0
2022-04-07,0.0
2022-04-08,-1.0
2022-04-09,-2.0
2022-04-10,-3.0
2022-04-11,-4.0
2022-04-12,-5.0
2022-04-13,-6.0
2022-04-14,-7.0
2022-04-15,-8.0
2022-04-16,-9.0
2022-04-17,-10.0
2022-04-18,-11.0
2022-04-19,-12.0
2022-04-20,-13.0
2022-04-21,-14.0
2022-04-22,-15.0
2022-04-23,-16.0
2022-04-24,-17.0
2022-04-25,-18.0
2022-04-26,-19.0
2022-04-27,-20.0
2022-04-28,-21.0
2022-04-29,-22.0
2022-04-30,-23.0
2022-05-01,-24.0
2022-05-02,-25.0
2022-05-03,-26.0
2022-05-04,-27.0
2022-05-05,-28.0
2022-05-06,-29.0
2022-05-07,-30.0
2022-05-08,-31.0
2022-05-09,-32.0
2022-05-10,-30.5
2022-05-11,-29.0
2022-05-12,-29.0
2022-05-13,-30.0
2022-05-14,-31.0
2022-05-15,-32.0
2022-05-16,-33.0
2022-05-17,-34.0
2022-05-18,-34.0
2022-05-19,-34.0
2022-05-20,-34.0
2022-05-21,-34.0
2022-05-22,-34.0
2022-05-23,-34.0
2022-05-24,-34.0
2022-05-25,-34.0
2022-05-26,-34.0
2022-05-27,-34.0
