DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,8.0
2021-12-22,16.0
2021-12-23,16.0
2021-12-24,15.0
2021-12-25,14.0
2021-12-26,13.0
2021-12-27,12.0
2021-12-28,12.0
2021-12-29,12.0
2021-12-30,11.0
2021-12-31,15.0
2022-01-01,19.0
2022-01-02,19.0
2022-01-03,18.0
2022-01-04,18.0
2022-01-05,17.0
2022-01-06,16.0
2022-01-07,16.0
2022-01-08,15.0
2022-01-09,14.0
2022-01-10,13.0
2022-01-11,12.0
2022-01-12,11.0
2022-01-13,10.0
2022-01-14,19.0
2022-01-15,28.0
2022-01-16,28.0
2022-01-17,27.0
2022-01-18,26.0
2022-01-19,25.0
2022-01-20,24.0
2022-01-21,23.0
2022-01-22,22.0
2022-01-23,21.0
2022-01-24,20.0
2022-01-25,19.0
2022-01-26,18.0
2022-01-27,17.0
2022-01-28,16.0
2022-01-29,15.0
2022-01-30,14.0
2022-01-31,13.0
2022-02-01,12.0
2022-02-02,11.0
2022-02-03,10.0
2022-02-04,10.0
2022-02-05,9.0
2022-02-06,8.0
2022-02-07,7.0
2022-02-08,6.0
2022-02-09,6.0
2022-02-10,5.0
2022-02-11,16.0
2022-02-12,27.0
2022-02-13,27.0
2022-02-14,28.0
2022-02-15,29.0
2022-02-16,28.0
2022-02-17,27.0
2022-02-18,26.0
2022-02-19,25.0
2022-02-20,24.0
2022-02-21,23.0
2022-02-22,22.0
2022-02-23,21.0
2022-02-24,20.0
2022-02-25,19.0
2022-02-26,18.0
2022-02-27,17.0
2022-02-28,16.0
2022-03-01,15.0
2022-03-02,15.0
2022-03-03,15.0
2022-03-04,19.5
2022-03-05,24.0
2022-03-06,24.0
2022-03-07,24.0
2022-03-08,24.0
2022-03-09,24.0
2022-03-10,24.0
2022-03-11,24.0
2022-03-12,24.0
2022-03-13,24.0
2022-03-14,24.0
2022-03-15,24.0
2022-03-16,24.0
2022-03-17,25.0
2022-03-18,26.0
2022-03-19,25.0
2022-03-20,24.0
2022-03-21,23.0
2022-03-22,22.0
2022-03-23,21.0
2022-03-24,20.0
2022-03-25,19.0
2022-03-26,18.0
2022-03-27,17.0
2022-03-28,16.0
2022-03-29,15.0
2022-03-30,14.0
2022-03-31,13.0
2022-04-01,12.0
2022-04-02,11.0
2022-04-03,10.0
2022-04-04,9.0
2022-04-05,8.0
2022-04-06,7.0
2022-04-07,6.0
2022-04-08,5.0
2022-04-09,4.0
2022-04-10,3.0
2022-04-11,2.0
2022-04-12,1.0
2022-04-13,0.0
2022-04-14,-1.0
2022-04-15,-2.0
2022-04-16,-3.0
2022-04-17,-4.0
2022-04-18,-5.0
2022-04-19,-6.0
2022-04-20,-7.0
2022-04-21,-8.0
2022-04-22,-9.0
2022-04-23,-10.0
2022-04-24,-11.0
2022-04-25,-11.0
2022-04-26,-6.0
2022-04-27,-1.0
2022-04-28,-1.0
2022-04-29,-1.0
2022-04-30,-1.0
2022-05-01,-2.0
2022-05-02,-3.0
2022-05-03,-4.0
2022-05-04,-5.0
2022-05-05,-6.0
2022-05-06,-7.0
2022-05-07,-8.0
2022-05-08,-9.0
2022-05-09,-10.0
2022-05-10,-11.0
2022-05-11,-12.0
2022-05-12,-13.0
2022-05-13,-14.0
2022-05-14,-15.0
2022-05-15,-16.0
2022-05-16,-16.0
2022-05-17,-15.0
2022-05-18,-14.0
2022-05-19,-15.0
2022-05-20,-16.0
2022-05-21,-14.0
2022-05-22,-12.0
2022-05-23,-13.0
2022-05-24,-14.0
2022-05-25,-15.0
2022-05-26,-16.0
2022-05-27,-17.0
2022-05-28,-18.0
2022-05-29,-19.0
2022-05-30,-20.0
2022-05-31,-21.0
2022-06-01,-22.0
2022-06-02,-23.0
2022-06-03,-24.0
2022-06-04,-25.0
2022-06-05,-26.0
2022-06-06,-26.0
2022-06-07,-27.0
2022-06-08,-28.0
2022-06-09,-29.0
2022-06-10,-29.0
2022-06-11,-29.0
2022-06-12,-30.0
2022-06-13,-31.0
2022-06-14,-32.0
2022-06-15,-33.0
2022-06-16,-34.0
2022-06-17,-34.0
2022-06-18,-34.0
2022-06-19,-34.0
2022-06-20,-32.0
2022-06-21,-29.5
2022-06-22,-29.0
2022-06-23,-29.0
2022-06-24,-15.0
2022-06-25,-1.0
2022-06-26,-1.0
2022-06-27,-2.0
2022-06-28,-3.0
2022-06-29,-4.0
2022-06-30,-5.0
2022-07-01,-6.0
2022-07-02,-7.0
2022-07-03,-8.0
2022-07-04,-9.0
2022-07-05,-10.0
2022-07-06,-11.0
2022-07-07,-12.0
2022-07-08,-13.0
