DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,-1.0
2021-12-21,-2.0
2021-12-22,-3.0
2021-12-23,-4.0
2021-12-24,-5.0
2021-12-25,-5.0
2021-12-26,-5.0
2021-12-27,-5.0
2021-12-28,-6.0
2021-12-29,-7.0
2021-12-30,-8.0
2021-12-31,13.0
2022-01-01,34.0
2022-01-02,34.0
2022-01-03,34.0
2022-01-04,34.0
2022-01-05,34.0
2022-01-06,34.0
2022-01-07,34.0
2022-01-08,34.0
2022-01-09,33.0
2022-01-10,32.0
2022-01-11,32.0
2022-01-12,33.0
2022-01-13,34.0
2022-01-14,34.0
2022-01-15,34.0
2022-01-16,34.0
2022-01-17,34.0
2022-01-18,34.0
2022-01-19,33.0
2022-01-20,32.0
2022-01-21,31.0
2022-01-22,30.0
2022-01-23,29.0
2022-01-24,28.0
2022-01-25,28.0
2022-01-26,27.0
2022-01-27,26.0
2022-01-28,25.0
2022-01-29,24.0
2022-01-30,23.0
2022-01-31,22.0
2022-02-01,21.0
2022-02-02,20.0
2022-02-03,20.0
2022-02-04,20.5
2022-02-05,23.5
2022-02-06,26.0
2022-02-07,26.0
2022-02-08,25.0
2022-02-09,25.0
2022-02-10,25.0
2022-02-11,25.5
2022-02-12,26.0
2022-02-13,25.0
2022-02-14,25.0
2022-02-15,24.0
2022-02-16,23.0
2022-02-17,22.0
2022-02-18,21.0
2022-02-19,20.0
2022-02-20,19.0
2022-02-21,18.0
2022-02-22,17.0
2022-02-23,16.0
2022-02-24,15.0
2022-02-25,14.0
2022-02-26,13.0
2022-02-27,13.0
2022-02-28,12.0
2022-03-01,11.0
2022-03-02,10.0
2022-03-03,9.0
2022-03-04,8.0
2022-03-05,7.0
2022-03-06,6.0
2022-03-07,5.0
2022-03-08,4.0
2022-03-09,3.0
2022-03-10,3.0
2022-03-11,3.0
2022-03-12,3.0
2022-03-13,3.0
2022-03-14,18.0
2022-03-15,33.0
2022-03-16,33.0
2022-03-17,32.0
2022-03-18,31.0
2022-03-19,30.0
2022-03-20,29.0
2022-03-21,28.0
2022-03-22,27.0
2022-03-23,26.0
2022-03-24,25.0
2022-03-25,27.0
2022-03-26,29.0
2022-03-27,29.0
2022-03-28,29.0
2022-03-29,28.0
2022-03-30,27.0
2022-03-31,26.0
2022-04-01,26.0
2022-04-02,30.0
2022-04-03,34.0
2022-04-04,34.0
2022-04-05,34.0
2022-04-06,34.0
2022-04-07,34.0
2022-04-08,33.0
2022-04-09,33.5
2022-04-10,34.0
2022-04-11,34.0
2022-04-12,34.0
2022-04-13,34.0
2022-04-14,34.0
2022-04-15,33.0
2022-04-16,33.0
2022-04-17,33.0
2022-04-18,33.0
2022-04-19,33.0
2022-04-20,33.0
2022-04-21,33.0
2022-04-22,33.0
2022-04-23,32.0
2022-04-24,31.0
2022-04-25,30.0
2022-04-26,29.0
2022-04-27,28.0
2022-04-28,27.0
2022-04-29,26.0
2022-04-30,25.0
2022-05-01,24.0
2022-05-02,23.0
2022-05-03,22.0
2022-05-04,21.0
2022-05-05,20.0
2022-05-06,19.0
2022-05-07,18.0
2022-05-08,17.0
2022-05-09,16.0
2022-05-10,15.0
2022-05-11,14.0
2022-05-12,13.0
2022-05-13,12.0
2022-05-14,11.0
2022-05-15,10.0
2022-05-16,9.0
2022-05-17,8.0
2022-05-18,7.0
2022-05-19,6.0
2022-05-20,5.0
2022-05-21,4.0
2022-05-22,3.0
2022-05-23,2.0
2022-05-24,1.0
2022-05-25,0.0
2022-05-26,-1.0
2022-05-27,-2.0
2022-05-28,-3.0
2022-05-29,-4.0
2022-05-30,-5.0
2022-05-31,-6.0
2022-06-01,-7.0
2022-06-02,-8.0
2022-06-03,-9.0
2022-06-04,-9.0
2022-06-05,-9.0
2022-06-06,-8.0
2022-06-07,-7.0
2022-06-08,-8.0
2022-06-09,-9.0
2022-06-10,-10.0
2022-06-11,-11.0
2022-06-12,-12.0
2022-06-13,-13.0
2022-06-14,-14.0
2022-06-15,-15.0
2022-06-16,-16.0
2022-06-17,-17.0
2022-06-18,-18.0
2022-06-19,-19.0
2022-06-20,-19.0
2022-06-21,-18.5
2022-06-22,-18.0
2022-06-23,-18.0
2022-06-24,-19.0
2022-06-25,-20.0
2022-06-26,-20.0
2022-06-27,-20.0
2022-06-28,6.0
2022-06-29,32.0
2022-06-30,31.0
2022-07-01,30.0
2022-07-02,29.0
2022-07-03,28.0
2022-07-04,27.0
2022-07-05,26.0
2022-07-06,25.0
2022-07-07,24.0
2022-07-08,23.0
2022-07-09,22.0
2022-07-10,21.0
2022-07-11,20.0
2022-07-12,19.0
