i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,1,0,2021-12-18
2,2,0,2021-12-19
3,2,-1,2021-12-20
4,2,-2,2021-12-21
5,2,-3,2021-12-22
6,2,-4,2021-12-23
7,2,-5,2021-12-24
8,3,-5,2021-12-25
9,4,-5,2021-12-26
10,5,-5,2021-12-27
11,5,-6,2021-12-28
12,5,-7,2021-12-29
13,5,-8,2021-12-30
14,6,-8,2021-12-31
14,7,-7,2021-12-31
14,8,-6,2021-12-31
14,9,-5,2021-12-31
14,10,-4,2021-12-31
14,11,-3,2021-12-31
14,12,-2,2021-12-31
14,13,-1,2021-12-31
14,14,0,2021-12-31
14,15,1,2021-12-31
14,16,2,2021-12-31
14,17,3,2021-12-31
14,18,4,2021-12-31
14,19,5,2021-12-31
14,20,6,2021-12-31
14,21,7,2021-12-31
14,22,8,2021-12-31
14,23,9,2021-12-31
14,24,10,2021-12-31
14,25,11,2021-12-31
14,26,12,2021-12-31
14,27,13,2021-12-31
14,28,14,2021-12-31
14,29,15,2021-12-31
14,30,16,2021-12-31
14,31,17,2021-12-31
14,32,18,2021-12-31
14,33,19,2021-12-31
14,34,20,2021-12-31
14,35,21,2021-12-31
14,36,22,2021-12-31
14,37,23,2021-12-31
14,38,24,2021-12-31
14,39,25,2021-12-31
14,40,26,2021-12-31
14,41,27,2021-12-31
14,42,28,2021-12-31
14,43,29,2021-12-31
14,44,30,2021-12-31
14,45,31,2021-12-31
14,46,32,2021-12-31
14,47,33,2021-12-31
14,48,34,2021-12-31
15,49,34,2022-01-01
16,50,34,2022-01-02
17,51,34,2022-01-03
18,52,34,2022-01-04
19,53,34,2022-01-05
20,54,34,2022-01-06
21,55,34,2022-01-07
22,56,34,2022-01-08
23,56,33,2022-01-09
24,56,32,2022-01-10
25,57,32,2022-01-11
26,58,32,2022-01-12
26,59,33,2022-01-12
26,60,34,2022-01-12
27,61,34,2022-01-13
28,62,34,2022-01-14
29,63,34,2022-01-15
30,64,34,2022-01-16
31,65,34,2022-01-17
32,66,34,2022-01-18
33,66,33,2022-01-19
34,66,32,2022-01-20
35,66,31,2022-01-21
36,66,30,2022-01-22
37,66,29,2022-01-23
38,66,28,2022-01-24
39,67,28,2022-01-25
40,67,27,2022-01-26
41,67,26,2022-01-27
42,67,25,2022-01-28
43,67,24,2022-01-29
44,67,23,2022-01-30
45,67,22,2022-01-31
46,67,21,2022-02-01
47,67,20,2022-02-02
48,68,20,2022-02-03
49,69,20,2022-02-04
49,70,21,2022-02-04
50,71,21,2022-02-05
50,72,22,2022-02-05
50,73,23,2022-02-05
50,74,24,2022-02-05
50,75,25,2022-02-05
50,76,26,2022-02-05
51,77,26,2022-02-06
52,78,26,2022-02-07
53,78,25,2022-02-08
54,79,25,2022-02-09
55,80,25,2022-02-10
56,81,25,2022-02-11
56,82,26,2022-02-11
57,83,26,2022-02-12
58,83,25,2022-02-13
59,84,25,2022-02-14
60,84,24,2022-02-15
61,84,23,2022-02-16
62,84,22,2022-02-17
63,84,21,2022-02-18
64,84,20,2022-02-19
65,84,19,2022-02-20
66,84,18,2022-02-21
67,84,17,2022-02-22
68,84,16,2022-02-23
69,84,15,2022-02-24
70,84,14,2022-02-25
71,84,13,2022-02-26
72,85,13,2022-02-27
73,85,12,2022-02-28
74,85,11,2022-03-01
75,85,10,2022-03-02
76,85,9,2022-03-03
77,85,8,2022-03-04
78,85,7,2022-03-05
79,85,6,2022-03-06
80,85,5,2022-03-07
81,85,4,2022-03-08
82,85,3,2022-03-09
83,86,3,2022-03-10
84,87,3,2022-03-11
85,88,3,2022-03-12
86,89,3,2022-03-13
87,90,3,2022-03-14
87,91,4,2022-03-14
87,92,5,2022-03-14
87,93,6,2022-03-14
87,94,7,2022-03-14
87,95,8,2022-03-14
87,96,9,2022-03-14
87,97,10,2022-03-14
87,98,11,2022-03-14
87,99,12,2022-03-14
87,100,13,2022-03-14
87,101,14,2022-03-14
87,102,15,2022-03-14
87,103,16,2022-03-14
87,104,17,2022-03-14
87,105,18,2022-03-14
87,106,19,2022-03-14
87,107,20,2022-03-14
87,108,21,2022-03-14
87,109,22,2022-03-14
87,110,23,2022-03-14
87,111,24,2022-03-14
87,112,25,2022-03-14
87,113,26,2022-03-14
87,114,27,2022-03-14
87,115,28,2022-03-14
87,116,29,2022-03-14
87,117,30,2022-03-14
87,118,31,2022-03-14
87,119,32,2022-03-14
87,120,33,2022-03-14
88,121,33,2022-03-15
89,122,33,2022-03-16
90,122,32,2022-03-17
91,122,31,2022-03-18
92,122,30,2022-03-19
93,122,29,2022-03-20
94,122,28,2022-03-21
95,122,27,2022-03-22
96,122,26,2022-03-23
97,122,25,2022-03-24
98,123,25,2022-03-25
98,124,26,2022-03-25
98,125,27,2022-03-25
98,126,28,2022-03-25
98,127,29,2022-03-25
99,128,29,2022-03-26
100,129,29,2022-03-27
101,130,29,2022-03-28
102,130,28,2022-03-29
103,130,27,2022-03-30
104,130,26,2022-03-31
105,131,26,2022-04-01
106,132,26,2022-04-02
106,133,27,2022-04-02
106,134,28,2022-04-02
106,135,29,2022-04-02
106,136,30,2022-04-02
106,137,31,2022-04-02
106,138,32,2022-04-02
106,139,33,2022-04-02
106,140,34,2022-04-02
107,141,34,2022-04-03
108,142,34,2022-04-04
109,143,34,2022-04-05
110,144,34,2022-04-06
111,145,34,2022-04-07
112,145,33,2022-04-08
113,146,33,2022-04-09
113,147,34,2022-04-09
114,148,34,2022-04-10
115,149,34,2022-04-11
116,150,34,2022-04-12
117,151,34,2022-04-13
118,152,34,2022-04-14
119,152,33,2022-04-15
120,153,33,2022-04-16
121,154,33,2022-04-17
122,155,33,2022-04-18
123,156,33,2022-04-19
124,157,33,2022-04-20
125,158,33,2022-04-21
126,159,33,2022-04-22
127,159,32,2022-04-23
128,159,31,2022-04-24
129,159,30,2022-04-25
130,159,29,2022-04-26
131,159,28,2022-04-27
132,159,27,2022-04-28
133,159,26,2022-04-29
134,159,25,2022-04-30
135,159,24,2022-05-01
136,159,23,2022-05-02
137,159,22,2022-05-03
138,159,21,2022-05-04
139,159,20,2022-05-05
140,159,19,2022-05-06
141,159,18,2022-05-07
142,159,17,2022-05-08
143,159,16,2022-05-09
144,159,15,2022-05-10
145,159,14,2022-05-11
146,159,13,2022-05-12
147,159,12,2022-05-13
148,159,11,2022-05-14
149,159,10,2022-05-15
150,159,9,2022-05-16
151,159,8,2022-05-17
152,159,7,2022-05-18
153,159,6,2022-05-19
154,159,5,2022-05-20
155,159,4,2022-05-21
156,159,3,2022-05-22
157,159,2,2022-05-23
158,159,1,2022-05-24
159,159,0,2022-05-25
160,159,-1,2022-05-26
161,159,-2,2022-05-27
162,159,-3,2022-05-28
163,159,-4,2022-05-29
164,159,-5,2022-05-30
165,159,-6,2022-05-31
166,159,-7,2022-06-01
167,159,-8,2022-06-02
168,159,-9,2022-06-03
169,160,-9,2022-06-04
170,161,-9,2022-06-05
171,162,-9,2022-06-06
171,163,-8,2022-06-06
171,164,-7,2022-06-06
172,165,-7,2022-06-07
173,165,-8,2022-06-08
174,165,-9,2022-06-09
175,165,-10,2022-06-10
176,165,-11,2022-06-11
177,165,-12,2022-06-12
178,165,-13,2022-06-13
179,165,-14,2022-06-14
180,165,-15,2022-06-15
181,165,-16,2022-06-16
182,165,-17,2022-06-17
183,165,-18,2022-06-18
184,165,-19,2022-06-19
185,166,-19,2022-06-20
186,167,-19,2022-06-21
186,168,-18,2022-06-21
187,169,-18,2022-06-22
188,170,-18,2022-06-23
189,170,-19,2022-06-24
190,170,-20,2022-06-25
191,171,-20,2022-06-26
192,172,-20,2022-06-27
193,173,-20,2022-06-28
193,174,-19,2022-06-28
193,175,-18,2022-06-28
193,176,-17,2022-06-28
193,177,-16,2022-06-28
193,178,-15,2022-06-28
193,179,-14,2022-06-28
193,180,-13,2022-06-28
193,181,-12,2022-06-28
193,182,-11,2022-06-28
193,183,-10,2022-06-28
193,184,-9,2022-06-28
193,185,-8,2022-06-28
193,186,-7,2022-06-28
193,187,-6,2022-06-28
193,188,-5,2022-06-28
193,189,-4,2022-06-28
193,190,-3,2022-06-28
193,191,-2,2022-06-28
193,192,-1,2022-06-28
193,193,0,2022-06-28
193,194,1,2022-06-28
193,195,2,2022-06-28
193,196,3,2022-06-28
193,197,4,2022-06-28
193,198,5,2022-06-28
193,199,6,2022-06-28
193,200,7,2022-06-28
193,201,8,2022-06-28
193,202,9,2022-06-28
193,203,10,2022-06-28
193,204,11,2022-06-28
193,205,12,2022-06-28
193,206,13,2022-06-28
193,207,14,2022-06-28
193,208,15,2022-06-28
193,209,16,2022-06-28
193,210,17,2022-06-28
193,211,18,2022-06-28
193,212,19,2022-06-28
193,213,20,2022-06-28
193,214,21,2022-06-28
193,215,22,2022-06-28
193,216,23,2022-06-28
193,217,24,2022-06-28
193,218,25,2022-06-28
193,219,26,2022-06-28
193,220,27,2022-06-28
193,221,28,2022-06-28
193,222,29,2022-06-28
193,223,30,2022-06-28
193,224,31,2022-06-28
193,225,32,2022-06-28
194,226,32,2022-06-29
195,226,31,2022-06-30
196,226,30,2022-07-01
197,226,29,2022-07-02
198,226,28,2022-07-03
199,226,27,2022-07-04
200,226,26,2022-07-05
201,226,25,2022-07-06
202,226,24,2022-07-07
203,226,23,2022-07-08
204,226,22,2022-07-09
205,226,21,2022-07-10
206,226,20,2022-07-11
207,226,19,2022-07-12
208,226,18,2022-07-13
209,226,17,2022-07-14
210,227,17,2022-07-15
211,227,16,2022-07-16
212,227,15,2022-07-17
213,227,14,2022-07-18
214,228,14,2022-07-19
214,229,15,2022-07-19
214,230,16,2022-07-19
214,231,17,2022-07-19
214,232,18,2022-07-19
214,233,19,2022-07-19
214,234,20,2022-07-19
215,235,20,2022-07-20
216,235,19,2022-07-21
217,235,18,2022-07-22
218,235,17,2022-07-23
219,235,16,2022-07-24
220,235,15,2022-07-25
221,235,14,2022-07-26
222,235,13,2022-07-27
223,235,12,2022-07-28
224,235,11,2022-07-29
225,236,11,2022-07-30
226,236,10,2022-07-31
227,237,10,2022-08-01
228,238,10,2022-08-02
229,239,10,2022-08-03
229,240,11,2022-08-03
229,241,12,2022-08-03
229,242,13,2022-08-03
229,243,14,2022-08-03
230,244,14,2022-08-04
231,245,14,2022-08-05
232,246,14,2022-08-06
233,246,13,2022-08-07
234,246,12,2022-08-08
235,246,11,2022-08-09
236,246,10,2022-08-10
237,246,9,2022-08-11
238,246,8,2022-08-12
239,246,7,2022-08-13
240,246,6,2022-08-14
241,246,5,2022-08-15
242,247,5,2022-08-16
242,248,6,2022-08-16
242,249,7,2022-08-16
242,250,8,2022-08-16
242,251,9,2022-08-16
242,252,10,2022-08-16
243,253,10,2022-08-17
244,254,10,2022-08-18
244,255,11,2022-08-18
244,256,12,2022-08-18
245,257,12,2022-08-19
246,258,12,2022-08-20
247,259,12,2022-08-21
248,260,12,2022-08-22
249,261,12,2022-08-23
249,262,13,2022-08-23
249,263,14,2022-08-23
249,264,15,2022-08-23
249,265,16,2022-08-23
249,266,17,2022-08-23
249,267,18,2022-08-23
249,268,19,2022-08-23
249,269,20,2022-08-23
249,270,21,2022-08-23
249,271,22,2022-08-23
249,272,23,2022-08-23
249,273,24,2022-08-23
249,274,25,2022-08-23
249,275,26,2022-08-23
249,276,27,2022-08-23
249,277,28,2022-08-23
249,278,29,2022-08-23
249,279,30,2022-08-23
249,280,31,2022-08-23
249,281,32,2022-08-23
249,282,33,2022-08-23
249,283,34,2022-08-23
250,284,34,2022-08-24
251,285,34,2022-08-25
252,286,34,2022-08-26
253,287,34,2022-08-27
254,288,34,2022-08-28
255,289,34,2022-08-29
256,289,33,2022-08-30
257,289,32,2022-08-31
258,289,31,2022-09-01
259,290,31,2022-09-02
260,291,31,2022-09-03
261,292,31,2022-09-04
262,293,31,2022-09-05
263,294,31,2022-09-06
264,295,31,2022-09-07
265,295,30,2022-09-08
266,295,29,2022-09-09
267,295,28,2022-09-10
268,295,27,2022-09-11
269,295,26,2022-09-12
270,295,25,2022-09-13
271,295,24,2022-09-14
272,295,23,2022-09-15
273,295,22,2022-09-16
274,295,21,2022-09-17
275,295,20,2022-09-18
276,295,19,2022-09-19
277,295,18,2022-09-20
278,295,17,2022-09-21
279,295,16,2022-09-22
280,295,15,2022-09-23
281,295,14,2022-09-24
282,295,13,2022-09-25
283,296,13,2022-09-26
284,297,13,2022-09-27
285,297,12,2022-09-28
286,297,11,2022-09-29
287,297,10,2022-09-30
288,298,10,2022-10-01
289,298,9,2022-10-02
290,298,8,2022-10-03
291,299,8,2022-10-04
292,300,8,2022-10-05
292,301,9,2022-10-05
292,302,10,2022-10-05
292,303,11,2022-10-05
293,304,11,2022-10-06
294,305,11,2022-10-07
295,305,10,2022-10-08
296,305,9,2022-10-09
297,305,8,2022-10-10
298,305,7,2022-10-11
299,305,6,2022-10-12
300,305,5,2022-10-13
301,305,4,2022-10-14
302,305,3,2022-10-15
303,305,2,2022-10-16
304,305,1,2022-10-17
305,305,0,2022-10-18
306,305,-1,2022-10-19
307,305,-2,2022-10-20
308,305,-3,2022-10-21
309,305,-4,2022-10-22
310,305,-5,2022-10-23
311,305,-6,2022-10-24
312,305,-7,2022-10-25
313,305,-8,2022-10-26
314,305,-9,2022-10-27
315,305,-10,2022-10-28
316,305,-11,2022-10-29
317,305,-12,2022-10-30
318,305,-13,2022-10-31
319,305,-14,2022-11-01
320,305,-15,2022-11-02
321,305,-16,2022-11-03
322,305,-17,2022-11-04
323,305,-18,2022-11-05
324,305,-19,2022-11-06
325,305,-20,2022-11-07
326,305,-21,2022-11-08
327,305,-22,2022-11-09
328,305,-23,2022-11-10
329,305,-24,2022-11-11
330,305,-25,2022-11-12
331,305,-26,2022-11-13
332,306,-26,2022-11-14
333,307,-26,2022-11-15
333,308,-25,2022-11-15
333,309,-24,2022-11-15
333,310,-23,2022-11-15
333,311,-22,2022-11-15
333,312,-21,2022-11-15
333,313,-20,2022-11-15
333,314,-19,2022-11-15
333,315,-18,2022-11-15
333,316,-17,2022-11-15
333,317,-16,2022-11-15
334,318,-16,2022-11-16
335,319,-16,2022-11-17
336,319,-17,2022-11-18
337,319,-18,2022-11-19
338,319,-19,2022-11-20
339,319,-20,2022-11-21
340,319,-21,2022-11-22
341,319,-22,2022-11-23
342,319,-23,2022-11-24
343,319,-24,2022-11-25
344,319,-25,2022-11-26
345,319,-26,2022-11-27
346,320,-26,2022-11-28
346,321,-25,2022-11-28
346,322,-24,2022-11-28
346,323,-23,2022-11-28
346,324,-22,2022-11-28
346,325,-21,2022-11-28
346,326,-20,2022-11-28
346,327,-19,2022-11-28
346,328,-18,2022-11-28
346,329,-17,2022-11-28
347,330,-17,2022-11-29
348,330,-18,2022-11-30
349,330,-19,2022-12-01
350,330,-20,2022-12-02
351,330,-21,2022-12-03
352,331,-21,2022-12-04
353,332,-21,2022-12-05
353,333,-20,2022-12-05
353,334,-19,2022-12-05
353,335,-18,2022-12-05
353,336,-17,2022-12-05
353,337,-16,2022-12-05
353,338,-15,2022-12-05
353,339,-14,2022-12-05
353,340,-13,2022-12-05
353,341,-12,2022-12-05
353,342,-11,2022-12-05
353,343,-10,2022-12-05
354,344,-10,2022-12-06
355,345,-10,2022-12-07
356,346,-10,2022-12-08
357,346,-11,2022-12-09
358,347,-11,2022-12-10
358,348,-10,2022-12-10
359,349,-10,2022-12-11
360,350,-10,2022-12-12
361,350,-11,2022-12-13
362,351,-11,2022-12-14
362,352,-10,2022-12-14
362,353,-9,2022-12-14
362,354,-8,2022-12-14
362,355,-7,2022-12-14
362,356,-6,2022-12-14
363,357,-6,2022-12-15
364,358,-6,2022-12-16
365,358,-7,2022-12-17
366,358,-8,2022-12-18
367,358,-9,2022-12-19
368,358,-10,2022-12-20
369,358,-11,2022-12-21
370,358,-12,2022-12-22
371,358,-13,2022-12-23
372,358,-14,2022-12-24
373,358,-15,2022-12-25
374,358,-16,2022-12-26
375,358,-17,2022-12-27
376,358,-18,2022-12-28
377,359,-18,2022-12-29
378,360,-18,2022-12-30
379,361,-18,2022-12-31
379,362,-17,2022-12-31
379,363,-16,2022-12-31
380,364,-16,2023-01-01
381,365,-16,2023-01-02
382,366,-16,2023-01-03
383,367,-16,2023-01-04
384,368,-16,2023-01-05
385,369,-16,2023-01-06
386,370,-16,2023-01-07
386,371,-15,2023-01-07
386,372,-14,2023-01-07
387,373,-14,2023-01-08
388,374,-14,2023-01-09
389,374,-15,2023-01-10
390,374,-16,2023-01-11
391,374,-17,2023-01-12
392,374,-18,2023-01-13
393,375,-18,2023-01-14
394,376,-18,2023-01-15
395,377,-18,2023-01-16
396,378,-18,2023-01-17
397,379,-18,2023-01-18
398,380,-18,2023-01-19
399,381,-18,2023-01-20
400,382,-18,2023-01-21
401,383,-18,2023-01-22
402,384,-18,2023-01-23
403,385,-18,2023-01-24
404,386,-18,2023-01-25
405,387,-18,2023-01-26
406,388,-18,2023-01-27
407,389,-18,2023-01-28
408,390,-18,2023-01-29
409,391,-18,2023-01-30
410,392,-18,2023-01-31
411,393,-18,2023-02-01
412,394,-18,2023-02-02
413,395,-18,2023-02-03
414,396,-18,2023-02-04
415,397,-18,2023-02-05
416,398,-18,2023-02-06
417,399,-18,2023-02-07
418,400,-18,2023-02-08
418,401,-17,2023-02-08
418,402,-16,2023-02-08
418,403,-15,2023-02-08
418,404,-14,2023-02-08
418,405,-13,2023-02-08
418,406,-12,2023-02-08
418,407,-11,2023-02-08
418,408,-10,2023-02-08
418,409,-9,2023-02-08
418,410,-8,2023-02-08
418,411,-7,2023-02-08
418,412,-6,2023-02-08
418,413,-5,2023-02-08
418,414,-4,2023-02-08
418,415,-3,2023-02-08
418,416,-2,2023-02-08
418,417,-1,2023-02-08
418,418,0,2023-02-08
