DATE,lag_days
2021-12-17,0.0
2021-12-18,-1.0
2021-12-19,-2.0
2021-12-20,-2.0
2021-12-21,-2.0
2021-12-22,-2.0
2021-12-23,-2.0
2021-12-24,-2.0
2021-12-25,-2.0
2021-12-26,-2.0
2021-12-27,-2.0
2021-12-28,-2.0
2021-12-29,16.0
2021-12-30,34.0
2021-12-31,34.0
2022-01-01,34.0
2022-01-02,34.0
2022-01-03,34.0
2022-01-04,34.0
2022-01-05,34.0
2022-01-06,34.0
2022-01-07,34.0
2022-01-08,34.0
2022-01-09,34.0
2022-01-10,34.0
2022-01-11,34.0
2022-01-12,34.0
2022-01-13,34.0
2022-01-14,34.0
2022-01-15,34.0
2022-01-16,34.0
2022-01-17,34.0
2022-01-18,34.0
2022-01-19,34.0
2022-01-20,34.0
2022-01-21,34.0
2022-01-22,34.0
2022-01-23,34.0
2022-01-24,34.0
2022-01-25,34.0
2022-01-26,34.0
2022-01-27,34.0
2022-01-28,34.0
2022-01-29,34.0
2022-01-30,33.0
2022-01-31,32.0
2022-02-01,31.0
2022-02-02,30.0
2022-02-03,29.0
2022-02-04,28.0
2022-02-05,27.0
2022-02-06,26.0
2022-02-07,25.0
2022-02-08,24.0
2022-02-09,23.0
2022-02-10,22.0
2022-02-11,21.0
2022-02-12,21.0
2022-02-13,22.0
2022-02-14,23.0
2022-02-15,23.0
2022-02-16,23.0
2022-02-17,22.0
2022-02-18,22.0
2022-02-19,21.0
2022-02-20,20.0
2022-02-21,19.0
2022-02-22,19.0
2022-02-23,18.0
2022-02-24,17.0
2022-02-25,16.0
2022-02-26,15.0
2022-02-27,14.0
2022-02-28,13.0
2022-03-01,12.0
2022-03-02,11.0
2022-03-03,10.0
2022-03-04,10.0
2022-03-05,9.0
2022-03-06,8.0
2022-03-07,7.0
2022-03-08,6.0
2022-03-09,5.0
2022-03-10,4.0
2022-03-11,4.0
2022-03-12,4.0
2022-03-13,4.0
2022-03-14,4.0
2022-03-15,12.5
2022-03-16,21.0
2022-03-17,21.0
2022-03-18,21.0
2022-03-19,20.0
2022-03-20,19.0
2022-03-21,18.0
2022-03-22,17.0
2022-03-23,16.0
2022-03-24,15.0
2022-03-25,14.0
2022-03-26,13.0
2022-03-27,12.0
2022-03-28,11.0
2022-03-29,10.0
2022-03-30,9.0
2022-03-31,8.0
2022-04-01,7.0
2022-04-02,6.0
2022-04-03,5.0
2022-04-04,4.0
2022-04-05,3.0
2022-04-06,2.0
2022-04-07,1.0
2022-04-08,0.0
2022-04-09,-1.0
2022-04-10,-2.0
2022-04-11,-3.0
2022-04-12,-4.0
2022-04-13,-5.0
2022-04-14,-6.0
2022-04-15,-7.0
2022-04-16,-8.0
2022-04-17,-9.0
2022-04-18,-10.0
2022-04-19,-11.0
2022-04-20,-12.0
2022-04-21,-13.0
2022-04-22,-14.0
2022-04-23,-15.0
2022-04-24,-16.0
2022-04-25,-17.0
2022-04-26,-18.0
2022-04-27,-19.0
2022-04-28,-20.0
2022-04-29,-21.0
2022-04-30,-22.0
2022-05-01,-23.0
2022-05-02,-24.0
2022-05-03,-25.0
2022-05-04,-26.0
2022-05-05,-27.0
2022-05-06,-28.0
2022-05-07,-29.0
2022-05-08,-30.0
2022-05-09,-31.0
2022-05-10,-32.0
2022-05-11,-32.0
2022-05-12,-33.0
2022-05-13,-34.0
2022-05-14,-34.0
2022-05-15,-34.0
2022-05-16,-34.0
2022-05-17,-34.0
2022-05-18,-34.0
2022-05-19,-34.0
2022-05-20,-34.0
2022-05-21,-16.5
2022-05-22,1.0
2022-05-23,0.0
2022-05-24,-1.0
2022-05-25,-2.0
2022-05-26,-2.0
2022-05-27,-3.0
2022-05-28,-4.0
2022-05-29,-5.0
2022-05-30,-5.0
2022-05-31,-6.0
2022-06-01,-7.0
2022-06-02,-7.0
2022-06-03,-8.0
2022-06-04,-8.0
2022-06-05,-9.0
2022-06-06,-9.0
2022-06-07,-10.0
2022-06-08,-10.0
2022-06-09,-10.0
2022-06-10,-11.0
2022-06-11,-11.0
2022-06-12,-11.0
2022-06-13,-12.0
2022-06-14,-4.5
2022-06-15,3.0
2022-06-16,2.0
2022-06-17,2.0
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,1.0
2022-06-21,1.0
2022-06-22,1.0
2022-06-23,0.0
2022-06-24,-1.0
2022-06-25,-2.0
2022-06-26,-3.0
2022-06-27,-4.0
2022-06-28,-5.0
2022-06-29,-6.0
2022-06-30,-6.0
2022-07-01,-6.0
2022-07-02,-6.0
2022-07-03,-6.0
2022-07-04,-6.0
2022-07-05,-6.0
2022-07-06,-7.0
2022-07-07,-7.0
2022-07-08,-7.0
2022-07-09,-7.0
2022-07-10,-7.0
2022-07-11,-8.0
2022-07-12,-9.0
2022-07-13,-10.0
2022-07-14,-10.0
2022-07-15,-10.0
2022-07-16,-10.0
2022-07-17,-10.0
2022-07-18,-10.0
2022-07-19,-11.0
2022-07-20,-11.0
2022-07-21,-11.0
2022-07-22,-11.0
2022-07-23,0.0
2022-07-24,11.5
2022-07-25,12.0
2022-07-26,12.0
2022-07-27,12.0
2022-07-28,12.0
2022-07-29,12.0
2022-07-30,11.0
2022-07-31,11.0
2022-08-01,10.0
2022-08-02,9.0
2022-08-03,9.0
2022-08-04,8.0
2022-08-05,7.0
2022-08-06,6.0
2022-08-07,5.0
2022-08-08,4.0
2022-08-09,3.0
2022-08-10,2.0
2022-08-11,1.0
2022-08-12,0.0
2022-08-13,-1.0
2022-08-14,-1.0
2022-08-15,-2.0
2022-08-16,-3.0
2022-08-17,8.5
2022-08-18,20.0
2022-08-19,19.0
2022-08-20,18.0
2022-08-21,17.0
2022-08-22,16.0
2022-08-23,15.0
2022-08-24,14.0
2022-08-25,14.0
2022-08-26,13.0
2022-08-27,12.0
2022-08-28,11.0
2022-08-29,10.0
2022-08-30,9.0
2022-08-31,8.0
2022-09-01,7.0
2022-09-02,6.0
2022-09-03,6.0
2022-09-04,5.0
2022-09-05,4.0
2022-09-06,3.0
2022-09-07,2.0
2022-09-08,1.0
2022-09-09,0.0
2022-09-10,-1.0
2022-09-11,-2.0
2022-09-12,-3.0
2022-09-13,0.0
2022-09-14,3.0
2022-09-15,3.0
2022-09-16,2.0
2022-09-17,1.0
2022-09-18,0.0
2022-09-19,-1.0
2022-09-20,-2.0
2022-09-21,-3.0
2022-09-22,-3.0
2022-09-23,-4.0
2022-09-24,-5.0
2022-09-25,-6.0
2022-09-26,-7.0
2022-09-27,-7.0
2022-09-28,-8.0
