i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,1,-2,2021-12-20
4,2,-2,2021-12-21
5,3,-2,2021-12-22
6,4,-2,2021-12-23
7,5,-2,2021-12-24
8,6,-2,2021-12-25
9,7,-2,2021-12-26
10,8,-2,2021-12-27
11,9,-2,2021-12-28
12,10,-2,2021-12-29
12,11,-1,2021-12-29
12,12,0,2021-12-29
12,13,1,2021-12-29
12,14,2,2021-12-29
12,15,3,2021-12-29
12,16,4,2021-12-29
12,17,5,2021-12-29
12,18,6,2021-12-29
12,19,7,2021-12-29
12,20,8,2021-12-29
12,21,9,2021-12-29
12,22,10,2021-12-29
12,23,11,2021-12-29
12,24,12,2021-12-29
12,25,13,2021-12-29
12,26,14,2021-12-29
12,27,15,2021-12-29
12,28,16,2021-12-29
12,29,17,2021-12-29
12,30,18,2021-12-29
12,31,19,2021-12-29
12,32,20,2021-12-29
12,33,21,2021-12-29
12,34,22,2021-12-29
12,35,23,2021-12-29
12,36,24,2021-12-29
12,37,25,2021-12-29
12,38,26,2021-12-29
12,39,27,2021-12-29
12,40,28,2021-12-29
12,41,29,2021-12-29
12,42,30,2021-12-29
12,43,31,2021-12-29
12,44,32,2021-12-29
12,45,33,2021-12-29
12,46,34,2021-12-29
13,47,34,2021-12-30
14,48,34,2021-12-31
15,49,34,2022-01-01
16,50,34,2022-01-02
17,51,34,2022-01-03
18,52,34,2022-01-04
19,53,34,2022-01-05
20,54,34,2022-01-06
21,55,34,2022-01-07
22,56,34,2022-01-08
23,57,34,2022-01-09
24,58,34,2022-01-10
25,59,34,2022-01-11
26,60,34,2022-01-12
27,61,34,2022-01-13
28,62,34,2022-01-14
29,63,34,2022-01-15
30,64,34,2022-01-16
31,65,34,2022-01-17
32,66,34,2022-01-18
33,67,34,2022-01-19
34,68,34,2022-01-20
35,69,34,2022-01-21
36,70,34,2022-01-22
37,71,34,2022-01-23
38,72,34,2022-01-24
39,73,34,2022-01-25
40,74,34,2022-01-26
41,75,34,2022-01-27
42,76,34,2022-01-28
43,77,34,2022-01-29
44,77,33,2022-01-30
45,77,32,2022-01-31
46,77,31,2022-02-01
47,77,30,2022-02-02
48,77,29,2022-02-03
49,77,28,2022-02-04
50,77,27,2022-02-05
51,77,26,2022-02-06
52,77,25,2022-02-07
53,77,24,2022-02-08
54,77,23,2022-02-09
55,77,22,2022-02-10
56,77,21,2022-02-11
57,78,21,2022-02-12
58,79,21,2022-02-13
58,80,22,2022-02-13
58,81,23,2022-02-13
59,82,23,2022-02-14
60,83,23,2022-02-15
61,84,23,2022-02-16
62,84,22,2022-02-17
63,85,22,2022-02-18
64,85,21,2022-02-19
65,85,20,2022-02-20
66,85,19,2022-02-21
67,86,19,2022-02-22
68,86,18,2022-02-23
69,86,17,2022-02-24
70,86,16,2022-02-25
71,86,15,2022-02-26
72,86,14,2022-02-27
73,86,13,2022-02-28
74,86,12,2022-03-01
75,86,11,2022-03-02
76,86,10,2022-03-03
77,87,10,2022-03-04
78,87,9,2022-03-05
79,87,8,2022-03-06
80,87,7,2022-03-07
81,87,6,2022-03-08
82,87,5,2022-03-09
83,87,4,2022-03-10
84,88,4,2022-03-11
85,89,4,2022-03-12
86,90,4,2022-03-13
87,91,4,2022-03-14
88,92,4,2022-03-15
88,93,5,2022-03-15
88,94,6,2022-03-15
88,95,7,2022-03-15
88,96,8,2022-03-15
88,97,9,2022-03-15
88,98,10,2022-03-15
88,99,11,2022-03-15
88,100,12,2022-03-15
88,101,13,2022-03-15
88,102,14,2022-03-15
88,103,15,2022-03-15
88,104,16,2022-03-15
88,105,17,2022-03-15
88,106,18,2022-03-15
88,107,19,2022-03-15
88,108,20,2022-03-15
88,109,21,2022-03-15
89,110,21,2022-03-16
90,111,21,2022-03-17
91,112,21,2022-03-18
92,112,20,2022-03-19
93,112,19,2022-03-20
94,112,18,2022-03-21
95,112,17,2022-03-22
96,112,16,2022-03-23
97,112,15,2022-03-24
98,112,14,2022-03-25
99,112,13,2022-03-26
100,112,12,2022-03-27
101,112,11,2022-03-28
102,112,10,2022-03-29
103,112,9,2022-03-30
104,112,8,2022-03-31
105,112,7,2022-04-01
106,112,6,2022-04-02
107,112,5,2022-04-03
108,112,4,2022-04-04
109,112,3,2022-04-05
110,112,2,2022-04-06
111,112,1,2022-04-07
112,112,0,2022-04-08
113,112,-1,2022-04-09
114,112,-2,2022-04-10
115,112,-3,2022-04-11
116,112,-4,2022-04-12
117,112,-5,2022-04-13
118,112,-6,2022-04-14
119,112,-7,2022-04-15
120,112,-8,2022-04-16
121,112,-9,2022-04-17
122,112,-10,2022-04-18
123,112,-11,2022-04-19
124,112,-12,2022-04-20
125,112,-13,2022-04-21
126,112,-14,2022-04-22
127,112,-15,2022-04-23
128,112,-16,2022-04-24
