COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P3,7,0.06867725572906465,0.0,7.0,0.4755905511811024,0,448,1.0,1.0,-0.9573823665291372,-0.923309047072169
Big Horn County,P3,7,0.06300978400120444,-1.0,7.0,0.5684039087947883,0,448,0.48172757475083056,0.5614617940199336,0.8980339338317497,0.36048472724746644
Campbell County,P3,7,0.06853114306914716,1.0,7.0,0.39669421487603307,0,448,0.521594684385382,0.574750830564784,0.7390383675159986,0.4500620845614471
Carbon County,P3,7,0.06830676033090957,1.0,8.0,0.4380165289256198,0,448,0.4950166112956811,0.6112956810631229,0.7011190957971831,0.14644778773493436
Converse County,P3,7,0.06636748728838517,-2.0,6.0,0.5786163522012578,0,448,0.06976744186046512,0.11960132890365449,2.346168497886507,1.8192538386793429
Crook County,P3,7,0.06270994927072476,-1.0,7.0,0.5008183306055647,0,448,0.5548172757475083,0.5514950166112956,0.5460535158669609,0.5131582968155735
Fremont County,P3,7,0.0689494227379892,-1.0,8.0,0.5176848874598071,0,448,0.45514950166112955,0.5581395348837209,0.741998516004452,0.44453513509662645
Goshen County,P3,7,0.06839829888676623,-1.0,7.0,0.5121555915721232,0,448,0.5083056478405316,0.5880398671096345,0.58102931510743,0.2510724695945584
Hot Springs County,P3,7,0.06149678288191168,0.0,7.0,0.4707740916271722,0,448,1.0,1.0,-0.849108695177149,-1.0332044836656311
Johnson County,P3,7,0.06621263691825738,0.0,8.0,0.49750415973377704,0,448,1.0,1.0,-0.9900181372984145,-1.034090695175708
Laramie County,P3,7,0.06721470809081456,1.0,6.0,0.40717628705148207,0,448,0.49169435215946844,0.5116279069767442,0.8003941969917195,0.7404987296275803
Lincoln County,P3,7,0.06682342148518904,0.0,8.0,0.4555921052631579,0,448,1.0,1.0,-0.8871479746084494,-0.9668946234460243
Natrona County,P3,7,0.06697713318160833,-1.5,7.0,0.5644654088050315,0,448,0.08637873754152824,0.10299003322259136,1.3683419323334014,1.2952208127375013
Niobrara County,P3,7,0.061970779700036394,-2.0,8.0,0.5748299319727891,0,448,0.13953488372093023,0.31561461794019935,1.6696143796299947,0.8674212840944899
Park County,P3,7,0.06815702462395676,1.0,6.0,0.4080370942812983,0,448,0.4750830564784053,0.4750830564784053,0.8583187844199367,0.7595959468987389
Platte County,P3,7,0.054341676357834774,-1.0,6.0,0.5134281200631912,0,448,0.4053156146179402,0.5249169435215947,1.1348659667230883,0.5700206899816891
Sheridan County,P3,7,0.06792504205215912,1.0,6.0,0.41272430668841764,0,448,0.49169435215946844,0.4850498338870432,0.7111051729925085,0.6660732115574406
Sublette County,P3,7,0.06761994735337357,1.0,7.0,0.4343598055105348,0,448,0.3654485049833887,0.6013289036544851,1.3189992555511845,0.4661592549381378
Sweetwater County,P3,7,0.06625395470487984,0.0,6.0,0.48575949367088606,0,448,1.0,1.0,-1.0486489649682933,-0.9953082672454592
Teton County,P3,7,0.06754694715110712,-1.0,5.0,0.5077639751552795,0,448,0.5149501661129569,0.4950166112956811,0.8260802022747663,0.6707548930405097
Uinta County,P3,7,0.06679820504067632,1.5,7.0,0.375,0,448,0.053156146179401995,0.12292358803986711,1.5513027095093237,1.2226254368915663
Washakie County,P3,7,0.06791089207828654,1.0,8.0,0.40166666666666667,0,448,0.6179401993355482,0.5780730897009967,0.43027134262850264,0.37133955151982045
Weston County,P3,7,0.0687628774894005,0.0,8.0,0.44243421052631576,0,448,1.0,1.0,-0.9008136089550953,-1.1123229187611714
