county,source_lag_column,cp_date,direction,from_sign,to_sign,lag_at_cp_raw,lag_at_cp_smoothed
Platte_County,lag_days,2020-04-14,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2020-06-30,neg→pos,-1,1,3.5,3.5000000000000027
Platte_County,lag_days,2020-07-13,pos→neg,1,-1,-1.0,-1.0476190476190483
Platte_County,lag_days,2020-07-22,neg→pos,-1,1,5.5,5.5000000000000036
Platte_County,lag_days,2020-08-16,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2020-10-02,neg→pos,-1,1,4.0,0.6190476190476197
Platte_County,lag_days,2020-10-11,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2020-11-27,neg→pos,-1,1,3.0,1.42857142857143
Platte_County,lag_days,2020-12-02,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2020-12-22,neg→pos,-1,1,4.0,4.000000000000003
Platte_County,lag_days,2021-01-10,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2021-01-29,neg→pos,-1,1,3.0,0.04761904761904767
Platte_County,lag_days,2021-02-02,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2021-02-13,neg→pos,-1,1,2.0,2.0952380952380967
Platte_County,lag_days,2021-03-23,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2021-05-13,neg→pos,-1,1,1.5,1.5476190476190488
Platte_County,lag_days,2021-05-26,pos→neg,1,-1,-1.0,-1.0476190476190483
Platte_County,lag_days,2021-07-19,neg→pos,-1,1,1.0,-0.33333333333333354
Platte_County,lag_days,2021-07-21,pos→neg,1,-1,-1.0,-0.6666666666666671
Platte_County,lag_days,2021-08-14,neg→pos,-1,1,7.0,3.761904761904765
Platte_County,lag_days,2021-08-30,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2021-09-18,neg→pos,-1,1,12.0,6.857142857142863
Platte_County,lag_days,2021-10-06,pos→neg,1,-1,-1.0,-1.0000000000000007
Platte_County,lag_days,2021-10-28,neg→pos,-1,1,5.0,5.214285714285718
