i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
1,6,5,2020-01-23
2,6,4,2020-01-24
3,6,3,2020-01-25
4,6,2,2020-01-26
5,6,1,2020-01-27
6,7,1,2020-01-28
7,8,1,2020-01-29
8,9,1,2020-01-30
9,10,1,2020-01-31
10,11,1,2020-02-01
11,12,1,2020-02-02
12,13,1,2020-02-03
13,14,1,2020-02-04
14,15,1,2020-02-05
15,16,1,2020-02-06
16,17,1,2020-02-07
17,18,1,2020-02-08
18,19,1,2020-02-09
19,20,1,2020-02-10
20,21,1,2020-02-11
21,22,1,2020-02-12
22,23,1,2020-02-13
23,24,1,2020-02-14
24,25,1,2020-02-15
25,26,1,2020-02-16
26,27,1,2020-02-17
27,28,1,2020-02-18
28,29,1,2020-02-19
29,30,1,2020-02-20
30,31,1,2020-02-21
31,32,1,2020-02-22
32,33,1,2020-02-23
33,34,1,2020-02-24
34,35,1,2020-02-25
35,36,1,2020-02-26
36,37,1,2020-02-27
37,38,1,2020-02-28
38,39,1,2020-02-29
39,40,1,2020-03-01
40,41,1,2020-03-02
41,42,1,2020-03-03
42,43,1,2020-03-04
43,44,1,2020-03-05
44,45,1,2020-03-06
45,46,1,2020-03-07
46,47,1,2020-03-08
47,48,1,2020-03-09
48,49,1,2020-03-10
49,50,1,2020-03-11
50,51,1,2020-03-12
51,52,1,2020-03-13
52,53,1,2020-03-14
53,54,1,2020-03-15
54,55,1,2020-03-16
55,56,1,2020-03-17
56,57,1,2020-03-18
57,58,1,2020-03-19
58,59,1,2020-03-20
59,60,1,2020-03-21
60,61,1,2020-03-22
61,62,1,2020-03-23
62,63,1,2020-03-24
63,64,1,2020-03-25
64,65,1,2020-03-26
65,66,1,2020-03-27
66,67,1,2020-03-28
67,68,1,2020-03-29
68,69,1,2020-03-30
69,70,1,2020-03-31
70,71,1,2020-04-01
71,72,1,2020-04-02
72,73,1,2020-04-03
73,74,1,2020-04-04
74,75,1,2020-04-05
75,76,1,2020-04-06
76,77,1,2020-04-07
77,78,1,2020-04-08
78,79,1,2020-04-09
79,80,1,2020-04-10
80,81,1,2020-04-11
81,82,1,2020-04-12
82,83,1,2020-04-13
83,84,1,2020-04-14
84,85,1,2020-04-15
85,86,1,2020-04-16
86,87,1,2020-04-17
87,88,1,2020-04-18
88,89,1,2020-04-19
89,90,1,2020-04-20
90,91,1,2020-04-21
91,92,1,2020-04-22
92,93,1,2020-04-23
93,94,1,2020-04-24
94,95,1,2020-04-25
95,96,1,2020-04-26
96,97,1,2020-04-27
97,98,1,2020-04-28
98,99,1,2020-04-29
99,100,1,2020-04-30
100,101,1,2020-05-01
101,102,1,2020-05-02
102,103,1,2020-05-03
103,104,1,2020-05-04
104,105,1,2020-05-05
105,106,1,2020-05-06
106,107,1,2020-05-07
107,108,1,2020-05-08
108,109,1,2020-05-09
109,110,1,2020-05-10
110,111,1,2020-05-11
111,112,1,2020-05-12
112,113,1,2020-05-13
113,114,1,2020-05-14
114,115,1,2020-05-15
115,116,1,2020-05-16
116,117,1,2020-05-17
117,118,1,2020-05-18
118,119,1,2020-05-19
119,120,1,2020-05-20
120,121,1,2020-05-21
121,122,1,2020-05-22
122,123,1,2020-05-23
123,124,1,2020-05-24
124,125,1,2020-05-25
125,126,1,2020-05-26
126,127,1,2020-05-27
127,128,1,2020-05-28
128,129,1,2020-05-29
129,130,1,2020-05-30
130,131,1,2020-05-31
131,132,1,2020-06-01
132,133,1,2020-06-02
133,134,1,2020-06-03
134,135,1,2020-06-04
135,136,1,2020-06-05
136,137,1,2020-06-06
137,138,1,2020-06-07
138,139,1,2020-06-08
139,140,1,2020-06-09
139,141,2,2020-06-09
139,142,3,2020-06-09
139,143,4,2020-06-09
139,144,5,2020-06-09
139,145,6,2020-06-09
139,146,7,2020-06-09
139,147,8,2020-06-09
139,148,9,2020-06-09
139,149,10,2020-06-09
139,150,11,2020-06-09
139,151,12,2020-06-09
139,152,13,2020-06-09
140,153,13,2020-06-10
141,154,13,2020-06-11
142,155,13,2020-06-12
143,156,13,2020-06-13
144,157,13,2020-06-14
145,158,13,2020-06-15
146,159,13,2020-06-16
147,160,13,2020-06-17
148,161,13,2020-06-18
149,162,13,2020-06-19
150,163,13,2020-06-20
151,164,13,2020-06-21
152,165,13,2020-06-22
153,166,13,2020-06-23
154,167,13,2020-06-24
155,168,13,2020-06-25
156,169,13,2020-06-26
157,170,13,2020-06-27
158,171,13,2020-06-28
159,172,13,2020-06-29
160,173,13,2020-06-30
161,174,13,2020-07-01
162,175,13,2020-07-02
163,176,13,2020-07-03
164,177,13,2020-07-04
165,178,13,2020-07-05
166,179,13,2020-07-06
167,180,13,2020-07-07
168,181,13,2020-07-08
169,182,13,2020-07-09
170,183,13,2020-07-10
171,184,13,2020-07-11
172,185,13,2020-07-12
173,186,13,2020-07-13
174,187,13,2020-07-14
175,188,13,2020-07-15
176,189,13,2020-07-16
177,190,13,2020-07-17
178,191,13,2020-07-18
179,192,13,2020-07-19
180,192,12,2020-07-20
181,192,11,2020-07-21
182,192,10,2020-07-22
183,192,9,2020-07-23
184,192,8,2020-07-24
185,192,7,2020-07-25
186,192,6,2020-07-26
187,192,5,2020-07-27
188,192,4,2020-07-28
189,192,3,2020-07-29
190,192,2,2020-07-30
191,192,1,2020-07-31
192,192,0,2020-08-01
193,192,-1,2020-08-02
194,192,-2,2020-08-03
195,192,-3,2020-08-04
196,192,-4,2020-08-05
197,192,-5,2020-08-06
198,192,-6,2020-08-07
199,192,-7,2020-08-08
200,192,-8,2020-08-09
201,192,-9,2020-08-10
202,192,-10,2020-08-11
203,192,-11,2020-08-12
204,192,-12,2020-08-13
205,193,-12,2020-08-14
206,194,-12,2020-08-15
207,195,-12,2020-08-16
208,196,-12,2020-08-17
209,197,-12,2020-08-18
210,197,-13,2020-08-19
211,198,-13,2020-08-20
212,199,-13,2020-08-21
212,200,-12,2020-08-21
212,201,-11,2020-08-21
212,202,-10,2020-08-21
212,203,-9,2020-08-21
212,204,-8,2020-08-21
212,205,-7,2020-08-21
212,206,-6,2020-08-21
212,207,-5,2020-08-21
212,208,-4,2020-08-21
212,209,-3,2020-08-21
212,210,-2,2020-08-21
212,211,-1,2020-08-21
212,212,0,2020-08-21
212,213,1,2020-08-21
212,214,2,2020-08-21
212,215,3,2020-08-21
213,216,3,2020-08-22
214,216,2,2020-08-23
215,217,2,2020-08-24
216,218,2,2020-08-25
217,219,2,2020-08-26
218,220,2,2020-08-27
218,221,3,2020-08-27
218,222,4,2020-08-27
218,223,5,2020-08-27
218,224,6,2020-08-27
218,225,7,2020-08-27
219,226,7,2020-08-28
220,227,7,2020-08-29
221,228,7,2020-08-30
222,229,7,2020-08-31
223,230,7,2020-09-01
224,231,7,2020-09-02
224,232,8,2020-09-02
224,233,9,2020-09-02
224,234,10,2020-09-02
224,235,11,2020-09-02
225,236,11,2020-09-03
226,236,10,2020-09-04
227,236,9,2020-09-05
228,236,8,2020-09-06
229,236,7,2020-09-07
230,236,6,2020-09-08
231,236,5,2020-09-09
232,236,4,2020-09-10
233,236,3,2020-09-11
234,236,2,2020-09-12
235,236,1,2020-09-13
236,236,0,2020-09-14
237,236,-1,2020-09-15
238,237,-1,2020-09-16
239,238,-1,2020-09-17
239,239,0,2020-09-17
239,240,1,2020-09-17
239,241,2,2020-09-17
239,242,3,2020-09-17
239,243,4,2020-09-17
239,244,5,2020-09-17
240,245,5,2020-09-18
241,246,5,2020-09-19
242,247,5,2020-09-20
243,247,4,2020-09-21
244,247,3,2020-09-22
245,247,2,2020-09-23
246,247,1,2020-09-24
247,248,1,2020-09-25
248,249,1,2020-09-26
249,249,0,2020-09-27
250,249,-1,2020-09-28
251,249,-2,2020-09-29
252,249,-3,2020-09-30
253,249,-4,2020-10-01
254,249,-5,2020-10-02
255,249,-6,2020-10-03
256,249,-7,2020-10-04
257,249,-8,2020-10-05
258,250,-8,2020-10-06
259,251,-8,2020-10-07
260,252,-8,2020-10-08
261,253,-8,2020-10-09
262,254,-8,2020-10-10
263,255,-8,2020-10-11
264,256,-8,2020-10-12
265,257,-8,2020-10-13
266,258,-8,2020-10-14
267,259,-8,2020-10-15
268,260,-8,2020-10-16
269,261,-8,2020-10-17
270,262,-8,2020-10-18
271,263,-8,2020-10-19
272,264,-8,2020-10-20
272,265,-7,2020-10-20
272,266,-6,2020-10-20
272,267,-5,2020-10-20
272,268,-4,2020-10-20
272,269,-3,2020-10-20
273,270,-3,2020-10-21
274,271,-3,2020-10-22
275,272,-3,2020-10-23
276,273,-3,2020-10-24
277,274,-3,2020-10-25
278,275,-3,2020-10-26
279,276,-3,2020-10-27
280,276,-4,2020-10-28
281,276,-5,2020-10-29
282,276,-6,2020-10-30
283,277,-6,2020-10-31
284,278,-6,2020-11-01
285,279,-6,2020-11-02
285,280,-5,2020-11-02
286,281,-5,2020-11-03
287,282,-5,2020-11-04
288,283,-5,2020-11-05
289,283,-6,2020-11-06
290,283,-7,2020-11-07
291,284,-7,2020-11-08
292,285,-7,2020-11-09
292,286,-6,2020-11-09
293,287,-6,2020-11-10
293,288,-5,2020-11-10
293,289,-4,2020-11-10
293,290,-3,2020-11-10
293,291,-2,2020-11-10
293,292,-1,2020-11-10
293,293,0,2020-11-10
293,294,1,2020-11-10
293,295,2,2020-11-10
293,296,3,2020-11-10
293,297,4,2020-11-10
293,298,5,2020-11-10
293,299,6,2020-11-10
294,300,6,2020-11-11
295,300,5,2020-11-12
296,300,4,2020-11-13
297,300,3,2020-11-14
298,300,2,2020-11-15
299,300,1,2020-11-16
300,300,0,2020-11-17
301,300,-1,2020-11-18
302,300,-2,2020-11-19
303,300,-3,2020-11-20
304,301,-3,2020-11-21
304,302,-2,2020-11-21
304,303,-1,2020-11-21
304,304,0,2020-11-21
304,305,1,2020-11-21
305,306,1,2020-11-22
306,307,1,2020-11-23
307,308,1,2020-11-24
308,309,1,2020-11-25
309,310,1,2020-11-26
309,311,2,2020-11-26
309,312,3,2020-11-26
309,313,4,2020-11-26
309,314,5,2020-11-26
310,315,5,2020-11-27
311,315,4,2020-11-28
312,316,4,2020-11-29
313,317,4,2020-11-30
314,318,4,2020-12-01
315,319,4,2020-12-02
316,320,4,2020-12-03
317,320,3,2020-12-04
318,320,2,2020-12-05
319,320,1,2020-12-06
320,320,0,2020-12-07
321,320,-1,2020-12-08
322,320,-2,2020-12-09
323,320,-3,2020-12-10
324,320,-4,2020-12-11
325,320,-5,2020-12-12
326,320,-6,2020-12-13
327,321,-6,2020-12-14
328,322,-6,2020-12-15
329,323,-6,2020-12-16
329,324,-5,2020-12-16
329,325,-4,2020-12-16
329,326,-3,2020-12-16
329,327,-2,2020-12-16
330,328,-2,2020-12-17
331,329,-2,2020-12-18
332,330,-2,2020-12-19
333,331,-2,2020-12-20
333,332,-1,2020-12-20
333,333,0,2020-12-20
333,334,1,2020-12-20
334,335,1,2020-12-21
335,336,1,2020-12-22
336,337,1,2020-12-23
337,338,1,2020-12-24
338,339,1,2020-12-25
338,340,2,2020-12-25
338,341,3,2020-12-25
338,342,4,2020-12-25
338,343,5,2020-12-25
338,344,6,2020-12-25
338,345,7,2020-12-25
338,346,8,2020-12-25
338,347,9,2020-12-25
338,348,10,2020-12-25
338,349,11,2020-12-25
339,350,11,2020-12-26
340,351,11,2020-12-27
341,352,11,2020-12-28
342,353,11,2020-12-29
343,354,11,2020-12-30
344,355,11,2020-12-31
345,356,11,2021-01-01
346,357,11,2021-01-02
347,358,11,2021-01-03
348,359,11,2021-01-04
349,360,11,2021-01-05
350,361,11,2021-01-06
350,362,12,2021-01-06
350,363,13,2021-01-06
351,364,13,2021-01-07
352,365,13,2021-01-08
353,366,13,2021-01-09
354,367,13,2021-01-10
355,368,13,2021-01-11
356,368,12,2021-01-12
357,368,11,2021-01-13
358,368,10,2021-01-14
359,368,9,2021-01-15
360,368,8,2021-01-16
361,369,8,2021-01-17
361,370,9,2021-01-17
362,371,9,2021-01-18
362,372,10,2021-01-18
362,373,11,2021-01-18
362,374,12,2021-01-18
362,375,13,2021-01-18
363,376,13,2021-01-19
364,377,13,2021-01-20
365,377,12,2021-01-21
366,377,11,2021-01-22
367,377,10,2021-01-23
368,377,9,2021-01-24
369,377,8,2021-01-25
370,377,7,2021-01-26
371,377,6,2021-01-27
372,378,6,2021-01-28
372,379,7,2021-01-28
372,380,8,2021-01-28
372,381,9,2021-01-28
372,382,10,2021-01-28
373,383,10,2021-01-29
374,384,10,2021-01-30
375,385,10,2021-01-31
376,386,10,2021-02-01
377,387,10,2021-02-02
378,388,10,2021-02-03
379,389,10,2021-02-04
380,390,10,2021-02-05
381,391,10,2021-02-06
382,392,10,2021-02-07
383,393,10,2021-02-08
383,394,11,2021-02-08
383,395,12,2021-02-08
384,396,12,2021-02-09
385,397,12,2021-02-10
386,397,11,2021-02-11
387,397,10,2021-02-12
388,397,9,2021-02-13
389,397,8,2021-02-14
390,397,7,2021-02-15
391,397,6,2021-02-16
392,397,5,2021-02-17
393,397,4,2021-02-18
394,397,3,2021-02-19
395,397,2,2021-02-20
396,397,1,2021-02-21
397,397,0,2021-02-22
398,397,-1,2021-02-23
399,397,-2,2021-02-24
400,397,-3,2021-02-25
401,398,-3,2021-02-26
402,399,-3,2021-02-27
403,400,-3,2021-02-28
404,401,-3,2021-03-01
405,402,-3,2021-03-02
406,403,-3,2021-03-03
407,404,-3,2021-03-04
408,405,-3,2021-03-05
409,406,-3,2021-03-06
410,406,-4,2021-03-07
411,406,-5,2021-03-08
412,406,-6,2021-03-09
413,406,-7,2021-03-10
414,407,-7,2021-03-11
414,408,-6,2021-03-11
414,409,-5,2021-03-11
414,410,-4,2021-03-11
414,411,-3,2021-03-11
414,412,-2,2021-03-11
414,413,-1,2021-03-11
414,414,0,2021-03-11
414,415,1,2021-03-11
414,416,2,2021-03-11
414,417,3,2021-03-11
414,418,4,2021-03-11
414,419,5,2021-03-11
414,420,6,2021-03-11
414,421,7,2021-03-11
414,422,8,2021-03-11
414,423,9,2021-03-11
414,424,10,2021-03-11
414,425,11,2021-03-11
414,426,12,2021-03-11
414,427,13,2021-03-11
415,428,13,2021-03-12
416,429,13,2021-03-13
417,430,13,2021-03-14
418,431,13,2021-03-15
419,432,13,2021-03-16
420,433,13,2021-03-17
421,434,13,2021-03-18
422,435,13,2021-03-19
423,436,13,2021-03-20
424,437,13,2021-03-21
425,437,12,2021-03-22
426,437,11,2021-03-23
427,437,10,2021-03-24
428,437,9,2021-03-25
429,437,8,2021-03-26
430,437,7,2021-03-27
431,437,6,2021-03-28
432,437,5,2021-03-29
433,437,4,2021-03-30
434,437,3,2021-03-31
435,437,2,2021-04-01
436,437,1,2021-04-02
437,437,0,2021-04-03
438,437,-1,2021-04-04
439,437,-2,2021-04-05
440,437,-3,2021-04-06
441,437,-4,2021-04-07
442,437,-5,2021-04-08
443,437,-6,2021-04-09
444,437,-7,2021-04-10
445,437,-8,2021-04-11
446,437,-9,2021-04-12
447,437,-10,2021-04-13
448,437,-11,2021-04-14
449,438,-11,2021-04-15
450,439,-11,2021-04-16
451,440,-11,2021-04-17
452,441,-11,2021-04-18
453,442,-11,2021-04-19
454,443,-11,2021-04-20
455,444,-11,2021-04-21
456,445,-11,2021-04-22
457,446,-11,2021-04-23
458,447,-11,2021-04-24
459,448,-11,2021-04-25
460,449,-11,2021-04-26
461,450,-11,2021-04-27
462,451,-11,2021-04-28
463,452,-11,2021-04-29
464,453,-11,2021-04-30
465,454,-11,2021-05-01
465,455,-10,2021-05-01
465,456,-9,2021-05-01
465,457,-8,2021-05-01
465,458,-7,2021-05-01
465,459,-6,2021-05-01
465,460,-5,2021-05-01
465,461,-4,2021-05-01
465,462,-3,2021-05-01
466,463,-3,2021-05-02
467,464,-3,2021-05-03
468,465,-3,2021-05-04
468,466,-2,2021-05-04
469,467,-2,2021-05-05
470,468,-2,2021-05-06
471,469,-2,2021-05-07
472,470,-2,2021-05-08
473,471,-2,2021-05-09
474,472,-2,2021-05-10
475,473,-2,2021-05-11
476,474,-2,2021-05-12
477,475,-2,2021-05-13
478,476,-2,2021-05-14
479,477,-2,2021-05-15
480,477,-3,2021-05-16
481,477,-4,2021-05-17
482,477,-5,2021-05-18
483,477,-6,2021-05-19
484,477,-7,2021-05-20
485,477,-8,2021-05-21
486,477,-9,2021-05-22
487,477,-10,2021-05-23
488,477,-11,2021-05-24
489,477,-12,2021-05-25
490,477,-13,2021-05-26
491,478,-13,2021-05-27
492,479,-13,2021-05-28
493,480,-13,2021-05-29
494,481,-13,2021-05-30
495,482,-13,2021-05-31
496,483,-13,2021-06-01
497,484,-13,2021-06-02
498,485,-13,2021-06-03
499,486,-13,2021-06-04
500,487,-13,2021-06-05
501,488,-13,2021-06-06
502,489,-13,2021-06-07
503,490,-13,2021-06-08
504,491,-13,2021-06-09
505,492,-13,2021-06-10
506,493,-13,2021-06-11
507,494,-13,2021-06-12
508,495,-13,2021-06-13
509,496,-13,2021-06-14
510,497,-13,2021-06-15
511,498,-13,2021-06-16
512,499,-13,2021-06-17
513,500,-13,2021-06-18
514,501,-13,2021-06-19
515,502,-13,2021-06-20
516,503,-13,2021-06-21
517,504,-13,2021-06-22
518,505,-13,2021-06-23
519,506,-13,2021-06-24
520,507,-13,2021-06-25
521,508,-13,2021-06-26
521,509,-12,2021-06-26
521,510,-11,2021-06-26
521,511,-10,2021-06-26
522,512,-10,2021-06-27
523,513,-10,2021-06-28
524,514,-10,2021-06-29
525,515,-10,2021-06-30
