county,source_lag_column,cp_date,direction,from_sign,to_sign,lag_at_cp_raw,lag_at_cp_smoothed
Goshen_County,lag_days,2020-03-07,pos→neg,1,-1,-1.0,-1.0000000000000007
Goshen_County,lag_days,2020-05-02,neg→pos,-1,1,1.0,1.1904761904761914
Goshen_County,lag_days,2020-06-11,pos→neg,1,-1,-1.0,-1.0000000000000007
Goshen_County,lag_days,2020-06-24,neg→pos,-1,1,2.0,-0.7619047619047624
Goshen_County,lag_days,2020-07-16,pos→neg,1,-1,-1.0,-1.095238095238096
Goshen_County,lag_days,2020-08-27,neg→pos,-1,1,5.0,1.2857142857142865
Goshen_County,lag_days,2020-09-07,pos→neg,1,-1,-1.0,-0.952380952380953
Goshen_County,lag_days,2020-09-28,neg→pos,-1,1,10.0,5.714285714285719
Goshen_County,lag_days,2020-10-14,pos→neg,1,-1,-1.0,-1.0000000000000007
Goshen_County,lag_days,2020-11-19,neg→pos,-1,1,3.0,1.3809523809523823
Goshen_County,lag_days,2020-11-23,pos→neg,1,-1,-1.0,-1.1428571428571437
Goshen_County,lag_days,2020-11-30,neg→pos,-1,1,3.0,2.8571428571428594
Goshen_County,lag_days,2020-12-25,pos→neg,1,-1,-1.0,-1.095238095238096
Goshen_County,lag_days,2021-03-05,neg→pos,-1,1,13.0,8.047619047619055
Goshen_County,lag_days,2021-03-23,pos→neg,1,-1,-1.0,-1.0476190476190483
Goshen_County,lag_days,2021-03-27,neg→pos,-1,1,3.0,3.04761904761905
Goshen_County,lag_days,2021-04-06,pos→neg,1,-1,-1.0,-1.0000000000000007
Goshen_County,lag_days,2021-05-23,neg→pos,-1,1,0.5,0.40476190476190504
Goshen_County,lag_days,2021-06-08,pos→neg,1,-1,-1.0,-1.0000000000000007
Goshen_County,lag_days,2021-07-24,neg→pos,-1,1,1.5,1.4523809523809534
Goshen_County,lag_days,2021-08-29,pos→neg,1,-1,-1.0,-1.3333333333333344
Goshen_County,lag_days,2021-09-01,neg→pos,-1,1,1.0,0.9047619047619054
Goshen_County,lag_days,2021-09-09,pos→neg,1,-1,-1.0,-1.0000000000000007
Goshen_County,lag_days,2021-09-20,neg→pos,-1,1,3.5,3.54761904761905
