i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
0,6,6,2020-01-22
0,7,7,2020-01-22
0,8,8,2020-01-22
0,9,9,2020-01-22
0,10,10,2020-01-22
0,11,11,2020-01-22
0,12,12,2020-01-22
0,13,13,2020-01-22
1,14,13,2020-01-23
2,15,13,2020-01-24
3,16,13,2020-01-25
4,17,13,2020-01-26
5,18,13,2020-01-27
6,19,13,2020-01-28
7,20,13,2020-01-29
8,21,13,2020-01-30
9,22,13,2020-01-31
10,23,13,2020-02-01
11,23,12,2020-02-02
12,23,11,2020-02-03
13,23,10,2020-02-04
14,23,9,2020-02-05
15,23,8,2020-02-06
16,23,7,2020-02-07
17,23,6,2020-02-08
18,23,5,2020-02-09
19,23,4,2020-02-10
20,23,3,2020-02-11
21,23,2,2020-02-12
22,23,1,2020-02-13
23,23,0,2020-02-14
24,23,-1,2020-02-15
25,23,-2,2020-02-16
26,23,-3,2020-02-17
27,23,-4,2020-02-18
28,23,-5,2020-02-19
29,23,-6,2020-02-20
30,23,-7,2020-02-21
31,23,-8,2020-02-22
32,23,-9,2020-02-23
33,23,-10,2020-02-24
34,23,-11,2020-02-25
35,23,-12,2020-02-26
36,23,-13,2020-02-27
37,24,-13,2020-02-28
38,25,-13,2020-02-29
39,26,-13,2020-03-01
40,27,-13,2020-03-02
41,28,-13,2020-03-03
42,29,-13,2020-03-04
43,30,-13,2020-03-05
44,31,-13,2020-03-06
45,32,-13,2020-03-07
46,33,-13,2020-03-08
47,34,-13,2020-03-09
48,35,-13,2020-03-10
49,36,-13,2020-03-11
50,37,-13,2020-03-12
51,38,-13,2020-03-13
52,39,-13,2020-03-14
53,40,-13,2020-03-15
54,41,-13,2020-03-16
55,42,-13,2020-03-17
56,43,-13,2020-03-18
57,44,-13,2020-03-19
58,45,-13,2020-03-20
59,46,-13,2020-03-21
60,47,-13,2020-03-22
61,48,-13,2020-03-23
62,49,-13,2020-03-24
63,50,-13,2020-03-25
64,51,-13,2020-03-26
65,52,-13,2020-03-27
66,53,-13,2020-03-28
67,54,-13,2020-03-29
68,55,-13,2020-03-30
69,56,-13,2020-03-31
70,57,-13,2020-04-01
71,58,-13,2020-04-02
72,59,-13,2020-04-03
73,60,-13,2020-04-04
74,61,-13,2020-04-05
75,62,-13,2020-04-06
76,63,-13,2020-04-07
77,64,-13,2020-04-08
78,65,-13,2020-04-09
79,66,-13,2020-04-10
80,67,-13,2020-04-11
81,68,-13,2020-04-12
82,69,-13,2020-04-13
83,70,-13,2020-04-14
84,71,-13,2020-04-15
85,72,-13,2020-04-16
86,73,-13,2020-04-17
87,74,-13,2020-04-18
88,75,-13,2020-04-19
89,76,-13,2020-04-20
90,77,-13,2020-04-21
91,78,-13,2020-04-22
92,79,-13,2020-04-23
93,80,-13,2020-04-24
94,81,-13,2020-04-25
95,82,-13,2020-04-26
96,83,-13,2020-04-27
97,84,-13,2020-04-28
98,85,-13,2020-04-29
99,86,-13,2020-04-30
100,87,-13,2020-05-01
101,88,-13,2020-05-02
102,89,-13,2020-05-03
103,90,-13,2020-05-04
104,91,-13,2020-05-05
105,92,-13,2020-05-06
106,93,-13,2020-05-07
107,94,-13,2020-05-08
107,95,-12,2020-05-08
107,96,-11,2020-05-08
107,97,-10,2020-05-08
107,98,-9,2020-05-08
107,99,-8,2020-05-08
107,100,-7,2020-05-08
107,101,-6,2020-05-08
107,102,-5,2020-05-08
107,103,-4,2020-05-08
107,104,-3,2020-05-08
107,105,-2,2020-05-08
107,106,-1,2020-05-08
107,107,0,2020-05-08
108,108,0,2020-05-09
109,109,0,2020-05-10
110,110,0,2020-05-11
111,111,0,2020-05-12
112,112,0,2020-05-13
113,113,0,2020-05-14
114,114,0,2020-05-15
115,115,0,2020-05-16
116,116,0,2020-05-17
117,117,0,2020-05-18
118,118,0,2020-05-19
119,119,0,2020-05-20
120,120,0,2020-05-21
121,121,0,2020-05-22
122,122,0,2020-05-23
123,123,0,2020-05-24
123,124,1,2020-05-24
123,125,2,2020-05-24
123,126,3,2020-05-24
124,127,3,2020-05-25
125,127,2,2020-05-26
126,127,1,2020-05-27
127,127,0,2020-05-28
128,127,-1,2020-05-29
129,127,-2,2020-05-30
130,127,-3,2020-05-31
131,127,-4,2020-06-01
132,127,-5,2020-06-02
133,127,-6,2020-06-03
134,127,-7,2020-06-04
135,127,-8,2020-06-05
136,128,-8,2020-06-06
137,129,-8,2020-06-07
138,130,-8,2020-06-08
138,131,-7,2020-06-08
138,132,-6,2020-06-08
138,133,-5,2020-06-08
138,134,-4,2020-06-08
138,135,-3,2020-06-08
138,136,-2,2020-06-08
138,137,-1,2020-06-08
138,138,0,2020-06-08
138,139,1,2020-06-08
138,140,2,2020-06-08
138,141,3,2020-06-08
138,142,4,2020-06-08
138,143,5,2020-06-08
139,144,5,2020-06-09
140,145,5,2020-06-10
141,146,5,2020-06-11
142,147,5,2020-06-12
143,148,5,2020-06-13
144,149,5,2020-06-14
145,150,5,2020-06-15
146,151,5,2020-06-16
147,152,5,2020-06-17
148,153,5,2020-06-18
149,154,5,2020-06-19
150,155,5,2020-06-20
151,156,5,2020-06-21
152,157,5,2020-06-22
153,158,5,2020-06-23
154,159,5,2020-06-24
155,160,5,2020-06-25
156,161,5,2020-06-26
157,162,5,2020-06-27
158,163,5,2020-06-28
159,164,5,2020-06-29
160,165,5,2020-06-30
161,166,5,2020-07-01
162,167,5,2020-07-02
163,168,5,2020-07-03
164,168,4,2020-07-04
165,168,3,2020-07-05
166,168,2,2020-07-06
167,168,1,2020-07-07
168,168,0,2020-07-08
169,168,-1,2020-07-09
170,168,-2,2020-07-10
171,168,-3,2020-07-11
172,168,-4,2020-07-12
173,168,-5,2020-07-13
174,168,-6,2020-07-14
175,168,-7,2020-07-15
176,168,-8,2020-07-16
177,168,-9,2020-07-17
178,168,-10,2020-07-18
179,168,-11,2020-07-19
180,169,-11,2020-07-20
181,170,-11,2020-07-21
181,171,-10,2020-07-21
181,172,-9,2020-07-21
181,173,-8,2020-07-21
181,174,-7,2020-07-21
181,175,-6,2020-07-21
181,176,-5,2020-07-21
181,177,-4,2020-07-21
181,178,-3,2020-07-21
181,179,-2,2020-07-21
182,180,-2,2020-07-22
183,180,-3,2020-07-23
184,180,-4,2020-07-24
185,181,-4,2020-07-25
186,181,-5,2020-07-26
187,181,-6,2020-07-27
188,181,-7,2020-07-28
189,181,-8,2020-07-29
190,181,-9,2020-07-30
191,181,-10,2020-07-31
192,181,-11,2020-08-01
193,181,-12,2020-08-02
194,182,-12,2020-08-03
195,183,-12,2020-08-04
196,184,-12,2020-08-05
196,185,-11,2020-08-05
197,186,-11,2020-08-06
198,187,-11,2020-08-07
199,188,-11,2020-08-08
200,188,-12,2020-08-09
201,188,-13,2020-08-10
202,189,-13,2020-08-11
203,190,-13,2020-08-12
204,191,-13,2020-08-13
205,192,-13,2020-08-14
205,193,-12,2020-08-14
205,194,-11,2020-08-14
205,195,-10,2020-08-14
205,196,-9,2020-08-14
205,197,-8,2020-08-14
205,198,-7,2020-08-14
205,199,-6,2020-08-14
205,200,-5,2020-08-14
205,201,-4,2020-08-14
205,202,-3,2020-08-14
205,203,-2,2020-08-14
205,204,-1,2020-08-14
205,205,0,2020-08-14
205,206,1,2020-08-14
205,207,2,2020-08-14
205,208,3,2020-08-14
205,209,4,2020-08-14
205,210,5,2020-08-14
205,211,6,2020-08-14
206,212,6,2020-08-15
207,213,6,2020-08-16
208,213,5,2020-08-17
209,213,4,2020-08-18
210,214,4,2020-08-19
211,215,4,2020-08-20
211,216,5,2020-08-20
211,217,6,2020-08-20
211,218,7,2020-08-20
211,219,8,2020-08-20
211,220,9,2020-08-20
211,221,10,2020-08-20
212,222,10,2020-08-21
213,222,9,2020-08-22
214,223,9,2020-08-23
215,223,8,2020-08-24
216,223,7,2020-08-25
217,224,7,2020-08-26
218,224,6,2020-08-27
219,224,5,2020-08-28
220,224,4,2020-08-29
221,225,4,2020-08-30
222,225,3,2020-08-31
223,225,2,2020-09-01
224,225,1,2020-09-02
225,225,0,2020-09-03
226,226,0,2020-09-04
227,226,-1,2020-09-05
228,226,-2,2020-09-06
229,226,-3,2020-09-07
230,226,-4,2020-09-08
231,227,-4,2020-09-09
232,228,-4,2020-09-10
232,229,-3,2020-09-10
232,230,-2,2020-09-10
232,231,-1,2020-09-10
232,232,0,2020-09-10
232,233,1,2020-09-10
232,234,2,2020-09-10
232,235,3,2020-09-10
232,236,4,2020-09-10
232,237,5,2020-09-10
232,238,6,2020-09-10
232,239,7,2020-09-10
232,240,8,2020-09-10
232,241,9,2020-09-10
233,242,9,2020-09-11
234,243,9,2020-09-12
235,243,8,2020-09-13
236,244,8,2020-09-14
237,244,7,2020-09-15
238,244,6,2020-09-16
239,245,6,2020-09-17
240,246,6,2020-09-18
240,247,7,2020-09-18
240,248,8,2020-09-18
240,249,9,2020-09-18
240,250,10,2020-09-18
241,251,10,2020-09-19
242,252,10,2020-09-20
243,253,10,2020-09-21
244,254,10,2020-09-22
244,255,11,2020-09-22
244,256,12,2020-09-22
245,257,12,2020-09-23
245,258,13,2020-09-23
246,259,13,2020-09-24
247,260,13,2020-09-25
248,260,12,2020-09-26
249,260,11,2020-09-27
250,260,10,2020-09-28
251,260,9,2020-09-29
252,260,8,2020-09-30
253,260,7,2020-10-01
254,260,6,2020-10-02
255,260,5,2020-10-03
256,260,4,2020-10-04
257,260,3,2020-10-05
258,260,2,2020-10-06
259,260,1,2020-10-07
260,260,0,2020-10-08
261,261,0,2020-10-09
262,262,0,2020-10-10
263,263,0,2020-10-11
264,264,0,2020-10-12
265,264,-1,2020-10-13
266,264,-2,2020-10-14
267,264,-3,2020-10-15
268,265,-3,2020-10-16
268,266,-2,2020-10-16
268,267,-1,2020-10-16
269,268,-1,2020-10-17
270,268,-2,2020-10-18
271,268,-3,2020-10-19
272,268,-4,2020-10-20
273,268,-5,2020-10-21
274,268,-6,2020-10-22
275,268,-7,2020-10-23
276,268,-8,2020-10-24
277,269,-8,2020-10-25
278,269,-9,2020-10-26
279,269,-10,2020-10-27
280,269,-11,2020-10-28
281,269,-12,2020-10-29
282,269,-13,2020-10-30
283,270,-13,2020-10-31
284,271,-13,2020-11-01
285,272,-13,2020-11-02
286,273,-13,2020-11-03
287,274,-13,2020-11-04
288,275,-13,2020-11-05
289,276,-13,2020-11-06
290,277,-13,2020-11-07
291,278,-13,2020-11-08
292,279,-13,2020-11-09
293,280,-13,2020-11-10
294,281,-13,2020-11-11
295,282,-13,2020-11-12
296,283,-13,2020-11-13
297,284,-13,2020-11-14
298,285,-13,2020-11-15
299,286,-13,2020-11-16
299,287,-12,2020-11-16
299,288,-11,2020-11-16
299,289,-10,2020-11-16
299,290,-9,2020-11-16
299,291,-8,2020-11-16
299,292,-7,2020-11-16
299,293,-6,2020-11-16
299,294,-5,2020-11-16
299,295,-4,2020-11-16
299,296,-3,2020-11-16
299,297,-2,2020-11-16
299,298,-1,2020-11-16
299,299,0,2020-11-16
299,300,1,2020-11-16
299,301,2,2020-11-16
299,302,3,2020-11-16
299,303,4,2020-11-16
300,304,4,2020-11-17
301,305,4,2020-11-18
302,306,4,2020-11-19
303,307,4,2020-11-20
304,307,3,2020-11-21
305,307,2,2020-11-22
306,307,1,2020-11-23
307,307,0,2020-11-24
308,307,-1,2020-11-25
309,307,-2,2020-11-26
310,307,-3,2020-11-27
311,307,-4,2020-11-28
312,307,-5,2020-11-29
313,308,-5,2020-11-30
313,309,-4,2020-11-30
314,310,-4,2020-12-01
315,311,-4,2020-12-02
316,311,-5,2020-12-03
317,312,-5,2020-12-04
318,313,-5,2020-12-05
319,313,-6,2020-12-06
320,314,-6,2020-12-07
320,315,-5,2020-12-07
320,316,-4,2020-12-07
320,317,-3,2020-12-07
320,318,-2,2020-12-07
321,319,-2,2020-12-08
321,320,-1,2020-12-08
321,321,0,2020-12-08
321,322,1,2020-12-08
321,323,2,2020-12-08
321,324,3,2020-12-08
321,325,4,2020-12-08
321,326,5,2020-12-08
321,327,6,2020-12-08
322,328,6,2020-12-09
323,328,5,2020-12-10
324,329,5,2020-12-11
325,329,4,2020-12-12
326,330,4,2020-12-13
326,331,5,2020-12-13
326,332,6,2020-12-13
326,333,7,2020-12-13
326,334,8,2020-12-13
326,335,9,2020-12-13
326,336,10,2020-12-13
326,337,11,2020-12-13
326,338,12,2020-12-13
326,339,13,2020-12-13
327,340,13,2020-12-14
328,341,13,2020-12-15
329,341,12,2020-12-16
330,341,11,2020-12-17
331,341,10,2020-12-18
332,341,9,2020-12-19
333,341,8,2020-12-20
334,341,7,2020-12-21
335,341,6,2020-12-22
336,341,5,2020-12-23
337,341,4,2020-12-24
338,341,3,2020-12-25
339,341,2,2020-12-26
340,342,2,2020-12-27
341,343,2,2020-12-28
342,344,2,2020-12-29
342,345,3,2020-12-29
342,346,4,2020-12-29
342,347,5,2020-12-29
342,348,6,2020-12-29
342,349,7,2020-12-29
342,350,8,2020-12-29
342,351,9,2020-12-29
342,352,10,2020-12-29
342,353,11,2020-12-29
342,354,12,2020-12-29
342,355,13,2020-12-29
343,356,13,2020-12-30
344,357,13,2020-12-31
345,358,13,2021-01-01
346,359,13,2021-01-02
347,360,13,2021-01-03
348,361,13,2021-01-04
349,361,12,2021-01-05
350,361,11,2021-01-06
351,361,10,2021-01-07
352,361,9,2021-01-08
353,362,9,2021-01-09
354,362,8,2021-01-10
355,362,7,2021-01-11
356,362,6,2021-01-12
357,362,5,2021-01-13
358,362,4,2021-01-14
359,362,3,2021-01-15
360,362,2,2021-01-16
361,362,1,2021-01-17
362,362,0,2021-01-18
363,363,0,2021-01-19
364,364,0,2021-01-20
364,365,1,2021-01-20
364,366,2,2021-01-20
364,367,3,2021-01-20
364,368,4,2021-01-20
364,369,5,2021-01-20
364,370,6,2021-01-20
364,371,7,2021-01-20
364,372,8,2021-01-20
364,373,9,2021-01-20
364,374,10,2021-01-20
365,375,10,2021-01-21
366,376,10,2021-01-22
367,376,9,2021-01-23
368,376,8,2021-01-24
369,376,7,2021-01-25
370,376,6,2021-01-26
371,376,5,2021-01-27
372,376,4,2021-01-28
373,377,4,2021-01-29
374,377,3,2021-01-30
375,377,2,2021-01-31
376,378,2,2021-02-01
377,378,1,2021-02-02
378,378,0,2021-02-03
379,379,0,2021-02-04
379,380,1,2021-02-04
379,381,2,2021-02-04
379,382,3,2021-02-04
380,383,3,2021-02-05
381,383,2,2021-02-06
382,384,2,2021-02-07
383,384,1,2021-02-08
384,384,0,2021-02-09
385,385,0,2021-02-10
385,386,1,2021-02-10
385,387,2,2021-02-10
385,388,3,2021-02-10
385,389,4,2021-02-10
385,390,5,2021-02-10
385,391,6,2021-02-10
386,392,6,2021-02-11
387,392,5,2021-02-12
388,392,4,2021-02-13
389,393,4,2021-02-14
390,393,3,2021-02-15
391,394,3,2021-02-16
391,395,4,2021-02-16
392,396,4,2021-02-17
393,396,3,2021-02-18
394,396,2,2021-02-19
395,396,1,2021-02-20
396,396,0,2021-02-21
397,397,0,2021-02-22
398,397,-1,2021-02-23
399,397,-2,2021-02-24
400,397,-3,2021-02-25
401,397,-4,2021-02-26
402,398,-4,2021-02-27
403,398,-5,2021-02-28
404,398,-6,2021-03-01
405,398,-7,2021-03-02
406,399,-7,2021-03-03
407,400,-7,2021-03-04
408,401,-7,2021-03-05
409,402,-7,2021-03-06
410,403,-7,2021-03-07
411,404,-7,2021-03-08
412,405,-7,2021-03-09
413,406,-7,2021-03-10
414,407,-7,2021-03-11
415,408,-7,2021-03-12
416,408,-8,2021-03-13
417,408,-9,2021-03-14
418,408,-10,2021-03-15
419,408,-11,2021-03-16
420,408,-12,2021-03-17
421,409,-12,2021-03-18
422,409,-13,2021-03-19
423,410,-13,2021-03-20
424,411,-13,2021-03-21
425,412,-13,2021-03-22
425,413,-12,2021-03-22
425,414,-11,2021-03-22
425,415,-10,2021-03-22
425,416,-9,2021-03-22
425,417,-8,2021-03-22
425,418,-7,2021-03-22
425,419,-6,2021-03-22
425,420,-5,2021-03-22
425,421,-4,2021-03-22
425,422,-3,2021-03-22
425,423,-2,2021-03-22
425,424,-1,2021-03-22
426,425,-1,2021-03-23
427,425,-2,2021-03-24
428,426,-2,2021-03-25
429,426,-3,2021-03-26
430,427,-3,2021-03-27
430,428,-2,2021-03-27
430,429,-1,2021-03-27
430,430,0,2021-03-27
430,431,1,2021-03-27
430,432,2,2021-03-27
430,433,3,2021-03-27
430,434,4,2021-03-27
430,435,5,2021-03-27
431,436,5,2021-03-28
432,436,4,2021-03-29
433,436,3,2021-03-30
434,437,3,2021-03-31
435,438,3,2021-04-01
436,438,2,2021-04-02
437,438,1,2021-04-03
438,438,0,2021-04-04
439,438,-1,2021-04-05
440,438,-2,2021-04-06
441,438,-3,2021-04-07
442,438,-4,2021-04-08
443,438,-5,2021-04-09
444,438,-6,2021-04-10
445,438,-7,2021-04-11
446,438,-8,2021-04-12
447,438,-9,2021-04-13
448,439,-9,2021-04-14
449,440,-9,2021-04-15
449,441,-8,2021-04-15
449,442,-7,2021-04-15
449,443,-6,2021-04-15
449,444,-5,2021-04-15
449,445,-4,2021-04-15
450,446,-4,2021-04-16
451,447,-4,2021-04-17
452,448,-4,2021-04-18
452,449,-3,2021-04-18
452,450,-2,2021-04-18
452,451,-1,2021-04-18
452,452,0,2021-04-18
452,453,1,2021-04-18
452,454,2,2021-04-18
452,455,3,2021-04-18
452,456,4,2021-04-18
452,457,5,2021-04-18
