i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
1,1,0,2020-01-23
2,2,0,2020-01-24
3,3,0,2020-01-25
4,4,0,2020-01-26
5,5,0,2020-01-27
6,6,0,2020-01-28
7,7,0,2020-01-29
8,8,0,2020-01-30
9,9,0,2020-01-31
10,10,0,2020-02-01
11,11,0,2020-02-02
12,12,0,2020-02-03
13,13,0,2020-02-04
14,14,0,2020-02-05
15,15,0,2020-02-06
16,16,0,2020-02-07
17,17,0,2020-02-08
18,18,0,2020-02-09
19,19,0,2020-02-10
20,20,0,2020-02-11
21,21,0,2020-02-12
22,22,0,2020-02-13
23,23,0,2020-02-14
24,24,0,2020-02-15
25,25,0,2020-02-16
26,26,0,2020-02-17
27,27,0,2020-02-18
28,28,0,2020-02-19
29,29,0,2020-02-20
30,30,0,2020-02-21
31,31,0,2020-02-22
32,32,0,2020-02-23
33,33,0,2020-02-24
34,34,0,2020-02-25
35,35,0,2020-02-26
36,36,0,2020-02-27
37,37,0,2020-02-28
38,38,0,2020-02-29
39,39,0,2020-03-01
40,40,0,2020-03-02
41,41,0,2020-03-03
42,42,0,2020-03-04
43,43,0,2020-03-05
44,44,0,2020-03-06
45,45,0,2020-03-07
46,46,0,2020-03-08
47,47,0,2020-03-09
48,48,0,2020-03-10
49,49,0,2020-03-11
50,50,0,2020-03-12
51,51,0,2020-03-13
52,52,0,2020-03-14
53,53,0,2020-03-15
54,54,0,2020-03-16
55,55,0,2020-03-17
56,56,0,2020-03-18
56,57,1,2020-03-18
56,58,2,2020-03-18
56,59,3,2020-03-18
57,60,3,2020-03-19
58,61,3,2020-03-20
59,62,3,2020-03-21
60,63,3,2020-03-22
61,64,3,2020-03-23
62,65,3,2020-03-24
63,66,3,2020-03-25
64,67,3,2020-03-26
65,68,3,2020-03-27
66,69,3,2020-03-28
67,70,3,2020-03-29
68,71,3,2020-03-30
69,72,3,2020-03-31
70,73,3,2020-04-01
71,74,3,2020-04-02
72,75,3,2020-04-03
73,76,3,2020-04-04
74,77,3,2020-04-05
75,78,3,2020-04-06
76,79,3,2020-04-07
77,80,3,2020-04-08
78,81,3,2020-04-09
79,82,3,2020-04-10
80,83,3,2020-04-11
81,84,3,2020-04-12
82,84,2,2020-04-13
83,85,2,2020-04-14
84,86,2,2020-04-15
85,87,2,2020-04-16
86,88,2,2020-04-17
87,89,2,2020-04-18
88,90,2,2020-04-19
89,91,2,2020-04-20
90,92,2,2020-04-21
91,93,2,2020-04-22
92,94,2,2020-04-23
93,95,2,2020-04-24
94,96,2,2020-04-25
95,97,2,2020-04-26
96,98,2,2020-04-27
97,99,2,2020-04-28
98,100,2,2020-04-29
99,101,2,2020-04-30
100,102,2,2020-05-01
101,103,2,2020-05-02
102,104,2,2020-05-03
103,105,2,2020-05-04
104,106,2,2020-05-05
105,107,2,2020-05-06
106,108,2,2020-05-07
107,109,2,2020-05-08
108,110,2,2020-05-09
109,111,2,2020-05-10
110,112,2,2020-05-11
111,113,2,2020-05-12
112,114,2,2020-05-13
112,115,3,2020-05-13
112,116,4,2020-05-13
112,117,5,2020-05-13
112,118,6,2020-05-13
113,119,6,2020-05-14
114,120,6,2020-05-15
115,121,6,2020-05-16
116,122,6,2020-05-17
117,123,6,2020-05-18
118,124,6,2020-05-19
119,125,6,2020-05-20
120,126,6,2020-05-21
121,127,6,2020-05-22
122,128,6,2020-05-23
123,129,6,2020-05-24
124,130,6,2020-05-25
125,131,6,2020-05-26
126,132,6,2020-05-27
127,133,6,2020-05-28
128,134,6,2020-05-29
129,135,6,2020-05-30
130,136,6,2020-05-31
131,137,6,2020-06-01
132,138,6,2020-06-02
133,139,6,2020-06-03
133,140,7,2020-06-03
133,141,8,2020-06-03
133,142,9,2020-06-03
134,143,9,2020-06-04
135,144,9,2020-06-05
136,145,9,2020-06-06
137,146,9,2020-06-07
138,147,9,2020-06-08
139,148,9,2020-06-09
140,149,9,2020-06-10
141,150,9,2020-06-11
142,151,9,2020-06-12
143,152,9,2020-06-13
144,153,9,2020-06-14
145,153,8,2020-06-15
146,153,7,2020-06-16
147,153,6,2020-06-17
148,153,5,2020-06-18
149,153,4,2020-06-19
150,153,3,2020-06-20
151,153,2,2020-06-21
152,153,1,2020-06-22
153,153,0,2020-06-23
154,154,0,2020-06-24
154,155,1,2020-06-24
154,156,2,2020-06-24
154,157,3,2020-06-24
154,158,4,2020-06-24
154,159,5,2020-06-24
154,160,6,2020-06-24
155,161,6,2020-06-25
156,162,6,2020-06-26
157,163,6,2020-06-27
158,164,6,2020-06-28
159,165,6,2020-06-29
160,166,6,2020-06-30
160,167,7,2020-06-30
160,168,8,2020-06-30
160,169,9,2020-06-30
160,170,10,2020-06-30
161,171,10,2020-07-01
162,172,10,2020-07-02
163,173,10,2020-07-03
164,174,10,2020-07-04
165,174,9,2020-07-05
166,174,8,2020-07-06
167,174,7,2020-07-07
168,174,6,2020-07-08
169,174,5,2020-07-09
170,175,5,2020-07-10
171,176,5,2020-07-11
172,177,5,2020-07-12
172,178,6,2020-07-12
172,179,7,2020-07-12
172,180,8,2020-07-12
172,181,9,2020-07-12
173,182,9,2020-07-13
173,183,10,2020-07-13
173,184,11,2020-07-13
173,185,12,2020-07-13
173,186,13,2020-07-13
174,187,13,2020-07-14
175,188,13,2020-07-15
176,189,13,2020-07-16
