i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
0,6,6,2020-01-22
0,7,7,2020-01-22
0,8,8,2020-01-22
0,9,9,2020-01-22
0,10,10,2020-01-22
0,11,11,2020-01-22
0,12,12,2020-01-22
0,13,13,2020-01-22
1,14,13,2020-01-23
2,15,13,2020-01-24
3,16,13,2020-01-25
4,17,13,2020-01-26
5,18,13,2020-01-27
6,19,13,2020-01-28
7,20,13,2020-01-29
8,21,13,2020-01-30
9,22,13,2020-01-31
10,23,13,2020-02-01
11,24,13,2020-02-02
12,25,13,2020-02-03
13,26,13,2020-02-04
14,27,13,2020-02-05
15,28,13,2020-02-06
16,29,13,2020-02-07
17,30,13,2020-02-08
18,31,13,2020-02-09
19,32,13,2020-02-10
20,33,13,2020-02-11
21,34,13,2020-02-12
22,35,13,2020-02-13
23,36,13,2020-02-14
24,37,13,2020-02-15
25,38,13,2020-02-16
26,39,13,2020-02-17
27,40,13,2020-02-18
28,41,13,2020-02-19
29,42,13,2020-02-20
30,43,13,2020-02-21
31,44,13,2020-02-22
32,45,13,2020-02-23
33,46,13,2020-02-24
34,47,13,2020-02-25
35,48,13,2020-02-26
36,49,13,2020-02-27
37,50,13,2020-02-28
38,51,13,2020-02-29
39,52,13,2020-03-01
40,53,13,2020-03-02
41,54,13,2020-03-03
42,55,13,2020-03-04
43,56,13,2020-03-05
44,57,13,2020-03-06
45,58,13,2020-03-07
46,59,13,2020-03-08
47,60,13,2020-03-09
48,61,13,2020-03-10
49,62,13,2020-03-11
50,63,13,2020-03-12
51,64,13,2020-03-13
52,65,13,2020-03-14
53,66,13,2020-03-15
54,67,13,2020-03-16
55,68,13,2020-03-17
56,68,12,2020-03-18
57,68,11,2020-03-19
58,68,10,2020-03-20
59,68,9,2020-03-21
60,68,8,2020-03-22
61,68,7,2020-03-23
62,68,6,2020-03-24
63,68,5,2020-03-25
64,68,4,2020-03-26
65,68,3,2020-03-27
66,68,2,2020-03-28
67,68,1,2020-03-29
68,68,0,2020-03-30
69,68,-1,2020-03-31
70,68,-2,2020-04-01
71,68,-3,2020-04-02
72,68,-4,2020-04-03
73,68,-5,2020-04-04
74,69,-5,2020-04-05
75,70,-5,2020-04-06
76,71,-5,2020-04-07
77,72,-5,2020-04-08
78,73,-5,2020-04-09
79,74,-5,2020-04-10
80,75,-5,2020-04-11
81,76,-5,2020-04-12
82,77,-5,2020-04-13
83,78,-5,2020-04-14
84,79,-5,2020-04-15
85,80,-5,2020-04-16
86,81,-5,2020-04-17
87,81,-6,2020-04-18
88,81,-7,2020-04-19
89,81,-8,2020-04-20
90,81,-9,2020-04-21
91,81,-10,2020-04-22
92,81,-11,2020-04-23
93,81,-12,2020-04-24
94,81,-13,2020-04-25
95,82,-13,2020-04-26
96,83,-13,2020-04-27
97,84,-13,2020-04-28
98,85,-13,2020-04-29
99,86,-13,2020-04-30
100,87,-13,2020-05-01
101,88,-13,2020-05-02
102,89,-13,2020-05-03
103,90,-13,2020-05-04
104,91,-13,2020-05-05
105,92,-13,2020-05-06
106,93,-13,2020-05-07
107,94,-13,2020-05-08
108,95,-13,2020-05-09
109,96,-13,2020-05-10
110,97,-13,2020-05-11
111,98,-13,2020-05-12
112,99,-13,2020-05-13
113,100,-13,2020-05-14
114,101,-13,2020-05-15
115,102,-13,2020-05-16
116,103,-13,2020-05-17
116,104,-12,2020-05-17
116,105,-11,2020-05-17
116,106,-10,2020-05-17
116,107,-9,2020-05-17
116,108,-8,2020-05-17
116,109,-7,2020-05-17
116,110,-6,2020-05-17
116,111,-5,2020-05-17
116,112,-4,2020-05-17
116,113,-3,2020-05-17
116,114,-2,2020-05-17
117,115,-2,2020-05-18
118,116,-2,2020-05-19
119,117,-2,2020-05-20
120,118,-2,2020-05-21
121,119,-2,2020-05-22
122,120,-2,2020-05-23
123,121,-2,2020-05-24
124,122,-2,2020-05-25
125,123,-2,2020-05-26
125,124,-1,2020-05-26
125,125,0,2020-05-26
125,126,1,2020-05-26
125,127,2,2020-05-26
126,128,2,2020-05-27
127,129,2,2020-05-28
128,130,2,2020-05-29
129,131,2,2020-05-30
130,132,2,2020-05-31
131,133,2,2020-06-01
132,134,2,2020-06-02
133,135,2,2020-06-03
133,136,3,2020-06-03
133,137,4,2020-06-03
133,138,5,2020-06-03
133,139,6,2020-06-03
133,140,7,2020-06-03
133,141,8,2020-06-03
133,142,9,2020-06-03
133,143,10,2020-06-03
133,144,11,2020-06-03
133,145,12,2020-06-03
133,146,13,2020-06-03
134,147,13,2020-06-04
135,148,13,2020-06-05
136,149,13,2020-06-06
137,150,13,2020-06-07
138,151,13,2020-06-08
139,152,13,2020-06-09
140,153,13,2020-06-10
141,154,13,2020-06-11
142,155,13,2020-06-12
143,156,13,2020-06-13
144,157,13,2020-06-14
145,158,13,2020-06-15
146,159,13,2020-06-16
147,160,13,2020-06-17
148,160,12,2020-06-18
149,160,11,2020-06-19
150,160,10,2020-06-20
151,160,9,2020-06-21
152,160,8,2020-06-22
153,160,7,2020-06-23
154,160,6,2020-06-24
155,160,5,2020-06-25
156,161,5,2020-06-26
157,162,5,2020-06-27
158,163,5,2020-06-28
159,164,5,2020-06-29
159,165,6,2020-06-29
159,166,7,2020-06-29
159,167,8,2020-06-29
159,168,9,2020-06-29
159,169,10,2020-06-29
159,170,11,2020-06-29
159,171,12,2020-06-29
159,172,13,2020-06-29
160,173,13,2020-06-30
161,174,13,2020-07-01
162,175,13,2020-07-02
163,176,13,2020-07-03
164,177,13,2020-07-04
165,178,13,2020-07-05
166,179,13,2020-07-06
167,180,13,2020-07-07
168,181,13,2020-07-08
169,182,13,2020-07-09
170,183,13,2020-07-10
171,184,13,2020-07-11
172,184,12,2020-07-12
173,184,11,2020-07-13
174,184,10,2020-07-14
175,184,9,2020-07-15
176,184,8,2020-07-16
177,184,7,2020-07-17
178,184,6,2020-07-18
179,184,5,2020-07-19
180,184,4,2020-07-20
181,184,3,2020-07-21
182,184,2,2020-07-22
183,184,1,2020-07-23
184,184,0,2020-07-24
185,184,-1,2020-07-25
186,184,-2,2020-07-26
187,184,-3,2020-07-27
188,184,-4,2020-07-28
189,184,-5,2020-07-29
190,184,-6,2020-07-30
191,184,-7,2020-07-31
192,184,-8,2020-08-01
193,185,-8,2020-08-02
194,186,-8,2020-08-03
195,186,-9,2020-08-04
196,186,-10,2020-08-05
197,186,-11,2020-08-06
198,186,-12,2020-08-07
199,186,-13,2020-08-08
200,187,-13,2020-08-09
201,188,-13,2020-08-10
202,189,-13,2020-08-11
203,190,-13,2020-08-12
204,191,-13,2020-08-13
205,192,-13,2020-08-14
206,193,-13,2020-08-15
207,194,-13,2020-08-16
208,195,-13,2020-08-17
209,196,-13,2020-08-18
210,197,-13,2020-08-19
211,198,-13,2020-08-20
212,199,-13,2020-08-21
213,200,-13,2020-08-22
214,201,-13,2020-08-23
215,202,-13,2020-08-24
216,203,-13,2020-08-25
217,204,-13,2020-08-26
218,205,-13,2020-08-27
219,206,-13,2020-08-28
220,207,-13,2020-08-29
221,208,-13,2020-08-30
222,209,-13,2020-08-31
223,210,-13,2020-09-01
224,211,-13,2020-09-02
225,212,-13,2020-09-03
226,213,-13,2020-09-04
227,214,-13,2020-09-05
228,215,-13,2020-09-06
229,216,-13,2020-09-07
230,217,-13,2020-09-08
231,218,-13,2020-09-09
232,219,-13,2020-09-10
233,220,-13,2020-09-11
234,221,-13,2020-09-12
235,222,-13,2020-09-13
236,223,-13,2020-09-14
237,224,-13,2020-09-15
238,225,-13,2020-09-16
239,226,-13,2020-09-17
240,227,-13,2020-09-18
241,228,-13,2020-09-19
242,229,-13,2020-09-20
243,230,-13,2020-09-21
244,231,-13,2020-09-22
245,232,-13,2020-09-23
246,233,-13,2020-09-24
247,234,-13,2020-09-25
248,235,-13,2020-09-26
249,236,-13,2020-09-27
250,237,-13,2020-09-28
251,238,-13,2020-09-29
252,239,-13,2020-09-30
253,240,-13,2020-10-01
254,241,-13,2020-10-02
255,242,-13,2020-10-03
256,243,-13,2020-10-04
257,244,-13,2020-10-05
258,245,-13,2020-10-06
259,246,-13,2020-10-07
260,247,-13,2020-10-08
261,248,-13,2020-10-09
262,249,-13,2020-10-10
263,250,-13,2020-10-11
264,251,-13,2020-10-12
265,252,-13,2020-10-13
266,253,-13,2020-10-14
267,254,-13,2020-10-15
268,255,-13,2020-10-16
269,256,-13,2020-10-17
270,257,-13,2020-10-18
271,258,-13,2020-10-19
272,259,-13,2020-10-20
273,260,-13,2020-10-21
274,261,-13,2020-10-22
275,262,-13,2020-10-23
276,263,-13,2020-10-24
277,264,-13,2020-10-25
278,265,-13,2020-10-26
279,266,-13,2020-10-27
280,267,-13,2020-10-28
281,268,-13,2020-10-29
282,269,-13,2020-10-30
283,270,-13,2020-10-31
284,271,-13,2020-11-01
285,272,-13,2020-11-02
286,273,-13,2020-11-03
287,274,-13,2020-11-04
288,275,-13,2020-11-05
289,276,-13,2020-11-06
290,277,-13,2020-11-07
291,278,-13,2020-11-08
292,279,-13,2020-11-09
293,280,-13,2020-11-10
294,281,-13,2020-11-11
295,282,-13,2020-11-12
296,283,-13,2020-11-13
297,284,-13,2020-11-14
298,285,-13,2020-11-15
299,286,-13,2020-11-16
300,287,-13,2020-11-17
300,288,-12,2020-11-17
300,289,-11,2020-11-17
300,290,-10,2020-11-17
300,291,-9,2020-11-17
300,292,-8,2020-11-17
300,293,-7,2020-11-17
300,294,-6,2020-11-17
300,295,-5,2020-11-17
300,296,-4,2020-11-17
300,297,-3,2020-11-17
300,298,-2,2020-11-17
300,299,-1,2020-11-17
300,300,0,2020-11-17
300,301,1,2020-11-17
300,302,2,2020-11-17
300,303,3,2020-11-17
300,304,4,2020-11-17
300,305,5,2020-11-17
300,306,6,2020-11-17
300,307,7,2020-11-17
300,308,8,2020-11-17
300,309,9,2020-11-17
300,310,10,2020-11-17
300,311,11,2020-11-17
300,312,12,2020-11-17
300,313,13,2020-11-17
301,314,13,2020-11-18
302,315,13,2020-11-19
303,316,13,2020-11-20
304,317,13,2020-11-21
305,318,13,2020-11-22
306,319,13,2020-11-23
307,320,13,2020-11-24
308,321,13,2020-11-25
309,322,13,2020-11-26
310,323,13,2020-11-27
311,324,13,2020-11-28
312,325,13,2020-11-29
313,326,13,2020-11-30
314,327,13,2020-12-01
315,328,13,2020-12-02
316,328,12,2020-12-03
317,328,11,2020-12-04
318,328,10,2020-12-05
319,328,9,2020-12-06
320,328,8,2020-12-07
321,328,7,2020-12-08
322,328,6,2020-12-09
323,328,5,2020-12-10
324,329,5,2020-12-11
325,330,5,2020-12-12
326,331,5,2020-12-13
327,332,5,2020-12-14
328,333,5,2020-12-15
329,334,5,2020-12-16
330,335,5,2020-12-17
331,336,5,2020-12-18
332,337,5,2020-12-19
332,338,6,2020-12-19
332,339,7,2020-12-19
332,340,8,2020-12-19
332,341,9,2020-12-19
332,342,10,2020-12-19
332,343,11,2020-12-19
332,344,12,2020-12-19
332,345,13,2020-12-19
333,346,13,2020-12-20
334,347,13,2020-12-21
335,348,13,2020-12-22
336,349,13,2020-12-23
337,350,13,2020-12-24
338,351,13,2020-12-25
339,352,13,2020-12-26
340,353,13,2020-12-27
341,354,13,2020-12-28
342,355,13,2020-12-29
343,356,13,2020-12-30
344,357,13,2020-12-31
345,358,13,2021-01-01
346,359,13,2021-01-02
347,360,13,2021-01-03
348,361,13,2021-01-04
349,362,13,2021-01-05
350,362,12,2021-01-06
351,362,11,2021-01-07
352,362,10,2021-01-08
353,362,9,2021-01-09
354,363,9,2021-01-10
354,364,10,2021-01-10
354,365,11,2021-01-10
355,366,11,2021-01-11
355,367,12,2021-01-11
356,368,12,2021-01-12
356,369,13,2021-01-12
357,370,13,2021-01-13
358,371,13,2021-01-14
359,372,13,2021-01-15
360,373,13,2021-01-16
361,374,13,2021-01-17
362,374,12,2021-01-18
363,374,11,2021-01-19
364,374,10,2021-01-20
365,374,9,2021-01-21
366,374,8,2021-01-22
367,374,7,2021-01-23
368,374,6,2021-01-24
369,374,5,2021-01-25
370,374,4,2021-01-26
371,374,3,2021-01-27
372,374,2,2021-01-28
373,374,1,2021-01-29
374,374,0,2021-01-30
375,374,-1,2021-01-31
376,374,-2,2021-02-01
377,374,-3,2021-02-02
378,374,-4,2021-02-03
379,374,-5,2021-02-04
380,374,-6,2021-02-05
381,374,-7,2021-02-06
382,374,-8,2021-02-07
383,374,-9,2021-02-08
384,374,-10,2021-02-09
385,374,-11,2021-02-10
386,374,-12,2021-02-11
387,374,-13,2021-02-12
388,375,-13,2021-02-13
389,376,-13,2021-02-14
390,377,-13,2021-02-15
391,378,-13,2021-02-16
392,379,-13,2021-02-17
393,380,-13,2021-02-18
394,381,-13,2021-02-19
395,382,-13,2021-02-20
396,383,-13,2021-02-21
397,384,-13,2021-02-22
398,385,-13,2021-02-23
399,386,-13,2021-02-24
400,387,-13,2021-02-25
401,388,-13,2021-02-26
402,389,-13,2021-02-27
403,390,-13,2021-02-28
404,391,-13,2021-03-01
405,392,-13,2021-03-02
406,393,-13,2021-03-03
407,394,-13,2021-03-04
408,395,-13,2021-03-05
409,396,-13,2021-03-06
410,397,-13,2021-03-07
411,398,-13,2021-03-08
412,399,-13,2021-03-09
413,400,-13,2021-03-10
414,401,-13,2021-03-11
415,402,-13,2021-03-12
416,403,-13,2021-03-13
417,404,-13,2021-03-14
418,405,-13,2021-03-15
419,406,-13,2021-03-16
420,407,-13,2021-03-17
421,408,-13,2021-03-18
422,409,-13,2021-03-19
423,410,-13,2021-03-20
424,411,-13,2021-03-21
425,412,-13,2021-03-22
426,413,-13,2021-03-23
427,414,-13,2021-03-24
428,415,-13,2021-03-25
429,416,-13,2021-03-26
430,417,-13,2021-03-27
431,418,-13,2021-03-28
432,419,-13,2021-03-29
433,420,-13,2021-03-30
434,421,-13,2021-03-31
435,422,-13,2021-04-01
436,423,-13,2021-04-02
437,424,-13,2021-04-03
438,425,-13,2021-04-04
439,426,-13,2021-04-05
440,427,-13,2021-04-06
440,428,-12,2021-04-06
440,429,-11,2021-04-06
441,430,-11,2021-04-07
442,430,-12,2021-04-08
443,430,-13,2021-04-09
444,431,-13,2021-04-10
445,432,-13,2021-04-11
446,433,-13,2021-04-12
447,434,-13,2021-04-13
448,435,-13,2021-04-14
449,436,-13,2021-04-15
450,437,-13,2021-04-16
451,438,-13,2021-04-17
452,439,-13,2021-04-18
453,440,-13,2021-04-19
454,441,-13,2021-04-20
455,442,-13,2021-04-21
456,443,-13,2021-04-22
457,444,-13,2021-04-23
458,445,-13,2021-04-24
459,446,-13,2021-04-25
460,447,-13,2021-04-26
461,448,-13,2021-04-27
462,449,-13,2021-04-28
463,450,-13,2021-04-29
464,451,-13,2021-04-30
465,452,-13,2021-05-01
466,453,-13,2021-05-02
467,454,-13,2021-05-03
468,455,-13,2021-05-04
469,456,-13,2021-05-05
470,457,-13,2021-05-06
471,458,-13,2021-05-07
472,459,-13,2021-05-08
473,460,-13,2021-05-09
474,461,-13,2021-05-10
475,462,-13,2021-05-11
476,463,-13,2021-05-12
477,464,-13,2021-05-13
478,465,-13,2021-05-14
479,466,-13,2021-05-15
480,467,-13,2021-05-16
481,468,-13,2021-05-17
482,469,-13,2021-05-18
483,470,-13,2021-05-19
484,471,-13,2021-05-20
485,472,-13,2021-05-21
486,473,-13,2021-05-22
487,474,-13,2021-05-23
488,475,-13,2021-05-24
488,476,-12,2021-05-24
488,477,-11,2021-05-24
488,478,-10,2021-05-24
488,479,-9,2021-05-24
488,480,-8,2021-05-24
488,481,-7,2021-05-24
488,482,-6,2021-05-24
488,483,-5,2021-05-24
488,484,-4,2021-05-24
488,485,-3,2021-05-24
488,486,-2,2021-05-24
488,487,-1,2021-05-24
488,488,0,2021-05-24
488,489,1,2021-05-24
488,490,2,2021-05-24
488,491,3,2021-05-24
488,492,4,2021-05-24
488,493,5,2021-05-24
488,494,6,2021-05-24
488,495,7,2021-05-24
488,496,8,2021-05-24
488,497,9,2021-05-24
488,498,10,2021-05-24
488,499,11,2021-05-24
488,500,12,2021-05-24
489,501,12,2021-05-25
490,502,12,2021-05-26
491,502,11,2021-05-27
492,502,10,2021-05-28
493,502,9,2021-05-29
494,502,8,2021-05-30
495,503,8,2021-05-31
496,503,7,2021-06-01
497,503,6,2021-06-02
498,503,5,2021-06-03
499,503,4,2021-06-04
500,503,3,2021-06-05
501,503,2,2021-06-06
502,503,1,2021-06-07
503,503,0,2021-06-08
504,504,0,2021-06-09
505,504,-1,2021-06-10
506,504,-2,2021-06-11
507,504,-3,2021-06-12
508,505,-3,2021-06-13
509,506,-3,2021-06-14
509,507,-2,2021-06-14
509,508,-1,2021-06-14
509,509,0,2021-06-14
509,510,1,2021-06-14
509,511,2,2021-06-14
509,512,3,2021-06-14
509,513,4,2021-06-14
509,514,5,2021-06-14
509,515,6,2021-06-14
509,516,7,2021-06-14
509,517,8,2021-06-14
509,518,9,2021-06-14
509,519,10,2021-06-14
509,520,11,2021-06-14
509,521,12,2021-06-14
509,522,13,2021-06-14
510,523,13,2021-06-15
511,524,13,2021-06-16
512,525,13,2021-06-17
513,526,13,2021-06-18
514,527,13,2021-06-19
515,528,13,2021-06-20
516,529,13,2021-06-21
517,530,13,2021-06-22
518,531,13,2021-06-23
519,532,13,2021-06-24
520,533,13,2021-06-25
521,534,13,2021-06-26
522,535,13,2021-06-27
523,536,13,2021-06-28
524,537,13,2021-06-29
525,538,13,2021-06-30
526,539,13,2021-07-01
527,540,13,2021-07-02
