DATE,lag_days
2020-01-22,0.0
2020-01-23,-1.0
2020-01-24,-2.0
2020-01-25,-3.0
2020-01-26,-4.0
2020-01-27,-5.0
2020-01-28,-6.0
2020-01-29,-7.0
2020-01-30,-7.0
2020-01-31,-8.0
2020-02-01,-8.0
2020-02-02,-9.0
2020-02-03,-9.0
2020-02-04,-10.0
2020-02-05,-10.0
2020-02-06,-11.0
2020-02-07,-12.0
2020-02-08,-12.0
2020-02-09,-13.0
2020-02-10,-14.0
2020-02-11,-15.0
2020-02-12,-15.0
2020-02-13,-16.0
2020-02-14,-17.0
2020-02-15,-18.0
2020-02-16,-19.0
2020-02-17,-19.0
2020-02-18,-20.0
2020-02-19,-20.0
2020-02-20,-20.0
2020-02-21,-20.0
2020-02-22,-20.0
2020-02-23,-20.0
2020-02-24,-20.0
2020-02-25,-20.0
2020-02-26,-20.0
2020-02-27,-20.0
2020-02-28,-20.0
2020-02-29,-20.0
2020-03-01,-20.0
2020-03-02,-20.0
2020-03-03,-20.0
2020-03-04,-20.0
2020-03-05,-20.0
2020-03-06,-20.0
2020-03-07,-20.0
2020-03-08,-20.0
2020-03-09,-20.0
2020-03-10,-20.0
2020-03-11,-11.0
2020-03-12,-2.0
2020-03-13,-2.0
2020-03-14,-2.0
2020-03-15,-2.0
2020-03-16,-3.0
2020-03-17,-4.0
2020-03-18,-5.0
2020-03-19,-6.0
2020-03-20,-7.0
2020-03-21,-8.0
2020-03-22,-9.0
2020-03-23,-10.0
2020-03-24,-11.0
2020-03-25,-12.0
2020-03-26,-13.0
2020-03-27,-14.0
2020-03-28,-15.0
2020-03-29,-16.0
2020-03-30,-17.0
2020-03-31,-18.0
2020-04-01,-19.0
2020-04-02,-20.0
2020-04-03,-20.0
2020-04-04,-20.0
2020-04-05,-20.0
2020-04-06,-20.0
2020-04-07,-20.0
2020-04-08,-20.0
2020-04-09,-20.0
2020-04-10,-20.0
2020-04-11,-20.0
2020-04-12,-20.0
2020-04-13,-13.0
2020-04-14,-6.0
2020-04-15,-6.0
2020-04-16,-6.0
2020-04-17,-6.0
2020-04-18,-7.0
2020-04-19,-8.0
2020-04-20,-9.0
2020-04-21,-10.0
2020-04-22,-11.0
2020-04-23,-12.0
2020-04-24,-13.0
2020-04-25,-14.0
2020-04-26,-15.0
2020-04-27,-16.0
2020-04-28,-17.0
2020-04-29,-18.0
2020-04-30,-19.0
2020-05-01,-20.0
2020-05-02,-20.0
2020-05-03,-20.0
2020-05-04,-20.0
2020-05-05,-20.0
2020-05-06,-20.0
2020-05-07,-20.0
2020-05-08,-20.0
2020-05-09,-20.0
2020-05-10,-20.0
2020-05-11,-20.0
2020-05-12,-20.0
2020-05-13,-20.0
2020-05-14,-20.0
2020-05-15,-20.0
2020-05-16,-20.0
2020-05-17,-20.0
2020-05-18,-20.0
2020-05-19,-20.0
2020-05-20,-20.0
2020-05-21,-20.0
2020-05-22,-20.0
2020-05-23,-20.0
2020-05-24,-20.0
2020-05-25,-20.0
2020-05-26,-20.0
2020-05-27,-20.0
2020-05-28,0.0
2020-05-29,20.0
2020-05-30,20.0
2020-05-31,20.0
2020-06-01,20.0
2020-06-02,20.0
2020-06-03,20.0
2020-06-04,20.0
2020-06-05,20.0
2020-06-06,19.0
2020-06-07,18.0
2020-06-08,17.0
2020-06-09,16.0
2020-06-10,15.0
2020-06-11,14.0
2020-06-12,13.0
2020-06-13,12.0
2020-06-14,11.0
2020-06-15,10.0
2020-06-16,9.0
2020-06-17,8.0
2020-06-18,7.0
2020-06-19,6.0
2020-06-20,5.0
2020-06-21,4.0
2020-06-22,3.0
2020-06-23,2.0
2020-06-24,1.0
2020-06-25,0.0
2020-06-26,-1.0
2020-06-27,-2.0
2020-06-28,-3.0
2020-06-29,-4.0
2020-06-30,-5.0
2020-07-01,-6.0
2020-07-02,-7.0
2020-07-03,-8.0
2020-07-04,-9.0
2020-07-05,-10.0
2020-07-06,-11.0
2020-07-07,-12.0
2020-07-08,-13.0
2020-07-09,-14.0
2020-07-10,-15.0
2020-07-11,-16.0
2020-07-12,-17.0
2020-07-13,-18.0
2020-07-14,-18.0
2020-07-15,-19.0
2020-07-16,-20.0
2020-07-17,-20.0
2020-07-18,-20.0
2020-07-19,-20.0
2020-07-20,-20.0
2020-07-21,-20.0
2020-07-22,-20.0
2020-07-23,-20.0
2020-07-24,-20.0
2020-07-25,-20.0
2020-07-26,-20.0
2020-07-27,-20.0
2020-07-28,-20.0
2020-07-29,-20.0
2020-07-30,-20.0
2020-07-31,-20.0
2020-08-01,-20.0
2020-08-02,-20.0
2020-08-03,-20.0
2020-08-04,-20.0
2020-08-05,-20.0
2020-08-06,-20.0
2020-08-07,-20.0
2020-08-08,-20.0
2020-08-09,-20.0
2020-08-10,-20.0
2020-08-11,-20.0
2020-08-12,-20.0
2020-08-13,-20.0
2020-08-14,-0.5
2020-08-15,19.0
