i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
0,6,6,2020-01-22
0,7,7,2020-01-22
0,8,8,2020-01-22
0,9,9,2020-01-22
0,10,10,2020-01-22
0,11,11,2020-01-22
0,12,12,2020-01-22
0,13,13,2020-01-22
0,14,14,2020-01-22
0,15,15,2020-01-22
0,16,16,2020-01-22
0,17,17,2020-01-22
0,18,18,2020-01-22
0,19,19,2020-01-22
0,20,20,2020-01-22
1,21,20,2020-01-23
2,22,20,2020-01-24
3,23,20,2020-01-25
4,24,20,2020-01-26
5,25,20,2020-01-27
6,25,19,2020-01-28
7,25,18,2020-01-29
8,25,17,2020-01-30
9,25,16,2020-01-31
10,25,15,2020-02-01
11,26,15,2020-02-02
12,26,14,2020-02-03
13,26,13,2020-02-04
14,26,12,2020-02-05
15,26,11,2020-02-06
16,27,11,2020-02-07
17,27,10,2020-02-08
18,27,9,2020-02-09
19,27,8,2020-02-10
20,27,7,2020-02-11
21,27,6,2020-02-12
22,28,6,2020-02-13
23,28,5,2020-02-14
24,28,4,2020-02-15
25,28,3,2020-02-16
26,28,2,2020-02-17
27,28,1,2020-02-18
28,28,0,2020-02-19
29,29,0,2020-02-20
30,29,-1,2020-02-21
31,29,-2,2020-02-22
32,29,-3,2020-02-23
33,29,-4,2020-02-24
34,29,-5,2020-02-25
35,29,-6,2020-02-26
36,29,-7,2020-02-27
37,29,-8,2020-02-28
38,29,-9,2020-02-29
39,29,-10,2020-03-01
40,29,-11,2020-03-02
41,29,-12,2020-03-03
42,29,-13,2020-03-04
43,29,-14,2020-03-05
44,29,-15,2020-03-06
45,29,-16,2020-03-07
46,30,-16,2020-03-08
46,31,-15,2020-03-08
46,32,-14,2020-03-08
46,33,-13,2020-03-08
46,34,-12,2020-03-08
46,35,-11,2020-03-08
46,36,-10,2020-03-08
46,37,-9,2020-03-08
46,38,-8,2020-03-08
46,39,-7,2020-03-08
46,40,-6,2020-03-08
46,41,-5,2020-03-08
46,42,-4,2020-03-08
46,43,-3,2020-03-08
46,44,-2,2020-03-08
46,45,-1,2020-03-08
46,46,0,2020-03-08
46,47,1,2020-03-08
46,48,2,2020-03-08
46,49,3,2020-03-08
46,50,4,2020-03-08
46,51,5,2020-03-08
46,52,6,2020-03-08
46,53,7,2020-03-08
46,54,8,2020-03-08
46,55,9,2020-03-08
46,56,10,2020-03-08
47,57,10,2020-03-09
48,58,10,2020-03-10
49,59,10,2020-03-11
50,60,10,2020-03-12
51,61,10,2020-03-13
52,61,9,2020-03-14
53,61,8,2020-03-15
54,61,7,2020-03-16
55,61,6,2020-03-17
56,61,5,2020-03-18
57,61,4,2020-03-19
58,61,3,2020-03-20
59,61,2,2020-03-21
60,61,1,2020-03-22
61,61,0,2020-03-23
62,61,-1,2020-03-24
63,61,-2,2020-03-25
64,61,-3,2020-03-26
65,61,-4,2020-03-27
66,61,-5,2020-03-28
67,61,-6,2020-03-29
68,61,-7,2020-03-30
69,61,-8,2020-03-31
70,61,-9,2020-04-01
71,61,-10,2020-04-02
72,61,-11,2020-04-03
73,61,-12,2020-04-04
74,62,-12,2020-04-05
75,63,-12,2020-04-06
76,64,-12,2020-04-07
77,65,-12,2020-04-08
78,66,-12,2020-04-09
79,67,-12,2020-04-10
79,68,-11,2020-04-10
79,69,-10,2020-04-10
79,70,-9,2020-04-10
79,71,-8,2020-04-10
79,72,-7,2020-04-10
79,73,-6,2020-04-10
79,74,-5,2020-04-10
79,75,-4,2020-04-10
79,76,-3,2020-04-10
79,77,-2,2020-04-10
79,78,-1,2020-04-10
79,79,0,2020-04-10
79,80,1,2020-04-10
79,81,2,2020-04-10
79,82,3,2020-04-10
79,83,4,2020-04-10
79,84,5,2020-04-10
79,85,6,2020-04-10
79,86,7,2020-04-10
79,87,8,2020-04-10
79,88,9,2020-04-10
79,89,10,2020-04-10
79,90,11,2020-04-10
79,91,12,2020-04-10
79,92,13,2020-04-10
79,93,14,2020-04-10
79,94,15,2020-04-10
79,95,16,2020-04-10
79,96,17,2020-04-10
79,97,18,2020-04-10
79,98,19,2020-04-10
79,99,20,2020-04-10
80,100,20,2020-04-11
81,101,20,2020-04-12
82,102,20,2020-04-13
83,103,20,2020-04-14
84,104,20,2020-04-15
85,105,20,2020-04-16
86,106,20,2020-04-17
87,107,20,2020-04-18
88,108,20,2020-04-19
89,109,20,2020-04-20
90,110,20,2020-04-21
91,111,20,2020-04-22
92,112,20,2020-04-23
93,113,20,2020-04-24
94,114,20,2020-04-25
95,115,20,2020-04-26
96,116,20,2020-04-27
97,117,20,2020-04-28
98,118,20,2020-04-29
99,119,20,2020-04-30
100,119,19,2020-05-01
101,119,18,2020-05-02
102,119,17,2020-05-03
103,119,16,2020-05-04
104,119,15,2020-05-05
105,119,14,2020-05-06
106,119,13,2020-05-07
107,119,12,2020-05-08
108,119,11,2020-05-09
109,119,10,2020-05-10
110,119,9,2020-05-11
111,119,8,2020-05-12
112,119,7,2020-05-13
113,119,6,2020-05-14
114,119,5,2020-05-15
115,119,4,2020-05-16
116,119,3,2020-05-17
117,119,2,2020-05-18
118,119,1,2020-05-19
119,119,0,2020-05-20
120,119,-1,2020-05-21
121,120,-1,2020-05-22
122,121,-1,2020-05-23
123,122,-1,2020-05-24
124,123,-1,2020-05-25
125,124,-1,2020-05-26
126,125,-1,2020-05-27
127,126,-1,2020-05-28
128,127,-1,2020-05-29
129,128,-1,2020-05-30
130,129,-1,2020-05-31
131,130,-1,2020-06-01
131,131,0,2020-06-01
131,132,1,2020-06-01
131,133,2,2020-06-01
131,134,3,2020-06-01
131,135,4,2020-06-01
131,136,5,2020-06-01
132,137,5,2020-06-02
133,138,5,2020-06-03
134,139,5,2020-06-04
135,140,5,2020-06-05
136,141,5,2020-06-06
137,142,5,2020-06-07
138,143,5,2020-06-08
139,144,5,2020-06-09
140,144,4,2020-06-10
141,144,3,2020-06-11
142,144,2,2020-06-12
143,144,1,2020-06-13
144,144,0,2020-06-14
145,144,-1,2020-06-15
146,144,-2,2020-06-16
147,144,-3,2020-06-17
148,144,-4,2020-06-18
149,144,-5,2020-06-19
150,144,-6,2020-06-20
151,144,-7,2020-06-21
152,144,-8,2020-06-22
153,144,-9,2020-06-23
154,144,-10,2020-06-24
155,144,-11,2020-06-25
156,144,-12,2020-06-26
157,144,-13,2020-06-27
158,144,-14,2020-06-28
159,144,-15,2020-06-29
160,144,-16,2020-06-30
161,144,-17,2020-07-01
162,144,-18,2020-07-02
163,144,-19,2020-07-03
164,144,-20,2020-07-04
165,145,-20,2020-07-05
166,146,-20,2020-07-06
167,147,-20,2020-07-07
168,148,-20,2020-07-08
169,149,-20,2020-07-09
170,150,-20,2020-07-10
171,151,-20,2020-07-11
172,152,-20,2020-07-12
173,153,-20,2020-07-13
174,154,-20,2020-07-14
174,155,-19,2020-07-14
174,156,-18,2020-07-14
174,157,-17,2020-07-14
174,158,-16,2020-07-14
174,159,-15,2020-07-14
174,160,-14,2020-07-14
174,161,-13,2020-07-14
174,162,-12,2020-07-14
174,163,-11,2020-07-14
174,164,-10,2020-07-14
174,165,-9,2020-07-14
174,166,-8,2020-07-14
174,167,-7,2020-07-14
174,168,-6,2020-07-14
174,169,-5,2020-07-14
174,170,-4,2020-07-14
174,171,-3,2020-07-14
174,172,-2,2020-07-14
174,173,-1,2020-07-14
174,174,0,2020-07-14
174,175,1,2020-07-14
174,176,2,2020-07-14
175,177,2,2020-07-15
176,177,1,2020-07-16
177,177,0,2020-07-17
178,177,-1,2020-07-18
179,177,-2,2020-07-19
180,177,-3,2020-07-20
181,177,-4,2020-07-21
182,177,-5,2020-07-22
183,177,-6,2020-07-23
184,177,-7,2020-07-24
185,177,-8,2020-07-25
186,177,-9,2020-07-26
187,177,-10,2020-07-27
188,177,-11,2020-07-28
189,177,-12,2020-07-29
190,177,-13,2020-07-30
191,177,-14,2020-07-31
192,177,-15,2020-08-01
193,177,-16,2020-08-02
194,177,-17,2020-08-03
195,177,-18,2020-08-04
196,177,-19,2020-08-05
197,178,-19,2020-08-06
198,178,-20,2020-08-07
199,179,-20,2020-08-08
200,180,-20,2020-08-09
201,181,-20,2020-08-10
202,182,-20,2020-08-11
203,183,-20,2020-08-12
204,184,-20,2020-08-13
205,185,-20,2020-08-14
206,186,-20,2020-08-15
207,187,-20,2020-08-16
208,188,-20,2020-08-17
209,189,-20,2020-08-18
210,190,-20,2020-08-19
211,191,-20,2020-08-20
212,192,-20,2020-08-21
213,193,-20,2020-08-22
214,194,-20,2020-08-23
215,195,-20,2020-08-24
216,196,-20,2020-08-25
217,197,-20,2020-08-26
218,198,-20,2020-08-27
219,199,-20,2020-08-28
220,200,-20,2020-08-29
221,201,-20,2020-08-30
222,202,-20,2020-08-31
223,203,-20,2020-09-01
224,204,-20,2020-09-02
225,205,-20,2020-09-03
226,206,-20,2020-09-04
227,207,-20,2020-09-05
228,208,-20,2020-09-06
229,209,-20,2020-09-07
230,210,-20,2020-09-08
231,211,-20,2020-09-09
232,212,-20,2020-09-10
233,213,-20,2020-09-11
234,214,-20,2020-09-12
235,215,-20,2020-09-13
236,216,-20,2020-09-14
237,217,-20,2020-09-15
237,218,-19,2020-09-15
237,219,-18,2020-09-15
237,220,-17,2020-09-15
237,221,-16,2020-09-15
237,222,-15,2020-09-15
237,223,-14,2020-09-15
237,224,-13,2020-09-15
237,225,-12,2020-09-15
237,226,-11,2020-09-15
238,227,-11,2020-09-16
239,227,-12,2020-09-17
240,227,-13,2020-09-18
241,227,-14,2020-09-19
242,227,-15,2020-09-20
243,227,-16,2020-09-21
244,228,-16,2020-09-22
245,228,-17,2020-09-23
246,228,-18,2020-09-24
247,228,-19,2020-09-25
248,228,-20,2020-09-26
249,229,-20,2020-09-27
250,230,-20,2020-09-28
251,231,-20,2020-09-29
252,232,-20,2020-09-30
252,233,-19,2020-09-30
252,234,-18,2020-09-30
252,235,-17,2020-09-30
252,236,-16,2020-09-30
252,237,-15,2020-09-30
252,238,-14,2020-09-30
252,239,-13,2020-09-30
252,240,-12,2020-09-30
252,241,-11,2020-09-30
252,242,-10,2020-09-30
252,243,-9,2020-09-30
252,244,-8,2020-09-30
252,245,-7,2020-09-30
252,246,-6,2020-09-30
253,247,-6,2020-10-01
254,248,-6,2020-10-02
255,249,-6,2020-10-03
256,249,-7,2020-10-04
257,249,-8,2020-10-05
258,249,-9,2020-10-06
259,249,-10,2020-10-07
260,250,-10,2020-10-08
261,250,-11,2020-10-09
262,250,-12,2020-10-10
263,251,-12,2020-10-11
264,251,-13,2020-10-12
265,252,-13,2020-10-13
266,252,-14,2020-10-14
267,252,-15,2020-10-15
268,253,-15,2020-10-16
269,253,-16,2020-10-17
270,254,-16,2020-10-18
271,254,-17,2020-10-19
272,255,-17,2020-10-20
273,255,-18,2020-10-21
274,256,-18,2020-10-22
275,256,-19,2020-10-23
276,256,-20,2020-10-24
277,257,-20,2020-10-25
278,258,-20,2020-10-26
279,259,-20,2020-10-27
280,260,-20,2020-10-28
281,261,-20,2020-10-29
282,262,-20,2020-10-30
283,263,-20,2020-10-31
284,264,-20,2020-11-01
284,265,-19,2020-11-01
284,266,-18,2020-11-01
284,267,-17,2020-11-01
284,268,-16,2020-11-01
284,269,-15,2020-11-01
284,270,-14,2020-11-01
284,271,-13,2020-11-01
284,272,-12,2020-11-01
284,273,-11,2020-11-01
284,274,-10,2020-11-01
284,275,-9,2020-11-01
284,276,-8,2020-11-01
284,277,-7,2020-11-01
284,278,-6,2020-11-01
284,279,-5,2020-11-01
284,280,-4,2020-11-01
284,281,-3,2020-11-01
284,282,-2,2020-11-01
284,283,-1,2020-11-01
284,284,0,2020-11-01
284,285,1,2020-11-01
284,286,2,2020-11-01
284,287,3,2020-11-01
284,288,4,2020-11-01
284,289,5,2020-11-01
284,290,6,2020-11-01
284,291,7,2020-11-01
284,292,8,2020-11-01
284,293,9,2020-11-01
284,294,10,2020-11-01
284,295,11,2020-11-01
284,296,12,2020-11-01
284,297,13,2020-11-01
284,298,14,2020-11-01
284,299,15,2020-11-01
284,300,16,2020-11-01
285,301,16,2020-11-02
286,301,15,2020-11-03
287,301,14,2020-11-04
288,301,13,2020-11-05
289,302,13,2020-11-06
290,302,12,2020-11-07
291,302,11,2020-11-08
292,303,11,2020-11-09
293,303,10,2020-11-10
294,303,9,2020-11-11
295,304,9,2020-11-12
296,305,9,2020-11-13
297,305,8,2020-11-14
298,306,8,2020-11-15
299,306,7,2020-11-16
300,307,7,2020-11-17
301,307,6,2020-11-18
302,308,6,2020-11-19
303,308,5,2020-11-20
304,309,5,2020-11-21
305,309,4,2020-11-22
306,310,4,2020-11-23
307,310,3,2020-11-24
308,311,3,2020-11-25
309,311,2,2020-11-26
310,311,1,2020-11-27
311,312,1,2020-11-28
312,312,0,2020-11-29
313,313,0,2020-11-30
313,314,1,2020-11-30
313,315,2,2020-11-30
313,316,3,2020-11-30
313,317,4,2020-11-30
313,318,5,2020-11-30
313,319,6,2020-11-30
313,320,7,2020-11-30
313,321,8,2020-11-30
313,322,9,2020-11-30
313,323,10,2020-11-30
313,324,11,2020-11-30
313,325,12,2020-11-30
313,326,13,2020-11-30
313,327,14,2020-11-30
313,328,15,2020-11-30
314,329,15,2020-12-01
315,330,15,2020-12-02
316,330,14,2020-12-03
317,330,13,2020-12-04
318,331,13,2020-12-05
319,331,12,2020-12-06
320,332,12,2020-12-07
321,332,11,2020-12-08
322,333,11,2020-12-09
323,333,10,2020-12-10
324,333,9,2020-12-11
325,333,8,2020-12-12
326,333,7,2020-12-13
327,333,6,2020-12-14
328,333,5,2020-12-15
329,333,4,2020-12-16
330,333,3,2020-12-17
331,333,2,2020-12-18
332,333,1,2020-12-19
333,333,0,2020-12-20
334,333,-1,2020-12-21
335,333,-2,2020-12-22
336,333,-3,2020-12-23
337,333,-4,2020-12-24
338,333,-5,2020-12-25
339,333,-6,2020-12-26
340,333,-7,2020-12-27
341,333,-8,2020-12-28
342,333,-9,2020-12-29
343,333,-10,2020-12-30
344,333,-11,2020-12-31
345,333,-12,2021-01-01
346,333,-13,2021-01-02
347,333,-14,2021-01-03
348,333,-15,2021-01-04
349,333,-16,2021-01-05
350,333,-17,2021-01-06
351,333,-18,2021-01-07
352,333,-19,2021-01-08
353,333,-20,2021-01-09
354,334,-20,2021-01-10
354,335,-19,2021-01-10
355,336,-19,2021-01-11
356,337,-19,2021-01-12
356,338,-18,2021-01-12
357,339,-18,2021-01-13
357,340,-17,2021-01-13
357,341,-16,2021-01-13
358,342,-16,2021-01-14
358,343,-15,2021-01-14
358,344,-14,2021-01-14
358,345,-13,2021-01-14
359,346,-13,2021-01-15
359,347,-12,2021-01-15
360,348,-12,2021-01-16
361,349,-12,2021-01-17
362,349,-13,2021-01-18
363,349,-14,2021-01-19
364,349,-15,2021-01-20
365,349,-16,2021-01-21
366,349,-17,2021-01-22
367,349,-18,2021-01-23
368,349,-19,2021-01-24
369,349,-20,2021-01-25
370,350,-20,2021-01-26
371,351,-20,2021-01-27
372,352,-20,2021-01-28
373,353,-20,2021-01-29
374,354,-20,2021-01-30
375,355,-20,2021-01-31
376,356,-20,2021-02-01
377,357,-20,2021-02-02
378,358,-20,2021-02-03
379,359,-20,2021-02-04
380,360,-20,2021-02-05
381,361,-20,2021-02-06
382,362,-20,2021-02-07
383,363,-20,2021-02-08
384,364,-20,2021-02-09
385,365,-20,2021-02-10
386,366,-20,2021-02-11
387,367,-20,2021-02-12
388,368,-20,2021-02-13
389,369,-20,2021-02-14
390,370,-20,2021-02-15
391,371,-20,2021-02-16
392,372,-20,2021-02-17
393,373,-20,2021-02-18
394,374,-20,2021-02-19
395,375,-20,2021-02-20
396,376,-20,2021-02-21
397,377,-20,2021-02-22
398,378,-20,2021-02-23
399,379,-20,2021-02-24
400,380,-20,2021-02-25
401,381,-20,2021-02-26
402,382,-20,2021-02-27
403,383,-20,2021-02-28
404,384,-20,2021-03-01
405,385,-20,2021-03-02
406,386,-20,2021-03-03
407,387,-20,2021-03-04
408,388,-20,2021-03-05
409,389,-20,2021-03-06
410,390,-20,2021-03-07
410,391,-19,2021-03-07
410,392,-18,2021-03-07
410,393,-17,2021-03-07
410,394,-16,2021-03-07
410,395,-15,2021-03-07
410,396,-14,2021-03-07
410,397,-13,2021-03-07
410,398,-12,2021-03-07
410,399,-11,2021-03-07
410,400,-10,2021-03-07
410,401,-9,2021-03-07
410,402,-8,2021-03-07
410,403,-7,2021-03-07
410,404,-6,2021-03-07
410,405,-5,2021-03-07
410,406,-4,2021-03-07
410,407,-3,2021-03-07
410,408,-2,2021-03-07
410,409,-1,2021-03-07
410,410,0,2021-03-07
410,411,1,2021-03-07
410,412,2,2021-03-07
410,413,3,2021-03-07
410,414,4,2021-03-07
410,415,5,2021-03-07
410,416,6,2021-03-07
410,417,7,2021-03-07
410,418,8,2021-03-07
410,419,9,2021-03-07
410,420,10,2021-03-07
410,421,11,2021-03-07
410,422,12,2021-03-07
410,423,13,2021-03-07
411,424,13,2021-03-08
412,425,13,2021-03-09
413,425,12,2021-03-10
414,426,12,2021-03-11
415,426,11,2021-03-12
416,426,10,2021-03-13
417,426,9,2021-03-14
418,427,9,2021-03-15
419,427,8,2021-03-16
420,427,7,2021-03-17
421,427,6,2021-03-18
422,427,5,2021-03-19
423,427,4,2021-03-20
424,427,3,2021-03-21
425,427,2,2021-03-22
426,428,2,2021-03-23
427,429,2,2021-03-24
428,430,2,2021-03-25
429,431,2,2021-03-26
430,432,2,2021-03-27
