i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
0,6,6,2020-01-22
0,7,7,2020-01-22
0,8,8,2020-01-22
1,9,8,2020-01-23
2,9,7,2020-01-24
3,9,6,2020-01-25
4,9,5,2020-01-26
5,9,4,2020-01-27
6,9,3,2020-01-28
7,9,2,2020-01-29
8,9,1,2020-01-30
9,9,0,2020-01-31
10,10,0,2020-02-01
11,10,-1,2020-02-02
12,10,-2,2020-02-03
13,10,-3,2020-02-04
14,10,-4,2020-02-05
15,10,-5,2020-02-06
16,10,-6,2020-02-07
17,10,-7,2020-02-08
18,10,-8,2020-02-09
19,10,-9,2020-02-10
20,11,-9,2020-02-11
21,11,-10,2020-02-12
22,11,-11,2020-02-13
23,11,-12,2020-02-14
24,11,-13,2020-02-15
25,11,-14,2020-02-16
26,12,-14,2020-02-17
26,13,-13,2020-02-17
26,14,-12,2020-02-17
26,15,-11,2020-02-17
26,16,-10,2020-02-17
26,17,-9,2020-02-17
26,18,-8,2020-02-17
26,19,-7,2020-02-17
26,20,-6,2020-02-17
26,21,-5,2020-02-17
26,22,-4,2020-02-17
26,23,-3,2020-02-17
26,24,-2,2020-02-17
26,25,-1,2020-02-17
26,26,0,2020-02-17
26,27,1,2020-02-17
26,28,2,2020-02-17
26,29,3,2020-02-17
26,30,4,2020-02-17
26,31,5,2020-02-17
26,32,6,2020-02-17
26,33,7,2020-02-17
26,34,8,2020-02-17
26,35,9,2020-02-17
26,36,10,2020-02-17
26,37,11,2020-02-17
26,38,12,2020-02-17
26,39,13,2020-02-17
26,40,14,2020-02-17
26,41,15,2020-02-17
26,42,16,2020-02-17
26,43,17,2020-02-17
26,44,18,2020-02-17
26,45,19,2020-02-17
26,46,20,2020-02-17
27,47,20,2020-02-18
28,48,20,2020-02-19
29,49,20,2020-02-20
30,50,20,2020-02-21
31,51,20,2020-02-22
32,52,20,2020-02-23
33,53,20,2020-02-24
34,54,20,2020-02-25
35,55,20,2020-02-26
36,56,20,2020-02-27
37,57,20,2020-02-28
38,58,20,2020-02-29
39,59,20,2020-03-01
40,60,20,2020-03-02
41,61,20,2020-03-03
42,62,20,2020-03-04
43,63,20,2020-03-05
44,64,20,2020-03-06
45,65,20,2020-03-07
46,66,20,2020-03-08
47,67,20,2020-03-09
48,68,20,2020-03-10
49,69,20,2020-03-11
50,70,20,2020-03-12
51,71,20,2020-03-13
52,72,20,2020-03-14
53,73,20,2020-03-15
54,74,20,2020-03-16
55,75,20,2020-03-17
56,76,20,2020-03-18
57,77,20,2020-03-19
58,78,20,2020-03-20
59,79,20,2020-03-21
60,80,20,2020-03-22
61,81,20,2020-03-23
62,82,20,2020-03-24
63,83,20,2020-03-25
64,84,20,2020-03-26
65,85,20,2020-03-27
66,86,20,2020-03-28
67,87,20,2020-03-29
68,88,20,2020-03-30
69,89,20,2020-03-31
70,90,20,2020-04-01
71,91,20,2020-04-02
72,92,20,2020-04-03
73,93,20,2020-04-04
74,94,20,2020-04-05
75,95,20,2020-04-06
76,96,20,2020-04-07
77,97,20,2020-04-08
78,98,20,2020-04-09
79,99,20,2020-04-10
80,100,20,2020-04-11
81,101,20,2020-04-12
82,102,20,2020-04-13
83,103,20,2020-04-14
84,104,20,2020-04-15
85,105,20,2020-04-16
86,106,20,2020-04-17
87,107,20,2020-04-18
88,108,20,2020-04-19
89,109,20,2020-04-20
90,110,20,2020-04-21
91,111,20,2020-04-22
92,112,20,2020-04-23
93,113,20,2020-04-24
94,114,20,2020-04-25
95,115,20,2020-04-26
96,116,20,2020-04-27
97,117,20,2020-04-28
98,118,20,2020-04-29
99,119,20,2020-04-30
100,120,20,2020-05-01
101,121,20,2020-05-02
102,122,20,2020-05-03
103,123,20,2020-05-04
104,123,19,2020-05-05
105,123,18,2020-05-06
106,123,17,2020-05-07
107,123,16,2020-05-08
108,124,16,2020-05-09
109,124,15,2020-05-10
110,124,14,2020-05-11
111,124,13,2020-05-12
112,124,12,2020-05-13
113,125,12,2020-05-14
114,125,11,2020-05-15
115,125,10,2020-05-16
116,126,10,2020-05-17
117,126,9,2020-05-18
118,127,9,2020-05-19
119,127,8,2020-05-20
120,128,8,2020-05-21
121,128,7,2020-05-22
122,129,7,2020-05-23
123,130,7,2020-05-24
124,130,6,2020-05-25
125,131,6,2020-05-26
126,132,6,2020-05-27
126,133,7,2020-05-27
127,134,7,2020-05-28
128,135,7,2020-05-29
129,135,6,2020-05-30
130,135,5,2020-05-31
131,135,4,2020-06-01
132,135,3,2020-06-02
133,135,2,2020-06-03
134,135,1,2020-06-04
135,135,0,2020-06-05
136,135,-1,2020-06-06
137,135,-2,2020-06-07
138,135,-3,2020-06-08
139,135,-4,2020-06-09
140,135,-5,2020-06-10
141,135,-6,2020-06-11
142,135,-7,2020-06-12
143,135,-8,2020-06-13
144,135,-9,2020-06-14
145,135,-10,2020-06-15
146,135,-11,2020-06-16
147,135,-12,2020-06-17
148,135,-13,2020-06-18
149,135,-14,2020-06-19
150,135,-15,2020-06-20
151,135,-16,2020-06-21
152,135,-17,2020-06-22
153,135,-18,2020-06-23
154,135,-19,2020-06-24
155,135,-20,2020-06-25
156,136,-20,2020-06-26
157,137,-20,2020-06-27
158,138,-20,2020-06-28
159,139,-20,2020-06-29
160,140,-20,2020-06-30
161,141,-20,2020-07-01
162,142,-20,2020-07-02
163,143,-20,2020-07-03
164,144,-20,2020-07-04
165,145,-20,2020-07-05
166,146,-20,2020-07-06
167,147,-20,2020-07-07
168,148,-20,2020-07-08
169,149,-20,2020-07-09
170,150,-20,2020-07-10
171,151,-20,2020-07-11
172,152,-20,2020-07-12
173,153,-20,2020-07-13
174,154,-20,2020-07-14
175,155,-20,2020-07-15
176,156,-20,2020-07-16
177,157,-20,2020-07-17
178,158,-20,2020-07-18
179,159,-20,2020-07-19
180,160,-20,2020-07-20
181,161,-20,2020-07-21
182,162,-20,2020-07-22
183,163,-20,2020-07-23
184,164,-20,2020-07-24
185,165,-20,2020-07-25
186,166,-20,2020-07-26
187,167,-20,2020-07-27
188,168,-20,2020-07-28
189,169,-20,2020-07-29
190,170,-20,2020-07-30
191,171,-20,2020-07-31
192,172,-20,2020-08-01
193,173,-20,2020-08-02
194,174,-20,2020-08-03
195,175,-20,2020-08-04
196,176,-20,2020-08-05
197,177,-20,2020-08-06
198,178,-20,2020-08-07
199,179,-20,2020-08-08
200,180,-20,2020-08-09
201,181,-20,2020-08-10
202,182,-20,2020-08-11
203,183,-20,2020-08-12
204,184,-20,2020-08-13
205,185,-20,2020-08-14
206,186,-20,2020-08-15
206,187,-19,2020-08-15
206,188,-18,2020-08-15
206,189,-17,2020-08-15
206,190,-16,2020-08-15
206,191,-15,2020-08-15
206,192,-14,2020-08-15
206,193,-13,2020-08-15
206,194,-12,2020-08-15
207,195,-12,2020-08-16
208,196,-12,2020-08-17
209,197,-12,2020-08-18
210,197,-13,2020-08-19
211,197,-14,2020-08-20
212,197,-15,2020-08-21
213,197,-16,2020-08-22
214,197,-17,2020-08-23
215,197,-18,2020-08-24
216,198,-18,2020-08-25
217,198,-19,2020-08-26
218,198,-20,2020-08-27
219,199,-20,2020-08-28
220,200,-20,2020-08-29
221,201,-20,2020-08-30
222,202,-20,2020-08-31
223,203,-20,2020-09-01
224,204,-20,2020-09-02
225,205,-20,2020-09-03
226,206,-20,2020-09-04
227,207,-20,2020-09-05
228,208,-20,2020-09-06
229,209,-20,2020-09-07
230,210,-20,2020-09-08
231,211,-20,2020-09-09
232,212,-20,2020-09-10
233,213,-20,2020-09-11
234,214,-20,2020-09-12
235,215,-20,2020-09-13
236,216,-20,2020-09-14
237,217,-20,2020-09-15
238,218,-20,2020-09-16
239,219,-20,2020-09-17
240,220,-20,2020-09-18
241,221,-20,2020-09-19
242,222,-20,2020-09-20
243,223,-20,2020-09-21
244,224,-20,2020-09-22
245,225,-20,2020-09-23
246,226,-20,2020-09-24
247,227,-20,2020-09-25
248,228,-20,2020-09-26
249,229,-20,2020-09-27
250,230,-20,2020-09-28
251,231,-20,2020-09-29
252,232,-20,2020-09-30
253,233,-20,2020-10-01
254,234,-20,2020-10-02
255,235,-20,2020-10-03
256,236,-20,2020-10-04
257,237,-20,2020-10-05
258,238,-20,2020-10-06
259,239,-20,2020-10-07
260,240,-20,2020-10-08
261,241,-20,2020-10-09
262,242,-20,2020-10-10
263,243,-20,2020-10-11
264,244,-20,2020-10-12
265,245,-20,2020-10-13
266,246,-20,2020-10-14
267,247,-20,2020-10-15
268,248,-20,2020-10-16
269,249,-20,2020-10-17
269,250,-19,2020-10-17
269,251,-18,2020-10-17
269,252,-17,2020-10-17
269,253,-16,2020-10-17
269,254,-15,2020-10-17
269,255,-14,2020-10-17
269,256,-13,2020-10-17
269,257,-12,2020-10-17
269,258,-11,2020-10-17
269,259,-10,2020-10-17
269,260,-9,2020-10-17
269,261,-8,2020-10-17
269,262,-7,2020-10-17
269,263,-6,2020-10-17
269,264,-5,2020-10-17
269,265,-4,2020-10-17
269,266,-3,2020-10-17
270,267,-3,2020-10-18
270,268,-2,2020-10-18
271,269,-2,2020-10-19
272,270,-2,2020-10-20
273,271,-2,2020-10-21
273,272,-1,2020-10-21
274,273,-1,2020-10-22
275,274,-1,2020-10-23
275,275,0,2020-10-23
276,276,0,2020-10-24
277,277,0,2020-10-25
277,278,1,2020-10-25
278,279,1,2020-10-26
278,280,2,2020-10-26
279,281,2,2020-10-27
279,282,3,2020-10-27
279,283,4,2020-10-27
280,284,4,2020-10-28
280,285,5,2020-10-28
280,286,6,2020-10-28
281,287,6,2020-10-29
282,288,6,2020-10-30
283,288,5,2020-10-31
284,288,4,2020-11-01
285,288,3,2020-11-02
286,288,2,2020-11-03
287,288,1,2020-11-04
288,288,0,2020-11-05
289,288,-1,2020-11-06
290,288,-2,2020-11-07
291,288,-3,2020-11-08
292,288,-4,2020-11-09
293,288,-5,2020-11-10
294,288,-6,2020-11-11
295,288,-7,2020-11-12
296,288,-8,2020-11-13
297,288,-9,2020-11-14
298,288,-10,2020-11-15
299,288,-11,2020-11-16
300,288,-12,2020-11-17
301,288,-13,2020-11-18
302,288,-14,2020-11-19
303,288,-15,2020-11-20
304,288,-16,2020-11-21
305,288,-17,2020-11-22
306,288,-18,2020-11-23
307,289,-18,2020-11-24
308,290,-18,2020-11-25
308,291,-17,2020-11-25
309,292,-17,2020-11-26
309,293,-16,2020-11-26
309,294,-15,2020-11-26
309,295,-14,2020-11-26
310,296,-14,2020-11-27
310,297,-13,2020-11-27
310,298,-12,2020-11-27
311,299,-12,2020-11-28
311,300,-11,2020-11-28
312,301,-11,2020-11-29
312,302,-10,2020-11-29
313,303,-10,2020-11-30
314,304,-10,2020-12-01
314,305,-9,2020-12-01
315,306,-9,2020-12-02
316,307,-9,2020-12-03
316,308,-8,2020-12-03
317,309,-8,2020-12-04
318,310,-8,2020-12-05
319,311,-8,2020-12-06
320,312,-8,2020-12-07
321,313,-8,2020-12-08
322,313,-9,2020-12-09
323,314,-9,2020-12-10
324,315,-9,2020-12-11
324,316,-8,2020-12-11
324,317,-7,2020-12-11
324,318,-6,2020-12-11
324,319,-5,2020-12-11
324,320,-4,2020-12-11
324,321,-3,2020-12-11
324,322,-2,2020-12-11
324,323,-1,2020-12-11
324,324,0,2020-12-11
324,325,1,2020-12-11
324,326,2,2020-12-11
324,327,3,2020-12-11
324,328,4,2020-12-11
324,329,5,2020-12-11
324,330,6,2020-12-11
324,331,7,2020-12-11
324,332,8,2020-12-11
325,333,8,2020-12-12
326,334,8,2020-12-13
327,335,8,2020-12-14
328,336,8,2020-12-15
329,337,8,2020-12-16
330,338,8,2020-12-17
330,339,9,2020-12-17
331,340,9,2020-12-18
331,341,10,2020-12-18
331,342,11,2020-12-18
332,343,11,2020-12-19
333,344,11,2020-12-20
334,345,11,2020-12-21
335,345,10,2020-12-22
336,345,9,2020-12-23
337,345,8,2020-12-24
338,345,7,2020-12-25
339,345,6,2020-12-26
340,345,5,2020-12-27
341,345,4,2020-12-28
342,345,3,2020-12-29
343,345,2,2020-12-30
344,345,1,2020-12-31
345,345,0,2021-01-01
346,345,-1,2021-01-02
347,345,-2,2021-01-03
348,345,-3,2021-01-04
349,345,-4,2021-01-05
350,345,-5,2021-01-06
351,345,-6,2021-01-07
352,345,-7,2021-01-08
353,345,-8,2021-01-09
354,345,-9,2021-01-10
355,345,-10,2021-01-11
356,345,-11,2021-01-12
357,345,-12,2021-01-13
358,345,-13,2021-01-14
359,345,-14,2021-01-15
360,345,-15,2021-01-16
361,345,-16,2021-01-17
362,345,-17,2021-01-18
363,345,-18,2021-01-19
364,345,-19,2021-01-20
365,345,-20,2021-01-21
366,346,-20,2021-01-22
367,347,-20,2021-01-23
368,348,-20,2021-01-24
369,349,-20,2021-01-25
370,350,-20,2021-01-26
371,351,-20,2021-01-27
372,352,-20,2021-01-28
373,353,-20,2021-01-29
374,354,-20,2021-01-30
375,355,-20,2021-01-31
376,356,-20,2021-02-01
377,357,-20,2021-02-02
378,358,-20,2021-02-03
379,359,-20,2021-02-04
380,360,-20,2021-02-05
381,361,-20,2021-02-06
382,362,-20,2021-02-07
383,363,-20,2021-02-08
384,364,-20,2021-02-09
385,365,-20,2021-02-10
386,366,-20,2021-02-11
387,367,-20,2021-02-12
388,368,-20,2021-02-13
389,369,-20,2021-02-14
390,370,-20,2021-02-15
391,371,-20,2021-02-16
392,372,-20,2021-02-17
393,373,-20,2021-02-18
394,374,-20,2021-02-19
395,375,-20,2021-02-20
396,376,-20,2021-02-21
397,377,-20,2021-02-22
398,378,-20,2021-02-23
399,379,-20,2021-02-24
400,380,-20,2021-02-25
401,381,-20,2021-02-26
402,382,-20,2021-02-27
402,383,-19,2021-02-27
402,384,-18,2021-02-27
402,385,-17,2021-02-27
402,386,-16,2021-02-27
402,387,-15,2021-02-27
402,388,-14,2021-02-27
402,389,-13,2021-02-27
402,390,-12,2021-02-27
402,391,-11,2021-02-27
402,392,-10,2021-02-27
402,393,-9,2021-02-27
402,394,-8,2021-02-27
402,395,-7,2021-02-27
402,396,-6,2021-02-27
402,397,-5,2021-02-27
402,398,-4,2021-02-27
402,399,-3,2021-02-27
402,400,-2,2021-02-27
402,401,-1,2021-02-27
402,402,0,2021-02-27
402,403,1,2021-02-27
402,404,2,2021-02-27
402,405,3,2021-02-27
402,406,4,2021-02-27
402,407,5,2021-02-27
402,408,6,2021-02-27
402,409,7,2021-02-27
402,410,8,2021-02-27
402,411,9,2021-02-27
402,412,10,2021-02-27
402,413,11,2021-02-27
402,414,12,2021-02-27
402,415,13,2021-02-27
402,416,14,2021-02-27
402,417,15,2021-02-27
402,418,16,2021-02-27
402,419,17,2021-02-27
402,420,18,2021-02-27
402,421,19,2021-02-27
402,422,20,2021-02-27
403,423,20,2021-02-28
404,424,20,2021-03-01
405,425,20,2021-03-02
406,426,20,2021-03-03
407,427,20,2021-03-04
408,428,20,2021-03-05
409,429,20,2021-03-06
410,430,20,2021-03-07
411,431,20,2021-03-08
412,432,20,2021-03-09
413,433,20,2021-03-10
414,434,20,2021-03-11
415,435,20,2021-03-12
416,436,20,2021-03-13
417,437,20,2021-03-14
418,438,20,2021-03-15
419,439,20,2021-03-16
420,440,20,2021-03-17
421,441,20,2021-03-18
422,442,20,2021-03-19
423,443,20,2021-03-20
424,444,20,2021-03-21
425,445,20,2021-03-22
426,446,20,2021-03-23
427,447,20,2021-03-24
428,448,20,2021-03-25
429,449,20,2021-03-26
430,450,20,2021-03-27
431,451,20,2021-03-28
432,451,19,2021-03-29
433,451,18,2021-03-30
434,451,17,2021-03-31
435,451,16,2021-04-01
436,451,15,2021-04-02
437,451,14,2021-04-03
438,451,13,2021-04-04
439,451,12,2021-04-05
440,451,11,2021-04-06
441,452,11,2021-04-07
442,453,11,2021-04-08
443,454,11,2021-04-09
444,455,11,2021-04-10
445,456,11,2021-04-11
445,457,12,2021-04-11
445,458,13,2021-04-11
445,459,14,2021-04-11
445,460,15,2021-04-11
445,461,16,2021-04-11
445,462,17,2021-04-11
445,463,18,2021-04-11
445,464,19,2021-04-11
446,465,19,2021-04-12
447,466,19,2021-04-13
448,467,19,2021-04-14
449,468,19,2021-04-15
450,469,19,2021-04-16
451,470,19,2021-04-17
452,470,18,2021-04-18
453,470,17,2021-04-19
454,470,16,2021-04-20
455,470,15,2021-04-21
456,470,14,2021-04-22
457,470,13,2021-04-23
458,470,12,2021-04-24
459,470,11,2021-04-25
460,470,10,2021-04-26
461,470,9,2021-04-27
462,470,8,2021-04-28
463,470,7,2021-04-29
464,470,6,2021-04-30
465,470,5,2021-05-01
466,470,4,2021-05-02
467,470,3,2021-05-03
468,470,2,2021-05-04
469,470,1,2021-05-05
470,470,0,2021-05-06
471,470,-1,2021-05-07
472,470,-2,2021-05-08
473,470,-3,2021-05-09
474,470,-4,2021-05-10
475,470,-5,2021-05-11
476,470,-6,2021-05-12
477,470,-7,2021-05-13
478,470,-8,2021-05-14
479,470,-9,2021-05-15
480,470,-10,2021-05-16
481,470,-11,2021-05-17
482,470,-12,2021-05-18
483,470,-13,2021-05-19
484,470,-14,2021-05-20
485,470,-15,2021-05-21
486,470,-16,2021-05-22
487,470,-17,2021-05-23
488,470,-18,2021-05-24
489,470,-19,2021-05-25
490,470,-20,2021-05-26
491,471,-20,2021-05-27
492,472,-20,2021-05-28
493,473,-20,2021-05-29
494,474,-20,2021-05-30
495,475,-20,2021-05-31
496,476,-20,2021-06-01
497,477,-20,2021-06-02
498,478,-20,2021-06-03
