i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
0,6,6,2020-01-22
0,7,7,2020-01-22
0,8,8,2020-01-22
0,9,9,2020-01-22
0,10,10,2020-01-22
0,11,11,2020-01-22
0,12,12,2020-01-22
0,13,13,2020-01-22
0,14,14,2020-01-22
0,15,15,2020-01-22
0,16,16,2020-01-22
0,17,17,2020-01-22
0,18,18,2020-01-22
0,19,19,2020-01-22
0,20,20,2020-01-22
0,21,21,2020-01-22
0,22,22,2020-01-22
0,23,23,2020-01-22
0,24,24,2020-01-22
0,25,25,2020-01-22
0,26,26,2020-01-22
0,27,27,2020-01-22
1,28,27,2020-01-23
2,29,27,2020-01-24
3,30,27,2020-01-25
4,31,27,2020-01-26
5,32,27,2020-01-27
6,33,27,2020-01-28
7,34,27,2020-01-29
8,35,27,2020-01-30
9,36,27,2020-01-31
10,37,27,2020-02-01
11,38,27,2020-02-02
12,39,27,2020-02-03
13,40,27,2020-02-04
14,41,27,2020-02-05
15,42,27,2020-02-06
16,43,27,2020-02-07
17,44,27,2020-02-08
18,45,27,2020-02-09
19,46,27,2020-02-10
20,47,27,2020-02-11
21,48,27,2020-02-12
22,49,27,2020-02-13
23,50,27,2020-02-14
24,51,27,2020-02-15
25,52,27,2020-02-16
26,53,27,2020-02-17
27,54,27,2020-02-18
28,55,27,2020-02-19
29,56,27,2020-02-20
30,57,27,2020-02-21
31,58,27,2020-02-22
32,59,27,2020-02-23
33,60,27,2020-02-24
34,61,27,2020-02-25
35,62,27,2020-02-26
36,63,27,2020-02-27
37,64,27,2020-02-28
38,65,27,2020-02-29
39,66,27,2020-03-01
40,67,27,2020-03-02
41,68,27,2020-03-03
42,69,27,2020-03-04
43,70,27,2020-03-05
44,71,27,2020-03-06
45,72,27,2020-03-07
46,73,27,2020-03-08
47,74,27,2020-03-09
48,75,27,2020-03-10
49,76,27,2020-03-11
50,77,27,2020-03-12
51,78,27,2020-03-13
52,79,27,2020-03-14
53,80,27,2020-03-15
54,81,27,2020-03-16
55,82,27,2020-03-17
56,83,27,2020-03-18
57,84,27,2020-03-19
58,85,27,2020-03-20
59,86,27,2020-03-21
60,87,27,2020-03-22
61,88,27,2020-03-23
62,89,27,2020-03-24
63,90,27,2020-03-25
64,91,27,2020-03-26
65,92,27,2020-03-27
66,93,27,2020-03-28
67,94,27,2020-03-29
68,95,27,2020-03-30
69,96,27,2020-03-31
70,97,27,2020-04-01
71,98,27,2020-04-02
72,99,27,2020-04-03
73,100,27,2020-04-04
74,101,27,2020-04-05
75,102,27,2020-04-06
76,103,27,2020-04-07
77,104,27,2020-04-08
78,105,27,2020-04-09
79,106,27,2020-04-10
80,107,27,2020-04-11
81,108,27,2020-04-12
82,109,27,2020-04-13
83,110,27,2020-04-14
84,111,27,2020-04-15
85,112,27,2020-04-16
86,113,27,2020-04-17
87,114,27,2020-04-18
88,115,27,2020-04-19
89,116,27,2020-04-20
90,117,27,2020-04-21
91,118,27,2020-04-22
92,119,27,2020-04-23
93,120,27,2020-04-24
94,121,27,2020-04-25
95,122,27,2020-04-26
96,123,27,2020-04-27
97,124,27,2020-04-28
98,125,27,2020-04-29
99,126,27,2020-04-30
100,127,27,2020-05-01
101,128,27,2020-05-02
102,128,26,2020-05-03
103,128,25,2020-05-04
104,128,24,2020-05-05
105,128,23,2020-05-06
106,128,22,2020-05-07
107,128,21,2020-05-08
108,128,20,2020-05-09
109,128,19,2020-05-10
110,128,18,2020-05-11
111,128,17,2020-05-12
112,128,16,2020-05-13
113,128,15,2020-05-14
114,128,14,2020-05-15
115,128,13,2020-05-16
116,128,12,2020-05-17
117,128,11,2020-05-18
118,128,10,2020-05-19
119,128,9,2020-05-20
120,129,9,2020-05-21
121,130,9,2020-05-22
122,131,9,2020-05-23
123,132,9,2020-05-24
124,133,9,2020-05-25
125,134,9,2020-05-26
126,135,9,2020-05-27
127,136,9,2020-05-28
128,137,9,2020-05-29
129,138,9,2020-05-30
130,139,9,2020-05-31
131,140,9,2020-06-01
132,141,9,2020-06-02
132,142,10,2020-06-02
132,143,11,2020-06-02
132,144,12,2020-06-02
132,145,13,2020-06-02
132,146,14,2020-06-02
132,147,15,2020-06-02
132,148,16,2020-06-02
132,149,17,2020-06-02
132,150,18,2020-06-02
132,151,19,2020-06-02
132,152,20,2020-06-02
132,153,21,2020-06-02
132,154,22,2020-06-02
132,155,23,2020-06-02
132,156,24,2020-06-02
132,157,25,2020-06-02
132,158,26,2020-06-02
132,159,27,2020-06-02
133,160,27,2020-06-03
134,161,27,2020-06-04
135,162,27,2020-06-05
136,163,27,2020-06-06
137,164,27,2020-06-07
138,165,27,2020-06-08
139,166,27,2020-06-09
140,167,27,2020-06-10
141,168,27,2020-06-11
142,169,27,2020-06-12
143,170,27,2020-06-13
144,171,27,2020-06-14
145,172,27,2020-06-15
146,173,27,2020-06-16
147,174,27,2020-06-17
148,175,27,2020-06-18
149,175,26,2020-06-19
150,175,25,2020-06-20
151,175,24,2020-06-21
152,175,23,2020-06-22
153,175,22,2020-06-23
154,175,21,2020-06-24
155,175,20,2020-06-25
156,175,19,2020-06-26
157,175,18,2020-06-27
158,175,17,2020-06-28
159,175,16,2020-06-29
160,175,15,2020-06-30
161,175,14,2020-07-01
162,175,13,2020-07-02
163,175,12,2020-07-03
164,175,11,2020-07-04
165,175,10,2020-07-05
166,175,9,2020-07-06
167,175,8,2020-07-07
168,175,7,2020-07-08
169,175,6,2020-07-09
170,175,5,2020-07-10
171,175,4,2020-07-11
172,175,3,2020-07-12
173,175,2,2020-07-13
174,175,1,2020-07-14
175,175,0,2020-07-15
176,175,-1,2020-07-16
177,175,-2,2020-07-17
178,175,-3,2020-07-18
179,175,-4,2020-07-19
180,175,-5,2020-07-20
181,175,-6,2020-07-21
182,175,-7,2020-07-22
183,175,-8,2020-07-23
184,175,-9,2020-07-24
185,175,-10,2020-07-25
186,175,-11,2020-07-26
187,175,-12,2020-07-27
188,175,-13,2020-07-28
189,175,-14,2020-07-29
190,175,-15,2020-07-30
191,175,-16,2020-07-31
192,175,-17,2020-08-01
193,175,-18,2020-08-02
194,175,-19,2020-08-03
195,175,-20,2020-08-04
196,175,-21,2020-08-05
197,175,-22,2020-08-06
198,175,-23,2020-08-07
199,175,-24,2020-08-08
200,175,-25,2020-08-09
201,175,-26,2020-08-10
202,175,-27,2020-08-11
203,176,-27,2020-08-12
204,177,-27,2020-08-13
205,178,-27,2020-08-14
206,179,-27,2020-08-15
207,180,-27,2020-08-16
208,181,-27,2020-08-17
209,182,-27,2020-08-18
210,183,-27,2020-08-19
211,184,-27,2020-08-20
212,185,-27,2020-08-21
213,186,-27,2020-08-22
214,187,-27,2020-08-23
215,188,-27,2020-08-24
216,189,-27,2020-08-25
217,190,-27,2020-08-26
218,191,-27,2020-08-27
219,192,-27,2020-08-28
220,193,-27,2020-08-29
221,194,-27,2020-08-30
222,195,-27,2020-08-31
223,196,-27,2020-09-01
224,197,-27,2020-09-02
225,198,-27,2020-09-03
226,199,-27,2020-09-04
227,200,-27,2020-09-05
228,201,-27,2020-09-06
229,202,-27,2020-09-07
230,203,-27,2020-09-08
231,204,-27,2020-09-09
232,205,-27,2020-09-10
233,206,-27,2020-09-11
234,207,-27,2020-09-12
235,208,-27,2020-09-13
236,209,-27,2020-09-14
237,210,-27,2020-09-15
238,211,-27,2020-09-16
239,212,-27,2020-09-17
240,213,-27,2020-09-18
241,214,-27,2020-09-19
242,215,-27,2020-09-20
243,216,-27,2020-09-21
244,217,-27,2020-09-22
245,218,-27,2020-09-23
246,219,-27,2020-09-24
247,220,-27,2020-09-25
248,221,-27,2020-09-26
249,222,-27,2020-09-27
250,223,-27,2020-09-28
251,224,-27,2020-09-29
252,225,-27,2020-09-30
253,226,-27,2020-10-01
254,227,-27,2020-10-02
255,228,-27,2020-10-03
255,229,-26,2020-10-03
255,230,-25,2020-10-03
255,231,-24,2020-10-03
255,232,-23,2020-10-03
255,233,-22,2020-10-03
255,234,-21,2020-10-03
255,235,-20,2020-10-03
255,236,-19,2020-10-03
255,237,-18,2020-10-03
255,238,-17,2020-10-03
255,239,-16,2020-10-03
255,240,-15,2020-10-03
255,241,-14,2020-10-03
256,242,-14,2020-10-04
257,243,-14,2020-10-05
258,244,-14,2020-10-06
259,245,-14,2020-10-07
260,246,-14,2020-10-08
261,247,-14,2020-10-09
261,248,-13,2020-10-09
261,249,-12,2020-10-09
261,250,-11,2020-10-09
261,251,-10,2020-10-09
261,252,-9,2020-10-09
261,253,-8,2020-10-09
261,254,-7,2020-10-09
261,255,-6,2020-10-09
261,256,-5,2020-10-09
262,257,-5,2020-10-10
263,258,-5,2020-10-11
264,259,-5,2020-10-12
265,259,-6,2020-10-13
266,259,-7,2020-10-14
267,259,-8,2020-10-15
268,259,-9,2020-10-16
269,260,-9,2020-10-17
269,261,-8,2020-10-17
269,262,-7,2020-10-17
269,263,-6,2020-10-17
269,264,-5,2020-10-17
269,265,-4,2020-10-17
269,266,-3,2020-10-17
269,267,-2,2020-10-17
269,268,-1,2020-10-17
269,269,0,2020-10-17
269,270,1,2020-10-17
269,271,2,2020-10-17
269,272,3,2020-10-17
269,273,4,2020-10-17
269,274,5,2020-10-17
269,275,6,2020-10-17
269,276,7,2020-10-17
269,277,8,2020-10-17
269,278,9,2020-10-17
269,279,10,2020-10-17
269,280,11,2020-10-17
269,281,12,2020-10-17
269,282,13,2020-10-17
269,283,14,2020-10-17
269,284,15,2020-10-17
269,285,16,2020-10-17
269,286,17,2020-10-17
269,287,18,2020-10-17
269,288,19,2020-10-17
269,289,20,2020-10-17
269,290,21,2020-10-17
269,291,22,2020-10-17
269,292,23,2020-10-17
269,293,24,2020-10-17
269,294,25,2020-10-17
269,295,26,2020-10-17
269,296,27,2020-10-17
270,297,27,2020-10-18
271,298,27,2020-10-19
272,299,27,2020-10-20
273,300,27,2020-10-21
274,301,27,2020-10-22
275,302,27,2020-10-23
276,303,27,2020-10-24
277,304,27,2020-10-25
278,305,27,2020-10-26
279,306,27,2020-10-27
280,307,27,2020-10-28
281,308,27,2020-10-29
282,309,27,2020-10-30
283,310,27,2020-10-31
284,311,27,2020-11-01
285,312,27,2020-11-02
286,313,27,2020-11-03
287,314,27,2020-11-04
288,315,27,2020-11-05
289,316,27,2020-11-06
290,317,27,2020-11-07
291,318,27,2020-11-08
292,319,27,2020-11-09
293,320,27,2020-11-10
294,321,27,2020-11-11
295,321,26,2020-11-12
296,321,25,2020-11-13
297,321,24,2020-11-14
298,321,23,2020-11-15
299,321,22,2020-11-16
300,321,21,2020-11-17
301,321,20,2020-11-18
302,321,19,2020-11-19
303,321,18,2020-11-20
304,321,17,2020-11-21
305,321,16,2020-11-22
306,321,15,2020-11-23
307,321,14,2020-11-24
308,321,13,2020-11-25
309,321,12,2020-11-26
310,321,11,2020-11-27
311,321,10,2020-11-28
312,321,9,2020-11-29
313,321,8,2020-11-30
314,321,7,2020-12-01
315,321,6,2020-12-02
316,321,5,2020-12-03
317,321,4,2020-12-04
318,321,3,2020-12-05
319,322,3,2020-12-06
320,323,3,2020-12-07
320,324,4,2020-12-07
320,325,5,2020-12-07
320,326,6,2020-12-07
321,327,6,2020-12-08
321,328,7,2020-12-08
321,329,8,2020-12-08
322,330,8,2020-12-09
322,331,9,2020-12-09
323,332,9,2020-12-10
323,333,10,2020-12-10
324,334,10,2020-12-11
324,335,11,2020-12-11
325,336,11,2020-12-12
326,337,11,2020-12-13
327,338,11,2020-12-14
328,338,10,2020-12-15
329,338,9,2020-12-16
330,338,8,2020-12-17
331,338,7,2020-12-18
332,338,6,2020-12-19
333,338,5,2020-12-20
334,338,4,2020-12-21
335,338,3,2020-12-22
336,338,2,2020-12-23
337,338,1,2020-12-24
338,338,0,2020-12-25
339,338,-1,2020-12-26
340,338,-2,2020-12-27
341,338,-3,2020-12-28
342,338,-4,2020-12-29
343,338,-5,2020-12-30
344,338,-6,2020-12-31
345,338,-7,2021-01-01
346,338,-8,2021-01-02
347,338,-9,2021-01-03
348,338,-10,2021-01-04
349,338,-11,2021-01-05
350,338,-12,2021-01-06
351,338,-13,2021-01-07
352,338,-14,2021-01-08
353,338,-15,2021-01-09
354,338,-16,2021-01-10
355,338,-17,2021-01-11
356,338,-18,2021-01-12
357,338,-19,2021-01-13
358,338,-20,2021-01-14
359,338,-21,2021-01-15
360,338,-22,2021-01-16
361,338,-23,2021-01-17
362,338,-24,2021-01-18
363,338,-25,2021-01-19
364,338,-26,2021-01-20
365,338,-27,2021-01-21
366,339,-27,2021-01-22
367,340,-27,2021-01-23
368,341,-27,2021-01-24
369,342,-27,2021-01-25
370,343,-27,2021-01-26
371,344,-27,2021-01-27
372,345,-27,2021-01-28
373,346,-27,2021-01-29
374,347,-27,2021-01-30
375,348,-27,2021-01-31
376,349,-27,2021-02-01
377,350,-27,2021-02-02
378,351,-27,2021-02-03
379,352,-27,2021-02-04
380,353,-27,2021-02-05
381,354,-27,2021-02-06
382,355,-27,2021-02-07
383,356,-27,2021-02-08
384,357,-27,2021-02-09
385,358,-27,2021-02-10
386,359,-27,2021-02-11
387,360,-27,2021-02-12
388,361,-27,2021-02-13
389,362,-27,2021-02-14
390,363,-27,2021-02-15
390,364,-26,2021-02-15
390,365,-25,2021-02-15
390,366,-24,2021-02-15
390,367,-23,2021-02-15
390,368,-22,2021-02-15
390,369,-21,2021-02-15
390,370,-20,2021-02-15
390,371,-19,2021-02-15
390,372,-18,2021-02-15
390,373,-17,2021-02-15
390,374,-16,2021-02-15
390,375,-15,2021-02-15
390,376,-14,2021-02-15
390,377,-13,2021-02-15
390,378,-12,2021-02-15
390,379,-11,2021-02-15
390,380,-10,2021-02-15
390,381,-9,2021-02-15
390,382,-8,2021-02-15
390,383,-7,2021-02-15
390,384,-6,2021-02-15
390,385,-5,2021-02-15
390,386,-4,2021-02-15
390,387,-3,2021-02-15
390,388,-2,2021-02-15
390,389,-1,2021-02-15
390,390,0,2021-02-15
390,391,1,2021-02-15
390,392,2,2021-02-15
390,393,3,2021-02-15
390,394,4,2021-02-15
390,395,5,2021-02-15
391,396,5,2021-02-16
392,397,5,2021-02-17
393,398,5,2021-02-18
394,398,4,2021-02-19
395,398,3,2021-02-20
396,398,2,2021-02-21
397,398,1,2021-02-22
398,398,0,2021-02-23
399,398,-1,2021-02-24
400,398,-2,2021-02-25
401,398,-3,2021-02-26
402,398,-4,2021-02-27
403,398,-5,2021-02-28
404,398,-6,2021-03-01
405,398,-7,2021-03-02
406,398,-8,2021-03-03
407,398,-9,2021-03-04
408,398,-10,2021-03-05
409,398,-11,2021-03-06
410,398,-12,2021-03-07
411,398,-13,2021-03-08
412,398,-14,2021-03-09
413,398,-15,2021-03-10
414,398,-16,2021-03-11
415,398,-17,2021-03-12
416,398,-18,2021-03-13
417,398,-19,2021-03-14
418,398,-20,2021-03-15
419,398,-21,2021-03-16
420,398,-22,2021-03-17
421,398,-23,2021-03-18
422,398,-24,2021-03-19
423,398,-25,2021-03-20
424,398,-26,2021-03-21
425,398,-27,2021-03-22
426,399,-27,2021-03-23
427,400,-27,2021-03-24
428,401,-27,2021-03-25
429,402,-27,2021-03-26
430,403,-27,2021-03-27
431,404,-27,2021-03-28
432,405,-27,2021-03-29
433,406,-27,2021-03-30
434,407,-27,2021-03-31
435,408,-27,2021-04-01
436,409,-27,2021-04-02
437,410,-27,2021-04-03
438,411,-27,2021-04-04
439,412,-27,2021-04-05
440,413,-27,2021-04-06
441,414,-27,2021-04-07
442,415,-27,2021-04-08
443,416,-27,2021-04-09
444,417,-27,2021-04-10
445,418,-27,2021-04-11
446,419,-27,2021-04-12
447,420,-27,2021-04-13
448,421,-27,2021-04-14
449,422,-27,2021-04-15
450,423,-27,2021-04-16
451,424,-27,2021-04-17
452,425,-27,2021-04-18
452,426,-26,2021-04-18
452,427,-25,2021-04-18
452,428,-24,2021-04-18
453,429,-24,2021-04-19
454,430,-24,2021-04-20
455,431,-24,2021-04-21
456,431,-25,2021-04-22
457,431,-26,2021-04-23
458,431,-27,2021-04-24
459,432,-27,2021-04-25
460,433,-27,2021-04-26
461,434,-27,2021-04-27
462,435,-27,2021-04-28
463,436,-27,2021-04-29
464,437,-27,2021-04-30
465,438,-27,2021-05-01
466,439,-27,2021-05-02
467,440,-27,2021-05-03
468,441,-27,2021-05-04
469,442,-27,2021-05-05
470,443,-27,2021-05-06
471,444,-27,2021-05-07
472,445,-27,2021-05-08
473,446,-27,2021-05-09
474,447,-27,2021-05-10
475,448,-27,2021-05-11
476,449,-27,2021-05-12
477,450,-27,2021-05-13
478,451,-27,2021-05-14
479,452,-27,2021-05-15
480,453,-27,2021-05-16
481,454,-27,2021-05-17
482,455,-27,2021-05-18
483,456,-27,2021-05-19
484,457,-27,2021-05-20
485,458,-27,2021-05-21
486,459,-27,2021-05-22
487,460,-27,2021-05-23
488,461,-27,2021-05-24
489,462,-27,2021-05-25
489,463,-26,2021-05-25
489,464,-25,2021-05-25
489,465,-24,2021-05-25
489,466,-23,2021-05-25
489,467,-22,2021-05-25
489,468,-21,2021-05-25
489,469,-20,2021-05-25
489,470,-19,2021-05-25
489,471,-18,2021-05-25
489,472,-17,2021-05-25
489,473,-16,2021-05-25
489,474,-15,2021-05-25
489,475,-14,2021-05-25
489,476,-13,2021-05-25
489,477,-12,2021-05-25
489,478,-11,2021-05-25
489,479,-10,2021-05-25
489,480,-9,2021-05-25
489,481,-8,2021-05-25
489,482,-7,2021-05-25
489,483,-6,2021-05-25
