i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
0,5,5,2020-01-22
0,6,6,2020-01-22
0,7,7,2020-01-22
1,8,7,2020-01-23
2,9,7,2020-01-24
3,9,6,2020-01-25
4,9,5,2020-01-26
5,9,4,2020-01-27
6,9,3,2020-01-28
7,9,2,2020-01-29
8,9,1,2020-01-30
9,9,0,2020-01-31
10,9,-1,2020-02-01
11,9,-2,2020-02-02
12,9,-3,2020-02-03
13,9,-4,2020-02-04
14,9,-5,2020-02-05
15,9,-6,2020-02-06
16,9,-7,2020-02-07
17,9,-8,2020-02-08
18,9,-9,2020-02-09
19,9,-10,2020-02-10
20,9,-11,2020-02-11
21,9,-12,2020-02-12
22,9,-13,2020-02-13
23,9,-14,2020-02-14
24,9,-15,2020-02-15
25,9,-16,2020-02-16
26,10,-16,2020-02-17
27,11,-16,2020-02-18
28,12,-16,2020-02-19
29,13,-16,2020-02-20
30,14,-16,2020-02-21
31,15,-16,2020-02-22
32,16,-16,2020-02-23
32,17,-15,2020-02-23
32,18,-14,2020-02-23
32,19,-13,2020-02-23
32,20,-12,2020-02-23
32,21,-11,2020-02-23
32,22,-10,2020-02-23
32,23,-9,2020-02-23
32,24,-8,2020-02-23
32,25,-7,2020-02-23
32,26,-6,2020-02-23
32,27,-5,2020-02-23
32,28,-4,2020-02-23
32,29,-3,2020-02-23
32,30,-2,2020-02-23
32,31,-1,2020-02-23
32,32,0,2020-02-23
32,33,1,2020-02-23
32,34,2,2020-02-23
32,35,3,2020-02-23
33,36,3,2020-02-24
34,37,3,2020-02-25
35,38,3,2020-02-26
36,39,3,2020-02-27
37,40,3,2020-02-28
38,41,3,2020-02-29
39,42,3,2020-03-01
40,43,3,2020-03-02
41,44,3,2020-03-03
42,45,3,2020-03-04
43,46,3,2020-03-05
44,47,3,2020-03-06
45,48,3,2020-03-07
46,49,3,2020-03-08
47,50,3,2020-03-09
48,50,2,2020-03-10
49,50,1,2020-03-11
50,50,0,2020-03-12
51,50,-1,2020-03-13
52,50,-2,2020-03-14
53,50,-3,2020-03-15
54,50,-4,2020-03-16
55,50,-5,2020-03-17
56,50,-6,2020-03-18
57,50,-7,2020-03-19
58,50,-8,2020-03-20
59,50,-9,2020-03-21
60,50,-10,2020-03-22
61,50,-11,2020-03-23
62,50,-12,2020-03-24
63,50,-13,2020-03-25
64,50,-14,2020-03-26
65,50,-15,2020-03-27
66,50,-16,2020-03-28
67,50,-17,2020-03-29
68,50,-18,2020-03-30
69,50,-19,2020-03-31
70,51,-19,2020-04-01
70,52,-18,2020-04-01
70,53,-17,2020-04-01
70,54,-16,2020-04-01
70,55,-15,2020-04-01
70,56,-14,2020-04-01
70,57,-13,2020-04-01
70,58,-12,2020-04-01
70,59,-11,2020-04-01
70,60,-10,2020-04-01
70,61,-9,2020-04-01
70,62,-8,2020-04-01
70,63,-7,2020-04-01
70,64,-6,2020-04-01
70,65,-5,2020-04-01
70,66,-4,2020-04-01
70,67,-3,2020-04-01
70,68,-2,2020-04-01
70,69,-1,2020-04-01
70,70,0,2020-04-01
70,71,1,2020-04-01
70,72,2,2020-04-01
70,73,3,2020-04-01
70,74,4,2020-04-01
70,75,5,2020-04-01
70,76,6,2020-04-01
70,77,7,2020-04-01
70,78,8,2020-04-01
70,79,9,2020-04-01
70,80,10,2020-04-01
70,81,11,2020-04-01
70,82,12,2020-04-01
70,83,13,2020-04-01
70,84,14,2020-04-01
70,85,15,2020-04-01
70,86,16,2020-04-01
70,87,17,2020-04-01
70,88,18,2020-04-01
70,89,19,2020-04-01
70,90,20,2020-04-01
70,91,21,2020-04-01
70,92,22,2020-04-01
70,93,23,2020-04-01
70,94,24,2020-04-01
70,95,25,2020-04-01
70,96,26,2020-04-01
70,97,27,2020-04-01
71,98,27,2020-04-02
72,99,27,2020-04-03
73,100,27,2020-04-04
74,101,27,2020-04-05
75,102,27,2020-04-06
76,103,27,2020-04-07
77,104,27,2020-04-08
78,105,27,2020-04-09
79,106,27,2020-04-10
80,107,27,2020-04-11
81,108,27,2020-04-12
82,109,27,2020-04-13
83,110,27,2020-04-14
84,111,27,2020-04-15
85,112,27,2020-04-16
86,113,27,2020-04-17
87,114,27,2020-04-18
88,115,27,2020-04-19
89,116,27,2020-04-20
90,117,27,2020-04-21
91,118,27,2020-04-22
92,119,27,2020-04-23
93,120,27,2020-04-24
94,121,27,2020-04-25
95,122,27,2020-04-26
96,123,27,2020-04-27
97,124,27,2020-04-28
98,125,27,2020-04-29
99,126,27,2020-04-30
100,127,27,2020-05-01
101,128,27,2020-05-02
102,129,27,2020-05-03
103,130,27,2020-05-04
104,131,27,2020-05-05
105,132,27,2020-05-06
106,133,27,2020-05-07
107,134,27,2020-05-08
108,134,26,2020-05-09
109,134,25,2020-05-10
110,134,24,2020-05-11
111,134,23,2020-05-12
112,134,22,2020-05-13
113,134,21,2020-05-14
114,134,20,2020-05-15
115,134,19,2020-05-16
116,134,18,2020-05-17
117,134,17,2020-05-18
118,134,16,2020-05-19
119,134,15,2020-05-20
120,134,14,2020-05-21
121,134,13,2020-05-22
122,134,12,2020-05-23
123,134,11,2020-05-24
124,134,10,2020-05-25
125,134,9,2020-05-26
126,134,8,2020-05-27
127,134,7,2020-05-28
128,134,6,2020-05-29
129,134,5,2020-05-30
130,134,4,2020-05-31
131,134,3,2020-06-01
132,134,2,2020-06-02
133,134,1,2020-06-03
134,134,0,2020-06-04
135,134,-1,2020-06-05
136,134,-2,2020-06-06
137,134,-3,2020-06-07
138,134,-4,2020-06-08
139,134,-5,2020-06-09
140,134,-6,2020-06-10
141,134,-7,2020-06-11
142,134,-8,2020-06-12
143,134,-9,2020-06-13
144,134,-10,2020-06-14
145,134,-11,2020-06-15
146,134,-12,2020-06-16
147,134,-13,2020-06-17
148,134,-14,2020-06-18
149,134,-15,2020-06-19
150,134,-16,2020-06-20
151,134,-17,2020-06-21
152,134,-18,2020-06-22
153,134,-19,2020-06-23
154,135,-19,2020-06-24
155,136,-19,2020-06-25
156,137,-19,2020-06-26
157,138,-19,2020-06-27
158,139,-19,2020-06-28
159,140,-19,2020-06-29
160,141,-19,2020-06-30
161,142,-19,2020-07-01
162,143,-19,2020-07-02
163,144,-19,2020-07-03
164,145,-19,2020-07-04
165,146,-19,2020-07-05
166,147,-19,2020-07-06
167,148,-19,2020-07-07
168,149,-19,2020-07-08
169,150,-19,2020-07-09
169,151,-18,2020-07-09
169,152,-17,2020-07-09
169,153,-16,2020-07-09
169,154,-15,2020-07-09
169,155,-14,2020-07-09
169,156,-13,2020-07-09
170,157,-13,2020-07-10
171,158,-13,2020-07-11
172,159,-13,2020-07-12
173,160,-13,2020-07-13
174,161,-13,2020-07-14
175,162,-13,2020-07-15
176,163,-13,2020-07-16
177,164,-13,2020-07-17
178,164,-14,2020-07-18
179,164,-15,2020-07-19
180,164,-16,2020-07-20
181,164,-17,2020-07-21
182,164,-18,2020-07-22
183,164,-19,2020-07-23
184,164,-20,2020-07-24
185,164,-21,2020-07-25
186,164,-22,2020-07-26
187,164,-23,2020-07-27
188,164,-24,2020-07-28
189,164,-25,2020-07-29
190,164,-26,2020-07-30
191,164,-27,2020-07-31
192,165,-27,2020-08-01
193,166,-27,2020-08-02
194,167,-27,2020-08-03
195,168,-27,2020-08-04
196,169,-27,2020-08-05
197,170,-27,2020-08-06
198,171,-27,2020-08-07
199,172,-27,2020-08-08
200,173,-27,2020-08-09
201,174,-27,2020-08-10
202,175,-27,2020-08-11
203,176,-27,2020-08-12
204,177,-27,2020-08-13
205,178,-27,2020-08-14
206,179,-27,2020-08-15
207,180,-27,2020-08-16
208,181,-27,2020-08-17
209,182,-27,2020-08-18
210,183,-27,2020-08-19
211,184,-27,2020-08-20
212,185,-27,2020-08-21
213,186,-27,2020-08-22
214,187,-27,2020-08-23
215,188,-27,2020-08-24
216,189,-27,2020-08-25
217,190,-27,2020-08-26
218,191,-27,2020-08-27
219,192,-27,2020-08-28
220,193,-27,2020-08-29
221,194,-27,2020-08-30
222,195,-27,2020-08-31
223,196,-27,2020-09-01
224,197,-27,2020-09-02
225,198,-27,2020-09-03
226,199,-27,2020-09-04
227,200,-27,2020-09-05
228,201,-27,2020-09-06
229,202,-27,2020-09-07
230,203,-27,2020-09-08
231,204,-27,2020-09-09
232,205,-27,2020-09-10
233,206,-27,2020-09-11
234,207,-27,2020-09-12
235,208,-27,2020-09-13
236,209,-27,2020-09-14
237,210,-27,2020-09-15
238,211,-27,2020-09-16
239,212,-27,2020-09-17
240,213,-27,2020-09-18
241,214,-27,2020-09-19
242,215,-27,2020-09-20
243,216,-27,2020-09-21
244,217,-27,2020-09-22
245,218,-27,2020-09-23
246,219,-27,2020-09-24
247,220,-27,2020-09-25
248,221,-27,2020-09-26
249,222,-27,2020-09-27
250,223,-27,2020-09-28
251,224,-27,2020-09-29
252,225,-27,2020-09-30
253,226,-27,2020-10-01
254,227,-27,2020-10-02
255,228,-27,2020-10-03
256,229,-27,2020-10-04
257,230,-27,2020-10-05
258,231,-27,2020-10-06
259,232,-27,2020-10-07
260,233,-27,2020-10-08
261,234,-27,2020-10-09
262,235,-27,2020-10-10
263,236,-27,2020-10-11
264,237,-27,2020-10-12
265,238,-27,2020-10-13
266,239,-27,2020-10-14
267,240,-27,2020-10-15
268,241,-27,2020-10-16
269,242,-27,2020-10-17
270,243,-27,2020-10-18
271,244,-27,2020-10-19
272,245,-27,2020-10-20
273,246,-27,2020-10-21
274,247,-27,2020-10-22
275,248,-27,2020-10-23
276,249,-27,2020-10-24
277,250,-27,2020-10-25
278,251,-27,2020-10-26
279,252,-27,2020-10-27
280,253,-27,2020-10-28
281,254,-27,2020-10-29
282,255,-27,2020-10-30
283,256,-27,2020-10-31
284,257,-27,2020-11-01
285,258,-27,2020-11-02
286,259,-27,2020-11-03
287,260,-27,2020-11-04
288,261,-27,2020-11-05
289,262,-27,2020-11-06
290,263,-27,2020-11-07
291,264,-27,2020-11-08
292,265,-27,2020-11-09
293,266,-27,2020-11-10
294,267,-27,2020-11-11
295,268,-27,2020-11-12
296,269,-27,2020-11-13
297,270,-27,2020-11-14
298,271,-27,2020-11-15
299,272,-27,2020-11-16
300,273,-27,2020-11-17
301,274,-27,2020-11-18
302,275,-27,2020-11-19
303,276,-27,2020-11-20
304,277,-27,2020-11-21
305,278,-27,2020-11-22
306,279,-27,2020-11-23
307,280,-27,2020-11-24
308,281,-27,2020-11-25
309,282,-27,2020-11-26
310,283,-27,2020-11-27
311,284,-27,2020-11-28
312,285,-27,2020-11-29
313,286,-27,2020-11-30
314,287,-27,2020-12-01
315,288,-27,2020-12-02
316,289,-27,2020-12-03
317,290,-27,2020-12-04
318,291,-27,2020-12-05
319,292,-27,2020-12-06
320,293,-27,2020-12-07
321,294,-27,2020-12-08
322,295,-27,2020-12-09
323,296,-27,2020-12-10
324,297,-27,2020-12-11
325,298,-27,2020-12-12
326,299,-27,2020-12-13
327,300,-27,2020-12-14
328,301,-27,2020-12-15
329,302,-27,2020-12-16
330,303,-27,2020-12-17
331,304,-27,2020-12-18
332,305,-27,2020-12-19
333,306,-27,2020-12-20
334,307,-27,2020-12-21
335,308,-27,2020-12-22
336,309,-27,2020-12-23
337,310,-27,2020-12-24
338,311,-27,2020-12-25
339,312,-27,2020-12-26
340,313,-27,2020-12-27
341,314,-27,2020-12-28
342,315,-27,2020-12-29
343,316,-27,2020-12-30
344,317,-27,2020-12-31
345,318,-27,2021-01-01
346,319,-27,2021-01-02
347,320,-27,2021-01-03
348,321,-27,2021-01-04
349,322,-27,2021-01-05
350,323,-27,2021-01-06
351,324,-27,2021-01-07
352,325,-27,2021-01-08
353,326,-27,2021-01-09
354,327,-27,2021-01-10
355,328,-27,2021-01-11
356,329,-27,2021-01-12
357,330,-27,2021-01-13
358,331,-27,2021-01-14
359,332,-27,2021-01-15
360,333,-27,2021-01-16
361,334,-27,2021-01-17
362,335,-27,2021-01-18
363,336,-27,2021-01-19
364,337,-27,2021-01-20
365,338,-27,2021-01-21
366,339,-27,2021-01-22
367,340,-27,2021-01-23
367,341,-26,2021-01-23
367,342,-25,2021-01-23
367,343,-24,2021-01-23
367,344,-23,2021-01-23
367,345,-22,2021-01-23
367,346,-21,2021-01-23
367,347,-20,2021-01-23
367,348,-19,2021-01-23
367,349,-18,2021-01-23
367,350,-17,2021-01-23
367,351,-16,2021-01-23
367,352,-15,2021-01-23
367,353,-14,2021-01-23
367,354,-13,2021-01-23
367,355,-12,2021-01-23
367,356,-11,2021-01-23
367,357,-10,2021-01-23
367,358,-9,2021-01-23
367,359,-8,2021-01-23
367,360,-7,2021-01-23
367,361,-6,2021-01-23
367,362,-5,2021-01-23
367,363,-4,2021-01-23
367,364,-3,2021-01-23
367,365,-2,2021-01-23
367,366,-1,2021-01-23
367,367,0,2021-01-23
367,368,1,2021-01-23
367,369,2,2021-01-23
367,370,3,2021-01-23
367,371,4,2021-01-23
367,372,5,2021-01-23
367,373,6,2021-01-23
367,374,7,2021-01-23
367,375,8,2021-01-23
367,376,9,2021-01-23
367,377,10,2021-01-23
367,378,11,2021-01-23
367,379,12,2021-01-23
367,380,13,2021-01-23
367,381,14,2021-01-23
367,382,15,2021-01-23
367,383,16,2021-01-23
367,384,17,2021-01-23
367,385,18,2021-01-23
367,386,19,2021-01-23
367,387,20,2021-01-23
367,388,21,2021-01-23
367,389,22,2021-01-23
367,390,23,2021-01-23
367,391,24,2021-01-23
367,392,25,2021-01-23
367,393,26,2021-01-23
367,394,27,2021-01-23
368,395,27,2021-01-24
369,396,27,2021-01-25
370,397,27,2021-01-26
371,398,27,2021-01-27
372,399,27,2021-01-28
373,400,27,2021-01-29
374,401,27,2021-01-30
375,402,27,2021-01-31
376,403,27,2021-02-01
377,404,27,2021-02-02
378,405,27,2021-02-03
379,406,27,2021-02-04
380,407,27,2021-02-05
381,408,27,2021-02-06
382,409,27,2021-02-07
383,410,27,2021-02-08
384,411,27,2021-02-09
385,412,27,2021-02-10
386,413,27,2021-02-11
387,414,27,2021-02-12
388,415,27,2021-02-13
389,416,27,2021-02-14
390,417,27,2021-02-15
391,418,27,2021-02-16
392,419,27,2021-02-17
393,420,27,2021-02-18
394,420,26,2021-02-19
395,420,25,2021-02-20
396,420,24,2021-02-21
397,420,23,2021-02-22
398,420,22,2021-02-23
399,420,21,2021-02-24
400,420,20,2021-02-25
401,420,19,2021-02-26
402,420,18,2021-02-27
403,420,17,2021-02-28
404,420,16,2021-03-01
405,420,15,2021-03-02
406,420,14,2021-03-03
407,420,13,2021-03-04
408,420,12,2021-03-05
409,420,11,2021-03-06
410,420,10,2021-03-07
411,420,9,2021-03-08
412,420,8,2021-03-09
413,420,7,2021-03-10
414,420,6,2021-03-11
415,420,5,2021-03-12
416,420,4,2021-03-13
417,420,3,2021-03-14
418,420,2,2021-03-15
419,420,1,2021-03-16
420,420,0,2021-03-17
421,420,-1,2021-03-18
422,420,-2,2021-03-19
423,421,-2,2021-03-20
424,422,-2,2021-03-21
424,423,-1,2021-03-21
424,424,0,2021-03-21
425,425,0,2021-03-22
425,426,1,2021-03-22
425,427,2,2021-03-22
426,428,2,2021-03-23
427,429,2,2021-03-24
428,430,2,2021-03-25
429,431,2,2021-03-26
430,431,1,2021-03-27
431,431,0,2021-03-28
432,432,0,2021-03-29
433,432,-1,2021-03-30
434,432,-2,2021-03-31
435,432,-3,2021-04-01
436,432,-4,2021-04-02
437,432,-5,2021-04-03
438,432,-6,2021-04-04
439,432,-7,2021-04-05
440,432,-8,2021-04-06
441,432,-9,2021-04-07
442,432,-10,2021-04-08
443,432,-11,2021-04-09
444,432,-12,2021-04-10
445,432,-13,2021-04-11
446,432,-14,2021-04-12
447,432,-15,2021-04-13
448,432,-16,2021-04-14
449,432,-17,2021-04-15
450,432,-18,2021-04-16
451,432,-19,2021-04-17
452,432,-20,2021-04-18
453,433,-20,2021-04-19
454,434,-20,2021-04-20
455,435,-20,2021-04-21
456,436,-20,2021-04-22
457,437,-20,2021-04-23
458,438,-20,2021-04-24
459,439,-20,2021-04-25
459,440,-19,2021-04-25
459,441,-18,2021-04-25
459,442,-17,2021-04-25
459,443,-16,2021-04-25
459,444,-15,2021-04-25
459,445,-14,2021-04-25
459,446,-13,2021-04-25
459,447,-12,2021-04-25
459,448,-11,2021-04-25
459,449,-10,2021-04-25
459,450,-9,2021-04-25
459,451,-8,2021-04-25
459,452,-7,2021-04-25
459,453,-6,2021-04-25
459,454,-5,2021-04-25
459,455,-4,2021-04-25
459,456,-3,2021-04-25
459,457,-2,2021-04-25
459,458,-1,2021-04-25
459,459,0,2021-04-25
459,460,1,2021-04-25
459,461,2,2021-04-25
459,462,3,2021-04-25
459,463,4,2021-04-25
459,464,5,2021-04-25
459,465,6,2021-04-25
459,466,7,2021-04-25
459,467,8,2021-04-25
459,468,9,2021-04-25
459,469,10,2021-04-25
459,470,11,2021-04-25
460,471,11,2021-04-26
461,472,11,2021-04-27
462,473,11,2021-04-28
463,474,11,2021-04-29
464,475,11,2021-04-30
465,476,11,2021-05-01
466,477,11,2021-05-02
467,477,10,2021-05-03
468,477,9,2021-05-04
469,477,8,2021-05-05
470,477,7,2021-05-06
471,477,6,2021-05-07
472,477,5,2021-05-08
473,477,4,2021-05-09
474,477,3,2021-05-10
475,477,2,2021-05-11
476,477,1,2021-05-12
477,477,0,2021-05-13
478,477,-1,2021-05-14
479,477,-2,2021-05-15
480,477,-3,2021-05-16
481,477,-4,2021-05-17
482,477,-5,2021-05-18
