DATE,lag_days
2020-01-22,11.0
2020-01-23,22.0
2020-01-24,21.0
2020-01-25,20.0
2020-01-26,19.0
2020-01-27,19.0
2020-01-28,19.0
2020-01-29,19.0
2020-01-30,19.0
2020-01-31,19.0
2020-02-01,19.0
2020-02-02,19.0
2020-02-03,19.0
2020-02-04,19.0
2020-02-05,19.0
2020-02-06,19.0
2020-02-07,19.0
2020-02-08,19.0
2020-02-09,19.0
2020-02-10,19.0
2020-02-11,19.0
2020-02-12,19.0
2020-02-13,19.0
2020-02-14,19.0
2020-02-15,19.0
2020-02-16,19.0
2020-02-17,19.0
2020-02-18,19.0
2020-02-19,19.0
2020-02-20,19.0
2020-02-21,19.0
2020-02-22,19.0
2020-02-23,19.0
2020-02-24,19.0
2020-02-25,19.0
2020-02-26,19.0
2020-02-27,19.0
2020-02-28,19.0
2020-02-29,19.0
2020-03-01,19.0
2020-03-02,19.0
2020-03-03,19.0
2020-03-04,19.0
2020-03-05,19.0
2020-03-06,19.0
2020-03-07,19.0
2020-03-08,19.0
2020-03-09,19.0
2020-03-10,19.0
2020-03-11,19.0
2020-03-12,22.5
2020-03-13,26.0
2020-03-14,26.0
2020-03-15,25.0
2020-03-16,24.0
2020-03-17,23.0
2020-03-18,22.0
2020-03-19,21.0
2020-03-20,20.0
2020-03-21,19.0
2020-03-22,18.0
2020-03-23,17.0
2020-03-24,16.0
2020-03-25,15.0
2020-03-26,14.0
2020-03-27,13.0
2020-03-28,12.0
2020-03-29,11.0
2020-03-30,10.0
2020-03-31,9.0
2020-04-01,8.0
2020-04-02,7.0
2020-04-03,6.0
2020-04-04,5.0
2020-04-05,4.0
2020-04-06,3.0
2020-04-07,2.0
2020-04-08,1.0
2020-04-09,0.0
2020-04-10,-1.0
2020-04-11,-2.0
2020-04-12,-3.0
2020-04-13,-4.0
2020-04-14,-5.0
2020-04-15,-6.0
2020-04-16,-7.0
2020-04-17,-8.0
2020-04-18,-9.0
2020-04-19,-10.0
2020-04-20,-11.0
2020-04-21,-12.0
2020-04-22,-13.0
2020-04-23,-14.0
2020-04-24,-15.0
2020-04-25,-16.0
2020-04-26,-17.0
2020-04-27,-18.0
2020-04-28,-19.0
2020-04-29,-20.0
2020-04-30,-21.0
2020-05-01,-22.0
2020-05-02,-23.0
2020-05-03,-24.0
2020-05-04,-25.0
2020-05-05,-26.0
2020-05-06,-27.0
2020-05-07,-27.0
2020-05-08,-27.0
2020-05-09,-27.0
2020-05-10,-27.0
2020-05-11,-27.0
2020-05-12,-27.0
2020-05-13,-27.0
2020-05-14,-27.0
2020-05-15,-27.0
2020-05-16,-27.0
2020-05-17,-19.0
2020-05-18,-11.0
2020-05-19,-11.0
2020-05-20,-11.0
2020-05-21,-11.0
2020-05-22,-11.0
2020-05-23,-11.0
2020-05-24,-11.0
2020-05-25,-11.0
2020-05-26,-11.0
2020-05-27,-11.0
2020-05-28,-11.0
2020-05-29,-11.0
2020-05-30,-11.0
2020-05-31,-11.0
2020-06-01,-11.0
2020-06-02,-11.0
2020-06-03,-11.0
2020-06-04,-11.0
2020-06-05,-11.0
2020-06-06,-11.0
2020-06-07,-11.0
2020-06-08,-11.0
2020-06-09,-11.0
2020-06-10,-11.0
2020-06-11,-11.0
2020-06-12,-11.0
2020-06-13,-11.0
2020-06-14,-11.0
2020-06-15,-9.0
2020-06-16,-7.0
2020-06-17,-7.0
2020-06-18,-1.5
2020-06-19,4.0
2020-06-20,4.0
2020-06-21,4.0
2020-06-22,4.0
2020-06-23,4.0
2020-06-24,4.0
2020-06-25,4.0
2020-06-26,4.0
2020-06-27,4.0
2020-06-28,4.0
2020-06-29,4.0
2020-06-30,15.5
2020-07-01,27.0
2020-07-02,27.0
2020-07-03,27.0
2020-07-04,27.0
2020-07-05,27.0
2020-07-06,27.0
