DATE,lag_days
2020-01-22,2.0
2020-01-23,4.0
2020-01-24,4.0
2020-01-25,4.0
2020-01-26,4.0
2020-01-27,4.0
2020-01-28,4.0
2020-01-29,4.0
2020-01-30,4.0
2020-01-31,4.0
2020-02-01,4.0
2020-02-02,4.0
2020-02-03,4.0
2020-02-04,4.0
2020-02-05,4.0
2020-02-06,4.0
2020-02-07,4.0
2020-02-08,4.0
2020-02-09,4.0
2020-02-10,4.0
2020-02-11,4.0
2020-02-12,4.0
2020-02-13,4.0
2020-02-14,4.0
2020-02-15,4.0
2020-02-16,4.0
2020-02-17,4.0
2020-02-18,4.0
2020-02-19,4.0
2020-02-20,4.0
2020-02-21,4.0
2020-02-22,4.0
2020-02-23,4.0
2020-02-24,4.0
2020-02-25,4.0
2020-02-26,4.0
2020-02-27,4.0
2020-02-28,4.0
2020-02-29,4.0
2020-03-01,4.0
2020-03-02,4.0
2020-03-03,4.0
2020-03-04,4.0
2020-03-05,4.0
2020-03-06,4.0
2020-03-07,4.0
2020-03-08,3.0
2020-03-09,2.0
2020-03-10,1.0
2020-03-11,0.0
2020-03-12,-1.0
2020-03-13,-2.0
2020-03-14,-3.0
2020-03-15,-4.0
2020-03-16,-5.0
2020-03-17,-6.0
2020-03-18,-7.0
2020-03-19,-8.0
2020-03-20,-9.0
2020-03-21,-10.0
2020-03-22,-11.0
2020-03-23,-12.0
2020-03-24,-13.0
2020-03-25,-14.0
2020-03-26,-15.0
2020-03-27,-16.0
2020-03-28,-17.0
2020-03-29,-18.0
2020-03-30,-19.0
2020-03-31,-20.0
2020-04-01,-21.0
2020-04-02,-22.0
2020-04-03,-23.0
2020-04-04,-24.0
2020-04-05,-25.0
2020-04-06,-26.0
2020-04-07,-27.0
2020-04-08,-27.0
2020-04-09,-27.0
2020-04-10,-20.0
2020-04-11,-13.0
2020-04-12,-13.0
2020-04-13,-13.0
2020-04-14,-13.0
2020-04-15,-13.0
2020-04-16,-12.5
2020-04-17,-12.0
2020-04-18,-12.0
2020-04-19,-12.0
2020-04-20,-12.0
2020-04-21,7.5
2020-04-22,27.0
2020-04-23,27.0
2020-04-24,27.0
2020-04-25,27.0
2020-04-26,27.0
2020-04-27,27.0
2020-04-28,27.0
2020-04-29,27.0
2020-04-30,27.0
2020-05-01,27.0
2020-05-02,27.0
2020-05-03,27.0
2020-05-04,27.0
2020-05-05,27.0
2020-05-06,27.0
2020-05-07,27.0
2020-05-08,27.0
2020-05-09,27.0
2020-05-10,27.0
2020-05-11,27.0
2020-05-12,27.0
2020-05-13,27.0
2020-05-14,27.0
2020-05-15,27.0
2020-05-16,27.0
2020-05-17,27.0
2020-05-18,27.0
2020-05-19,27.0
2020-05-20,27.0
2020-05-21,27.0
2020-05-22,27.0
2020-05-23,27.0
2020-05-24,27.0
2020-05-25,27.0
2020-05-26,27.0
2020-05-27,27.0
2020-05-28,27.0
2020-05-29,27.0
2020-05-30,26.0
2020-05-31,25.0
2020-06-01,24.0
2020-06-02,23.0
2020-06-03,22.0
2020-06-04,21.0
2020-06-05,20.0
2020-06-06,19.0
2020-06-07,18.0
2020-06-08,17.0
2020-06-09,16.0
2020-06-10,15.0
2020-06-11,14.0
2020-06-12,13.0
2020-06-13,12.0
2020-06-14,11.0
2020-06-15,10.0
2020-06-16,9.0
2020-06-17,8.0
2020-06-18,7.0
2020-06-19,6.0
2020-06-20,5.0
2020-06-21,4.0
2020-06-22,3.0
2020-06-23,2.0
2020-06-24,1.0
2020-06-25,0.0
2020-06-26,-1.0
2020-06-27,-2.0
2020-06-28,-3.0
2020-06-29,-4.0
2020-06-30,-5.0
2020-07-01,-6.0
2020-07-02,-7.0
2020-07-03,-8.0
2020-07-04,-9.0
2020-07-05,-10.0
2020-07-06,-11.0
2020-07-07,-12.0
2020-07-08,-13.0
2020-07-09,-14.0
2020-07-10,-15.0
2020-07-11,-16.0
2020-07-12,-17.0
2020-07-13,-18.0
2020-07-14,-19.0
2020-07-15,-20.0
2020-07-16,-21.0
2020-07-17,-22.0
2020-07-18,-23.0
2020-07-19,-24.0
2020-07-20,-25.0
2020-07-21,-26.0
2020-07-22,-27.0
2020-07-23,-27.0
2020-07-24,-27.0
2020-07-25,-27.0
2020-07-26,-27.0
2020-07-27,-27.0
2020-07-28,-27.0
2020-07-29,-27.0
2020-07-30,-27.0
2020-07-31,-27.0
2020-08-01,-27.0
2020-08-02,-27.0
2020-08-03,-27.0
2020-08-04,-27.0
2020-08-05,-27.0
2020-08-06,-27.0
2020-08-07,-27.0
2020-08-08,-27.0
2020-08-09,-27.0
2020-08-10,-27.0
2020-08-11,-27.0
2020-08-12,-27.0
2020-08-13,-27.0
2020-08-14,-27.0
2020-08-15,-27.0
2020-08-16,-27.0
2020-08-17,-27.0
2020-08-18,-27.0
2020-08-19,-27.0
2020-08-20,-27.0
2020-08-21,-27.0
2020-08-22,-27.0
2020-08-23,-27.0
2020-08-24,-27.0
2020-08-25,-27.0
2020-08-26,-27.0
2020-08-27,-27.0
2020-08-28,-5.5
2020-08-29,16.0
2020-08-30,15.0
2020-08-31,14.0
2020-09-01,13.0
2020-09-02,12.0
2020-09-03,11.0
2020-09-04,10.0
2020-09-05,9.0
2020-09-06,8.0
2020-09-07,7.0
2020-09-08,6.0
2020-09-09,5.0
2020-09-10,4.0
2020-09-11,3.0
2020-09-12,2.0
2020-09-13,1.0
2020-09-14,0.0
2020-09-15,-1.0
2020-09-16,-2.0
2020-09-17,-3.0
2020-09-18,-4.0
2020-09-19,-5.0
2020-09-20,-6.0
2020-09-21,-7.0
2020-09-22,-8.0
2020-09-23,-9.0
2020-09-24,-10.0
2020-09-25,-11.0
2020-09-26,-12.0
2020-09-27,-13.0
2020-09-28,-14.0
2020-09-29,-15.0
2020-09-30,-16.0
2020-10-01,-17.0
2020-10-02,-18.0
2020-10-03,-19.0
2020-10-04,-20.0
2020-10-05,-21.0
2020-10-06,-22.0
2020-10-07,-23.0
2020-10-08,-24.0
2020-10-09,-25.0
2020-10-10,-26.0
2020-10-11,-27.0
2020-10-12,-27.0
2020-10-13,-27.0
2020-10-14,-27.0
2020-10-15,-27.0
2020-10-16,-27.0
2020-10-17,-27.0
2020-10-18,-27.0
2020-10-19,-27.0
2020-10-20,-27.0
2020-10-21,-27.0
2020-10-22,-27.0
2020-10-23,-27.0
2020-10-24,-27.0
2020-10-25,-23.0
2020-10-26,-19.0
2020-10-27,-16.0
2020-10-28,-13.0
2020-10-29,-13.0
2020-10-30,-14.0
2020-10-31,-15.0
2020-11-01,-16.0
2020-11-02,-17.0
2020-11-03,-18.0
2020-11-04,-19.0
2020-11-05,-20.0
2020-11-06,-21.0
2020-11-07,-22.0
2020-11-08,-23.0
2020-11-09,-24.0
2020-11-10,-25.0
2020-11-11,-26.0
2020-11-12,-27.0
2020-11-13,-27.0
2020-11-14,-27.0
2020-11-15,-19.5
2020-11-16,-12.0
2020-11-17,-13.0
2020-11-18,-14.0
2020-11-19,-11.5
2020-11-20,-5.0
2020-11-21,-1.0
2020-11-22,-1.0
2020-11-23,7.5
2020-11-24,16.0
2020-11-25,16.0
2020-11-26,16.0
2020-11-27,15.0
2020-11-28,15.5
2020-11-29,16.0
2020-11-30,15.0
2020-12-01,14.0
2020-12-02,14.0
2020-12-03,13.0
2020-12-04,12.0
2020-12-05,11.0
2020-12-06,10.0
2020-12-07,9.0
2020-12-08,8.0
2020-12-09,7.0
2020-12-10,6.0
2020-12-11,5.0
2020-12-12,4.0
2020-12-13,4.0
2020-12-14,3.0
2020-12-15,2.0
2020-12-16,1.0
2020-12-17,0.0
2020-12-18,-1.0
2020-12-19,-2.0
2020-12-20,-3.0
