DATE,lag_days
2020-01-22,9.5
2020-01-23,19.0
2020-01-24,19.0
2020-01-25,19.0
2020-01-26,19.0
2020-01-27,19.0
2020-01-28,19.0
2020-01-29,19.0
2020-01-30,19.0
2020-01-31,19.0
2020-02-01,19.0
2020-02-02,19.0
2020-02-03,19.0
2020-02-04,19.0
2020-02-05,19.0
2020-02-06,19.0
2020-02-07,19.0
2020-02-08,19.0
2020-02-09,19.0
2020-02-10,19.0
2020-02-11,19.0
2020-02-12,19.0
2020-02-13,19.0
2020-02-14,19.0
2020-02-15,19.0
2020-02-16,19.0
2020-02-17,19.0
2020-02-18,19.0
2020-02-19,19.0
2020-02-20,19.0
2020-02-21,19.0
2020-02-22,19.0
2020-02-23,19.0
2020-02-24,19.0
2020-02-25,19.0
2020-02-26,19.0
2020-02-27,19.0
2020-02-28,19.0
2020-02-29,19.0
2020-03-01,19.0
2020-03-02,19.0
2020-03-03,19.0
2020-03-04,19.0
2020-03-05,19.0
2020-03-06,19.0
2020-03-07,19.0
2020-03-08,19.0
2020-03-09,19.0
2020-03-10,19.0
2020-03-11,19.0
2020-03-12,19.0
2020-03-13,19.0
2020-03-14,19.0
2020-03-15,19.0
2020-03-16,19.0
2020-03-17,19.0
2020-03-18,19.0
2020-03-19,19.0
2020-03-20,19.0
2020-03-21,19.0
2020-03-22,19.0
2020-03-23,19.0
2020-03-24,19.0
2020-03-25,19.0
2020-03-26,19.0
2020-03-27,19.0
2020-03-28,19.0
2020-03-29,19.0
2020-03-30,19.0
2020-03-31,19.0
2020-04-01,18.0
2020-04-02,17.0
2020-04-03,16.0
2020-04-04,15.0
2020-04-05,14.0
2020-04-06,13.0
2020-04-07,12.0
2020-04-08,11.0
2020-04-09,10.0
2020-04-10,9.0
2020-04-11,8.0
2020-04-12,7.0
2020-04-13,6.0
2020-04-14,5.0
2020-04-15,4.0
2020-04-16,3.0
2020-04-17,2.0
2020-04-18,1.0
2020-04-19,0.0
2020-04-20,-1.0
2020-04-21,-2.0
2020-04-22,-3.0
2020-04-23,-4.0
2020-04-24,-5.0
2020-04-25,-6.0
2020-04-26,-7.0
2020-04-27,-8.0
2020-04-28,-9.0
2020-04-29,-9.0
2020-04-30,-9.0
2020-05-01,-9.0
2020-05-02,-9.0
2020-05-03,-9.0
2020-05-04,-9.0
2020-05-05,-9.0
2020-05-06,-9.0
2020-05-07,-9.0
2020-05-08,-9.0
2020-05-09,-9.0
2020-05-10,-9.0
2020-05-11,-9.0
2020-05-12,-9.0
2020-05-13,-9.0
2020-05-14,-9.0
2020-05-15,-9.0
2020-05-16,-9.0
2020-05-17,-9.0
2020-05-18,-10.0
2020-05-19,-11.0
2020-05-20,-12.0
2020-05-21,-13.0
2020-05-22,-14.0
2020-05-23,-15.0
2020-05-24,-16.0
2020-05-25,-17.0
2020-05-26,-18.0
2020-05-27,-19.0
2020-05-28,-20.0
2020-05-29,-21.0
2020-05-30,-22.0
2020-05-31,-23.0
2020-06-01,-24.0
2020-06-02,-25.0
2020-06-03,-26.0
2020-06-04,-26.0
2020-06-05,-26.0
2020-06-06,-26.0
2020-06-07,-26.0
2020-06-08,-26.0
2020-06-09,-26.0
2020-06-10,-26.0
2020-06-11,-26.0
2020-06-12,-26.0
2020-06-13,-26.0
2020-06-14,-26.0
2020-06-15,-26.0
2020-06-16,-26.0
2020-06-17,-26.0
2020-06-18,-23.5
2020-06-19,-21.0
2020-06-20,-21.0
2020-06-21,-21.0
2020-06-22,-21.0
2020-06-23,-21.0
2020-06-24,-21.0
2020-06-25,-18.0
2020-06-26,-15.0
2020-06-27,-15.0
2020-06-28,-15.0
2020-06-29,-15.0
2020-06-30,-14.5
2020-07-01,-14.0
2020-07-02,-14.0
2020-07-03,-15.0
2020-07-04,-16.0
2020-07-05,-17.0
2020-07-06,-17.0
2020-07-07,-17.0
2020-07-08,-17.0
2020-07-09,-17.0
2020-07-10,-17.0
2020-07-11,-17.0
2020-07-12,-17.0
2020-07-13,-17.0
2020-07-14,-17.0
2020-07-15,-17.0
2020-07-16,-17.0
2020-07-17,-17.0
2020-07-18,-17.0
2020-07-19,-17.0
2020-07-20,-17.0
2020-07-21,-17.0
2020-07-22,-17.0
2020-07-23,-17.0
2020-07-24,-17.0
2020-07-25,-18.0
2020-07-26,-19.0
2020-07-27,-20.0
2020-07-28,-21.0
2020-07-29,-22.0
2020-07-30,-23.0
2020-07-31,-24.0
2020-08-01,-25.0
2020-08-02,-26.0
2020-08-03,-27.0
2020-08-04,-27.0
2020-08-05,-27.0
2020-08-06,-27.0
2020-08-07,-21.5
2020-08-08,-16.0
2020-08-09,-16.0
2020-08-10,-17.0
2020-08-11,-18.0
2020-08-12,-19.0
2020-08-13,-20.0
2020-08-14,-19.5
2020-08-15,-19.0
2020-08-16,-19.0
2020-08-17,-19.0
2020-08-18,-19.0
2020-08-19,-19.0
2020-08-20,-19.0
2020-08-21,-20.0
2020-08-22,-21.0
2020-08-23,-22.0
2020-08-24,-23.0
2020-08-25,-24.0
2020-08-26,-24.0
2020-08-27,-24.0
2020-08-28,-24.0
2020-08-29,-24.0
2020-08-30,-24.0
2020-08-31,-24.0
2020-09-01,-24.0
2020-09-02,-24.0
2020-09-03,-24.0
2020-09-04,-24.0
2020-09-05,-24.0
2020-09-06,-24.0
2020-09-07,-24.0
2020-09-08,-24.0
2020-09-09,-24.0
2020-09-10,-24.0
2020-09-11,-24.0
2020-09-12,-24.0
2020-09-13,-24.0
2020-09-14,-24.0
2020-09-15,-24.0
2020-09-16,-24.0
2020-09-17,-24.0
2020-09-18,-24.0
2020-09-19,-24.0
2020-09-20,-24.0
2020-09-21,-24.0
2020-09-22,-24.0
2020-09-23,-24.0
2020-09-24,-24.0
2020-09-25,-24.0
2020-09-26,-24.0
2020-09-27,-24.0
2020-09-28,-25.0
2020-09-29,-25.0
2020-09-30,-25.0
2020-10-01,-25.0
2020-10-02,-25.0
2020-10-03,-25.0
2020-10-04,-25.0
2020-10-05,-21.5
2020-10-06,-18.0
2020-10-07,-19.0
2020-10-08,-20.0
2020-10-09,-21.0
2020-10-10,-22.0
2020-10-11,-23.0
2020-10-12,-24.0
2020-10-13,-25.0
2020-10-14,-26.0
2020-10-15,-27.0
2020-10-16,-27.0
2020-10-17,-27.0
2020-10-18,-27.0
2020-10-19,-27.0
2020-10-20,-27.0
2020-10-21,-27.0
2020-10-22,-27.0
2020-10-23,-27.0
2020-10-24,-22.5
2020-10-25,-18.0
2020-10-26,-18.0
2020-10-27,-19.0
2020-10-28,-20.0
2020-10-29,-21.0
2020-10-30,-22.0
