DATE,lag_days
2020-01-22,13.0
2020-01-23,26.0
2020-01-24,25.0
2020-01-25,24.0
2020-01-26,24.0
2020-01-27,24.0
2020-01-28,24.0
2020-01-29,24.0
2020-01-30,24.0
2020-01-31,24.0
2020-02-01,24.0
2020-02-02,24.0
2020-02-03,24.0
2020-02-04,24.0
2020-02-05,24.0
2020-02-06,24.0
2020-02-07,24.0
2020-02-08,24.0
2020-02-09,24.0
2020-02-10,24.0
2020-02-11,24.0
2020-02-12,24.0
2020-02-13,24.0
2020-02-14,24.0
2020-02-15,24.0
2020-02-16,24.0
2020-02-17,24.0
2020-02-18,24.0
2020-02-19,24.0
2020-02-20,24.0
2020-02-21,24.0
2020-02-22,24.0
2020-02-23,24.0
2020-02-24,24.0
2020-02-25,24.0
2020-02-26,24.0
2020-02-27,24.0
2020-02-28,24.0
2020-02-29,24.0
2020-03-01,24.0
2020-03-02,24.0
2020-03-03,24.0
2020-03-04,24.0
2020-03-05,23.0
2020-03-06,22.0
2020-03-07,21.0
2020-03-08,20.0
2020-03-09,19.0
2020-03-10,18.0
2020-03-11,17.0
2020-03-12,16.0
2020-03-13,15.0
2020-03-14,14.0
2020-03-15,13.0
2020-03-16,12.0
2020-03-17,11.0
2020-03-18,10.0
2020-03-19,9.0
2020-03-20,8.0
2020-03-21,7.0
2020-03-22,6.0
2020-03-23,5.0
2020-03-24,4.0
2020-03-25,3.0
2020-03-26,2.0
2020-03-27,1.0
2020-03-28,0.0
2020-03-29,-1.0
2020-03-30,-2.0
2020-03-31,-3.0
2020-04-01,-4.0
2020-04-02,-5.0
2020-04-03,-6.0
2020-04-04,-7.0
2020-04-05,-8.0
2020-04-06,-9.0
2020-04-07,-10.0
2020-04-08,-11.0
2020-04-09,-12.0
2020-04-10,-12.0
2020-04-11,-12.0
2020-04-12,-11.5
2020-04-13,-11.0
2020-04-14,-11.0
2020-04-15,-11.0
2020-04-16,-11.0
2020-04-17,-11.0
2020-04-18,-11.0
2020-04-19,-11.0
2020-04-20,-11.0
2020-04-21,-10.5
2020-04-22,-10.0
2020-04-23,-10.0
2020-04-24,-10.0
2020-04-25,-10.0
2020-04-26,-10.0
2020-04-27,-10.0
2020-04-28,-10.0
2020-04-29,-10.0
2020-04-30,-10.0
2020-05-01,-10.0
2020-05-02,-10.0
2020-05-03,-10.0
2020-05-04,-10.0
2020-05-05,-10.0
2020-05-06,-10.0
2020-05-07,-10.0
2020-05-08,-10.0
2020-05-09,-10.0
2020-05-10,-10.0
2020-05-11,-10.0
2020-05-12,-10.0
2020-05-13,-10.0
2020-05-14,-10.0
2020-05-15,-10.0
2020-05-16,-10.0
2020-05-17,-11.0
2020-05-18,-12.0
2020-05-19,-13.0
2020-05-20,-14.0
2020-05-21,-15.0
2020-05-22,-16.0
2020-05-23,-17.0
2020-05-24,-18.0
2020-05-25,-19.0
2020-05-26,-20.0
2020-05-27,-21.0
2020-05-28,-22.0
2020-05-29,-23.0
2020-05-30,-24.0
2020-05-31,-25.0
2020-06-01,-26.0
2020-06-02,-27.0
2020-06-03,-27.0
2020-06-04,-27.0
2020-06-05,-27.0
2020-06-06,-27.0
2020-06-07,-27.0
2020-06-08,-27.0
2020-06-09,-27.0
2020-06-10,-27.0
2020-06-11,-27.0
2020-06-12,-27.0
2020-06-13,-27.0
2020-06-14,-27.0
2020-06-15,-27.0
2020-06-16,-27.0
2020-06-17,-26.5
2020-06-18,-26.0
2020-06-19,-26.0
2020-06-20,-26.0
2020-06-21,-26.0
2020-06-22,-26.0
2020-06-23,-26.0
2020-06-24,-26.0
2020-06-25,-26.0
2020-06-26,-26.0
2020-06-27,-26.0
2020-06-28,-26.0
2020-06-29,-26.0
2020-06-30,-24.5
2020-07-01,-23.0
2020-07-02,-23.0
2020-07-03,-23.0
2020-07-04,-18.5
2020-07-05,-14.0
2020-07-06,-14.0
2020-07-07,-14.0
2020-07-08,-14.0
2020-07-09,-14.0
2020-07-10,-14.0
2020-07-11,-14.0
2020-07-12,-14.0
2020-07-13,-14.0
2020-07-14,-14.0
2020-07-15,-15.0
2020-07-16,-16.0
2020-07-17,-17.0
2020-07-18,-17.0
2020-07-19,-12.5
2020-07-20,-8.0
2020-07-21,-8.0
2020-07-22,-8.0
2020-07-23,-8.0
2020-07-24,-8.0
2020-07-25,-8.0
2020-07-26,-8.0
2020-07-27,-8.0
2020-07-28,-8.0
2020-07-29,-8.0
2020-07-30,-8.0
2020-07-31,-9.0
2020-08-01,-10.0
2020-08-02,-11.0
2020-08-03,-12.0
2020-08-04,-13.0
2020-08-05,-14.0
2020-08-06,-15.0
2020-08-07,-16.0
2020-08-08,-17.0
2020-08-09,-18.0
2020-08-10,-18.0
2020-08-11,-18.0
2020-08-12,-18.0
2020-08-13,-18.0
2020-08-14,-18.0
2020-08-15,-18.0
2020-08-16,-11.0
2020-08-17,-4.0
2020-08-18,-4.0
2020-08-19,-5.0
2020-08-20,-6.0
2020-08-21,-7.0
2020-08-22,-8.0
2020-08-23,-9.0
2020-08-24,-10.0
2020-08-25,-11.0
2020-08-26,-12.0
2020-08-27,-12.0
2020-08-28,-10.5
2020-08-29,-9.0
2020-08-30,-10.0
2020-08-31,-11.0
2020-09-01,-12.0
2020-09-02,-13.0
2020-09-03,-14.0
2020-09-04,-15.0
2020-09-05,-16.0
2020-09-06,-17.0
2020-09-07,-18.0
2020-09-08,-19.0
2020-09-09,-20.0
2020-09-10,-21.0
2020-09-11,-22.0
2020-09-12,-22.0
2020-09-13,-22.0
2020-09-14,-22.0
2020-09-15,-22.0
2020-09-16,-22.0
2020-09-17,-22.0
2020-09-18,-22.0
2020-09-19,-22.0
2020-09-20,-23.0
2020-09-21,-24.0
2020-09-22,-24.0
2020-09-23,-24.0
2020-09-24,-18.0
2020-09-25,-12.0
2020-09-26,-12.0
2020-09-27,-12.0
2020-09-28,-13.0
2020-09-29,-14.0
2020-09-30,-15.0
2020-10-01,-16.0
2020-10-02,-16.0
2020-10-03,-16.0
2020-10-04,-17.0
2020-10-05,-18.0
2020-10-06,-19.0
2020-10-07,-20.0
2020-10-08,-20.0
2020-10-09,-20.0
2020-10-10,-17.0
2020-10-11,-14.0
2020-10-12,-14.0
2020-10-13,-15.0
2020-10-14,-15.0
2020-10-15,-14.5
2020-10-16,-14.0
2020-10-17,-15.0
2020-10-18,-16.0
2020-10-19,-17.0
2020-10-20,-18.0
2020-10-21,-19.0
2020-10-22,-20.0
2020-10-23,-20.0
2020-10-24,-21.0
2020-10-25,-22.0
2020-10-26,-22.0
2020-10-27,-23.0
2020-10-28,-24.0
2020-10-29,-24.0
2020-10-30,-24.0
2020-10-31,-25.0
2020-11-01,-25.0
2020-11-02,-25.0
2020-11-03,-26.0
2020-11-04,-26.0
2020-11-05,-26.0
2020-11-06,-27.0
2020-11-07,-27.0
2020-11-08,-27.0
2020-11-09,-27.0
2020-11-10,-27.0
2020-11-11,-27.0
2020-11-12,-22.0
2020-11-13,-8.0
2020-11-14,1.0
2020-11-15,4.5
2020-11-16,8.0
2020-11-17,8.0
2020-11-18,8.0
2020-11-19,8.0
2020-11-20,7.0
2020-11-21,6.0
2020-11-22,6.0
2020-11-23,6.0
2020-11-24,6.0
2020-11-25,6.0
2020-11-26,5.0
2020-11-27,4.0
2020-11-28,3.0
2020-11-29,2.0
2020-11-30,1.0
2020-12-01,1.0
2020-12-02,0.0
2020-12-03,9.5
2020-12-04,19.0
2020-12-05,19.0
2020-12-06,19.0
2020-12-07,18.0
2020-12-08,17.0
2020-12-09,16.0
2020-12-10,15.0
2020-12-11,14.0
2020-12-12,13.0
2020-12-13,12.0
2020-12-14,11.0
2020-12-15,10.0
2020-12-16,10.0
2020-12-17,9.0
2020-12-18,8.0
2020-12-19,7.0
2020-12-20,6.0
2020-12-21,5.0
2020-12-22,4.0
2020-12-23,3.0
2020-12-24,2.0
2020-12-25,1.0
2020-12-26,0.0
2020-12-27,-1.0
2020-12-28,-2.0
2020-12-29,-3.0
2020-12-30,-4.0
2020-12-31,-5.0
2021-01-01,-6.0
2021-01-02,-7.0
2021-01-03,-8.0
2021-01-04,-8.0
2021-01-05,1.5
2021-01-06,12.5
2021-01-07,18.0
2021-01-08,22.0
2021-01-09,21.0
2021-01-10,20.0
2021-01-11,23.5
2021-01-12,27.0
2021-01-13,26.0
2021-01-14,25.0
2021-01-15,24.0
2021-01-16,23.0
2021-01-17,22.0
2021-01-18,22.0
2021-01-19,21.0
2021-01-20,20.0
2021-01-21,19.0
2021-01-22,18.0
2021-01-23,17.0
2021-01-24,16.0
2021-01-25,15.0
2021-01-26,14.0
2021-01-27,13.0
2021-01-28,12.0
2021-01-29,11.0
2021-01-30,10.0
2021-01-31,9.0
2021-02-01,9.0
2021-02-02,9.0
2021-02-03,9.0
2021-02-04,8.0
2021-02-05,16.5
2021-02-06,25.0
2021-02-07,25.0
2021-02-08,25.0
2021-02-09,25.0
2021-02-10,25.0
2021-02-11,25.0
2021-02-12,24.0
2021-02-13,23.0
2021-02-14,22.0
2021-02-15,21.0
2021-02-16,20.0
2021-02-17,19.0
2021-02-18,18.0
2021-02-19,17.0
2021-02-20,17.0
2021-02-21,17.0
2021-02-22,17.0
2021-02-23,16.0
2021-02-24,15.0
2021-02-25,20.0
2021-02-26,25.0
2021-02-27,24.0
2021-02-28,23.0
2021-03-01,23.0
2021-03-02,23.0
2021-03-03,25.0
2021-03-04,27.0
2021-03-05,27.0
2021-03-06,27.0
2021-03-07,26.0
2021-03-08,25.0
2021-03-09,24.0
2021-03-10,23.0
2021-03-11,22.0
2021-03-12,21.0
2021-03-13,20.0
2021-03-14,19.0
2021-03-15,18.0
2021-03-16,17.0
2021-03-17,16.0
2021-03-18,15.0
2021-03-19,14.0
2021-03-20,13.0
2021-03-21,12.0
2021-03-22,12.0
2021-03-23,13.0
2021-03-24,14.0
2021-03-25,14.0
2021-03-26,14.0
2021-03-27,14.0
2021-03-28,14.5
2021-03-29,15.0
2021-03-30,14.0
2021-03-31,13.0
2021-04-01,12.0
2021-04-02,12.0
2021-04-03,12.0
2021-04-04,12.0
2021-04-05,12.0
2021-04-06,12.0
2021-04-07,12.0
2021-04-08,12.0
2021-04-09,13.5
2021-04-10,15.0
2021-04-11,15.0
2021-04-12,14.0
2021-04-13,13.0
2021-04-14,12.0
2021-04-15,11.0
2021-04-16,10.0
2021-04-17,9.0
2021-04-18,8.0
2021-04-19,7.0
2021-04-20,6.0
2021-04-21,5.0
2021-04-22,4.0
2021-04-23,3.0
2021-04-24,2.0
2021-04-25,1.0
2021-04-26,0.0
2021-04-27,-1.0
2021-04-28,-2.0
2021-04-29,-3.0
2021-04-30,-4.0
2021-05-01,-5.0
2021-05-02,-6.0
2021-05-03,-7.0
2021-05-04,-7.0
2021-05-05,6.5
2021-05-06,20.0
2021-05-07,20.0
2021-05-08,20.0
2021-05-09,20.0
2021-05-10,20.0
2021-05-11,20.0
2021-05-12,20.0
2021-05-13,21.0
2021-05-14,22.0
2021-05-15,21.0
2021-05-16,21.0
2021-05-17,20.0
2021-05-18,19.0
2021-05-19,18.0
2021-05-20,17.0
2021-05-21,16.0
2021-05-22,15.0
2021-05-23,14.0
2021-05-24,13.0
2021-05-25,12.0
2021-05-26,11.0
2021-05-27,10.0
2021-05-28,10.0
2021-05-29,10.0
2021-05-30,10.0
2021-05-31,9.0
2021-06-01,9.0
2021-06-02,10.5
2021-06-03,12.0
2021-06-04,11.0
2021-06-05,10.0
2021-06-06,9.0
2021-06-07,8.0
2021-06-08,7.0
2021-06-09,6.0
2021-06-10,5.0
2021-06-11,4.0
2021-06-12,3.0
2021-06-13,2.0
2021-06-14,1.0
2021-06-15,0.0
2021-06-16,-1.0
2021-06-17,-2.0
2021-06-18,-3.0
2021-06-19,-4.0
2021-06-20,-5.0
2021-06-21,-6.0
2021-06-22,-7.0
2021-06-23,-8.0
2021-06-24,-9.0
2021-06-25,-10.0
2021-06-26,-11.0
2021-06-27,-12.0
2021-06-28,-13.0
2021-06-29,-14.0
2021-06-30,-15.0
2021-07-01,-16.0
2021-07-02,-17.0
2021-07-03,-18.0
2021-07-04,-19.0
2021-07-05,-20.0
2021-07-06,-21.0
2021-07-07,-22.0
2021-07-08,-23.0
2021-07-09,-24.0
2021-07-10,-25.0
2021-07-11,-26.0
2021-07-12,-27.0
2021-07-13,-27.0
2021-07-14,-27.0
2021-07-15,-27.0
2021-07-16,-27.0
2021-07-17,-27.0
2021-07-18,-27.0
2021-07-19,-27.0
2021-07-20,-27.0
2021-07-21,-27.0
2021-07-22,-27.0
2021-07-23,-27.0
2021-07-24,-27.0
2021-07-25,-22.5
2021-07-26,-18.0
2021-07-27,-19.0
2021-07-28,-20.0
2021-07-29,-20.0
2021-07-30,-19.5
2021-07-31,-19.0
2021-08-01,-20.0
2021-08-02,-21.0
2021-08-03,-21.0
2021-08-04,-22.0
2021-08-05,-22.0
2021-08-06,-22.0
2021-08-07,-22.0
2021-08-08,-23.0
2021-08-09,-22.5
2021-08-10,-22.0
2021-08-11,-19.5
2021-08-12,-17.0
2021-08-13,-13.0
2021-08-14,-9.0
2021-08-15,-9.0
2021-08-16,-10.0
2021-08-17,-11.0
2021-08-18,-12.0
2021-08-19,-12.0
2021-08-20,-10.5
2021-08-21,-7.5
2021-08-22,-6.0
2021-08-23,-3.0
2021-08-24,4.0
2021-08-25,8.0
2021-08-26,7.0
2021-08-27,8.0
2021-08-28,9.0
2021-08-29,8.0
2021-08-30,8.0
2021-08-31,7.0
2021-09-01,6.0
2021-09-02,5.0
2021-09-03,4.0
2021-09-04,4.5
2021-09-05,5.0
2021-09-06,5.0
2021-09-07,4.0
2021-09-08,3.0
2021-09-09,2.0
2021-09-10,1.0
2021-09-11,0.0
2021-09-12,-1.0
2021-09-13,-1.0
2021-09-14,-1.0
2021-09-15,-1.0
2021-09-16,-1.0
2021-09-17,-1.0
2021-09-18,-1.0
2021-09-19,-2.0
2021-09-20,-3.0
2021-09-21,-4.0
2021-09-22,-5.0
2021-09-23,-6.0
2021-09-24,-7.0
2021-09-25,-8.0
2021-09-26,-9.0
2021-09-27,-10.0
2021-09-28,-11.0
2021-09-29,-12.0
2021-09-30,-13.0
2021-10-01,-13.0
2021-10-02,-14.0
2021-10-03,-14.0
2021-10-04,-14.0
2021-10-05,-14.0
2021-10-06,-14.0
2021-10-07,-14.0
2021-10-08,-15.0
2021-10-09,-15.0
2021-10-10,-16.0
2021-10-11,-16.0
2021-10-12,-17.0
2021-10-13,-18.0
2021-10-14,-18.0
2021-10-15,-19.0
2021-10-16,-20.0
2021-10-17,-21.0
2021-10-18,-22.0
2021-10-19,-23.0
2021-10-20,-23.0
2021-10-21,-23.0
2021-10-22,-20.0
2021-10-23,-17.0
2021-10-24,-17.0
2021-10-25,-17.0
2021-10-26,-18.0
2021-10-27,-19.0
2021-10-28,-20.0
2021-10-29,-21.0
2021-10-30,-22.0
2021-10-31,-22.0
2021-11-01,-23.0
2021-11-02,-24.0
2021-11-03,-24.0
2021-11-04,-25.0
2021-11-05,-26.0
2021-11-06,-27.0
2021-11-07,-19.5
2021-11-08,-10.0
2021-11-09,-3.5
2021-11-10,1.0
2021-11-11,5.0
2021-11-12,9.0
2021-11-13,9.0
2021-11-14,16.0
2021-11-15,23.0
2021-11-16,22.0
2021-11-17,21.0
2021-11-18,20.0
2021-11-19,20.0
2021-11-20,20.0
2021-11-21,20.0
2021-11-22,20.0
2021-11-23,19.0
2021-11-24,18.0
2021-11-25,17.0
2021-11-26,16.0
2021-11-27,16.0
2021-11-28,15.0
2021-11-29,14.0
2021-11-30,14.0
2021-12-01,14.0
2021-12-02,13.0
2021-12-03,12.0
2021-12-04,11.0
2021-12-05,10.0
2021-12-06,9.0
2021-12-07,8.0
2021-12-08,7.0
2021-12-09,6.0
2021-12-10,6.0
2021-12-11,5.0
2021-12-12,4.0
2021-12-13,3.0
2021-12-14,2.0
2021-12-15,1.0
2021-12-16,0.0
