DATE,lag_days
2020-01-22,6.5
2020-01-23,13.0
2020-01-24,13.0
2020-01-25,13.0
2020-01-26,13.0
2020-01-27,13.0
2020-01-28,13.0
2020-01-29,16.5
2020-01-30,20.0
2020-01-31,20.0
2020-02-01,20.0
2020-02-02,20.0
2020-02-03,20.0
2020-02-04,20.0
2020-02-05,20.0
2020-02-06,20.0
2020-02-07,20.0
2020-02-08,20.0
2020-02-09,20.0
2020-02-10,20.0
2020-02-11,20.0
2020-02-12,20.0
2020-02-13,20.0
2020-02-14,20.0
2020-02-15,20.0
2020-02-16,20.0
2020-02-17,20.0
2020-02-18,20.0
2020-02-19,20.0
2020-02-20,20.0
2020-02-21,20.0
2020-02-22,20.0
2020-02-23,20.0
2020-02-24,20.0
2020-02-25,20.0
2020-02-26,20.0
2020-02-27,20.0
2020-02-28,20.0
2020-02-29,20.0
2020-03-01,20.0
2020-03-02,20.0
2020-03-03,20.0
2020-03-04,20.0
2020-03-05,20.0
2020-03-06,20.0
2020-03-07,20.0
2020-03-08,20.0
2020-03-09,20.0
2020-03-10,22.5
2020-03-11,25.0
2020-03-12,25.0
2020-03-13,25.0
2020-03-14,25.0
2020-03-15,25.0
2020-03-16,25.0
2020-03-17,25.0
2020-03-18,24.0
2020-03-19,23.0
2020-03-20,22.0
2020-03-21,21.0
2020-03-22,20.0
2020-03-23,19.0
2020-03-24,18.0
2020-03-25,17.0
2020-03-26,16.0
2020-03-27,15.0
2020-03-28,14.0
2020-03-29,13.0
2020-03-30,12.0
2020-03-31,11.0
2020-04-01,10.0
2020-04-02,9.0
2020-04-03,8.0
2020-04-04,7.0
2020-04-05,6.0
2020-04-06,5.0
2020-04-07,4.0
2020-04-08,3.0
2020-04-09,2.0
2020-04-10,1.0
2020-04-11,0.0
2020-04-12,3.0
2020-04-13,6.0
2020-04-14,6.0
2020-04-15,6.0
2020-04-16,6.0
2020-04-17,6.0
2020-04-18,5.0
2020-04-19,7.5
2020-04-20,10.0
2020-04-21,11.5
2020-04-22,13.0
2020-04-23,13.0
2020-04-24,20.0
2020-04-25,27.0
2020-04-26,27.0
2020-04-27,26.0
2020-04-28,25.0
2020-04-29,24.0
2020-04-30,23.0
2020-05-01,22.0
2020-05-02,21.0
2020-05-03,20.0
2020-05-04,19.0
2020-05-05,18.0
2020-05-06,17.0
2020-05-07,16.0
2020-05-08,15.0
2020-05-09,14.0
2020-05-10,13.0
2020-05-11,12.0
2020-05-12,11.0
2020-05-13,10.0
2020-05-14,9.0
2020-05-15,8.0
2020-05-16,7.0
2020-05-17,6.0
2020-05-18,5.0
2020-05-19,4.0
2020-05-20,3.0
2020-05-21,2.0
2020-05-22,1.0
2020-05-23,0.0
2020-05-24,-1.0
2020-05-25,-2.0
2020-05-26,-3.0
2020-05-27,-4.0
2020-05-28,-5.0
2020-05-29,-6.0
2020-05-30,-7.0
2020-05-31,-8.0
2020-06-01,-9.0
2020-06-02,-10.0
2020-06-03,-11.0
