DATE,lag_days
2020-01-22,0.0
2020-01-23,-1.0
2020-01-24,-2.0
2020-01-25,-3.0
2020-01-26,-3.0
2020-01-27,-3.0
2020-01-28,-3.0
2020-01-29,-3.0
2020-01-30,-3.0
2020-01-31,0.5
2020-02-01,4.0
2020-02-02,3.0
2020-02-03,2.0
2020-02-04,1.0
2020-02-05,0.0
2020-02-06,-1.0
2020-02-07,-2.0
2020-02-08,-3.0
2020-02-09,-4.0
2020-02-10,-5.0
2020-02-11,-6.0
2020-02-12,-7.0
2020-02-13,-8.0
2020-02-14,-9.0
2020-02-15,-10.0
2020-02-16,-11.0
2020-02-17,-12.0
2020-02-18,-13.0
2020-02-19,-14.0
2020-02-20,-15.0
2020-02-21,-16.0
2020-02-22,-17.0
2020-02-23,-18.0
2020-02-24,-19.0
2020-02-25,-20.0
2020-02-26,-21.0
2020-02-27,-22.0
2020-02-28,-23.0
2020-02-29,-24.0
2020-03-01,-24.0
2020-03-02,-24.0
2020-03-03,-24.0
2020-03-04,-24.0
2020-03-05,-24.0
2020-03-06,-24.0
2020-03-07,-24.0
2020-03-08,-24.0
2020-03-09,-24.0
2020-03-10,-24.0
2020-03-11,-24.0
2020-03-12,-24.0
2020-03-13,-24.0
2020-03-14,-24.0
2020-03-15,-24.0
2020-03-16,-24.0
2020-03-17,-24.0
2020-03-18,-24.0
2020-03-19,-24.0
2020-03-20,-24.0
2020-03-21,-24.0
2020-03-22,-24.0
2020-03-23,-24.0
2020-03-24,-24.0
2020-03-25,-24.0
2020-03-26,-24.0
2020-03-27,-24.0
2020-03-28,-24.0
2020-03-29,-24.0
2020-03-30,-24.0
2020-03-31,-24.0
2020-04-01,-24.0
2020-04-02,-24.0
2020-04-03,-24.0
2020-04-04,-24.0
2020-04-05,-24.0
2020-04-06,-25.0
2020-04-07,-26.0
2020-04-08,-27.0
2020-04-09,-27.0
2020-04-10,-27.0
2020-04-11,-27.0
2020-04-12,-27.0
2020-04-13,-27.0
2020-04-14,-27.0
2020-04-15,-27.0
2020-04-16,-27.0
2020-04-17,-19.5
2020-04-18,-12.0
2020-04-19,-12.0
2020-04-20,-10.5
2020-04-21,-9.0
2020-04-22,-9.0
2020-04-23,-9.0
2020-04-24,-9.0
2020-04-25,-9.0
2020-04-26,-9.0
2020-04-27,-9.0
2020-04-28,-5.0
2020-04-29,-1.0
2020-04-30,-1.0
2020-05-01,-2.0
2020-05-02,-3.0
2020-05-03,-4.0
2020-05-04,-5.0
2020-05-05,-6.0
2020-05-06,-7.0
2020-05-07,-8.0
2020-05-08,-9.0
2020-05-09,-10.0
2020-05-10,-11.0
2020-05-11,-11.0
2020-05-12,-11.0
2020-05-13,-11.0
2020-05-14,-11.0
2020-05-15,-11.0
2020-05-16,-11.0
2020-05-17,-11.0
2020-05-18,-11.0
2020-05-19,-11.0
2020-05-20,-11.0
2020-05-21,-12.0
2020-05-22,-12.0
2020-05-23,-8.0
2020-05-24,-1.0
2020-05-25,2.0
2020-05-26,2.0
2020-05-27,1.0
2020-05-28,0.0
2020-05-29,-1.0
2020-05-30,-2.0
2020-05-31,-3.0
2020-06-01,-4.0
2020-06-02,-5.0
2020-06-03,-6.0
2020-06-04,-7.0
2020-06-05,-8.0
2020-06-06,-9.0
2020-06-07,-10.0
2020-06-08,-11.0
2020-06-09,-12.0
2020-06-10,-13.0
2020-06-11,-14.0
2020-06-12,-15.0
2020-06-13,-16.0
2020-06-14,-17.0
2020-06-15,-18.0
2020-06-16,-19.0
2020-06-17,-20.0
2020-06-18,-7.5
2020-06-19,5.0
2020-06-20,4.0
2020-06-21,3.0
2020-06-22,2.0
2020-06-23,1.0
2020-06-24,0.0
2020-06-25,-1.0
2020-06-26,-2.0
2020-06-27,-3.0
2020-06-28,-4.0
2020-06-29,-4.0
2020-06-30,-0.5
2020-07-01,3.0
2020-07-02,3.0
2020-07-03,3.0
2020-07-04,2.0
2020-07-05,1.0
2020-07-06,0.0
2020-07-07,-1.0
2020-07-08,9.5
2020-07-09,20.0
2020-07-10,19.0
2020-07-11,18.0
2020-07-12,17.0
2020-07-13,22.0
2020-07-14,27.0
2020-07-15,27.0
2020-07-16,27.0
2020-07-17,27.0
2020-07-18,27.0
2020-07-19,27.0
2020-07-20,27.0
2020-07-21,27.0
2020-07-22,27.0
2020-07-23,27.0
2020-07-24,27.0
2020-07-25,27.0
2020-07-26,27.0
2020-07-27,27.0
2020-07-28,27.0
2020-07-29,26.0
2020-07-30,25.0
2020-07-31,24.0
2020-08-01,23.0
2020-08-02,22.0
2020-08-03,21.0
2020-08-04,20.0
2020-08-05,19.0
2020-08-06,18.0
2020-08-07,17.0
2020-08-08,16.0
2020-08-09,15.0
2020-08-10,14.0
2020-08-11,13.0
2020-08-12,12.0
2020-08-13,11.0
2020-08-14,10.0
2020-08-15,9.0
2020-08-16,8.0
2020-08-17,7.0
2020-08-18,6.0
