DATE,lag_days
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,-1.0
2020-01-26,-2.0
2020-01-27,-3.0
2020-01-28,-3.0
2020-01-29,-3.0
2020-01-30,-3.0
2020-01-31,-3.0
2020-02-01,-3.0
2020-02-02,-3.0
2020-02-03,-3.0
2020-02-04,-3.0
2020-02-05,-3.0
2020-02-06,-3.0
2020-02-07,-3.0
2020-02-08,-3.0
2020-02-09,-3.0
2020-02-10,-3.0
2020-02-11,-3.0
2020-02-12,-3.0
2020-02-13,-3.0
2020-02-14,-3.0
2020-02-15,-3.0
2020-02-16,-3.0
2020-02-17,-3.0
2020-02-18,-2.0
2020-02-19,-0.5
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,7.0
2020-03-20,14.0
2020-03-21,14.0
2020-03-22,14.0
2020-03-23,14.0
2020-03-24,14.0
2020-03-25,14.0
2020-03-26,14.0
2020-03-27,14.0
2020-03-28,14.0
2020-03-29,14.0
2020-03-30,14.0
2020-03-31,14.0
2020-04-01,14.0
2020-04-02,14.0
2020-04-03,14.0
2020-04-04,13.0
2020-04-05,12.0
2020-04-06,11.0
2020-04-07,10.0
2020-04-08,9.0
2020-04-09,8.0
2020-04-10,7.0
2020-04-11,9.5
2020-04-12,12.0
2020-04-13,12.0
2020-04-14,12.0
2020-04-15,11.0
2020-04-16,10.0
2020-04-17,9.0
2020-04-18,8.0
2020-04-19,7.0
2020-04-20,6.0
2020-04-21,5.0
2020-04-22,4.0
2020-04-23,3.0
2020-04-24,2.0
2020-04-25,1.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,-1.0
2020-04-29,-2.0
2020-04-30,-3.0
2020-05-01,-4.0
2020-05-02,-5.0
2020-05-03,-6.0
2020-05-04,-7.0
2020-05-05,-8.0
2020-05-06,-9.0
2020-05-07,-10.0
2020-05-08,-11.0
2020-05-09,-12.0
2020-05-10,-13.0
2020-05-11,-14.0
2020-05-12,-15.0
2020-05-13,-16.0
2020-05-14,-17.0
2020-05-15,-17.0
2020-05-16,-17.0
2020-05-17,-17.0
2020-05-18,-17.0
2020-05-19,-17.0
2020-05-20,-17.0
2020-05-21,-17.0
2020-05-22,-17.0
2020-05-23,-17.0
2020-05-24,-17.0
