DATE,lag_days
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.5
2020-01-25,1.0
2020-01-26,1.0
2020-01-27,0.0
2020-01-28,-1.0
2020-01-29,-2.0
2020-01-30,-3.0
2020-01-31,-3.0
2020-02-01,-3.0
2020-02-02,-3.0
2020-02-03,-3.0
2020-02-04,-3.0
2020-02-05,-3.0
2020-02-06,-4.0
2020-02-07,-5.0
2020-02-08,-6.0
2020-02-09,-7.0
2020-02-10,-8.0
2020-02-11,-9.0
2020-02-12,-10.0
2020-02-13,-11.0
2020-02-14,-12.0
2020-02-15,-13.0
2020-02-16,-14.0
2020-02-17,-15.0
2020-02-18,-16.0
2020-02-19,-17.0
2020-02-20,-18.0
2020-02-21,-19.0
2020-02-22,-20.0
2020-02-23,-21.0
2020-02-24,-22.0
2020-02-25,-23.0
2020-02-26,-24.0
2020-02-27,-25.0
2020-02-28,-25.0
2020-02-29,-25.0
2020-03-01,-25.0
2020-03-02,-25.0
2020-03-03,-25.0
2020-03-04,-25.0
2020-03-05,-25.0
2020-03-06,-25.0
2020-03-07,-25.0
2020-03-08,-25.0
2020-03-09,-25.0
2020-03-10,-25.0
2020-03-11,-25.0
2020-03-12,-25.0
2020-03-13,-25.0
2020-03-14,-25.0
2020-03-15,-25.0
2020-03-16,-25.0
2020-03-17,-25.0
2020-03-18,-25.0
2020-03-19,-25.0
2020-03-20,-25.0
2020-03-21,-25.0
2020-03-22,-25.0
2020-03-23,-25.0
2020-03-24,-25.0
2020-03-25,-25.0
2020-03-26,-23.0
2020-03-27,-21.0
2020-03-28,-21.0
2020-03-29,-21.0
2020-03-30,-21.0
2020-03-31,-20.5
2020-04-01,-20.0
2020-04-02,-20.0
2020-04-03,-21.0
2020-04-04,-22.0
2020-04-05,-23.0
2020-04-06,-24.0
2020-04-07,-25.0
2020-04-08,-26.0
2020-04-09,-27.0
2020-04-10,-27.0
2020-04-11,-27.0
2020-04-12,-27.0
2020-04-13,-27.0
2020-04-14,-27.0
2020-04-15,-27.0
2020-04-16,-27.0
2020-04-17,-27.0
2020-04-18,-27.0
2020-04-19,-27.0
2020-04-20,-27.0
2020-04-21,-27.0
2020-04-22,-27.0
2020-04-23,-27.0
2020-04-24,-18.5
2020-04-25,-10.0
2020-04-26,-11.0
2020-04-27,-12.0
2020-04-28,-13.0
2020-04-29,-14.0
2020-04-30,-15.0
2020-05-01,-15.0
2020-05-02,-15.0
2020-05-03,-14.0
2020-05-04,-13.0
2020-05-05,-13.0
2020-05-06,-13.0
2020-05-07,-13.0
2020-05-08,-13.0
2020-05-09,-13.0
2020-05-10,-13.0
2020-05-11,-14.0
2020-05-12,-15.0
2020-05-13,-16.0
2020-05-14,-17.0
2020-05-15,-13.5
2020-05-16,-10.0
2020-05-17,-11.0
2020-05-18,-12.0
2020-05-19,-12.0
