county,source_lag_column,cp_date,direction,from_sign,to_sign,lag_at_cp_raw,lag_at_cp_smoothed
Teton_County,lag_days,2020-11-01,neg→pos,-1,1,34.0,21.047619047619065
Teton_County,lag_days,2021-01-10,pos→neg,1,-1,-1.0,-1.0000000000000007
Teton_County,lag_days,2021-01-30,neg→pos,-1,1,4.0,3.880952380952384
Teton_County,lag_days,2021-03-01,pos→neg,1,-1,-1.0,-1.0000000000000007
Teton_County,lag_days,2021-04-11,neg→pos,-1,1,12.0,3.523809523809527
Teton_County,lag_days,2021-06-25,pos→neg,1,-1,-1.0,-1.0000000000000007
Teton_County,lag_days,2021-07-29,neg→pos,-1,1,15.0,7.0714285714285765
Teton_County,lag_days,2021-08-21,pos→neg,1,-1,-1.0,-1.0000000000000007
Teton_County,lag_days,2021-10-18,neg→pos,-1,1,0.5,0.4523809523809527
Teton_County,lag_days,2021-11-29,pos→neg,1,-1,-1.0,-1.1904761904761914
Teton_County,lag_days,2021-12-03,neg→pos,-1,1,4.5,4.5952380952380985
