DATE,lag_days
2020-01-22,3.5
2020-01-23,7.0
2020-01-24,6.0
2020-01-25,6.0
2020-01-26,5.0
2020-01-27,4.0
2020-01-28,3.0
2020-01-29,3.0
2020-01-30,2.0
2020-01-31,18.0
2020-02-01,34.0
2020-02-02,34.0
2020-02-03,34.0
2020-02-04,34.0
2020-02-05,34.0
2020-02-06,34.0
2020-02-07,34.0
2020-02-08,34.0
2020-02-09,34.0
2020-02-10,34.0
2020-02-11,34.0
2020-02-12,34.0
2020-02-13,34.0
2020-02-14,34.0
2020-02-15,34.0
2020-02-16,34.0
2020-02-17,34.0
2020-02-18,34.0
2020-02-19,34.0
2020-02-20,34.0
2020-02-21,34.0
2020-02-22,34.0
2020-02-23,34.0
2020-02-24,34.0
2020-02-25,33.0
2020-02-26,32.0
2020-02-27,31.0
2020-02-28,30.0
2020-02-29,29.0
2020-03-01,28.0
2020-03-02,27.0
2020-03-03,26.0
2020-03-04,25.0
2020-03-05,24.0
2020-03-06,23.0
2020-03-07,22.0
2020-03-08,21.0
2020-03-09,20.0
2020-03-10,19.0
2020-03-11,18.0
2020-03-12,17.0
2020-03-13,16.0
2020-03-14,15.0
2020-03-15,14.0
2020-03-16,13.0
2020-03-17,12.0
2020-03-18,11.0
2020-03-19,10.0
2020-03-20,9.0
2020-03-21,8.0
2020-03-22,7.0
2020-03-23,6.0
2020-03-24,5.0
2020-03-25,4.0
2020-03-26,3.0
2020-03-27,2.0
2020-03-28,1.0
2020-03-29,0.0
2020-03-30,-1.0
2020-03-31,-2.0
2020-04-01,-3.0
2020-04-02,-4.0
2020-04-03,-5.0
2020-04-04,-6.0
2020-04-05,-7.0
2020-04-06,-8.0
2020-04-07,-9.0
2020-04-08,-10.0
2020-04-09,-11.0
2020-04-10,-12.0
2020-04-11,-13.0
2020-04-12,-14.0
2020-04-13,-15.0
2020-04-14,-16.0
2020-04-15,-17.0
2020-04-16,-18.0
2020-04-17,-19.0
2020-04-18,-20.0
2020-04-19,-21.0
2020-04-20,-22.0
2020-04-21,-23.0
2020-04-22,-24.0
2020-04-23,-25.0
2020-04-24,-26.0
2020-04-25,-27.0
2020-04-26,-28.0
2020-04-27,-29.0
2020-04-28,-30.0
2020-04-29,-31.0
2020-04-30,-32.0
2020-05-01,-33.0
2020-05-02,-34.0
2020-05-03,-34.0
2020-05-04,-34.0
2020-05-05,-34.0
2020-05-06,-34.0
2020-05-07,-34.0
2020-05-08,-34.0
2020-05-09,-34.0
2020-05-10,-34.0
2020-05-11,-34.0
2020-05-12,-34.0
2020-05-13,-34.0
2020-05-14,-34.0
2020-05-15,-34.0
2020-05-16,-34.0
2020-05-17,-34.0
2020-05-18,-34.0
2020-05-19,-34.0
2020-05-20,-34.0
2020-05-21,-34.0
2020-05-22,-20.0
2020-05-23,-6.0
2020-05-24,-6.0
2020-05-25,-6.0
2020-05-26,-6.0
2020-05-27,-6.0
2020-05-28,-6.0
2020-05-29,-6.0
2020-05-30,-7.0
2020-05-31,-8.0
2020-06-01,-9.0
2020-06-02,-10.0
2020-06-03,-11.0
2020-06-04,-12.0
2020-06-05,-13.0
2020-06-06,-14.0
2020-06-07,-15.0
2020-06-08,-16.0
2020-06-09,-17.0
2020-06-10,-18.0
2020-06-11,-19.0
2020-06-12,-20.0
2020-06-13,-21.0
2020-06-14,-22.0
2020-06-15,-23.0
2020-06-16,-24.0
2020-06-17,-25.0
2020-06-18,-26.0
2020-06-19,-26.0
2020-06-20,-27.0
2020-06-21,-28.0
2020-06-22,-29.0
2020-06-23,-30.0
2020-06-24,-31.0
2020-06-25,-32.0
2020-06-26,-33.0
2020-06-27,-34.0
2020-06-28,-34.0
2020-06-29,-34.0
2020-06-30,-34.0
2020-07-01,-34.0
2020-07-02,-34.0
2020-07-03,-34.0
2020-07-04,-34.0
2020-07-05,-34.0
2020-07-06,-34.0
2020-07-07,-34.0
2020-07-08,-34.0
2020-07-09,-34.0
2020-07-10,-34.0
2020-07-11,-34.0
2020-07-12,-34.0
2020-07-13,-34.0
2020-07-14,-34.0
2020-07-15,-34.0
2020-07-16,-34.0
2020-07-17,-34.0
2020-07-18,-34.0
2020-07-19,-34.0
2020-07-20,-34.0
2020-07-21,-34.0
2020-07-22,-34.0
2020-07-23,-34.0
2020-07-24,-34.0
2020-07-25,-34.0
2020-07-26,-34.0
2020-07-27,-34.0
2020-07-28,-34.0
2020-07-29,-34.0
2020-07-30,-34.0
2020-07-31,-34.0
2020-08-01,-34.0
2020-08-02,-34.0
2020-08-03,-34.0
2020-08-04,-34.0
2020-08-05,-34.0
2020-08-06,-34.0
2020-08-07,-34.0
2020-08-08,-34.0
2020-08-09,-34.0
2020-08-10,-34.0
2020-08-11,-34.0
2020-08-12,-34.0
2020-08-13,-34.0
2020-08-14,-34.0
2020-08-15,-34.0
2020-08-16,-28.5
2020-08-17,-23.0
2020-08-18,-24.0
2020-08-19,-25.0
2020-08-20,-26.0
2020-08-21,-27.0
2020-08-22,-28.0
2020-08-23,-29.0
2020-08-24,-29.0
2020-08-25,-30.0
2020-08-26,-31.0
2020-08-27,-32.0
2020-08-28,-33.0
2020-08-29,-34.0
2020-08-30,-34.0
2020-08-31,-34.0
2020-09-01,-34.0
2020-09-02,-33.5
2020-09-03,-33.0
2020-09-04,-34.0
2020-09-05,-34.0
2020-09-06,-34.0
2020-09-07,-34.0
2020-09-08,-34.0
2020-09-09,-34.0
2020-09-10,-34.0
2020-09-11,-34.0
2020-09-12,-34.0
2020-09-13,-34.0
2020-09-14,-34.0
2020-09-15,-34.0
2020-09-16,-34.0
2020-09-17,-34.0
2020-09-18,-34.0
2020-09-19,-34.0
2020-09-20,-34.0
2020-09-21,-34.0
2020-09-22,-34.0
2020-09-23,-34.0
2020-09-24,-34.0
2020-09-25,-34.0
2020-09-26,-34.0
2020-09-27,-34.0
2020-09-28,-32.5
2020-09-29,-31.0
2020-09-30,-32.0
2020-10-01,-33.0
2020-10-02,-34.0
2020-10-03,-34.0
2020-10-04,-34.0
2020-10-05,-34.0
2020-10-06,-34.0
2020-10-07,-34.0
2020-10-08,-34.0
2020-10-09,-34.0
2020-10-10,-34.0
2020-10-11,-34.0
2020-10-12,-34.0
2020-10-13,-34.0
2020-10-14,-34.0
2020-10-15,-29.5
2020-10-16,-25.0
2020-10-17,-26.0
2020-10-18,-27.0
2020-10-19,-27.0
2020-10-20,-27.0
2020-10-21,-27.0
2020-10-22,-27.0
2020-10-23,-27.0
2020-10-24,-27.0
2020-10-25,-27.0
2020-10-26,-27.0
2020-10-27,-26.5
2020-10-28,-26.0
2020-10-29,-25.5
2020-10-30,-25.0
2020-10-31,-24.5
2020-11-01,-24.0
2020-11-02,-23.5
2020-11-03,-22.5
2020-11-04,-22.0
2020-11-05,-21.5
2020-11-06,-20.5
2020-11-07,-19.5
2020-11-08,-18.0
2020-11-09,-16.5
2020-11-10,-14.5
2020-11-11,-13.0
2020-11-12,-13.0
2020-11-13,-13.0
2020-11-14,-14.0
2020-11-15,-15.0
2020-11-16,-16.0
2020-11-17,-17.0
2020-11-18,-18.0
2020-11-19,-19.0
2020-11-20,-20.0
2020-11-21,-21.0
2020-11-22,-22.0
2020-11-23,-23.0
2020-11-24,-24.0
2020-11-25,-25.0
2020-11-26,-26.0
2020-11-27,-25.0
2020-11-28,-23.0
2020-11-29,-21.5
2020-11-30,-20.5
2020-12-01,-20.0
2020-12-02,-19.5
2020-12-03,-19.0
2020-12-04,-19.0
2020-12-05,-18.5
2020-12-06,-18.0
2020-12-07,-18.0
2020-12-08,-18.0
2020-12-09,-18.0
2020-12-10,-18.0
2020-12-11,-18.0
2020-12-12,-18.0
2020-12-13,-18.0
2020-12-14,-18.0
2020-12-15,-18.0
2020-12-16,-18.0
2020-12-17,-18.0
2020-12-18,-18.0
2020-12-19,-18.0
2020-12-20,-18.0
2020-12-21,-18.0
2020-12-22,-18.0
2020-12-23,-19.0
2020-12-24,-19.0
2020-12-25,-19.0
2020-12-26,-20.0
2020-12-27,-20.0
2020-12-28,-21.0
2020-12-29,-21.0
2020-12-30,-22.0
2020-12-31,-23.0
2021-01-01,-15.0
2021-01-02,-7.0
2021-01-03,-8.0
2021-01-04,-8.0
2021-01-05,-8.0
2021-01-06,-9.0
2021-01-07,-9.0
2021-01-08,-9.0
2021-01-09,-8.5
2021-01-10,-7.5
2021-01-11,-7.0
2021-01-12,-7.0
2021-01-13,-8.0
2021-01-14,-9.0
2021-01-15,-10.0
2021-01-16,-11.0
2021-01-17,-12.0
2021-01-18,-13.0
2021-01-19,-14.0
2021-01-20,-15.0
2021-01-21,-16.0
2021-01-22,-17.0
2021-01-23,-18.0
2021-01-24,-19.0
2021-01-25,-20.0
2021-01-26,-21.0
2021-01-27,-22.0
2021-01-28,-23.0
2021-01-29,-24.0
2021-01-30,-25.0
2021-01-31,-26.0
2021-02-01,-27.0
2021-02-02,-28.0
2021-02-03,-29.0
2021-02-04,-30.0
2021-02-05,-31.0
2021-02-06,-32.0
2021-02-07,-33.0
2021-02-08,-34.0
2021-02-09,-34.0
2021-02-10,-34.0
2021-02-11,-34.0
2021-02-12,-34.0
2021-02-13,-34.0
2021-02-14,-34.0
2021-02-15,-34.0
2021-02-16,-34.0
2021-02-17,-34.0
2021-02-18,-34.0
2021-02-19,-34.0
2021-02-20,-34.0
2021-02-21,-34.0
2021-02-22,-34.0
2021-02-23,-34.0
2021-02-24,-34.0
2021-02-25,-34.0
2021-02-26,-34.0
2021-02-27,-34.0
2021-02-28,-34.0
2021-03-01,-34.0
2021-03-02,-34.0
2021-03-03,-34.0
2021-03-04,-34.0
2021-03-05,-34.0
2021-03-06,-34.0
2021-03-07,-34.0
2021-03-08,-34.0
2021-03-09,-34.0
2021-03-10,-34.0
2021-03-11,-28.0
2021-03-12,-22.0
2021-03-13,-22.0
2021-03-14,-22.0
2021-03-15,-22.0
2021-03-16,-22.0
2021-03-17,-23.0
2021-03-18,-24.0
2021-03-19,-25.0
2021-03-20,-26.0
2021-03-21,-27.0
2021-03-22,-28.0
2021-03-23,-29.0
2021-03-24,-29.0
2021-03-25,-30.0
2021-03-26,-31.0
2021-03-27,-32.0
2021-03-28,-32.0
2021-03-29,-33.0
2021-03-30,-34.0
2021-03-31,-34.0
2021-04-01,-34.0
2021-04-02,-34.0
2021-04-03,-34.0
2021-04-04,-34.0
2021-04-05,-34.0
2021-04-06,-34.0
2021-04-07,-34.0
2021-04-08,-34.0
2021-04-09,-34.0
2021-04-10,-34.0
2021-04-11,-28.0
2021-04-12,-22.0
2021-04-13,-23.0
2021-04-14,-24.0
2021-04-15,-25.0
2021-04-16,-25.0
2021-04-17,-26.0
2021-04-18,-27.0
2021-04-19,-28.0
2021-04-20,-29.0
2021-04-21,-29.0
2021-04-22,-30.0
2021-04-23,-31.0
2021-04-24,-31.0
2021-04-25,-32.0
2021-04-26,-33.0
2021-04-27,-33.0
2021-04-28,-34.0
2021-04-29,-34.0
2021-04-30,-34.0
2021-05-01,-34.0
2021-05-02,-34.0
2021-05-03,-34.0
2021-05-04,-34.0
2021-05-05,-34.0
2021-05-06,-34.0
2021-05-07,-34.0
2021-05-08,-34.0
2021-05-09,-7.5
2021-05-10,19.0
2021-05-11,19.0
2021-05-12,18.0
2021-05-13,17.0
2021-05-14,16.0
2021-05-15,15.0
2021-05-16,14.0
2021-05-17,13.0
2021-05-18,12.0
2021-05-19,11.0
2021-05-20,10.0
2021-05-21,9.0
2021-05-22,8.0
2021-05-23,7.0
2021-05-24,6.0
2021-05-25,6.0
2021-05-26,5.0
2021-05-27,4.0
2021-05-28,3.0
2021-05-29,2.0
2021-05-30,1.0
2021-05-31,0.0
2021-06-01,-1.0
2021-06-02,-2.0
2021-06-03,-3.0
2021-06-04,-4.0
2021-06-05,-5.0
2021-06-06,-6.0
2021-06-07,-7.0
2021-06-08,-8.0
2021-06-09,-9.0
2021-06-10,-10.0
2021-06-11,-11.0
2021-06-12,-12.0
2021-06-13,-13.0
2021-06-14,-14.0
2021-06-15,-15.0
2021-06-16,-16.0
2021-06-17,-17.0
2021-06-18,-18.0
2021-06-19,-19.0
2021-06-20,-20.0
2021-06-21,-21.0
2021-06-22,-21.0
2021-06-23,-22.0
2021-06-24,-23.0
2021-06-25,-24.0
2021-06-26,-25.0
2021-06-27,-26.0
2021-06-28,-27.0
2021-06-29,-28.0
2021-06-30,-29.0
2021-07-01,-30.0
2021-07-02,-30.0
2021-07-03,-30.0
2021-07-04,-6.5
2021-07-05,17.0
2021-07-06,17.0
2021-07-07,17.0
2021-07-08,17.0
2021-07-09,16.0
2021-07-10,15.0
2021-07-11,14.0
2021-07-12,13.0
2021-07-13,12.0
2021-07-14,11.0
2021-07-15,10.0
2021-07-16,9.0
2021-07-17,8.0
2021-07-18,7.0
2021-07-19,6.0
2021-07-20,5.0
2021-07-21,4.0
2021-07-22,3.0
2021-07-23,2.0
2021-07-24,1.0
2021-07-25,0.0
2021-07-26,-1.0
2021-07-27,-2.0
2021-07-28,-3.0
2021-07-29,-3.0
2021-07-30,-4.0
2021-07-31,-5.0
2021-08-01,-6.0
2021-08-02,-7.0
2021-08-03,-8.0
2021-08-04,-9.0
2021-08-05,-10.0
2021-08-06,-11.0
2021-08-07,-12.0
2021-08-08,-3.0
2021-08-09,6.0
2021-08-10,5.0
2021-08-11,4.0
2021-08-12,4.0
2021-08-13,3.0
2021-08-14,2.0
2021-08-15,2.0
2021-08-16,2.0
2021-08-17,2.5
2021-08-18,3.5
2021-08-19,4.5
2021-08-20,5.0
2021-08-21,4.0
2021-08-22,3.0
2021-08-23,2.0
2021-08-24,1.0
2021-08-25,0.0
2021-08-26,-1.0
2021-08-27,-2.0
2021-08-28,-3.0
2021-08-29,-4.0
2021-08-30,-5.0
2021-08-31,-6.0
2021-09-01,-7.0
2021-09-02,-8.0
2021-09-03,-9.0
2021-09-04,-10.0
2021-09-05,-11.0
2021-09-06,-12.0
2021-09-07,-13.0
2021-09-08,-14.0
2021-09-09,-15.0
2021-09-10,-16.0
2021-09-11,-17.0
2021-09-12,-18.0
2021-09-13,-19.0
2021-09-14,-20.0
2021-09-15,-21.0
2021-09-16,-22.0
2021-09-17,-23.0
2021-09-18,-24.0
2021-09-19,-25.0
2021-09-20,-26.0
2021-09-21,-27.0
2021-09-22,-28.0
2021-09-23,-29.0
2021-09-24,-30.0
2021-09-25,-31.0
2021-09-26,-32.0
2021-09-27,-33.0
2021-09-28,-34.0
2021-09-29,-34.0
2021-09-30,-34.0
2021-10-01,-34.0
2021-10-02,-34.0
2021-10-03,-34.0
2021-10-04,-34.0
2021-10-05,-34.0
2021-10-06,-34.0
2021-10-07,-34.0
2021-10-08,-34.0
2021-10-09,-34.0
2021-10-10,0.0
2021-10-11,34.0
2021-10-12,34.0
2021-10-13,34.0
2021-10-14,34.0
2021-10-15,34.0
2021-10-16,34.0
2021-10-17,34.0
2021-10-18,34.0
2021-10-19,34.0
2021-10-20,34.0
2021-10-21,34.0
2021-10-22,34.0
2021-10-23,34.0
2021-10-24,34.0
2021-10-25,34.0
2021-10-26,34.0
2021-10-27,34.0
2021-10-28,34.0
2021-10-29,34.0
2021-10-30,34.0
2021-10-31,34.0
2021-11-01,34.0
2021-11-02,34.0
2021-11-03,34.0
2021-11-04,34.0
2021-11-05,34.0
2021-11-06,34.0
2021-11-07,34.0
2021-11-08,34.0
2021-11-09,34.0
2021-11-10,34.0
2021-11-11,34.0
2021-11-12,34.0
2021-11-13,33.0
2021-11-14,32.0
2021-11-15,31.0
2021-11-16,30.0
