county,source_lag_column,cp_date,direction,from_sign,to_sign,lag_at_cp_raw,lag_at_cp_smoothed
Sweetwater_County,lag_days,2020-05-03,pos→neg,1,-1,-1.0,-1.095238095238096
Sweetwater_County,lag_days,2020-05-09,neg→pos,-1,1,15.5,15.50000000000001
Sweetwater_County,lag_days,2020-08-05,pos→neg,1,-1,-1.0,-1.0000000000000007
Sweetwater_County,lag_days,2020-10-30,neg→pos,-1,1,9.5,9.52380952380953
Sweetwater_County,lag_days,2020-12-26,pos→neg,1,-1,-1.0,-1.0000000000000007
Sweetwater_County,lag_days,2021-01-04,neg→pos,-1,1,0.5,0.4047619047619051
Sweetwater_County,lag_days,2021-01-31,pos→neg,1,-1,-1.0,-1.0000000000000007
Sweetwater_County,lag_days,2021-02-28,neg→pos,-1,1,7.0,7.000000000000005
Sweetwater_County,lag_days,2021-04-15,pos→neg,1,-1,-1.0,-1.0000000000000007
Sweetwater_County,lag_days,2021-05-15,neg→pos,-1,1,3.0,2.904761904761907
