DATE,lag_days
2020-01-22,17.0
2020-01-23,34.0
2020-01-24,34.0
2020-01-25,34.0
2020-01-26,34.0
2020-01-27,34.0
2020-01-28,34.0
2020-01-29,34.0
2020-01-30,34.0
2020-01-31,34.0
2020-02-01,34.0
2020-02-02,34.0
2020-02-03,34.0
2020-02-04,34.0
2020-02-05,34.0
2020-02-06,34.0
2020-02-07,34.0
2020-02-08,34.0
2020-02-09,34.0
2020-02-10,34.0
2020-02-11,34.0
2020-02-12,34.0
2020-02-13,34.0
2020-02-14,34.0
2020-02-15,34.0
2020-02-16,34.0
2020-02-17,34.0
2020-02-18,34.0
2020-02-19,34.0
2020-02-20,34.0
2020-02-21,34.0
2020-02-22,34.0
2020-02-23,34.0
2020-02-24,34.0
2020-02-25,34.0
2020-02-26,34.0
2020-02-27,34.0
2020-02-28,34.0
2020-02-29,34.0
2020-03-01,34.0
2020-03-02,34.0
2020-03-03,34.0
2020-03-04,34.0
2020-03-05,33.0
2020-03-06,32.0
2020-03-07,31.0
2020-03-08,30.0
2020-03-09,29.0
2020-03-10,28.0
2020-03-11,27.0
2020-03-12,26.0
2020-03-13,25.0
2020-03-14,24.0
2020-03-15,23.0
2020-03-16,22.0
2020-03-17,21.0
2020-03-18,20.0
2020-03-19,19.0
2020-03-20,18.0
2020-03-21,17.0
2020-03-22,16.0
2020-03-23,15.0
2020-03-24,14.0
2020-03-25,13.0
2020-03-26,12.0
2020-03-27,11.0
2020-03-28,10.0
2020-03-29,9.0
2020-03-30,8.0
2020-03-31,7.0
2020-04-01,6.0
2020-04-02,5.0
2020-04-03,4.0
2020-04-04,3.0
2020-04-05,2.0
2020-04-06,1.0
2020-04-07,0.0
2020-04-08,-1.0
2020-04-09,-2.0
2020-04-10,-3.0
2020-04-11,-4.0
2020-04-12,-5.0
2020-04-13,-6.0
2020-04-14,-7.0
2020-04-15,-8.0
2020-04-16,-9.0
2020-04-17,-10.0
2020-04-18,-11.0
2020-04-19,-12.0
2020-04-20,-13.0
2020-04-21,-14.0
2020-04-22,-15.0
2020-04-23,-16.0
2020-04-24,-17.0
2020-04-25,-18.0
2020-04-26,-19.0
2020-04-27,-20.0
2020-04-28,-21.0
2020-04-29,-22.0
2020-04-30,-23.0
2020-05-01,-24.0
2020-05-02,-25.0
2020-05-03,-26.0
2020-05-04,-27.0
2020-05-05,-28.0
2020-05-06,-29.0
2020-05-07,-30.0
2020-05-08,-31.0
2020-05-09,-32.0
2020-05-10,-33.0
2020-05-11,-34.0
2020-05-12,-34.0
2020-05-13,-34.0
2020-05-14,-34.0
2020-05-15,-34.0
2020-05-16,-34.0
2020-05-17,-34.0
2020-05-18,-34.0
2020-05-19,-34.0
2020-05-20,-34.0
2020-05-21,-34.0
2020-05-22,-34.0
2020-05-23,-34.0
2020-05-24,-34.0
2020-05-25,-34.0
2020-05-26,-34.0
2020-05-27,-34.0
2020-05-28,-34.0
2020-05-29,-34.0
2020-05-30,-34.0
2020-05-31,-34.0
2020-06-01,-34.0
2020-06-02,-34.0
2020-06-03,-34.0
2020-06-04,-34.0
2020-06-05,-18.0
2020-06-06,-2.0
2020-06-07,-2.0
2020-06-08,-2.0
2020-06-09,-2.0
2020-06-10,-2.0
2020-06-11,-3.0
2020-06-12,-4.0
2020-06-13,-4.0
2020-06-14,-5.0
2020-06-15,-6.0
2020-06-16,-7.0
2020-06-17,-8.0
2020-06-18,-9.0
2020-06-19,-10.0
2020-06-20,-11.0
2020-06-21,-12.0
2020-06-22,-13.0
2020-06-23,-14.0
2020-06-24,-15.0
2020-06-25,-16.0
2020-06-26,-17.0
2020-06-27,-18.0
2020-06-28,-19.0
2020-06-29,-20.0
2020-06-30,-21.0
2020-07-01,-22.0
2020-07-02,-23.0
2020-07-03,-24.0
2020-07-04,-25.0
2020-07-05,-26.0
2020-07-06,-27.0
2020-07-07,-28.0
2020-07-08,-29.0
2020-07-09,-30.0
2020-07-10,-31.0
2020-07-11,-32.0
2020-07-12,-33.0
2020-07-13,-34.0
2020-07-14,-34.0
2020-07-15,-34.0
2020-07-16,-34.0
2020-07-17,-34.0
2020-07-18,-34.0
2020-07-19,-34.0
2020-07-20,-34.0
2020-07-21,-34.0
2020-07-22,-34.0
2020-07-23,-34.0
2020-07-24,-34.0
2020-07-25,-34.0
2020-07-26,-34.0
2020-07-27,-34.0
2020-07-28,-34.0
2020-07-29,-34.0
2020-07-30,-34.0
2020-07-31,-34.0
2020-08-01,-34.0
2020-08-02,-34.0
2020-08-03,-34.0
2020-08-04,-34.0
2020-08-05,-34.0
2020-08-06,-34.0
2020-08-07,-34.0
2020-08-08,-34.0
2020-08-09,-34.0
2020-08-10,-34.0
2020-08-11,-34.0
2020-08-12,-34.0
2020-08-13,-34.0
2020-08-14,-34.0
2020-08-15,-34.0
2020-08-16,-34.0
2020-08-17,-34.0
2020-08-18,-34.0
2020-08-19,-34.0
2020-08-20,-22.0
2020-08-21,-10.0
2020-08-22,-10.0
2020-08-23,-10.0
2020-08-24,-10.0
2020-08-25,-10.0
2020-08-26,-11.0
2020-08-27,-12.0
2020-08-28,-13.0
2020-08-29,-14.0
2020-08-30,-15.0
2020-08-31,-16.0
2020-09-01,-17.0
2020-09-02,-18.0
2020-09-03,-19.0
2020-09-04,-20.0
2020-09-05,-21.0
2020-09-06,-22.0
2020-09-07,-23.0
2020-09-08,-23.0
2020-09-09,-24.0
2020-09-10,-25.0
2020-09-11,-26.0
2020-09-12,-27.0
2020-09-13,-28.0
2020-09-14,-29.0
2020-09-15,-30.0
2020-09-16,-31.0
2020-09-17,-32.0
2020-09-18,-33.0
2020-09-19,-34.0
2020-09-20,-34.0
2020-09-21,-34.0
2020-09-22,-34.0
2020-09-23,-16.0
2020-09-24,2.0
2020-09-25,2.0
2020-09-26,2.0
2020-09-27,1.0
2020-09-28,0.0
2020-09-29,-1.0
2020-09-30,-2.0
2020-10-01,-3.0
2020-10-02,-4.0
2020-10-03,-5.0
2020-10-04,-6.0
2020-10-05,-7.0
2020-10-06,-7.0
2020-10-07,-8.0
2020-10-08,-9.0
2020-10-09,-10.0
2020-10-10,-10.0
2020-10-11,-11.0
2020-10-12,-12.0
2020-10-13,-12.0
2020-10-14,-13.0
2020-10-15,-13.0
2020-10-16,-14.0
2020-10-17,-14.0
2020-10-18,-15.0
2020-10-19,-15.0
2020-10-20,-16.0
2020-10-21,-16.0
2020-10-22,-16.0
2020-10-23,-17.0
2020-10-24,-17.0
2020-10-25,-17.0
2020-10-26,-18.0
2020-10-27,-18.0
2020-10-28,-18.0
2020-10-29,-18.0
2020-10-30,-18.0
2020-10-31,-19.0
2020-11-01,-19.0
2020-11-02,-19.0
2020-11-03,-19.0
2020-11-04,-19.0
2020-11-05,-19.0
2020-11-06,-19.0
2020-11-07,-20.0
2020-11-08,-20.0
2020-11-09,-20.0
2020-11-10,-20.0
2020-11-11,-20.0
2020-11-12,-20.0
2020-11-13,-20.0
2020-11-14,-20.0
2020-11-15,-20.0
2020-11-16,-20.0
2020-11-17,-21.0
2020-11-18,-21.0
2020-11-19,-21.0
2020-11-20,-20.5
2020-11-21,-20.0
2020-11-22,-21.0
2020-11-23,-22.0
2020-11-24,-23.0
2020-11-25,-23.0
2020-11-26,-23.0
2020-11-27,-23.0
2020-11-28,-23.0
2020-11-29,-23.0
2020-11-30,-23.0
2020-12-01,-23.0
2020-12-02,-23.0
2020-12-03,-23.0
2020-12-04,-24.0
2020-12-05,-24.0
2020-12-06,-24.0
2020-12-07,-24.0
2020-12-08,-24.0
2020-12-09,-24.0
2020-12-10,-25.0
2020-12-11,-25.0
2020-12-12,-25.0
2020-12-13,-25.0
2020-12-14,-25.0
2020-12-15,-26.0
2020-12-16,-26.0
2020-12-17,-26.0
2020-12-18,-26.0
2020-12-19,-26.0
2020-12-20,-27.0
2020-12-21,-27.0
2020-12-22,-27.0
2020-12-23,-8.0
2020-12-24,11.0
2020-12-25,11.0
2020-12-26,11.0
2020-12-27,10.0
2020-12-28,10.0
2020-12-29,10.0
2020-12-30,9.0
2020-12-31,9.0
2021-01-01,8.0
2021-01-02,8.0
2021-01-03,7.0
2021-01-04,7.0
2021-01-05,6.0
2021-01-06,6.0
2021-01-07,5.0
2021-01-08,5.0
2021-01-09,4.0
2021-01-10,4.0
2021-01-11,3.0
2021-01-12,2.0
2021-01-13,2.0
2021-01-14,1.0
2021-01-15,1.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,-1.0
2021-01-19,-1.0
2021-01-20,-2.0
2021-01-21,-2.0
2021-01-22,-3.0
2021-01-23,-3.0
2021-01-24,-3.0
2021-01-25,-4.0
2021-01-26,-4.0
2021-01-27,-4.0
2021-01-28,-5.0
2021-01-29,-5.0
2021-01-30,-5.0
2021-01-31,-5.0
2021-02-01,-5.0
2021-02-02,-5.0
2021-02-03,-5.0
2021-02-04,-5.0
2021-02-05,-5.0
2021-02-06,-5.0
2021-02-07,-4.5
2021-02-08,6.0
2021-02-09,17.5
2021-02-10,20.0
2021-02-11,21.5
2021-02-12,22.5
2021-02-13,23.5
2021-02-14,24.0
2021-02-15,24.0
2021-02-16,24.0
2021-02-17,24.0
2021-02-18,24.0
2021-02-19,24.0
2021-02-20,23.0
2021-02-21,22.0
2021-02-22,21.0
2021-02-23,20.0
2021-02-24,19.0
2021-02-25,18.0
2021-02-26,17.0
2021-02-27,16.0
2021-02-28,15.0
2021-03-01,14.0
2021-03-02,13.0
2021-03-03,12.0
2021-03-04,11.0
2021-03-05,10.0
2021-03-06,9.0
2021-03-07,8.0
2021-03-08,7.0
2021-03-09,6.0
2021-03-10,5.0
2021-03-11,4.0
2021-03-12,3.0
2021-03-13,2.0
2021-03-14,1.0
2021-03-15,0.0
2021-03-16,-1.0
2021-03-17,-2.0
2021-03-18,-3.0
2021-03-19,-4.0
2021-03-20,-5.0
2021-03-21,-6.0
2021-03-22,-7.0
2021-03-23,-8.0
2021-03-24,-9.0
2021-03-25,-10.0
2021-03-26,-11.0
2021-03-27,-12.0
2021-03-28,-13.0
2021-03-29,-14.0
2021-03-30,-15.0
2021-03-31,-16.0
2021-04-01,-17.0
2021-04-02,-18.0
2021-04-03,-19.0
2021-04-04,-20.0
2021-04-05,-21.0
