DATE,lag_days
2020-01-22,9.5
2020-01-23,19.0
2020-01-24,19.0
2020-01-25,19.0
2020-01-26,19.0
2020-01-27,19.0
2020-01-28,19.0
2020-01-29,19.0
2020-01-30,18.0
2020-01-31,17.0
2020-02-01,16.0
2020-02-02,15.0
2020-02-03,14.0
2020-02-04,13.0
2020-02-05,12.0
2020-02-06,11.0
2020-02-07,10.0
2020-02-08,10.0
2020-02-09,9.0
2020-02-10,8.0
2020-02-11,7.0
2020-02-12,6.0
2020-02-13,5.0
2020-02-14,4.0
2020-02-15,3.0
2020-02-16,2.0
2020-02-17,1.0
2020-02-18,0.0
2020-02-19,-1.0
2020-02-20,-2.0
2020-02-21,-3.0
2020-02-22,-4.0
2020-02-23,-5.0
2020-02-24,-6.0
2020-02-25,-7.0
2020-02-26,-8.0
2020-02-27,-9.0
2020-02-28,-10.0
2020-02-29,-11.0
2020-03-01,-12.0
2020-03-02,-13.0
2020-03-03,-14.0
2020-03-04,-15.0
2020-03-05,-15.0
2020-03-06,-15.0
2020-03-07,-15.0
2020-03-08,-15.0
2020-03-09,-15.0
2020-03-10,-15.0
2020-03-11,-15.0
2020-03-12,-15.0
2020-03-13,-15.0
2020-03-14,-15.0
2020-03-15,9.5
2020-03-16,34.0
2020-03-17,34.0
2020-03-18,34.0
2020-03-19,34.0
2020-03-20,34.0
2020-03-21,34.0
2020-03-22,34.0
2020-03-23,34.0
2020-03-24,34.0
2020-03-25,34.0
2020-03-26,34.0
2020-03-27,34.0
2020-03-28,34.0
2020-03-29,33.0
2020-03-30,32.0
2020-03-31,31.0
2020-04-01,30.0
2020-04-02,29.0
2020-04-03,28.0
2020-04-04,27.0
2020-04-05,26.0
2020-04-06,25.0
2020-04-07,24.0
2020-04-08,23.0
2020-04-09,22.0
2020-04-10,21.0
2020-04-11,20.0
2020-04-12,19.0
2020-04-13,18.0
2020-04-14,17.0
2020-04-15,16.0
2020-04-16,15.0
2020-04-17,14.0
2020-04-18,13.0
2020-04-19,12.0
2020-04-20,11.0
2020-04-21,10.0
2020-04-22,9.0
2020-04-23,8.0
2020-04-24,7.0
2020-04-25,6.0
2020-04-26,5.0
2020-04-27,4.0
2020-04-28,3.0
2020-04-29,2.0
2020-04-30,1.0
2020-05-01,0.0
2020-05-02,-1.0
2020-05-03,-2.0
2020-05-04,-3.0
2020-05-05,-4.0
2020-05-06,-5.0
2020-05-07,-6.0
2020-05-08,-6.0
2020-05-09,-6.0
2020-05-10,-6.0
2020-05-11,-6.0
2020-05-12,-6.0
2020-05-13,-6.0
2020-05-14,-6.0
2020-05-15,14.0
2020-05-16,34.0
2020-05-17,34.0
2020-05-18,34.0
2020-05-19,34.0
2020-05-20,34.0
2020-05-21,34.0
2020-05-22,34.0
2020-05-23,34.0
2020-05-24,34.0
2020-05-25,34.0
2020-05-26,34.0
2020-05-27,34.0
2020-05-28,34.0
2020-05-29,34.0
2020-05-30,34.0
2020-05-31,34.0
2020-06-01,34.0
2020-06-02,34.0
2020-06-03,34.0
2020-06-04,34.0
2020-06-05,34.0
2020-06-06,34.0
2020-06-07,34.0
2020-06-08,34.0
2020-06-09,34.0
2020-06-10,34.0
2020-06-11,33.0
2020-06-12,32.0
2020-06-13,31.0
2020-06-14,30.0
2020-06-15,29.0
2020-06-16,28.0
2020-06-17,27.0
2020-06-18,26.0
2020-06-19,25.0
2020-06-20,24.0
2020-06-21,23.0
2020-06-22,22.0
2020-06-23,21.0
2020-06-24,20.0
2020-06-25,19.0
2020-06-26,18.0
2020-06-27,17.0
2020-06-28,16.0
2020-06-29,15.0
2020-06-30,14.0
2020-07-01,13.0
2020-07-02,12.0
2020-07-03,11.0
2020-07-04,10.0
2020-07-05,9.0
2020-07-06,8.0
2020-07-07,7.0
2020-07-08,6.0
2020-07-09,5.0
2020-07-10,4.0
2020-07-11,3.0
2020-07-12,2.0
2020-07-13,1.0
2020-07-14,0.0
2020-07-15,-1.0
2020-07-16,-2.0
2020-07-17,-3.0
2020-07-18,-4.0
2020-07-19,-5.0
2020-07-20,-6.0
2020-07-21,-7.0
2020-07-22,-8.0
2020-07-23,-9.0
2020-07-24,-10.0
2020-07-25,-10.0
2020-07-26,-10.0
2020-07-27,-10.0
2020-07-28,-10.0
2020-07-29,-10.0
2020-07-30,-10.0
2020-07-31,-10.0
2020-08-01,-10.0
2020-08-02,-7.5
2020-08-03,-5.0
2020-08-04,-5.0
2020-08-05,-5.0
2020-08-06,-5.0
2020-08-07,-5.0
2020-08-08,-5.0
2020-08-09,-5.0
2020-08-10,-5.0
2020-08-11,-6.0
2020-08-12,-7.0
2020-08-13,-8.0
2020-08-14,-9.0
2020-08-15,-10.0
2020-08-16,-11.0
2020-08-17,-12.0
2020-08-18,-13.0
2020-08-19,-14.0
2020-08-20,-15.0
2020-08-21,-16.0
2020-08-22,-17.0
2020-08-23,-18.0
2020-08-24,-19.0
2020-08-25,-20.0
2020-08-26,-21.0
2020-08-27,-22.0
2020-08-28,-23.0
2020-08-29,-24.0
2020-08-30,-25.0
2020-08-31,-26.0
2020-09-01,-27.0
2020-09-02,-28.0
2020-09-03,-29.0
2020-09-04,-30.0
2020-09-05,-31.0
2020-09-06,-32.0
2020-09-07,-33.0
2020-09-08,-34.0
2020-09-09,-34.0
2020-09-10,-34.0
2020-09-11,-34.0
2020-09-12,-34.0
2020-09-13,-34.0
2020-09-14,-34.0
2020-09-15,-34.0
2020-09-16,-34.0
2020-09-17,-34.0
2020-09-18,-34.0
2020-09-19,-34.0
2020-09-20,-34.0
2020-09-21,-34.0
2020-09-22,-34.0
2020-09-23,-34.0
2020-09-24,-34.0
2020-09-25,-34.0
2020-09-26,-34.0
2020-09-27,-34.0
2020-09-28,-34.0
2020-09-29,-34.0
2020-09-30,-34.0
2020-10-01,-34.0
2020-10-02,-34.0
2020-10-03,-34.0
2020-10-04,-34.0
2020-10-05,-34.0
2020-10-06,-34.0
2020-10-07,-34.0
2020-10-08,-34.0
2020-10-09,-34.0
2020-10-10,-34.0
2020-10-11,-34.0
2020-10-12,-34.0
2020-10-13,-34.0
2020-10-14,-34.0
2020-10-15,-34.0
2020-10-16,-34.0
2020-10-17,-34.0
2020-10-18,-34.0
2020-10-19,-34.0
2020-10-20,-34.0
2020-10-21,-34.0
2020-10-22,-34.0
2020-10-23,-34.0
2020-10-24,-34.0
2020-10-25,-34.0
2020-10-26,-15.0
2020-10-27,4.0
2020-10-28,3.0
2020-10-29,2.0
2020-10-30,2.0
2020-10-31,1.0
2020-11-01,0.0
2020-11-02,-1.0
2020-11-03,-1.0
2020-11-04,-2.0
