DATE,lag_days
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,-1.0
2020-02-14,-2.0
2020-02-15,-3.0
2020-02-16,-4.0
2020-02-17,-5.0
2020-02-18,-6.0
2020-02-19,-7.0
2020-02-20,-8.0
2020-02-21,-9.0
2020-02-22,-10.0
2020-02-23,-11.0
2020-02-24,-12.0
2020-02-25,-13.0
2020-02-26,-14.0
2020-02-27,-15.0
2020-02-28,-16.0
2020-02-29,-16.0
2020-03-01,-16.0
2020-03-02,-16.0
2020-03-03,-16.0
2020-03-04,-16.0
2020-03-05,-16.0
2020-03-06,-16.0
2020-03-07,-16.0
2020-03-08,-16.0
2020-03-09,-16.0
2020-03-10,-16.0
2020-03-11,-16.0
2020-03-12,-16.0
2020-03-13,-16.0
2020-03-14,-16.0
2020-03-15,-16.0
2020-03-16,-16.0
2020-03-17,-16.0
2020-03-18,-16.0
2020-03-19,-16.0
2020-03-20,-16.0
2020-03-21,-16.0
2020-03-22,-16.0
2020-03-23,-16.0
2020-03-24,-16.0
2020-03-25,-17.0
2020-03-26,-18.0
2020-03-27,-19.0
2020-03-28,-20.0
2020-03-29,-21.0
2020-03-30,-22.0
2020-03-31,-23.0
2020-04-01,-24.0
2020-04-02,-24.0
2020-04-03,-24.0
2020-04-04,-24.0
2020-04-05,-24.0
2020-04-06,-24.0
2020-04-07,-24.0
2020-04-08,-24.0
2020-04-09,-24.0
2020-04-10,-24.0
2020-04-11,-17.5
2020-04-12,-11.0
2020-04-13,-11.0
2020-04-14,-11.0
2020-04-15,-11.0
2020-04-16,-11.0
2020-04-17,-11.0
2020-04-18,-11.0
2020-04-19,-11.0
2020-04-20,-11.0
2020-04-21,-11.0
2020-04-22,-11.0
2020-04-23,-11.0
2020-04-24,-11.0
2020-04-25,-11.0
2020-04-26,-11.0
2020-04-27,-9.0
2020-04-28,-7.0
2020-04-29,-7.0
2020-04-30,-7.0
2020-05-01,-7.0
2020-05-02,-7.0
2020-05-03,-7.0
2020-05-04,13.5
2020-05-05,34.0
2020-05-06,34.0
2020-05-07,34.0
2020-05-08,34.0
2020-05-09,34.0
2020-05-10,34.0
2020-05-11,34.0
2020-05-12,34.0
2020-05-13,34.0
2020-05-14,34.0
2020-05-15,34.0
2020-05-16,34.0
2020-05-17,33.0
2020-05-18,32.0
2020-05-19,31.0
2020-05-20,30.0
2020-05-21,29.0
2020-05-22,28.0
