i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
0,4,4,2020-01-22
1,5,4,2020-01-23
2,6,4,2020-01-24
3,7,4,2020-01-25
4,8,4,2020-01-26
5,9,4,2020-01-27
6,10,4,2020-01-28
7,11,4,2020-01-29
8,12,4,2020-01-30
9,13,4,2020-01-31
10,14,4,2020-02-01
11,15,4,2020-02-02
12,16,4,2020-02-03
13,17,4,2020-02-04
14,18,4,2020-02-05
15,19,4,2020-02-06
16,20,4,2020-02-07
17,21,4,2020-02-08
18,22,4,2020-02-09
19,23,4,2020-02-10
20,24,4,2020-02-11
21,25,4,2020-02-12
22,26,4,2020-02-13
23,27,4,2020-02-14
24,28,4,2020-02-15
25,29,4,2020-02-16
26,30,4,2020-02-17
27,31,4,2020-02-18
28,32,4,2020-02-19
29,33,4,2020-02-20
30,34,4,2020-02-21
31,35,4,2020-02-22
32,36,4,2020-02-23
33,37,4,2020-02-24
34,38,4,2020-02-25
35,39,4,2020-02-26
36,40,4,2020-02-27
37,41,4,2020-02-28
38,42,4,2020-02-29
39,43,4,2020-03-01
40,44,4,2020-03-02
41,45,4,2020-03-03
42,46,4,2020-03-04
43,47,4,2020-03-05
44,48,4,2020-03-06
45,49,4,2020-03-07
46,49,3,2020-03-08
47,49,2,2020-03-09
48,49,1,2020-03-10
49,49,0,2020-03-11
50,49,-1,2020-03-12
51,49,-2,2020-03-13
52,49,-3,2020-03-14
53,49,-4,2020-03-15
54,49,-5,2020-03-16
55,49,-6,2020-03-17
56,49,-7,2020-03-18
57,49,-8,2020-03-19
58,49,-9,2020-03-20
59,49,-10,2020-03-21
60,49,-11,2020-03-22
61,49,-12,2020-03-23
62,49,-13,2020-03-24
63,49,-14,2020-03-25
64,49,-15,2020-03-26
65,49,-16,2020-03-27
66,49,-17,2020-03-28
67,49,-18,2020-03-29
68,49,-19,2020-03-30
69,49,-20,2020-03-31
70,49,-21,2020-04-01
71,49,-22,2020-04-02
72,49,-23,2020-04-03
73,49,-24,2020-04-04
74,49,-25,2020-04-05
75,49,-26,2020-04-06
76,49,-27,2020-04-07
77,49,-28,2020-04-08
78,49,-29,2020-04-09
79,50,-29,2020-04-10
79,51,-28,2020-04-10
79,52,-27,2020-04-10
79,53,-26,2020-04-10
79,54,-25,2020-04-10
79,55,-24,2020-04-10
79,56,-23,2020-04-10
79,57,-22,2020-04-10
79,58,-21,2020-04-10
79,59,-20,2020-04-10
79,60,-19,2020-04-10
79,61,-18,2020-04-10
79,62,-17,2020-04-10
79,63,-16,2020-04-10
79,64,-15,2020-04-10
79,65,-14,2020-04-10
79,66,-13,2020-04-10
80,67,-13,2020-04-11
81,68,-13,2020-04-12
82,69,-13,2020-04-13
83,70,-13,2020-04-14
84,71,-13,2020-04-15
85,72,-13,2020-04-16
85,73,-12,2020-04-16
86,74,-12,2020-04-17
87,75,-12,2020-04-18
88,76,-12,2020-04-19
89,77,-12,2020-04-20
90,78,-12,2020-04-21
90,79,-11,2020-04-21
90,80,-10,2020-04-21
90,81,-9,2020-04-21
90,82,-8,2020-04-21
90,83,-7,2020-04-21
90,84,-6,2020-04-21
90,85,-5,2020-04-21
90,86,-4,2020-04-21
90,87,-3,2020-04-21
90,88,-2,2020-04-21
90,89,-1,2020-04-21
90,90,0,2020-04-21
90,91,1,2020-04-21
90,92,2,2020-04-21
90,93,3,2020-04-21
90,94,4,2020-04-21
90,95,5,2020-04-21
90,96,6,2020-04-21
90,97,7,2020-04-21
90,98,8,2020-04-21
90,99,9,2020-04-21
90,100,10,2020-04-21
90,101,11,2020-04-21
90,102,12,2020-04-21
90,103,13,2020-04-21
90,104,14,2020-04-21
90,105,15,2020-04-21
90,106,16,2020-04-21
90,107,17,2020-04-21
90,108,18,2020-04-21
90,109,19,2020-04-21
90,110,20,2020-04-21
90,111,21,2020-04-21
90,112,22,2020-04-21
90,113,23,2020-04-21
90,114,24,2020-04-21
90,115,25,2020-04-21
90,116,26,2020-04-21
90,117,27,2020-04-21
90,118,28,2020-04-21
91,119,28,2020-04-22
92,120,28,2020-04-23
92,121,29,2020-04-23
92,122,30,2020-04-23
92,123,31,2020-04-23
92,124,32,2020-04-23
92,125,33,2020-04-23
92,126,34,2020-04-23
93,127,34,2020-04-24
94,128,34,2020-04-25
95,129,34,2020-04-26
96,130,34,2020-04-27
97,131,34,2020-04-28
98,132,34,2020-04-29
99,133,34,2020-04-30
100,134,34,2020-05-01
101,135,34,2020-05-02
102,136,34,2020-05-03
103,137,34,2020-05-04
104,138,34,2020-05-05
105,139,34,2020-05-06
106,140,34,2020-05-07
107,141,34,2020-05-08
108,142,34,2020-05-09
109,143,34,2020-05-10
110,144,34,2020-05-11
111,145,34,2020-05-12
112,146,34,2020-05-13
113,147,34,2020-05-14
114,148,34,2020-05-15
115,149,34,2020-05-16
116,150,34,2020-05-17
117,151,34,2020-05-18
118,152,34,2020-05-19
119,153,34,2020-05-20
120,154,34,2020-05-21
121,155,34,2020-05-22
122,155,33,2020-05-23
123,155,32,2020-05-24
124,155,31,2020-05-25
125,155,30,2020-05-26
126,155,29,2020-05-27
127,155,28,2020-05-28
128,155,27,2020-05-29
129,155,26,2020-05-30
130,155,25,2020-05-31
131,155,24,2020-06-01
132,155,23,2020-06-02
133,155,22,2020-06-03
134,155,21,2020-06-04
135,155,20,2020-06-05
136,155,19,2020-06-06
137,155,18,2020-06-07
138,155,17,2020-06-08
139,155,16,2020-06-09
140,155,15,2020-06-10
141,155,14,2020-06-11
142,155,13,2020-06-12
143,155,12,2020-06-13
144,155,11,2020-06-14
145,155,10,2020-06-15
146,155,9,2020-06-16
147,155,8,2020-06-17
148,155,7,2020-06-18
149,155,6,2020-06-19
150,155,5,2020-06-20
151,155,4,2020-06-21
152,155,3,2020-06-22
153,155,2,2020-06-23
154,155,1,2020-06-24
155,155,0,2020-06-25
156,155,-1,2020-06-26
157,155,-2,2020-06-27
158,155,-3,2020-06-28
159,155,-4,2020-06-29
160,155,-5,2020-06-30
161,155,-6,2020-07-01
162,155,-7,2020-07-02
163,155,-8,2020-07-03
164,155,-9,2020-07-04
165,155,-10,2020-07-05
166,155,-11,2020-07-06
167,155,-12,2020-07-07
168,155,-13,2020-07-08
169,155,-14,2020-07-09
170,155,-15,2020-07-10
171,155,-16,2020-07-11
172,155,-17,2020-07-12
173,155,-18,2020-07-13
174,155,-19,2020-07-14
175,155,-20,2020-07-15
176,155,-21,2020-07-16
177,155,-22,2020-07-17
178,155,-23,2020-07-18
179,155,-24,2020-07-19
180,155,-25,2020-07-20
181,155,-26,2020-07-21
182,155,-27,2020-07-22
183,155,-28,2020-07-23
184,155,-29,2020-07-24
185,155,-30,2020-07-25
186,155,-31,2020-07-26
187,155,-32,2020-07-27
188,155,-33,2020-07-28
189,155,-34,2020-07-29
190,156,-34,2020-07-30
191,157,-34,2020-07-31
192,158,-34,2020-08-01
193,159,-34,2020-08-02
194,160,-34,2020-08-03
195,161,-34,2020-08-04
196,162,-34,2020-08-05
197,163,-34,2020-08-06
198,164,-34,2020-08-07
199,165,-34,2020-08-08
200,166,-34,2020-08-09
201,167,-34,2020-08-10
202,168,-34,2020-08-11
203,169,-34,2020-08-12
204,170,-34,2020-08-13
205,171,-34,2020-08-14
206,172,-34,2020-08-15
207,173,-34,2020-08-16
208,174,-34,2020-08-17
209,175,-34,2020-08-18
210,176,-34,2020-08-19
211,177,-34,2020-08-20
212,178,-34,2020-08-21
213,179,-34,2020-08-22
214,180,-34,2020-08-23
215,181,-34,2020-08-24
215,182,-33,2020-08-24
216,183,-33,2020-08-25
217,184,-33,2020-08-26
218,184,-34,2020-08-27
219,185,-34,2020-08-28
219,186,-33,2020-08-28
219,187,-32,2020-08-28
219,188,-31,2020-08-28
219,189,-30,2020-08-28
219,190,-29,2020-08-28
219,191,-28,2020-08-28
219,192,-27,2020-08-28
219,193,-26,2020-08-28
219,194,-25,2020-08-28
219,195,-24,2020-08-28
219,196,-23,2020-08-28
219,197,-22,2020-08-28
219,198,-21,2020-08-28
219,199,-20,2020-08-28
219,200,-19,2020-08-28
219,201,-18,2020-08-28
219,202,-17,2020-08-28
219,203,-16,2020-08-28
219,204,-15,2020-08-28
219,205,-14,2020-08-28
219,206,-13,2020-08-28
219,207,-12,2020-08-28
219,208,-11,2020-08-28
219,209,-10,2020-08-28
219,210,-9,2020-08-28
219,211,-8,2020-08-28
219,212,-7,2020-08-28
219,213,-6,2020-08-28
219,214,-5,2020-08-28
219,215,-4,2020-08-28
219,216,-3,2020-08-28
219,217,-2,2020-08-28
219,218,-1,2020-08-28
219,219,0,2020-08-28
219,220,1,2020-08-28
219,221,2,2020-08-28
219,222,3,2020-08-28
219,223,4,2020-08-28
219,224,5,2020-08-28
219,225,6,2020-08-28
219,226,7,2020-08-28
219,227,8,2020-08-28
219,228,9,2020-08-28
219,229,10,2020-08-28
219,230,11,2020-08-28
219,231,12,2020-08-28
219,232,13,2020-08-28
219,233,14,2020-08-28
219,234,15,2020-08-28
219,235,16,2020-08-28
220,236,16,2020-08-29
221,236,15,2020-08-30
222,236,14,2020-08-31
223,236,13,2020-09-01
224,236,12,2020-09-02
225,236,11,2020-09-03
226,236,10,2020-09-04
227,236,9,2020-09-05
228,236,8,2020-09-06
229,236,7,2020-09-07
230,236,6,2020-09-08
231,236,5,2020-09-09
232,236,4,2020-09-10
233,236,3,2020-09-11
234,236,2,2020-09-12
235,236,1,2020-09-13
236,236,0,2020-09-14
237,236,-1,2020-09-15
238,236,-2,2020-09-16
239,236,-3,2020-09-17
240,236,-4,2020-09-18
241,236,-5,2020-09-19
242,236,-6,2020-09-20
243,236,-7,2020-09-21
244,236,-8,2020-09-22
245,236,-9,2020-09-23
246,236,-10,2020-09-24
247,236,-11,2020-09-25
248,236,-12,2020-09-26
249,236,-13,2020-09-27
250,236,-14,2020-09-28
251,236,-15,2020-09-29
252,236,-16,2020-09-30
253,236,-17,2020-10-01
254,236,-18,2020-10-02
255,236,-19,2020-10-03
256,236,-20,2020-10-04
257,236,-21,2020-10-05
258,236,-22,2020-10-06
259,236,-23,2020-10-07
260,236,-24,2020-10-08
261,236,-25,2020-10-09
262,236,-26,2020-10-10
263,236,-27,2020-10-11
264,236,-28,2020-10-12
265,236,-29,2020-10-13
266,237,-29,2020-10-14
267,238,-29,2020-10-15
268,239,-29,2020-10-16
269,240,-29,2020-10-17
270,241,-29,2020-10-18
271,242,-29,2020-10-19
272,243,-29,2020-10-20
273,244,-29,2020-10-21
274,245,-29,2020-10-22
275,245,-30,2020-10-23
276,245,-31,2020-10-24
277,245,-32,2020-10-25
278,245,-33,2020-10-26
279,246,-33,2020-10-27
279,247,-32,2020-10-27
279,248,-31,2020-10-27
279,249,-30,2020-10-27
279,250,-29,2020-10-27
279,251,-28,2020-10-27
279,252,-27,2020-10-27
280,253,-27,2020-10-28
281,253,-28,2020-10-29
282,253,-29,2020-10-30
283,254,-29,2020-10-31
284,254,-30,2020-11-01
285,254,-31,2020-11-02
286,254,-32,2020-11-03
287,254,-33,2020-11-04
288,254,-34,2020-11-05
289,255,-34,2020-11-06
290,256,-34,2020-11-07
290,257,-33,2020-11-07
291,258,-33,2020-11-08
292,259,-33,2020-11-09
293,259,-34,2020-11-10
294,260,-34,2020-11-11
295,261,-34,2020-11-12
296,262,-34,2020-11-13
297,263,-34,2020-11-14
298,264,-34,2020-11-15
298,265,-33,2020-11-15
298,266,-32,2020-11-15
298,267,-31,2020-11-15
298,268,-30,2020-11-15
298,269,-29,2020-11-15
298,270,-28,2020-11-15
298,271,-27,2020-11-15
298,272,-26,2020-11-15
298,273,-25,2020-11-15
298,274,-24,2020-11-15
298,275,-23,2020-11-15
298,276,-22,2020-11-15
298,277,-21,2020-11-15
298,278,-20,2020-11-15
298,279,-19,2020-11-15
298,280,-18,2020-11-15
298,281,-17,2020-11-15
298,282,-16,2020-11-15
298,283,-15,2020-11-15
298,284,-14,2020-11-15
298,285,-13,2020-11-15
298,286,-12,2020-11-15
299,287,-12,2020-11-16
300,287,-13,2020-11-17
301,287,-14,2020-11-18
302,288,-14,2020-11-19
302,289,-13,2020-11-19
302,290,-12,2020-11-19
302,291,-11,2020-11-19
302,292,-10,2020-11-19
302,293,-9,2020-11-19
303,294,-9,2020-11-20
303,295,-8,2020-11-20
303,296,-7,2020-11-20
303,297,-6,2020-11-20
303,298,-5,2020-11-20
303,299,-4,2020-11-20
303,300,-3,2020-11-20
303,301,-2,2020-11-20
303,302,-1,2020-11-20
304,303,-1,2020-11-21
305,304,-1,2020-11-22
306,305,-1,2020-11-23
306,306,0,2020-11-23
306,307,1,2020-11-23
306,308,2,2020-11-23
306,309,3,2020-11-23
306,310,4,2020-11-23
306,311,5,2020-11-23
306,312,6,2020-11-23
306,313,7,2020-11-23
306,314,8,2020-11-23
306,315,9,2020-11-23
306,316,10,2020-11-23
306,317,11,2020-11-23
306,318,12,2020-11-23
306,319,13,2020-11-23
306,320,14,2020-11-23
306,321,15,2020-11-23
306,322,16,2020-11-23
307,323,16,2020-11-24
308,324,16,2020-11-25
309,325,16,2020-11-26
310,325,15,2020-11-27
311,326,15,2020-11-28
311,327,16,2020-11-28
312,328,16,2020-11-29
313,328,15,2020-11-30
314,328,14,2020-12-01
315,329,14,2020-12-02
316,329,13,2020-12-03
317,329,12,2020-12-04
318,329,11,2020-12-05
319,329,10,2020-12-06
320,329,9,2020-12-07
321,329,8,2020-12-08
322,329,7,2020-12-09
323,329,6,2020-12-10
324,329,5,2020-12-11
325,329,4,2020-12-12
326,330,4,2020-12-13
327,330,3,2020-12-14
328,330,2,2020-12-15
329,330,1,2020-12-16
330,330,0,2020-12-17
331,330,-1,2020-12-18
332,330,-2,2020-12-19
333,330,-3,2020-12-20
334,330,-4,2020-12-21
335,330,-5,2020-12-22
336,330,-6,2020-12-23
337,330,-7,2020-12-24
338,330,-8,2020-12-25
339,330,-9,2020-12-26
340,330,-10,2020-12-27
341,330,-11,2020-12-28
342,330,-12,2020-12-29
343,330,-13,2020-12-30
344,330,-14,2020-12-31
345,330,-15,2021-01-01
346,330,-16,2021-01-02
347,330,-17,2021-01-03
348,331,-17,2021-01-04
349,332,-17,2021-01-05
350,333,-17,2021-01-06
351,334,-17,2021-01-07
351,335,-16,2021-01-07
351,336,-15,2021-01-07
351,337,-14,2021-01-07
351,338,-13,2021-01-07
351,339,-12,2021-01-07
352,340,-12,2021-01-08
353,341,-12,2021-01-09
354,342,-12,2021-01-10
354,343,-11,2021-01-10
354,344,-10,2021-01-10
354,345,-9,2021-01-10
354,346,-8,2021-01-10
354,347,-7,2021-01-10
354,348,-6,2021-01-10
355,349,-6,2021-01-11
356,349,-7,2021-01-12
357,349,-8,2021-01-13
358,350,-8,2021-01-14
359,351,-8,2021-01-15
359,352,-7,2021-01-15
359,353,-6,2021-01-15
359,354,-5,2021-01-15
359,355,-4,2021-01-15
359,356,-3,2021-01-15
359,357,-2,2021-01-15
359,358,-1,2021-01-15
359,359,0,2021-01-15
359,360,1,2021-01-15
359,361,2,2021-01-15
359,362,3,2021-01-15
359,363,4,2021-01-15
359,364,5,2021-01-15
359,365,6,2021-01-15
360,366,6,2021-01-16
361,367,6,2021-01-17
362,367,5,2021-01-18
363,367,4,2021-01-19
364,367,3,2021-01-20
365,367,2,2021-01-21
366,367,1,2021-01-22
367,367,0,2021-01-23
368,367,-1,2021-01-24
369,367,-2,2021-01-25
370,367,-3,2021-01-26
371,368,-3,2021-01-27
372,369,-3,2021-01-28
372,370,-2,2021-01-28
372,371,-1,2021-01-28
372,372,0,2021-01-28
372,373,1,2021-01-28
372,374,2,2021-01-28
372,375,3,2021-01-28
372,376,4,2021-01-28
372,377,5,2021-01-28
372,378,6,2021-01-28
372,379,7,2021-01-28
372,380,8,2021-01-28
372,381,9,2021-01-28
372,382,10,2021-01-28
372,383,11,2021-01-28
372,384,12,2021-01-28
373,385,12,2021-01-29
374,385,11,2021-01-30
375,385,10,2021-01-31
376,385,9,2021-02-01
377,386,9,2021-02-02
377,387,10,2021-02-02
377,388,11,2021-02-02
377,389,12,2021-02-02
377,390,13,2021-02-02
377,391,14,2021-02-02
377,392,15,2021-02-02
377,393,16,2021-02-02
377,394,17,2021-02-02
377,395,18,2021-02-02
377,396,19,2021-02-02
377,397,20,2021-02-02
378,398,20,2021-02-03
379,399,20,2021-02-04
380,399,19,2021-02-05
381,399,18,2021-02-06
382,399,17,2021-02-07
383,399,16,2021-02-08
384,400,16,2021-02-09
385,401,16,2021-02-10
386,402,16,2021-02-11
387,403,16,2021-02-12
388,404,16,2021-02-13
388,405,17,2021-02-13
388,406,18,2021-02-13
388,407,19,2021-02-13
388,408,20,2021-02-13
388,409,21,2021-02-13
388,410,22,2021-02-13
389,411,22,2021-02-14
390,412,22,2021-02-15
391,412,21,2021-02-16
392,412,20,2021-02-17
393,412,19,2021-02-18
394,412,18,2021-02-19
395,412,17,2021-02-20
396,413,17,2021-02-21
396,414,18,2021-02-21
396,415,19,2021-02-21
396,416,20,2021-02-21
397,417,20,2021-02-22
398,417,19,2021-02-23
399,417,18,2021-02-24
400,417,17,2021-02-25
401,417,16,2021-02-26
402,417,15,2021-02-27
403,417,14,2021-02-28
404,417,13,2021-03-01
405,417,12,2021-03-02
406,417,11,2021-03-03
407,417,10,2021-03-04
408,417,9,2021-03-05
409,417,8,2021-03-06
410,418,8,2021-03-07
411,419,8,2021-03-08
412,420,8,2021-03-09
413,421,8,2021-03-10
414,422,8,2021-03-11
415,423,8,2021-03-12
416,424,8,2021-03-13
