i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
1,1,0,2020-01-23
1,2,1,2020-01-23
1,3,2,2020-01-23
1,4,3,2020-01-23
1,5,4,2020-01-23
1,6,5,2020-01-23
1,7,6,2020-01-23
1,8,7,2020-01-23
1,9,8,2020-01-23
1,10,9,2020-01-23
1,11,10,2020-01-23
1,12,11,2020-01-23
1,13,12,2020-01-23
1,14,13,2020-01-23
1,15,14,2020-01-23
1,16,15,2020-01-23
1,17,16,2020-01-23
1,18,17,2020-01-23
1,19,18,2020-01-23
1,20,19,2020-01-23
1,21,20,2020-01-23
1,22,21,2020-01-23
1,23,22,2020-01-23
1,24,23,2020-01-23
1,25,24,2020-01-23
1,26,25,2020-01-23
1,27,26,2020-01-23
1,28,27,2020-01-23
1,29,28,2020-01-23
1,30,29,2020-01-23
1,31,30,2020-01-23
1,32,31,2020-01-23
1,33,32,2020-01-23
1,34,33,2020-01-23
1,35,34,2020-01-23
2,36,34,2020-01-24
3,37,34,2020-01-25
4,38,34,2020-01-26
5,39,34,2020-01-27
6,40,34,2020-01-28
7,41,34,2020-01-29
8,42,34,2020-01-30
9,43,34,2020-01-31
10,44,34,2020-02-01
11,45,34,2020-02-02
12,46,34,2020-02-03
13,47,34,2020-02-04
14,48,34,2020-02-05
15,49,34,2020-02-06
16,50,34,2020-02-07
17,50,33,2020-02-08
18,50,32,2020-02-09
19,50,31,2020-02-10
20,50,30,2020-02-11
21,50,29,2020-02-12
22,50,28,2020-02-13
23,50,27,2020-02-14
24,50,26,2020-02-15
25,50,25,2020-02-16
26,50,24,2020-02-17
27,50,23,2020-02-18
28,50,22,2020-02-19
29,50,21,2020-02-20
30,50,20,2020-02-21
31,50,19,2020-02-22
32,50,18,2020-02-23
33,50,17,2020-02-24
34,50,16,2020-02-25
35,50,15,2020-02-26
36,50,14,2020-02-27
37,50,13,2020-02-28
38,50,12,2020-02-29
39,50,11,2020-03-01
40,50,10,2020-03-02
41,50,9,2020-03-03
42,50,8,2020-03-04
43,50,7,2020-03-05
44,50,6,2020-03-06
45,50,5,2020-03-07
46,50,4,2020-03-08
47,50,3,2020-03-09
48,50,2,2020-03-10
49,50,1,2020-03-11
50,50,0,2020-03-12
51,50,-1,2020-03-13
52,50,-2,2020-03-14
53,50,-3,2020-03-15
54,50,-4,2020-03-16
55,50,-5,2020-03-17
56,50,-6,2020-03-18
57,50,-7,2020-03-19
58,50,-8,2020-03-20
59,50,-9,2020-03-21
60,50,-10,2020-03-22
61,50,-11,2020-03-23
62,50,-12,2020-03-24
63,50,-13,2020-03-25
64,50,-14,2020-03-26
65,50,-15,2020-03-27
66,50,-16,2020-03-28
67,50,-17,2020-03-29
68,50,-18,2020-03-30
69,50,-19,2020-03-31
70,50,-20,2020-04-01
71,50,-21,2020-04-02
72,50,-22,2020-04-03
73,50,-23,2020-04-04
74,50,-24,2020-04-05
75,50,-25,2020-04-06
76,50,-26,2020-04-07
77,50,-27,2020-04-08
78,50,-28,2020-04-09
79,50,-29,2020-04-10
80,50,-30,2020-04-11
81,50,-31,2020-04-12
82,50,-32,2020-04-13
83,50,-33,2020-04-14
84,50,-34,2020-04-15
85,51,-34,2020-04-16
86,52,-34,2020-04-17
87,53,-34,2020-04-18
88,54,-34,2020-04-19
89,55,-34,2020-04-20
89,56,-33,2020-04-20
89,57,-32,2020-04-20
89,58,-31,2020-04-20
89,59,-30,2020-04-20
89,60,-29,2020-04-20
89,61,-28,2020-04-20
90,62,-28,2020-04-21
91,63,-28,2020-04-22
92,63,-29,2020-04-23
93,63,-30,2020-04-24
94,63,-31,2020-04-25
95,63,-32,2020-04-26
96,64,-32,2020-04-27
97,65,-32,2020-04-28
97,66,-31,2020-04-28
97,67,-30,2020-04-28
97,68,-29,2020-04-28
97,69,-28,2020-04-28
97,70,-27,2020-04-28
97,71,-26,2020-04-28
97,72,-25,2020-04-28
97,73,-24,2020-04-28
98,74,-24,2020-04-29
99,75,-24,2020-04-30
100,76,-24,2020-05-01
101,77,-24,2020-05-02
101,78,-23,2020-05-02
101,79,-22,2020-05-02
101,80,-21,2020-05-02
101,81,-20,2020-05-02
102,82,-20,2020-05-03
103,83,-20,2020-05-04
104,84,-20,2020-05-05
105,85,-20,2020-05-06
106,86,-20,2020-05-07
107,87,-20,2020-05-08
108,88,-20,2020-05-09
109,89,-20,2020-05-10
110,90,-20,2020-05-11
110,91,-19,2020-05-11
110,92,-18,2020-05-11
110,93,-17,2020-05-11
110,94,-16,2020-05-11
110,95,-15,2020-05-11
111,96,-15,2020-05-12
112,97,-15,2020-05-13
113,98,-15,2020-05-14
114,99,-15,2020-05-15
114,100,-14,2020-05-15
114,101,-13,2020-05-15
114,102,-12,2020-05-15
114,103,-11,2020-05-15
115,104,-11,2020-05-16
116,105,-11,2020-05-17
117,106,-11,2020-05-18
118,107,-11,2020-05-19
119,108,-11,2020-05-20
120,108,-12,2020-05-21
121,109,-12,2020-05-22
122,110,-12,2020-05-23
122,111,-11,2020-05-23
122,112,-10,2020-05-23
122,113,-9,2020-05-23
122,114,-8,2020-05-23
122,115,-7,2020-05-23
122,116,-6,2020-05-23
122,117,-5,2020-05-23
122,118,-4,2020-05-23
123,119,-4,2020-05-24
123,120,-3,2020-05-24
123,121,-2,2020-05-24
123,122,-1,2020-05-24
123,123,0,2020-05-24
