DATE,lag_days
2020-01-22,17.0
2020-01-23,34.0
2020-01-24,34.0
2020-01-25,34.0
2020-01-26,34.0
2020-01-27,34.0
2020-01-28,34.0
2020-01-29,34.0
2020-01-30,34.0
2020-01-31,34.0
2020-02-01,34.0
2020-02-02,34.0
2020-02-03,34.0
2020-02-04,34.0
2020-02-05,34.0
2020-02-06,34.0
2020-02-07,34.0
2020-02-08,34.0
2020-02-09,34.0
2020-02-10,34.0
2020-02-11,34.0
2020-02-12,33.0
2020-02-13,32.0
2020-02-14,31.0
2020-02-15,30.0
2020-02-16,29.0
2020-02-17,28.0
2020-02-18,27.0
2020-02-19,26.0
2020-02-20,25.0
2020-02-21,24.0
2020-02-22,23.0
2020-02-23,22.0
2020-02-24,21.0
2020-02-25,20.0
2020-02-26,19.0
2020-02-27,18.0
2020-02-28,17.0
2020-02-29,16.0
2020-03-01,15.0
2020-03-02,14.0
2020-03-03,13.0
2020-03-04,12.0
2020-03-05,11.0
2020-03-06,10.0
2020-03-07,9.0
2020-03-08,8.0
2020-03-09,7.0
2020-03-10,6.0
2020-03-11,5.0
2020-03-12,4.0
2020-03-13,3.0
2020-03-14,2.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,-1.0
2020-03-18,-2.0
2020-03-19,-3.0
2020-03-20,-4.0
2020-03-21,-5.0
2020-03-22,-6.0
2020-03-23,-7.0
2020-03-24,-8.0
2020-03-25,-9.0
2020-03-26,-10.0
2020-03-27,-11.0
2020-03-28,-12.0
2020-03-29,-13.0
2020-03-30,-14.0
2020-03-31,-15.0
2020-04-01,-16.0
2020-04-02,-17.0
2020-04-03,-18.0
2020-04-04,-19.0
2020-04-05,-20.0
2020-04-06,-21.0
2020-04-07,-22.0
2020-04-08,-23.0
2020-04-09,-24.0
2020-04-10,-25.0
2020-04-11,-26.0
2020-04-12,-27.0
2020-04-13,-28.0
2020-04-14,-29.0
2020-04-15,-30.0
2020-04-16,-31.0
2020-04-17,-32.0
2020-04-18,-33.0
2020-04-19,-34.0
2020-04-20,-34.0
2020-04-21,-34.0
2020-04-22,-34.0
2020-04-23,-34.0
2020-04-24,-34.0
2020-04-25,-34.0
2020-04-26,-34.0
2020-04-27,-34.0
2020-04-28,-34.0
2020-04-29,-34.0
2020-04-30,-34.0
2020-05-01,-34.0
2020-05-02,-34.0
2020-05-03,-34.0
2020-05-04,-34.0
2020-05-05,-34.0
2020-05-06,-34.0
2020-05-07,-34.0
2020-05-08,-34.0
2020-05-09,-34.0
2020-05-10,-34.0
2020-05-11,-34.0
2020-05-12,-34.0
2020-05-13,-34.0
2020-05-14,-34.0
2020-05-15,-34.0
2020-05-16,-34.0
2020-05-17,-34.0
2020-05-18,-34.0
2020-05-19,-34.0
2020-05-20,-34.0
2020-05-21,-34.0
2020-05-22,-34.0
2020-05-23,-34.0
2020-05-24,-34.0
2020-05-25,-34.0
2020-05-26,-34.0
2020-05-27,-34.0
2020-05-28,-34.0
2020-05-29,-34.0
2020-05-30,-34.0
2020-05-31,-34.0
2020-06-01,-34.0
2020-06-02,-34.0
2020-06-03,-34.0
2020-06-04,-34.0
2020-06-05,-34.0
2020-06-06,-34.0
2020-06-07,-34.0
2020-06-08,-34.0
2020-06-09,-34.0
2020-06-10,-34.0
2020-06-11,-34.0
2020-06-12,-30.5
2020-06-13,-27.0
2020-06-14,-27.0
2020-06-15,-27.0
2020-06-16,-27.0
2020-06-17,-27.0
2020-06-18,-27.0
2020-06-19,-27.0
2020-06-20,-27.0
2020-06-21,-27.0
2020-06-22,-27.0
2020-06-23,-27.0
2020-06-24,-27.0
2020-06-25,-27.0
2020-06-26,-27.0
2020-06-27,-27.0
2020-06-28,-27.0
2020-06-29,-27.0
2020-06-30,-24.0
2020-07-01,-21.0
2020-07-02,-21.0
2020-07-03,-21.0
2020-07-04,-21.0
2020-07-05,-21.0
2020-07-06,-21.0
2020-07-07,-21.0
2020-07-08,-21.0
2020-07-09,-21.0
2020-07-10,-21.0
2020-07-11,-21.0
2020-07-12,-21.0
2020-07-13,-21.0
2020-07-14,-21.0
2020-07-15,-21.0
2020-07-16,-21.0
2020-07-17,-21.0
2020-07-18,-21.0
2020-07-19,-21.0
2020-07-20,-21.0
2020-07-21,-21.0
2020-07-22,-21.0
2020-07-23,-21.0
2020-07-24,-21.0
2020-07-25,-21.0
2020-07-26,-21.0
2020-07-27,-21.0
2020-07-28,-21.0
2020-07-29,-21.0
2020-07-30,-21.0
2020-07-31,-21.0
2020-08-01,-21.0
2020-08-02,-21.0
2020-08-03,-21.0
2020-08-04,-21.0
2020-08-05,-21.0
2020-08-06,-21.0
2020-08-07,-21.0
2020-08-08,-21.0
2020-08-09,-21.0
2020-08-10,-21.0
2020-08-11,-21.0
2020-08-12,-21.0
2020-08-13,-21.0
2020-08-14,-21.0
2020-08-15,-21.0
2020-08-16,-21.0
2020-08-17,-21.0
2020-08-18,-21.0
2020-08-19,-21.0
2020-08-20,-21.0
2020-08-21,-21.0
2020-08-22,-21.0
2020-08-23,-21.0
2020-08-24,-22.0
2020-08-25,-23.0
2020-08-26,-24.0
2020-08-27,-25.0
2020-08-28,-26.0
2020-08-29,-27.0
2020-08-30,-27.0
2020-08-31,-28.0
2020-09-01,-29.0
2020-09-02,-30.0
2020-09-03,-31.0
2020-09-04,-32.0
2020-09-05,-33.0
2020-09-06,-34.0
2020-09-07,-34.0
2020-09-08,-34.0
2020-09-09,-34.0
2020-09-10,-34.0
2020-09-11,-34.0
2020-09-12,-34.0
2020-09-13,-34.0
2020-09-14,-34.0
2020-09-15,-34.0
2020-09-16,-34.0
2020-09-17,-34.0
2020-09-18,-34.0
2020-09-19,-34.0
2020-09-20,-34.0
2020-09-21,-34.0
2020-09-22,-34.0
2020-09-23,-34.0
2020-09-24,-34.0
2020-09-25,-34.0
2020-09-26,-34.0
2020-09-27,-34.0
2020-09-28,-34.0
2020-09-29,-34.0
2020-09-30,-34.0
2020-10-01,-34.0
2020-10-02,-34.0
2020-10-03,-34.0
2020-10-04,-34.0
2020-10-05,-34.0
2020-10-06,-34.0
2020-10-07,-34.0
2020-10-08,-34.0
2020-10-09,-34.0
2020-10-10,-34.0
2020-10-11,-34.0
2020-10-12,-34.0
2020-10-13,-34.0
2020-10-14,-34.0
2020-10-15,-34.0
2020-10-16,-34.0
2020-10-17,-34.0
2020-10-18,-34.0
2020-10-19,-34.0
2020-10-20,-34.0
2020-10-21,-34.0
2020-10-22,-34.0
2020-10-23,-34.0
2020-10-24,-34.0
2020-10-25,-34.0
2020-10-26,-34.0
2020-10-27,-34.0
2020-10-28,-34.0
2020-10-29,-34.0
2020-10-30,-34.0
2020-10-31,-34.0
2020-11-01,-34.0
2020-11-02,-34.0
2020-11-03,-34.0
2020-11-04,-34.0
2020-11-05,-34.0
2020-11-06,-34.0
2020-11-07,-34.0
2020-11-08,-34.0
2020-11-09,-34.0
2020-11-10,-34.0
2020-11-11,-34.0
2020-11-12,-34.0
2020-11-13,-34.0
2020-11-14,-34.0
2020-11-15,-34.0
2020-11-16,-34.0
2020-11-17,-34.0
2020-11-18,-34.0
2020-11-19,-30.5
2020-11-20,-27.0
2020-11-21,-28.0
2020-11-22,-28.0
2020-11-23,-28.0
2020-11-24,-29.0
2020-11-25,-29.0
2020-11-26,-29.0
2020-11-27,-29.0
2020-11-28,-29.0
2020-11-29,-29.0
2020-11-30,-28.5
2020-12-01,-27.5
2020-12-02,-26.0
2020-12-03,-24.5
2020-12-04,-23.5
2020-12-05,-23.0
2020-12-06,-23.0
2020-12-07,-24.0
2020-12-08,-24.0
2020-12-09,-24.0
2020-12-10,-25.0
2020-12-11,-26.0
2020-12-12,-26.0
2020-12-13,-27.0
2020-12-14,-28.0
2020-12-15,-29.0
2020-12-16,-30.0
2020-12-17,-30.0
2020-12-18,-31.0
2020-12-19,-31.0
2020-12-20,-22.5
2020-12-21,-14.0
2020-12-22,-15.0
2020-12-23,-16.0
2020-12-24,-17.0
2020-12-25,-18.0
2020-12-26,-19.0
2020-12-27,-20.0
2020-12-28,-21.0
2020-12-29,-22.0
2020-12-30,-23.0
2020-12-31,-24.0
2021-01-01,-24.0
2021-01-02,-25.0
2021-01-03,-26.0
2021-01-04,-27.0
2021-01-05,-28.0
2021-01-06,-29.0
2021-01-07,-30.0
2021-01-08,-31.0
2021-01-09,-31.0
2021-01-10,1.5
2021-01-11,34.0
2021-01-12,34.0
2021-01-13,34.0
2021-01-14,34.0
2021-01-15,34.0
2021-01-16,34.0
2021-01-17,34.0
2021-01-18,34.0
2021-01-19,34.0
2021-01-20,34.0
2021-01-21,34.0
2021-01-22,34.0
2021-01-23,34.0
2021-01-24,34.0
2021-01-25,34.0
2021-01-26,34.0
2021-01-27,34.0
2021-01-28,34.0
2021-01-29,34.0
2021-01-30,34.0
2021-01-31,34.0
2021-02-01,34.0
2021-02-02,34.0
2021-02-03,34.0
2021-02-04,34.0
2021-02-05,34.0
2021-02-06,34.0
2021-02-07,34.0
2021-02-08,34.0
2021-02-09,34.0
2021-02-10,34.0
2021-02-11,34.0
2021-02-12,34.0
2021-02-13,34.0
2021-02-14,34.0
2021-02-15,34.0
2021-02-16,34.0
2021-02-17,34.0
2021-02-18,34.0
2021-02-19,34.0
2021-02-20,34.0
2021-02-21,34.0
2021-02-22,34.0
2021-02-23,34.0
2021-02-24,34.0
2021-02-25,33.0
2021-02-26,32.0
2021-02-27,31.0
2021-02-28,30.0
2021-03-01,29.0
2021-03-02,28.0
2021-03-03,27.0
2021-03-04,26.0
2021-03-05,25.0
2021-03-06,24.0
2021-03-07,23.0
2021-03-08,22.0
2021-03-09,21.0
2021-03-10,20.0
2021-03-11,19.0
2021-03-12,18.0
2021-03-13,17.0
2021-03-14,16.0
2021-03-15,15.0
2021-03-16,14.0
2021-03-17,13.0
2021-03-18,12.0
2021-03-19,12.0
2021-03-20,12.0
2021-03-21,12.0
2021-03-22,12.0
2021-03-23,12.0
2021-03-24,12.0
2021-03-25,12.0
2021-03-26,12.0
2021-03-27,12.0
2021-03-28,12.0
2021-03-29,12.0
2021-03-30,12.0
2021-03-31,12.0
2021-04-01,12.0
2021-04-02,12.0
2021-04-03,12.0
2021-04-04,12.0
2021-04-05,11.0
