i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
1,4,3,2020-01-23
2,4,2,2020-01-24
3,4,1,2020-01-25
4,5,1,2020-01-26
5,6,1,2020-01-27
6,7,1,2020-01-28
7,8,1,2020-01-29
8,9,1,2020-01-30
9,10,1,2020-01-31
10,11,1,2020-02-01
11,12,1,2020-02-02
12,13,1,2020-02-03
13,14,1,2020-02-04
14,15,1,2020-02-05
15,16,1,2020-02-06
16,17,1,2020-02-07
17,18,1,2020-02-08
18,19,1,2020-02-09
19,20,1,2020-02-10
20,21,1,2020-02-11
21,22,1,2020-02-12
22,23,1,2020-02-13
23,24,1,2020-02-14
24,25,1,2020-02-15
25,26,1,2020-02-16
26,27,1,2020-02-17
27,28,1,2020-02-18
28,29,1,2020-02-19
29,30,1,2020-02-20
30,31,1,2020-02-21
31,32,1,2020-02-22
32,33,1,2020-02-23
33,34,1,2020-02-24
34,35,1,2020-02-25
35,36,1,2020-02-26
36,37,1,2020-02-27
37,38,1,2020-02-28
38,39,1,2020-02-29
39,40,1,2020-03-01
40,41,1,2020-03-02
41,42,1,2020-03-03
42,43,1,2020-03-04
43,44,1,2020-03-05
44,45,1,2020-03-06
45,46,1,2020-03-07
46,47,1,2020-03-08
47,48,1,2020-03-09
48,49,1,2020-03-10
49,50,1,2020-03-11
50,51,1,2020-03-12
51,51,0,2020-03-13
52,51,-1,2020-03-14
53,51,-2,2020-03-15
54,51,-3,2020-03-16
55,52,-3,2020-03-17
56,53,-3,2020-03-18
57,54,-3,2020-03-19
58,55,-3,2020-03-20
59,56,-3,2020-03-21
60,57,-3,2020-03-22
61,58,-3,2020-03-23
61,59,-2,2020-03-23
61,60,-1,2020-03-23
61,61,0,2020-03-23
61,62,1,2020-03-23
61,63,2,2020-03-23
61,64,3,2020-03-23
61,65,4,2020-03-23
62,66,4,2020-03-24
63,66,3,2020-03-25
64,66,2,2020-03-26
65,66,1,2020-03-27
66,66,0,2020-03-28
67,66,-1,2020-03-29
68,66,-2,2020-03-30
69,66,-3,2020-03-31
70,66,-4,2020-04-01
71,66,-5,2020-04-02
72,66,-6,2020-04-03
73,67,-6,2020-04-04
74,68,-6,2020-04-05
75,69,-6,2020-04-06
76,70,-6,2020-04-07
77,71,-6,2020-04-08
78,72,-6,2020-04-09
79,73,-6,2020-04-10
80,74,-6,2020-04-11
81,75,-6,2020-04-12
82,76,-6,2020-04-13
83,77,-6,2020-04-14
84,78,-6,2020-04-15
85,79,-6,2020-04-16
86,80,-6,2020-04-17
86,81,-5,2020-04-17
86,82,-4,2020-04-17
86,83,-3,2020-04-17
86,84,-2,2020-04-17
87,85,-2,2020-04-18
88,86,-2,2020-04-19
89,87,-2,2020-04-20
90,88,-2,2020-04-21
91,89,-2,2020-04-22
92,90,-2,2020-04-23
93,91,-2,2020-04-24
94,92,-2,2020-04-25
95,93,-2,2020-04-26
96,94,-2,2020-04-27
97,95,-2,2020-04-28
98,96,-2,2020-04-29
99,97,-2,2020-04-30
100,98,-2,2020-05-01
101,99,-2,2020-05-02
102,100,-2,2020-05-03
103,101,-2,2020-05-04
104,102,-2,2020-05-05
105,103,-2,2020-05-06
106,104,-2,2020-05-07
107,105,-2,2020-05-08
108,105,-3,2020-05-09
109,105,-4,2020-05-10
110,105,-5,2020-05-11
111,105,-6,2020-05-12
112,106,-6,2020-05-13
113,107,-6,2020-05-14
114,108,-6,2020-05-15
115,109,-6,2020-05-16
116,110,-6,2020-05-17
117,111,-6,2020-05-18
118,112,-6,2020-05-19
119,113,-6,2020-05-20
120,114,-6,2020-05-21
121,115,-6,2020-05-22
122,116,-6,2020-05-23
123,117,-6,2020-05-24
124,118,-6,2020-05-25
125,119,-6,2020-05-26
126,120,-6,2020-05-27
127,121,-6,2020-05-28
128,122,-6,2020-05-29
129,123,-6,2020-05-30
130,124,-6,2020-05-31
131,125,-6,2020-06-01
132,126,-6,2020-06-02
133,127,-6,2020-06-03
134,128,-6,2020-06-04
135,129,-6,2020-06-05
136,130,-6,2020-06-06
137,131,-6,2020-06-07
138,132,-6,2020-06-08
139,133,-6,2020-06-09
140,134,-6,2020-06-10
141,135,-6,2020-06-11
141,136,-5,2020-06-11
141,137,-4,2020-06-11
142,138,-4,2020-06-12
143,139,-4,2020-06-13
144,140,-4,2020-06-14
145,141,-4,2020-06-15
146,142,-4,2020-06-16
147,143,-4,2020-06-17
147,144,-3,2020-06-17
147,145,-2,2020-06-17
147,146,-1,2020-06-17
147,147,0,2020-06-17
147,148,1,2020-06-17
147,149,2,2020-06-17
148,150,2,2020-06-18
149,151,2,2020-06-19
150,152,2,2020-06-20
151,153,2,2020-06-21
152,154,2,2020-06-22
153,155,2,2020-06-23
154,156,2,2020-06-24
155,157,2,2020-06-25
156,158,2,2020-06-26
157,159,2,2020-06-27
158,160,2,2020-06-28
159,160,1,2020-06-29
160,160,0,2020-06-30
161,161,0,2020-07-01
162,162,0,2020-07-02
163,163,0,2020-07-03
164,164,0,2020-07-04
164,165,1,2020-07-04
164,166,2,2020-07-04
164,167,3,2020-07-04
164,168,4,2020-07-04
164,169,5,2020-07-04
164,170,6,2020-07-04
165,171,6,2020-07-05
166,172,6,2020-07-06
167,173,6,2020-07-07
168,174,6,2020-07-08
169,175,6,2020-07-09
170,176,6,2020-07-10
171,177,6,2020-07-11
172,178,6,2020-07-12
173,179,6,2020-07-13
174,180,6,2020-07-14
175,181,6,2020-07-15
176,182,6,2020-07-16
177,182,5,2020-07-17
178,182,4,2020-07-18
179,182,3,2020-07-19
180,182,2,2020-07-20
181,182,1,2020-07-21
182,182,0,2020-07-22
183,182,-1,2020-07-23
184,182,-2,2020-07-24
185,182,-3,2020-07-25
186,182,-4,2020-07-26
187,182,-5,2020-07-27
188,182,-6,2020-07-28
189,183,-6,2020-07-29
190,184,-6,2020-07-30
191,185,-6,2020-07-31
192,186,-6,2020-08-01
193,187,-6,2020-08-02
194,188,-6,2020-08-03
195,189,-6,2020-08-04
196,190,-6,2020-08-05
197,191,-6,2020-08-06
198,192,-6,2020-08-07
199,193,-6,2020-08-08
200,194,-6,2020-08-09
201,195,-6,2020-08-10
202,196,-6,2020-08-11
203,197,-6,2020-08-12
204,198,-6,2020-08-13
205,199,-6,2020-08-14
206,200,-6,2020-08-15
207,201,-6,2020-08-16
207,202,-5,2020-08-16
207,203,-4,2020-08-16
208,204,-4,2020-08-17
209,205,-4,2020-08-18
210,205,-5,2020-08-19
211,205,-6,2020-08-20
212,206,-6,2020-08-21
213,207,-6,2020-08-22
214,208,-6,2020-08-23
215,209,-6,2020-08-24
216,210,-6,2020-08-25
216,211,-5,2020-08-25
216,212,-4,2020-08-25
216,213,-3,2020-08-25
216,214,-2,2020-08-25
216,215,-1,2020-08-25
216,216,0,2020-08-25
216,217,1,2020-08-25
216,218,2,2020-08-25
217,219,2,2020-08-26
218,220,2,2020-08-27
219,221,2,2020-08-28
219,222,3,2020-08-28
219,223,4,2020-08-28
219,224,5,2020-08-28
220,225,5,2020-08-29
221,225,4,2020-08-30
222,226,4,2020-08-31
223,227,4,2020-09-01
224,228,4,2020-09-02
225,229,4,2020-09-03
226,230,4,2020-09-04
226,231,5,2020-09-04
226,232,6,2020-09-04
227,233,6,2020-09-05
228,234,6,2020-09-06
229,235,6,2020-09-07
230,236,6,2020-09-08
231,237,6,2020-09-09
232,237,5,2020-09-10
233,237,4,2020-09-11
234,237,3,2020-09-12
235,237,2,2020-09-13
236,237,1,2020-09-14
237,237,0,2020-09-15
238,237,-1,2020-09-16
239,237,-2,2020-09-17
240,238,-2,2020-09-18
241,239,-2,2020-09-19
242,239,-3,2020-09-20
243,239,-4,2020-09-21
244,240,-4,2020-09-22
245,241,-4,2020-09-23
246,242,-4,2020-09-24
246,243,-3,2020-09-24
246,244,-2,2020-09-24
246,245,-1,2020-09-24
246,246,0,2020-09-24
246,247,1,2020-09-24
247,248,1,2020-09-25
248,249,1,2020-09-26
249,250,1,2020-09-27
250,251,1,2020-09-28
251,252,1,2020-09-29
252,253,1,2020-09-30
253,254,1,2020-10-01
254,254,0,2020-10-02
255,254,-1,2020-10-03
256,254,-2,2020-10-04
257,254,-3,2020-10-05
258,254,-4,2020-10-06
259,254,-5,2020-10-07
260,254,-6,2020-10-08
261,255,-6,2020-10-09
262,256,-6,2020-10-10
262,257,-5,2020-10-10
263,258,-5,2020-10-11
264,259,-5,2020-10-12
265,260,-5,2020-10-13
266,260,-6,2020-10-14
267,261,-6,2020-10-15
268,262,-6,2020-10-16
269,263,-6,2020-10-17
270,264,-6,2020-10-18
271,265,-6,2020-10-19
272,266,-6,2020-10-20
273,267,-6,2020-10-21
274,268,-6,2020-10-22
275,269,-6,2020-10-23
276,270,-6,2020-10-24
277,271,-6,2020-10-25
277,272,-5,2020-10-25
277,273,-4,2020-10-25
278,274,-4,2020-10-26
279,275,-4,2020-10-27
279,276,-3,2020-10-27
279,277,-2,2020-10-27
279,278,-1,2020-10-27
280,279,-1,2020-10-28
281,279,-2,2020-10-29
282,279,-3,2020-10-30
283,279,-4,2020-10-31
284,280,-4,2020-11-01
285,281,-4,2020-11-02
286,282,-4,2020-11-03
287,283,-4,2020-11-04
288,284,-4,2020-11-05
288,285,-3,2020-11-05
288,286,-2,2020-11-05
288,287,-1,2020-11-05
288,288,0,2020-11-05
288,289,1,2020-11-05
289,290,1,2020-11-06
290,290,0,2020-11-07
291,290,-1,2020-11-08
292,290,-2,2020-11-09
293,290,-3,2020-11-10
294,291,-3,2020-11-11
295,292,-3,2020-11-12
295,293,-2,2020-11-12
295,294,-1,2020-11-12
296,295,-1,2020-11-13
296,296,0,2020-11-13
296,297,1,2020-11-13
297,298,1,2020-11-14
298,299,1,2020-11-15
298,300,2,2020-11-15
298,301,3,2020-11-15
298,302,4,2020-11-15
298,303,5,2020-11-15
298,304,6,2020-11-15
299,305,6,2020-11-16
300,306,6,2020-11-17
301,307,6,2020-11-18
302,308,6,2020-11-19
303,309,6,2020-11-20
304,310,6,2020-11-21
305,311,6,2020-11-22
306,312,6,2020-11-23
307,313,6,2020-11-24
308,314,6,2020-11-25
309,314,5,2020-11-26
310,314,4,2020-11-27
311,314,3,2020-11-28
312,314,2,2020-11-29
313,314,1,2020-11-30
314,315,1,2020-12-01
315,315,0,2020-12-02
316,316,0,2020-12-03
316,317,1,2020-12-03
316,318,2,2020-12-03
316,319,3,2020-12-03
316,320,4,2020-12-03
316,321,5,2020-12-03
316,322,6,2020-12-03
317,323,6,2020-12-04
318,324,6,2020-12-05
319,325,6,2020-12-06
320,326,6,2020-12-07
321,326,5,2020-12-08
322,326,4,2020-12-09
323,326,3,2020-12-10
324,326,2,2020-12-11
325,326,1,2020-12-12
326,326,0,2020-12-13
327,326,-1,2020-12-14
328,326,-2,2020-12-15
329,327,-2,2020-12-16
330,328,-2,2020-12-17
331,329,-2,2020-12-18
331,330,-1,2020-12-18
331,331,0,2020-12-18
331,332,1,2020-12-18
331,333,2,2020-12-18
331,334,3,2020-12-18
331,335,4,2020-12-18
332,336,4,2020-12-19
333,336,3,2020-12-20
334,336,2,2020-12-21
335,336,1,2020-12-22
336,336,0,2020-12-23
337,336,-1,2020-12-24
338,336,-2,2020-12-25
339,337,-2,2020-12-26
340,337,-3,2020-12-27
341,337,-4,2020-12-28
342,337,-5,2020-12-29
343,337,-6,2020-12-30
344,338,-6,2020-12-31
345,339,-6,2021-01-01
346,340,-6,2021-01-02
347,341,-6,2021-01-03
348,342,-6,2021-01-04
349,343,-6,2021-01-05
349,344,-5,2021-01-05
349,345,-4,2021-01-05
349,346,-3,2021-01-05
349,347,-2,2021-01-05
349,348,-1,2021-01-05
349,349,0,2021-01-05
349,350,1,2021-01-05
349,351,2,2021-01-05
350,352,2,2021-01-06
351,352,1,2021-01-07
352,353,1,2021-01-08
353,353,0,2021-01-09
354,354,0,2021-01-10
355,354,-1,2021-01-11
356,354,-2,2021-01-12
357,354,-3,2021-01-13
358,354,-4,2021-01-14
359,355,-4,2021-01-15
360,355,-5,2021-01-16
361,355,-6,2021-01-17
362,356,-6,2021-01-18
363,357,-6,2021-01-19
364,358,-6,2021-01-20
364,359,-5,2021-01-20
365,360,-5,2021-01-21
366,361,-5,2021-01-22
366,362,-4,2021-01-22
366,363,-3,2021-01-22
366,364,-2,2021-01-22
367,365,-2,2021-01-23
368,365,-3,2021-01-24
369,366,-3,2021-01-25
369,367,-2,2021-01-25
370,368,-2,2021-01-26
371,369,-2,2021-01-27
372,370,-2,2021-01-28
373,370,-3,2021-01-29
374,370,-4,2021-01-30
375,370,-5,2021-01-31
376,371,-5,2021-02-01
376,372,-4,2021-02-01
377,373,-4,2021-02-02
378,373,-5,2021-02-03
379,374,-5,2021-02-04
380,375,-5,2021-02-05
380,376,-4,2021-02-05
380,377,-3,2021-02-05
380,378,-2,2021-02-05
380,379,-1,2021-02-05
380,380,0,2021-02-05
380,381,1,2021-02-05
381,382,1,2021-02-06
382,383,1,2021-02-07
383,384,1,2021-02-08
384,384,0,2021-02-09
385,384,-1,2021-02-10
386,384,-2,2021-02-11
387,384,-3,2021-02-12
388,384,-4,2021-02-13
389,384,-5,2021-02-14
390,384,-6,2021-02-15
391,385,-6,2021-02-16
392,386,-6,2021-02-17
393,387,-6,2021-02-18
394,388,-6,2021-02-19
395,389,-6,2021-02-20
396,390,-6,2021-02-21
397,391,-6,2021-02-22
398,392,-6,2021-02-23
399,393,-6,2021-02-24
400,394,-6,2021-02-25
400,395,-5,2021-02-25
400,396,-4,2021-02-25
400,397,-3,2021-02-25
400,398,-2,2021-02-25
400,399,-1,2021-02-25
400,400,0,2021-02-25
400,401,1,2021-02-25
400,402,2,2021-02-25
400,403,3,2021-02-25
400,404,4,2021-02-25
400,405,5,2021-02-25
400,406,6,2021-02-25
401,407,6,2021-02-26
402,408,6,2021-02-27
403,409,6,2021-02-28
404,410,6,2021-03-01
405,411,6,2021-03-02
406,411,5,2021-03-03
407,411,4,2021-03-04
408,411,3,2021-03-05
409,411,2,2021-03-06
410,411,1,2021-03-07
411,411,0,2021-03-08
412,411,-1,2021-03-09
413,411,-2,2021-03-10
414,411,-3,2021-03-11
415,411,-4,2021-03-12
416,411,-5,2021-03-13
417,411,-6,2021-03-14
418,412,-6,2021-03-15
419,413,-6,2021-03-16
420,414,-6,2021-03-17
421,415,-6,2021-03-18
422,416,-6,2021-03-19
423,417,-6,2021-03-20
424,418,-6,2021-03-21
425,419,-6,2021-03-22
426,420,-6,2021-03-23
427,421,-6,2021-03-24
428,422,-6,2021-03-25
429,423,-6,2021-03-26
430,424,-6,2021-03-27
431,425,-6,2021-03-28
432,426,-6,2021-03-29
433,427,-6,2021-03-30
434,428,-6,2021-03-31
435,429,-6,2021-04-01
436,430,-6,2021-04-02
437,431,-6,2021-04-03
438,432,-6,2021-04-04
439,433,-6,2021-04-05
440,434,-6,2021-04-06
440,435,-5,2021-04-06
440,436,-4,2021-04-06
440,437,-3,2021-04-06
440,438,-2,2021-04-06
441,439,-2,2021-04-07
442,439,-3,2021-04-08
443,440,-3,2021-04-09
443,441,-2,2021-04-09
444,442,-2,2021-04-10
445,443,-2,2021-04-11
446,444,-2,2021-04-12
447,445,-2,2021-04-13
447,446,-1,2021-04-13
448,447,-1,2021-04-14
449,448,-1,2021-04-15
450,449,-1,2021-04-16
450,450,0,2021-04-16
450,451,1,2021-04-16
450,452,2,2021-04-16
450,453,3,2021-04-16
450,454,4,2021-04-16
450,455,5,2021-04-16
450,456,6,2021-04-16
451,457,6,2021-04-17
452,458,6,2021-04-18
453,459,6,2021-04-19
454,460,6,2021-04-20
455,460,5,2021-04-21
456,460,4,2021-04-22
457,460,3,2021-04-23
458,460,2,2021-04-24
459,460,1,2021-04-25
460,460,0,2021-04-26
461,460,-1,2021-04-27
462,460,-2,2021-04-28
463,460,-3,2021-04-29
464,460,-4,2021-04-30
465,460,-5,2021-05-01
466,460,-6,2021-05-02
467,461,-6,2021-05-03
468,462,-6,2021-05-04
469,463,-6,2021-05-05
469,464,-5,2021-05-05
469,465,-4,2021-05-05
469,466,-3,2021-05-05
470,467,-3,2021-05-06
471,468,-3,2021-05-07
472,469,-3,2021-05-08
473,469,-4,2021-05-09
474,469,-5,2021-05-10
475,469,-6,2021-05-11
476,470,-6,2021-05-12
477,471,-6,2021-05-13
478,472,-6,2021-05-14
479,473,-6,2021-05-15
480,474,-6,2021-05-16
481,475,-6,2021-05-17
481,476,-5,2021-05-17
481,477,-4,2021-05-17
481,478,-3,2021-05-17
481,479,-2,2021-05-17
481,480,-1,2021-05-17
481,481,0,2021-05-17
482,482,0,2021-05-18
483,483,0,2021-05-19
484,484,0,2021-05-20
485,485,0,2021-05-21
486,486,0,2021-05-22
486,487,1,2021-05-22
486,488,2,2021-05-22
486,489,3,2021-05-22
486,490,4,2021-05-22
487,491,4,2021-05-23
488,492,4,2021-05-24
489,493,4,2021-05-25
490,494,4,2021-05-26
491,495,4,2021-05-27
492,496,4,2021-05-28
493,497,4,2021-05-29
494,498,4,2021-05-30
495,498,3,2021-05-31
496,498,2,2021-06-01
497,499,2,2021-06-02
498,500,2,2021-06-03
499,501,2,2021-06-04
500,502,2,2021-06-05
501,503,2,2021-06-06
502,504,2,2021-06-07
503,505,2,2021-06-08
504,506,2,2021-06-09
504,507,3,2021-06-09
504,508,4,2021-06-09
504,509,5,2021-06-09
505,510,5,2021-06-10
506,510,4,2021-06-11
507,510,3,2021-06-12
508,510,2,2021-06-13
509,510,1,2021-06-14
510,510,0,2021-06-15
511,510,-1,2021-06-16
