i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
0,1,1,2020-01-22
0,2,2,2020-01-22
0,3,3,2020-01-22
1,4,3,2020-01-23
2,5,3,2020-01-24
3,6,3,2020-01-25
4,7,3,2020-01-26
4,8,4,2020-01-26
4,9,5,2020-01-26
4,10,6,2020-01-26
5,11,6,2020-01-27
6,12,6,2020-01-28
7,13,6,2020-01-29
8,14,6,2020-01-30
9,15,6,2020-01-31
10,16,6,2020-02-01
11,17,6,2020-02-02
12,18,6,2020-02-03
13,19,6,2020-02-04
14,20,6,2020-02-05
15,21,6,2020-02-06
16,22,6,2020-02-07
17,23,6,2020-02-08
18,24,6,2020-02-09
19,25,6,2020-02-10
20,26,6,2020-02-11
21,27,6,2020-02-12
22,28,6,2020-02-13
23,29,6,2020-02-14
24,30,6,2020-02-15
25,31,6,2020-02-16
26,32,6,2020-02-17
27,33,6,2020-02-18
28,34,6,2020-02-19
29,35,6,2020-02-20
30,36,6,2020-02-21
31,37,6,2020-02-22
32,38,6,2020-02-23
33,39,6,2020-02-24
34,40,6,2020-02-25
35,41,6,2020-02-26
36,42,6,2020-02-27
37,43,6,2020-02-28
38,44,6,2020-02-29
39,45,6,2020-03-01
40,46,6,2020-03-02
41,47,6,2020-03-03
42,48,6,2020-03-04
43,49,6,2020-03-05
44,49,5,2020-03-06
45,49,4,2020-03-07
46,50,4,2020-03-08
47,51,4,2020-03-09
48,52,4,2020-03-10
49,53,4,2020-03-11
50,54,4,2020-03-12
51,55,4,2020-03-13
52,56,4,2020-03-14
53,57,4,2020-03-15
54,58,4,2020-03-16
55,59,4,2020-03-17
56,60,4,2020-03-18
57,61,4,2020-03-19
58,62,4,2020-03-20
59,63,4,2020-03-21
60,64,4,2020-03-22
61,65,4,2020-03-23
62,66,4,2020-03-24
63,67,4,2020-03-25
64,68,4,2020-03-26
65,69,4,2020-03-27
66,70,4,2020-03-28
67,71,4,2020-03-29
68,72,4,2020-03-30
68,73,5,2020-03-30
68,74,6,2020-03-30
69,75,6,2020-03-31
70,76,6,2020-04-01
71,77,6,2020-04-02
72,78,6,2020-04-03
73,79,6,2020-04-04
74,80,6,2020-04-05
75,80,5,2020-04-06
76,80,4,2020-04-07
77,80,3,2020-04-08
78,80,2,2020-04-09
79,80,1,2020-04-10
80,80,0,2020-04-11
81,81,0,2020-04-12
81,82,1,2020-04-12
81,83,2,2020-04-12
81,84,3,2020-04-12
81,85,4,2020-04-12
81,86,5,2020-04-12
81,87,6,2020-04-12
82,88,6,2020-04-13
83,89,6,2020-04-14
84,90,6,2020-04-15
85,91,6,2020-04-16
86,92,6,2020-04-17
87,92,5,2020-04-18
88,93,5,2020-04-19
89,93,4,2020-04-20
90,94,4,2020-04-21
91,94,3,2020-04-22
92,95,3,2020-04-23
93,96,3,2020-04-24
93,97,4,2020-04-24
93,98,5,2020-04-24
93,99,6,2020-04-24
94,100,6,2020-04-25
95,101,6,2020-04-26
96,102,6,2020-04-27
97,103,6,2020-04-28
98,104,6,2020-04-29
99,105,6,2020-04-30
100,106,6,2020-05-01
101,107,6,2020-05-02
102,108,6,2020-05-03
103,109,6,2020-05-04
104,110,6,2020-05-05
105,111,6,2020-05-06
106,112,6,2020-05-07
107,113,6,2020-05-08
108,114,6,2020-05-09
109,115,6,2020-05-10
110,116,6,2020-05-11
111,117,6,2020-05-12
112,118,6,2020-05-13
113,119,6,2020-05-14
114,120,6,2020-05-15
115,121,6,2020-05-16
116,122,6,2020-05-17
117,122,5,2020-05-18
118,122,4,2020-05-19
119,122,3,2020-05-20
120,122,2,2020-05-21
121,122,1,2020-05-22
122,122,0,2020-05-23
123,122,-1,2020-05-24
124,122,-2,2020-05-25
125,122,-3,2020-05-26
126,122,-4,2020-05-27
127,122,-5,2020-05-28
128,122,-6,2020-05-29
129,123,-6,2020-05-30
130,124,-6,2020-05-31
131,125,-6,2020-06-01
132,126,-6,2020-06-02
133,127,-6,2020-06-03
134,128,-6,2020-06-04
135,129,-6,2020-06-05
136,130,-6,2020-06-06
137,131,-6,2020-06-07
138,132,-6,2020-06-08
139,133,-6,2020-06-09
140,134,-6,2020-06-10
141,135,-6,2020-06-11
142,136,-6,2020-06-12
143,137,-6,2020-06-13
144,138,-6,2020-06-14
145,139,-6,2020-06-15
146,140,-6,2020-06-16
147,141,-6,2020-06-17
148,142,-6,2020-06-18
149,143,-6,2020-06-19
150,144,-6,2020-06-20
151,145,-6,2020-06-21
152,146,-6,2020-06-22
153,147,-6,2020-06-23
154,148,-6,2020-06-24
155,149,-6,2020-06-25
156,150,-6,2020-06-26
157,151,-6,2020-06-27
157,152,-5,2020-06-27
157,153,-4,2020-06-27
157,154,-3,2020-06-27
158,155,-3,2020-06-28
159,156,-3,2020-06-29
160,157,-3,2020-06-30
161,158,-3,2020-07-01
162,159,-3,2020-07-02
163,160,-3,2020-07-03
164,161,-3,2020-07-04
165,162,-3,2020-07-05
166,163,-3,2020-07-06
167,164,-3,2020-07-07
168,165,-3,2020-07-08
169,166,-3,2020-07-09
170,166,-4,2020-07-10
171,166,-5,2020-07-11
172,166,-6,2020-07-12
173,167,-6,2020-07-13
174,168,-6,2020-07-14
175,169,-6,2020-07-15
176,170,-6,2020-07-16
177,171,-6,2020-07-17
178,172,-6,2020-07-18
179,173,-6,2020-07-19
180,174,-6,2020-07-20
181,175,-6,2020-07-21
181,176,-5,2020-07-21
181,177,-4,2020-07-21
181,178,-3,2020-07-21
181,179,-2,2020-07-21
181,180,-1,2020-07-21
181,181,0,2020-07-21
181,182,1,2020-07-21
181,183,2,2020-07-21
181,184,3,2020-07-21
181,185,4,2020-07-21
181,186,5,2020-07-21
181,187,6,2020-07-21
182,188,6,2020-07-22
183,188,5,2020-07-23
184,188,4,2020-07-24
185,189,4,2020-07-25
185,190,5,2020-07-25
186,191,5,2020-07-26
187,192,5,2020-07-27
188,193,5,2020-07-28
188,194,6,2020-07-28
189,195,6,2020-07-29
190,196,6,2020-07-30
191,197,6,2020-07-31
192,198,6,2020-08-01
193,199,6,2020-08-02
194,200,6,2020-08-03
195,200,5,2020-08-04
196,200,4,2020-08-05
197,200,3,2020-08-06
198,200,2,2020-08-07
199,200,1,2020-08-08
200,201,1,2020-08-09
201,202,1,2020-08-10
202,203,1,2020-08-11
202,204,2,2020-08-11
202,205,3,2020-08-11
203,206,3,2020-08-12
204,207,3,2020-08-13
205,208,3,2020-08-14
206,208,2,2020-08-15
207,208,1,2020-08-16
208,208,0,2020-08-17
209,209,0,2020-08-18
210,210,0,2020-08-19
211,211,0,2020-08-20
212,212,0,2020-08-21
213,213,0,2020-08-22
214,214,0,2020-08-23
214,215,1,2020-08-23
214,216,2,2020-08-23
215,217,2,2020-08-24
216,218,2,2020-08-25
217,219,2,2020-08-26
218,220,2,2020-08-27
219,220,1,2020-08-28
220,220,0,2020-08-29
221,220,-1,2020-08-30
222,220,-2,2020-08-31
223,220,-3,2020-09-01
224,220,-4,2020-09-02
225,220,-5,2020-09-03
226,220,-6,2020-09-04
227,221,-6,2020-09-05
228,222,-6,2020-09-06
229,223,-6,2020-09-07
230,224,-6,2020-09-08
231,225,-6,2020-09-09
232,226,-6,2020-09-10
233,227,-6,2020-09-11
234,228,-6,2020-09-12
235,229,-6,2020-09-13
236,230,-6,2020-09-14
237,231,-6,2020-09-15
238,232,-6,2020-09-16
239,233,-6,2020-09-17
240,234,-6,2020-09-18
241,235,-6,2020-09-19
242,236,-6,2020-09-20
243,237,-6,2020-09-21
244,238,-6,2020-09-22
245,239,-6,2020-09-23
246,240,-6,2020-09-24
247,241,-6,2020-09-25
247,242,-5,2020-09-25
247,243,-4,2020-09-25
247,244,-3,2020-09-25
247,245,-2,2020-09-25
247,246,-1,2020-09-25
247,247,0,2020-09-25
247,248,1,2020-09-25
247,249,2,2020-09-25
247,250,3,2020-09-25
247,251,4,2020-09-25
248,252,4,2020-09-26
249,253,4,2020-09-27
250,254,4,2020-09-28
250,255,5,2020-09-28
250,256,6,2020-09-28
251,257,6,2020-09-29
252,258,6,2020-09-30
253,259,6,2020-10-01
254,259,5,2020-10-02
255,259,4,2020-10-03
256,260,4,2020-10-04
257,261,4,2020-10-05
258,262,4,2020-10-06
259,263,4,2020-10-07
260,264,4,2020-10-08
261,264,3,2020-10-09
262,264,2,2020-10-10
263,264,1,2020-10-11
264,264,0,2020-10-12
265,264,-1,2020-10-13
266,264,-2,2020-10-14
267,264,-3,2020-10-15
268,264,-4,2020-10-16
269,264,-5,2020-10-17
270,264,-6,2020-10-18
271,265,-6,2020-10-19
272,266,-6,2020-10-20
273,267,-6,2020-10-21
274,268,-6,2020-10-22
274,269,-5,2020-10-22
274,270,-4,2020-10-22
274,271,-3,2020-10-22
274,272,-2,2020-10-22
274,273,-1,2020-10-22
274,274,0,2020-10-22
274,275,1,2020-10-22
274,276,2,2020-10-22
275,277,2,2020-10-23
276,278,2,2020-10-24
277,279,2,2020-10-25
278,279,1,2020-10-26
279,280,1,2020-10-27
280,281,1,2020-10-28
281,282,1,2020-10-29
282,282,0,2020-10-30
283,283,0,2020-10-31
283,284,1,2020-10-31
283,285,2,2020-10-31
283,286,3,2020-10-31
283,287,4,2020-10-31
283,288,5,2020-10-31
283,289,6,2020-10-31
284,290,6,2020-11-01
285,290,5,2020-11-02
286,290,4,2020-11-03
287,290,3,2020-11-04
288,291,3,2020-11-05
289,292,3,2020-11-06
290,293,3,2020-11-07
291,293,2,2020-11-08
292,293,1,2020-11-09
293,293,0,2020-11-10
294,294,0,2020-11-11
295,295,0,2020-11-12
295,296,1,2020-11-12
295,297,2,2020-11-12
295,298,3,2020-11-12
295,299,4,2020-11-12
295,300,5,2020-11-12
296,301,5,2020-11-13
297,302,5,2020-11-14
298,303,5,2020-11-15
299,303,4,2020-11-16
300,303,3,2020-11-17
301,303,2,2020-11-18
302,303,1,2020-11-19
303,303,0,2020-11-20
304,303,-1,2020-11-21
305,303,-2,2020-11-22
306,303,-3,2020-11-23
307,304,-3,2020-11-24
308,305,-3,2020-11-25
308,306,-2,2020-11-25
308,307,-1,2020-11-25
309,308,-1,2020-11-26
310,309,-1,2020-11-27
311,310,-1,2020-11-28
311,311,0,2020-11-28
312,312,0,2020-11-29
313,313,0,2020-11-30
314,313,-1,2020-12-01
315,313,-2,2020-12-02
316,313,-3,2020-12-03
317,313,-4,2020-12-04
318,313,-5,2020-12-05
319,313,-6,2020-12-06
320,314,-6,2020-12-07
321,315,-6,2020-12-08
322,316,-6,2020-12-09
323,317,-6,2020-12-10
324,318,-6,2020-12-11
324,319,-5,2020-12-11
324,320,-4,2020-12-11
324,321,-3,2020-12-11
324,322,-2,2020-12-11
324,323,-1,2020-12-11
325,324,-1,2020-12-12
326,325,-1,2020-12-13
327,326,-1,2020-12-14
328,327,-1,2020-12-15
329,327,-2,2020-12-16
330,327,-3,2020-12-17
331,327,-4,2020-12-18
332,327,-5,2020-12-19
333,327,-6,2020-12-20
334,328,-6,2020-12-21
334,329,-5,2020-12-21
334,330,-4,2020-12-21
334,331,-3,2020-12-21
334,332,-2,2020-12-21
335,333,-2,2020-12-22
336,334,-2,2020-12-23
337,334,-3,2020-12-24
338,334,-4,2020-12-25
339,335,-4,2020-12-26
339,336,-3,2020-12-26
339,337,-2,2020-12-26
339,338,-1,2020-12-26
339,339,0,2020-12-26
340,340,0,2020-12-27
341,341,0,2020-12-28
342,341,-1,2020-12-29
343,341,-2,2020-12-30
344,341,-3,2020-12-31
345,341,-4,2021-01-01
346,341,-5,2021-01-02
347,342,-5,2021-01-03
347,343,-4,2021-01-03
347,344,-3,2021-01-03
347,345,-2,2021-01-03
348,346,-2,2021-01-04
349,347,-2,2021-01-05
350,348,-2,2021-01-06
350,349,-1,2021-01-06
350,350,0,2021-01-06
350,351,1,2021-01-06
350,352,2,2021-01-06
350,353,3,2021-01-06
350,354,4,2021-01-06
350,355,5,2021-01-06
351,356,5,2021-01-07
352,356,4,2021-01-08
353,356,3,2021-01-09
354,356,2,2021-01-10
355,356,1,2021-01-11
356,356,0,2021-01-12
357,356,-1,2021-01-13
358,356,-2,2021-01-14
359,356,-3,2021-01-15
360,356,-4,2021-01-16
361,356,-5,2021-01-17
362,356,-6,2021-01-18
363,357,-6,2021-01-19
364,358,-6,2021-01-20
365,359,-6,2021-01-21
366,360,-6,2021-01-22
367,361,-6,2021-01-23
368,362,-6,2021-01-24
369,363,-6,2021-01-25
370,364,-6,2021-01-26
371,365,-6,2021-01-27
371,366,-5,2021-01-27
371,367,-4,2021-01-27
371,368,-3,2021-01-27
372,369,-3,2021-01-28
373,369,-4,2021-01-29
374,369,-5,2021-01-30
375,369,-6,2021-01-31
376,370,-6,2021-02-01
377,371,-6,2021-02-02
378,372,-6,2021-02-03
379,373,-6,2021-02-04
380,374,-6,2021-02-05
381,375,-6,2021-02-06
382,376,-6,2021-02-07
383,377,-6,2021-02-08
384,378,-6,2021-02-09
385,379,-6,2021-02-10
386,380,-6,2021-02-11
387,381,-6,2021-02-12
387,382,-5,2021-02-12
388,383,-5,2021-02-13
389,384,-5,2021-02-14
390,384,-6,2021-02-15
391,385,-6,2021-02-16
392,386,-6,2021-02-17
393,387,-6,2021-02-18
393,388,-5,2021-02-18
394,389,-5,2021-02-19
395,389,-6,2021-02-20
396,390,-6,2021-02-21
397,391,-6,2021-02-22
398,392,-6,2021-02-23
399,393,-6,2021-02-24
400,394,-6,2021-02-25
400,395,-5,2021-02-25
400,396,-4,2021-02-25
400,397,-3,2021-02-25
400,398,-2,2021-02-25
400,399,-1,2021-02-25
401,400,-1,2021-02-26
402,401,-1,2021-02-27
402,402,0,2021-02-27
403,403,0,2021-02-28
404,404,0,2021-03-01
405,405,0,2021-03-02
406,406,0,2021-03-03
407,406,-1,2021-03-04
408,407,-1,2021-03-05
409,407,-2,2021-03-06
410,407,-3,2021-03-07
411,407,-4,2021-03-08
412,407,-5,2021-03-09
413,407,-6,2021-03-10
414,408,-6,2021-03-11
415,409,-6,2021-03-12
416,410,-6,2021-03-13
417,411,-6,2021-03-14
418,412,-6,2021-03-15
419,413,-6,2021-03-16
420,414,-6,2021-03-17
421,415,-6,2021-03-18
422,416,-6,2021-03-19
423,417,-6,2021-03-20
424,418,-6,2021-03-21
425,419,-6,2021-03-22
426,420,-6,2021-03-23
427,421,-6,2021-03-24
427,422,-5,2021-03-24
427,423,-4,2021-03-24
427,424,-3,2021-03-24
427,425,-2,2021-03-24
427,426,-1,2021-03-24
427,427,0,2021-03-24
427,428,1,2021-03-24
427,429,2,2021-03-24
427,430,3,2021-03-24
428,431,3,2021-03-25
429,432,3,2021-03-26
430,433,3,2021-03-27
431,433,2,2021-03-28
432,434,2,2021-03-29
433,435,2,2021-03-30
434,436,2,2021-03-31
435,437,2,2021-04-01
436,438,2,2021-04-02
437,439,2,2021-04-03
437,440,3,2021-04-03
437,441,4,2021-04-03
437,442,5,2021-04-03
437,443,6,2021-04-03
438,444,6,2021-04-04
439,445,6,2021-04-05
440,445,5,2021-04-06
441,446,5,2021-04-07
441,447,6,2021-04-07
442,448,6,2021-04-08
443,448,5,2021-04-09
444,448,4,2021-04-10
445,448,3,2021-04-11
446,448,2,2021-04-12
447,448,1,2021-04-13
448,448,0,2021-04-14
449,449,0,2021-04-15
450,449,-1,2021-04-16
451,449,-2,2021-04-17
452,450,-2,2021-04-18
452,451,-1,2021-04-18
453,452,-1,2021-04-19
454,453,-1,2021-04-20
455,453,-2,2021-04-21
456,453,-3,2021-04-22
457,453,-4,2021-04-23
458,453,-5,2021-04-24
459,453,-6,2021-04-25
460,454,-6,2021-04-26
461,455,-6,2021-04-27
462,456,-6,2021-04-28
463,457,-6,2021-04-29
463,458,-5,2021-04-29
463,459,-4,2021-04-29
463,460,-3,2021-04-29
463,461,-2,2021-04-29
463,462,-1,2021-04-29
464,463,-1,2021-04-30
465,464,-1,2021-05-01
466,464,-2,2021-05-02
467,465,-2,2021-05-03
468,466,-2,2021-05-04
469,467,-2,2021-05-05
470,468,-2,2021-05-06
471,469,-2,2021-05-07
472,470,-2,2021-05-08
473,471,-2,2021-05-09
474,472,-2,2021-05-10
474,473,-1,2021-05-10
474,474,0,2021-05-10
474,475,1,2021-05-10
474,476,2,2021-05-10
474,477,3,2021-05-10
475,478,3,2021-05-11
476,479,3,2021-05-12
477,479,2,2021-05-13
478,479,1,2021-05-14
479,479,0,2021-05-15
480,479,-1,2021-05-16
481,479,-2,2021-05-17
482,479,-3,2021-05-18
483,479,-4,2021-05-19
484,479,-5,2021-05-20
485,479,-6,2021-05-21
486,480,-6,2021-05-22
487,481,-6,2021-05-23
488,482,-6,2021-05-24
489,483,-6,2021-05-25
490,484,-6,2021-05-26
491,485,-6,2021-05-27
492,486,-6,2021-05-28
493,487,-6,2021-05-29
494,488,-6,2021-05-30
495,489,-6,2021-05-31
496,490,-6,2021-06-01
497,491,-6,2021-06-02
497,492,-5,2021-06-02
497,493,-4,2021-06-02
497,494,-3,2021-06-02
498,495,-3,2021-06-03
499,496,-3,2021-06-04
500,497,-3,2021-06-05
501,498,-3,2021-06-06
502,499,-3,2021-06-07
503,500,-3,2021-06-08
504,501,-3,2021-06-09
505,502,-3,2021-06-10
506,503,-3,2021-06-11
507,504,-3,2021-06-12
508,505,-3,2021-06-13
509,506,-3,2021-06-14
510,507,-3,2021-06-15
511,508,-3,2021-06-16
512,509,-3,2021-06-17
513,510,-3,2021-06-18
514,511,-3,2021-06-19
515,512,-3,2021-06-20
516,513,-3,2021-06-21
517,514,-3,2021-06-22
518,515,-3,2021-06-23
519,516,-3,2021-06-24
520,517,-3,2021-06-25
