COUNTY_NAME,PERIOD,DTW_window,DTW_dist_norm,lag_median_days,lag_iqr_days,frac_mobility_leads,trim_days,n_used,p_shuffle_absMedLag,p_phase_absMedLag,z_shuffle_absMedLag,z_phase_absMedLag
Albany County,P7,7,0.042421471,-4,12,0.585987261,0,695,0.003322259,0.262458472,4.524872083,0.92512413
Big Horn County,P7,7,0.053091514,-2,11,0.529048208,0,695,0.156146179,0.664451827,1.560572867,-0.341887066
Campbell County,P7,7,0.052379968,-1,12,0.503896104,0,695,0.727574751,0.843853821,-0.190316743,-0.96218642
Carbon County,P7,7,0.056985243,0,12,0.450391645,0,695,1,1,-1.049005555,-1.243372971
Converse County,P7,7,0.051552675,-4,12,0.590377113,0,695,0.009966777,0.392026578,3.617368874,0.502007916
Crook County,P7,7,0.057876738,-3,8,0.611866502,0,695,0.029900332,0.415282392,2.704373717,0.36527422
Fremont County,P7,7,0.044726539,-0.5,12,0.5,0,695,0.637873754,0.800664452,-0.46185267,-0.917614804
Goshen County,P7,7,0.057786984,6,6,0.248366013,0,695,0.003322259,0.169435216,4.948671565,1.486174925
Hot Springs County,P7,7,0.056556009,4,8,0.274534161,0,695,0.023255814,0.149501661,2.718755396,1.366795785
Johnson County,P7,7,0.055522985,-6,12,0.59602649,0,695,0.003322259,0.11627907,6.257765049,1.790549347
Laramie County,P7,7,0.055390722,0,12,0.498074454,0,695,1,1,-1.128928027,-1.31727071
Lincoln County,P7,7,0.051584835,-6,6,0.694892473,0,695,0.003322259,0.146179402,5.17471786,1.718142007
Natrona County,P7,7,0.050409144,-1,12,0.619680851,0,695,0.867109635,0.843853821,-0.769142987,-0.852874894
Niobrara County,P7,7,0.057703405,0,12,0.473411154,0,695,1,1,-1.196730911,-1.285030823
Park County,P7,7,0.053192039,-5,12,0.575,0,695,0.003322259,0.458471761,3.915877105,0.592316405
Platte County,P7,7,0.056712129,-4,6,0.671775223,0,695,0.003322259,0.458471761,6.404595723,0.357026996
Sheridan County,P7,7,0.046805063,0,12,0.48046875,0,695,1,1,-1.119111163,-1.439189546
Sublette County,P7,7,0.050531463,-4,11,0.585119798,0,695,0.003322259,0.305647841,4.909496899,0.750620948
Sweetwater County,P7,7,0.050904703,-4,9,0.594095941,0,695,0.003322259,0.382059801,3.781747472,0.573949453
Teton County,P7,7,0.056946893,0,12,0.49734748,0,695,1,1,-0.883996957,-1.295565844
Uinta County,P7,7,0.054043818,-3,12,0.563307494,0,695,0.043189369,0.441860465,2.438856762,0.303290612
Washakie County,P7,7,0.051754651,0,12,0.397932817,0,695,1,1,-1.10221415,-1.281638415
Weston County,P7,7,0.046234092,3,12,0.404551201,0,695,0.043189369,0.50166113,2.472900039,0.096738342
